individual	chr17:7447650:7448579:cluster30735	chr17:7447650:7454297:cluster30735	chr17:7448788:7454297:cluster30735	chr17:7448788:7455284:cluster30735	chr17:7454520:7455284:cluster30735	chr17:7454520:7455457:cluster30735
GTEX-16NPV	153	3	171	0	159	21
GTEX-1IDJD	392	15	491	0	511	0
GTEX-14ABY	188	6	242	0	273	0
GTEX-14JIY	158	5	223	0	220	1
GTEX-ZYT6	169	9	270	0	265	0
GTEX-15EO6	318	17	434	2	448	0
GTEX-YF7O	304	7	456	0	414	0
GTEX-1CAMR	481	17	619	1	580	0
GTEX-1AX8Z	261	7	333	0	358	0
GTEX-1KXAM	253	10	340	0	333	0
GTEX-11EQ9	161	4	221	0	200	1
GTEX-13OW5	197	8	277	0	243	0
GTEX-ZQG8	449	17	693	0	640	1
GTEX-U3ZG	132	3	169	1	178	0
GTEX-1GN1V	173	7	225	1	246	0
GTEX-XBED	115	1	152	0	156	0
GTEX-XPT6	364	10	493	0	501	0
GTEX-1F75W	182	10	269	0	290	0
GTEX-146FR	293	12	400	1	398	0
GTEX-17F96	332	12	415	0	404	0
GTEX-ZVT2	283	11	434	0	442	0
GTEX-R55D	428	18	595	1	640	0
GTEX-1RQEC	260	13	377	0	343	0
GTEX-Y5V5	397	14	562	0	546	0
GTEX-16YQH	249	9	321	0	313	0
GTEX-1CB4G	144	2	195	0	194	0
GTEX-1LB8K	123	4	194	0	173	0
GTEX-17MFQ	205	12	288	1	282	0
GTEX-139T6	183	5	277	0	240	0
GTEX-RWS6	126	4	179	0	186	0
GTEX-ZDXO	149	7	210	0	200	0
GTEX-1I6K7	324	9	483	1	484	0
GTEX-131XW	142	8	207	0	214	0
GTEX-1399R	546	16	850	1	805	0
GTEX-P4PP	545	21	731	0	805	0
GTEX-13RTK	167	6	251	0	251	0
GTEX-ZXG5	224	10	339	0	330	1
GTEX-1CB4H	189	5	241	0	255	1
GTEX-14PJ4	75	3	102	0	97	0
GTEX-131YS	203	9	265	0	241	0
GTEX-14PJN	173	7	250	1	264	0
GTEX-1B933	119	4	196	0	179	0
GTEX-11VI4	171	10	246	0	249	0
GTEX-XUW1	157	7	255	1	254	0
GTEX-1GZ2Q	187	6	272	0	258	0
GTEX-1313W	190	3	266	0	249	0
