individual	chr17:76754087:76767386:cluster6570	chr17:76754087:76769746:cluster6570	chr17:76754204:76767386:cluster6570	chr17:76767451:76769746:cluster6570
GTEX-XGQ4	14	17	1	19
GTEX-UPJH	13	0	2	19
GTEX-147F3	16	0	3	23
GTEX-YEC4	12	0	5	18
GTEX-1KD4Q	22	0	6	34
GTEX-14PJO	3	0	1	7
GTEX-1KXAM	31	0	6	39
GTEX-13PL7	11	0	2	12
GTEX-16MTA	22	0	5	36
GTEX-U3ZG	23	0	9	34
GTEX-14C38	3	0	1	3
GTEX-1C475	22	0	5	26
GTEX-1F75W	19	0	7	31
GTEX-1JN76	24	0	4	30
GTEX-1RQEC	32	0	9	44
GTEX-1CB4G	26	0	6	33
GTEX-ZAB5	26	0	10	40
GTEX-15SHU	17	0	4	26
GTEX-14DAR	17	0	4	24
GTEX-15UF6	15	0	3	17
GTEX-RWS6	26	0	6	37
GTEX-11EMC	13	0	3	21
GTEX-15UF7	28	0	10	41
GTEX-ZXG5	23	0	5	29
GTEX-1CB4H	8	0	4	14
GTEX-1C6VQ	10	0	3	12
GTEX-14PJ4	14	0	5	24
GTEX-147F4	12	0	4	24
GTEX-13W3W	17	0	4	21
GTEX-1AX9K	9	0	2	14
GTEX-1B933	19	0	7	32
GTEX-1GZ2Q	23	0	7	45
GTEX-1313W	23	0	7	32
GTEX-XQ3S	18	0	3	29
GTEX-1C6WA	20	0	6	31
GTEX-XUZC	21	0	7	26
GTEX-111FC	13	0	2	18
GTEX-1LNCM	18	0	5	30
GTEX-1KD5A	24	0	9	37
GTEX-1L5NE	17	0	5	30
GTEX-1MCYP	31	0	9	52
GTEX-1212Z	23	0	9	39
GTEX-1F5PL	24	0	5	34
GTEX-1GPI7	40	0	8	51
GTEX-1GN1W	16	0	3	23
GTEX-1S82P	28	0	6	39
GTEX-ZYFG	18	0	4	20
GTEX-1N2DW	23	0	8	35
GTEX-1K2DA	39	0	11	60
GTEX-QEL4	10	0	3	12
GTEX-1399T	16	0	5	32
GTEX-11ZUS	15	0	6	20
GTEX-1F75A	34	0	9	44
GTEX-P44G	10	0	2	15
GTEX-139UW	21	0	4	29
GTEX-146FQ	36	0	9	61
GTEX-13QBU	15	0	5	21
GTEX-RNOR	21	0	4	25
GTEX-1B97I	16	0	6	25
GTEX-PLZ4	12	0	5	16
GTEX-17GQL	37	0	10	51
GTEX-QEG5	13	0	3	21
GTEX-1E1VI	16	0	5	22
GTEX-13RTL	29	0	11	50
GTEX-15G1A	28	0	8	35
GTEX-11OF3	21	0	5	33
GTEX-ZV68	18	0	5	27
GTEX-1KWVE	23	0	7	30
GTEX-1CB4F	12	0	3	23
GTEX-17EVQ	25	0	4	36
GTEX-ZF3C	23	0	8	31
GTEX-1A3MW	15	0	3	18
GTEX-X261	10	0	4	20
GTEX-1R9PN	38	0	8	54
GTEX-Y3I4	14	0	4	25
GTEX-1AMFI	24	0	9	43
GTEX-18D9U	35	0	12	46
GTEX-1LVA9	18	0	6	34
GTEX-1192X	12	0	4	17
GTEX-15D79	15	0	4	27
GTEX-1RAZA	37	0	12	47
GTEX-1EU9M	20	0	6	31
GTEX-11ZTS	20	0	6	25
GTEX-WYVS	23	0	5	34
GTEX-16BQI	35	0	7	44
GTEX-117YW	15	0	6	22
GTEX-16MT8	30	0	6	45
GTEX-1AX9J	24	0	5	29
GTEX-1R9K4	25	0	9	38
GTEX-1QEPI	44	0	12	63
GTEX-15CHQ	25	0	8	30
GTEX-Y9LG	16	0	6	24
GTEX-15RIF	31	0	9	40
GTEX-1M5QR	29	0	11	45
GTEX-1AMEY	29	0	10	52
GTEX-13O21	17	0	6	28
GTEX-1RB15	26	0	8	36
GTEX-ZTPG	16	0	3	20
GTEX-YB5K	15	0	5	26
GTEX-1PDJ9	16	0	5	22
GTEX-QVUS	9	0	4	17
GTEX-13SLW	12	0	3	19
GTEX-16GPK	24	0	4	32
GTEX-15CHR	25	0	6	41
GTEX-11TT1	2	0	0	2
GTEX-1GZ4I	29	0	9	51
GTEX-16XZY	13	0	5	21
GTEX-OIZG	18	0	8	31
GTEX-11GSP	18	0	7	26
GTEX-1F5PK	29	0	8	38
GTEX-N7MS	9	0	4	15
GTEX-144GM	16	0	5	30
GTEX-133LE	27	0	7	35
GTEX-16XZZ	33	0	8	38
GTEX-ZAB4	22	0	6	30
GTEX-13OW6	16	0	6	22
GTEX-1A8G6	17	0	7	29
GTEX-WFON	26	0	8	34
GTEX-13PLJ	11	0	4	18
GTEX-13RTJ	14	0	4	21
GTEX-14PJ6	31	0	8	36
