individual	chr19:13774574:13774652:cluster10329	chr19:13774574:13778052:cluster10329	chr19:13774707:13775471:cluster10329	chr19:13774707:13778052:cluster10329	chr19:13775564:13778052:cluster10329
GTEX-1FIGZ	188	0	53	210	45
GTEX-1IDJC	539	4	0	677	0
GTEX-132NY	423	1	0	567	0
GTEX-14ABY	345	2	0	480	0
GTEX-139TU	337	3	0	475	0
GTEX-11P82	897	9	1	1161	1
GTEX-QEG4	139	1	0	194	0
GTEX-14JIY	400	1	0	521	0
GTEX-147F3	293	2	0	384	0
GTEX-YB5E	529	2	0	716	0
GTEX-Y8E4	703	5	2	921	0
GTEX-1KD4Q	249	1	0	337	0
GTEX-12WSM	230	1	0	329	0
GTEX-1QMI2	386	2	1	520	1
GTEX-WHPG	316	2	1	416	1
GTEX-1CAMR	316	4	0	450	0
GTEX-1AX8Z	403	3	0	542	1
GTEX-1KXAM	641	6	0	846	1
GTEX-14A6H	403	2	1	528	0
GTEX-13OVJ	402	3	1	540	0
GTEX-16MTA	448	6	1	630	0
GTEX-1C475	311	3	1	414	0
GTEX-14BMV	366	4	0	480	0
GTEX-146FR	431	3	1	562	0
GTEX-1AX9I	211	1	1	310	0
GTEX-17F96	699	6	2	929	0
GTEX-1KANA	386	2	2	529	0
GTEX-X4XX	434	3	1	555	0
GTEX-14PQA	644	2	0	871	0
GTEX-13JVG	403	4	0	536	0
GTEX-SIU8	150	1	0	202	0
GTEX-P78B	443	2	1	588	0
GTEX-1122O	298	2	1	399	0
GTEX-14753	300	2	0	388	0
GTEX-13PL6	423	1	1	583	1
GTEX-12ZZZ	292	2	1	366	0
GTEX-15UF6	479	6	0	656	0
GTEX-RWS6	166	1	0	239	0
GTEX-11EMC	489	5	1	619	0
GTEX-1399R	392	3	0	527	1
GTEX-13CF2	279	1	0	381	0
GTEX-13RTK	438	2	2	563	0
GTEX-1A32A	218	3	0	287	0
GTEX-1F75B	512	6	1	649	0
GTEX-131YS	326	1	1	410	0
GTEX-12696	386	1	0	524	0
GTEX-XQ8I	375	2	0	491	0
GTEX-147F4	328	1	1	441	0
GTEX-QV31	135	0	0	174	0
GTEX-11VI4	405	3	2	548	0
GTEX-XUW1	279	2	0	348	0
GTEX-1GZ2Q	293	1	0	413	0
GTEX-12ZZY	283	2	1	359	0
GTEX-XQ3S	291	1	0	364	0
GTEX-1C6WA	363	2	1	528	0
GTEX-18A7B	443	2	2	610	1
GTEX-XBEW	662	4	1	833	0
GTEX-145LU	376	1	1	494	0
GTEX-111FC	359	2	1	460	0
GTEX-13X6J	369	1	0	497	0
GTEX-1KD5A	487	4	0	709	0
GTEX-1S83E	584	5	3	807	0
GTEX-OHPN	556	5	1	730	0
GTEX-1GF9W	233	2	1	290	0
GTEX-1L5NE	333	1	0	463	0
GTEX-1I4MK	421	1	1	540	0
GTEX-1MCYP	508	4	1	713	0
GTEX-131XG	434	2	0	569	0
GTEX-13FTY	412	1	1	562	0
GTEX-15ETS	547	4	0	781	0
GTEX-1PPH7	400	4	0	558	0
GTEX-WK11	367	2	0	507	0
GTEX-1GN1W	345	3	0	448	0
GTEX-1RAZR	674	2	0	925	0
GTEX-12C56	396	1	0	521	0
GTEX-TSE9	365	4	0	469	0
GTEX-ZYFG	506	2	0	648	0
GTEX-1N2DW	457	4	2	589	0
GTEX-1C2JI	331	4	0	467	0
GTEX-18D9A	490	2	1	627	0
GTEX-QEL4	106	1	0	126	0
GTEX-U8T8	281	0	1	390	0
GTEX-14BMU	496	4	1	624	0
GTEX-1399T	338	1	0	442	0
GTEX-11ZUS	295	1	0	384	0
GTEX-1B97J	603	3	1	790	0
GTEX-131XF	243	2	0	325	0
GTEX-1F75A	404	4	1	601	0
GTEX-P44G	154	2	0	209	0
GTEX-14LZ3	504	2	0	703	1
GTEX-XGQ4	162	1	0	199	0
GTEX-13G51	267	3	1	349	0
GTEX-WYJK	509	5	1	761	1
GTEX-1A3MX	511	3	0	729	0
GTEX-PLZ4	157	2	0	232	0
GTEX-17GQL	537	6	3	719	0
GTEX-WRHK	446	3	1	658	0
GTEX-13FTW	294	2	0	378	0
GTEX-1E1VI	230	1	0	320	0
GTEX-1339X	457	3	0	609	0
GTEX-ZZ64	381	2	0	547	1
GTEX-17HGU	128	0	0	164	0
GTEX-1C6VR	302	1	1	421	0
GTEX-QV44	314	3	0	404	0
GTEX-1R46S	519	2	0	697	0
GTEX-ZV68	422	1	0	552	0
GTEX-1M4P7	503	2	0	663	0
GTEX-ZF3C	478	2	0	616	0
GTEX-Y111	267	2	1	368	0
GTEX-1GMRU	297	1	0	397	0
GTEX-YEC3	477	4	1	691	0
GTEX-Y3I4	334	2	1	427	0
GTEX-1AMFI	357	2	1	517	0
GTEX-11ZU8	358	2	2	508	0
GTEX-1R9PM	263	2	0	371	0
GTEX-18D9U	506	6	0	687	0
GTEX-1192X	352	1	0	478	0
GTEX-1MUQO	480	1	1	672	0
GTEX-15D79	432	2	0	554	0
GTEX-13OVH	466	3	0	637	0
GTEX-11ZTS	245	1	0	311	0
GTEX-145MO	596	5	2	757	0
GTEX-16BQI	506	3	2	626	0
GTEX-111VG	391	3	0	502	0
GTEX-Q2AG	60	1	0	89	0
GTEX-1R9K4	480	6	2	687	0
GTEX-15CHQ	371	1	1	527	1
GTEX-Y9LG	581	5	2	801	0
GTEX-1EWIQ	266	1	0	370	0
GTEX-Y5LM	755	2	1	1028	0
GTEX-QDT8	540	5	0	697	0
GTEX-1A8FM	370	3	0	468	0
GTEX-15RIF	616	3	3	861	0
GTEX-XPVG	598	2	1	787	1
GTEX-1JN6P	349	2	1	463	0
GTEX-1AMEY	428	2	0	612	0
GTEX-1IDJF	591	5	0	784	0
GTEX-RTLS	258	3	0	358	0
GTEX-OXRP	67	1	0	79	0
GTEX-14E6D	404	2	0	520	0
GTEX-1QAET	362	3	1	519	0
GTEX-15CHC	316	2	0	451	0
GTEX-1314G	630	2	2	868	1
GTEX-PLZ6	142	1	1	209	0
GTEX-1399U	395	4	0	538	0
GTEX-QVUS	178	1	0	231	0
GTEX-13SLW	372	3	2	484	1
GTEX-16GPK	236	3	0	310	0
GTEX-1PIEJ	452	4	2	596	0
GTEX-15CHR	314	2	0	437	0
GTEX-13112	275	2	1	393	0
GTEX-145MH	275	1	0	377	0
GTEX-11GSP	307	3	1	394	0
GTEX-12WSJ	347	2	0	489	0
GTEX-1A3MV	481	4	1	710	0
GTEX-1IDJE	514	5	0	727	1
GTEX-144GM	403	1	1	528	0
GTEX-1LVAM	413	2	1	578	0
GTEX-133LE	306	1	0	400	0
GTEX-1R9PO	413	5	1	575	0
GTEX-14PII	298	2	0	400	0
GTEX-T8EM	399	3	2	503	0
GTEX-13OW6	257	2	0	379	0
GTEX-1LG7Z	509	4	0	646	0
GTEX-1C4CL	349	4	1	466	0
GTEX-13VXU	437	3	0	593	0
GTEX-SNMC	343	1	0	457	0
GTEX-T6MN	116	0	0	158	0
GTEX-18465	377	2	0	520	0
GTEX-14PJ2	353	4	0	465	0
GTEX-1128S	541	4	2	764	0
GTEX-1QP66	913	4	2	1215	1
GTEX-147JS	268	1	1	356	0
GTEX-QCQG	421	3	2	520	0
GTEX-144GL	345	3	1	440	0
GTEX-1MCQQ	330	3	0	414	0
GTEX-1445S	568	1	1	763	0
GTEX-ZVZP	466	4	0	663	0
GTEX-WY7C	417	3	1	545	1
GTEX-11ZTT	326	2	0	457	0
GTEX-12WSL	291	2	0	391	0
GTEX-12KS4	301	1	0	390	0
GTEX-1GMR8	393	5	2	534	0
GTEX-1GN1U	241	2	0	306	0
GTEX-X4EO	470	2	0	665	0
GTEX-139TS	513	2	1	642	0
GTEX-14PK6	269	1	0	381	0
GTEX-1O9I2	396	3	0	513	1
GTEX-144FL	508	6	0	712	0
GTEX-13QJ3	591	2	3	809	0
GTEX-ZYFD	203	1	0	251	0
GTEX-14JG1	378	1	1	504	0
GTEX-ZVE1	472	5	0	660	0
GTEX-YECK	386	2	2	513	1
GTEX-1F88F	398	4	1	550	0
GTEX-14XAO	544	3	0	728	0
GTEX-1GN2E	275	2	0	383	0
GTEX-1JMQK	371	4	1	542	0
GTEX-ZZPU	390	5	1	543	0
GTEX-14E6E	420	3	0	561	0
GTEX-13D11	393	2	2	536	0
GTEX-ZGAY	554	2	1	726	0
GTEX-17EVP	210	2	0	297	0
GTEX-ZVT4	364	4	0	510	0
GTEX-1R9K5	671	6	0	853	0
GTEX-1R9JW	657	6	1	934	0
GTEX-16NPV	308	1	1	430	0
GTEX-QESD	114	0	0	150	0
GTEX-1399S	590	4	1	780	0
GTEX-1A8G7	255	2	0	359	0
GTEX-QDVJ	268	2	1	404	0
GTEX-1EX96	214	2	1	289	0
GTEX-14DAQ	555	2	0	745	0
GTEX-ZEX8	608	5	2	848	0
GTEX-WL46	405	1	0	563	0
GTEX-15RIE	410	3	0	600	0
GTEX-12WSN	292	2	0	389	0
GTEX-PX3G	153	0	0	218	0
GTEX-13FHO	451	1	1	575	0
GTEX-RUSQ	51	0	0	68	0
GTEX-1ICLY	232	1	0	304	0
GTEX-1JKYR	407	3	1	541	0
GTEX-111CU	306	1	0	425	0
GTEX-PW2O	73	0	0	102	0
GTEX-ZF29	346	3	0	496	0
GTEX-15UKP	319	3	1	422	0
GTEX-17F97	433	3	2	561	0
GTEX-13NZB	392	2	0	515	0
GTEX-PSDG	410	2	0	539	0
GTEX-13PVQ	317	1	0	412	0
GTEX-1QP67	421	1	1	604	0
GTEX-S95S	103	0	0	147	0
GTEX-1QP28	237	1	0	331	0
