individual	chr18:35972840:35974896:cluster28324	chr18:35972907:35974896:cluster28324	chr18:35972907:35977410:cluster28324	chr18:35975095:35977410:cluster28324
GTEX-WOFL	2	19	35	47
GTEX-132NY	2	45	0	68
GTEX-14ABY	2	28	0	60
GTEX-11P82	6	75	0	129
GTEX-R55E	2	33	0	50
GTEX-15EO6	3	66	0	116
GTEX-13X6I	2	40	0	66
GTEX-14A6H	4	39	0	76
GTEX-11EQ9	3	45	1	82
GTEX-ZQG8	4	76	1	103
GTEX-13NZA	3	30	0	47
GTEX-14C38	3	58	1	81
GTEX-1B8KE	3	25	0	44
GTEX-Y5V5	6	91	0	134
GTEX-1S5VW	7	76	0	123
GTEX-16YQH	2	27	0	53
GTEX-ZPIC	2	48	1	85
GTEX-SIU8	1	25	0	40
GTEX-P78B	2	49	0	74
GTEX-13S7M	1	21	0	34
GTEX-1LB8K	3	33	1	55
GTEX-T5JW	3	59	0	86
GTEX-TMZS	1	16	0	19
GTEX-1LC47	3	75	0	129
GTEX-14753	3	39	1	56
GTEX-11DXX	3	47	0	81
GTEX-13PL6	2	32	0	59
GTEX-12ZZZ	3	32	0	48
GTEX-14DAR	2	47	0	72
GTEX-15UF6	3	48	0	93
GTEX-1I6K7	3	52	0	105
GTEX-1PPGY	2	52	0	79
GTEX-1A32A	1	19	0	37
GTEX-1C6VQ	3	60	0	92
GTEX-1F75B	2	72	0	119
GTEX-14PJN	3	44	0	76
GTEX-13W3W	2	48	0	81
GTEX-1AX9K	2	36	0	51
GTEX-1KD5A	6	79	0	135
GTEX-1LSNL	1	24	0	50
GTEX-1S83E	9	87	1	145
GTEX-13FTZ	1	22	0	40
GTEX-1I4MK	2	53	0	84
GTEX-169BO	3	58	1	111
GTEX-16NPX	2	49	0	80
GTEX-1F5PL	2	69	1	109
GTEX-WK11	3	38	0	74
GTEX-1RAZR	6	79	1	127
GTEX-1S82P	5	68	2	113
GTEX-W5WG	2	42	0	79
GTEX-1N2DW	2	57	0	90
GTEX-1LH75	2	48	0	91
GTEX-U8T8	3	26	0	48
GTEX-ZV6S	4	100	2	156
GTEX-WEY5	9	110	0	204
GTEX-11ZUS	1	31	0	42
GTEX-131XF	2	27	0	56
GTEX-1F75A	3	48	1	89
GTEX-P44G	1	24	0	39
GTEX-13O3Q	1	24	0	44
GTEX-13N2G	9	101	1	154
GTEX-13QBU	2	58	0	108
GTEX-XGQ4	1	30	0	51
GTEX-1FIGZ	3	39	1	79
GTEX-WRHK	5	99	1	184
GTEX-1339X	3	51	0	84
GTEX-1C6VR	2	29	0	42
GTEX-1JMQI	5	91	0	160
GTEX-11UD2	1	23	0	37
GTEX-ZF3C	2	33	0	68
GTEX-1A3MW	3	43	0	75
GTEX-11ZU8	1	37	0	53
GTEX-1192X	2	50	0	93
GTEX-WYVS	2	63	0	98
GTEX-117YW	4	35	0	59
GTEX-111VG	1	36	0	52
GTEX-ZWKS	2	26	0	54
GTEX-1LVAO	1	22	0	28
GTEX-Y9LG	3	38	0	72
GTEX-11EI6	2	39	1	56
GTEX-17KNJ	2	35	0	48
GTEX-QDT8	4	77	0	135
GTEX-1ICLZ	1	36	0	67
GTEX-V1D1	1	38	0	70
