individual	chr12:48135038:48135291:cluster65832	chr12:48135038:48137721:cluster65832	chr12:48135383:48137721:cluster65832	chr12:48135383:48139285:cluster65832	chr12:48135596:48137721:cluster65832	chr12:48137846:48139285:cluster65832	chr12:48137846:48139849:cluster65832	chr12:48139349:48139849:cluster65832	chr12:48139504:48139849:cluster65832
GTEX-ZV68	1107	5	1489	0	1	1402	72	982	13
GTEX-13OVL	805	1	978	0	0	875	0	638	5
GTEX-ZYY3	2389	1	2985	6	1	2724	0	1910	21
GTEX-11P82	2265	7	3000	4	3	2963	0	2037	27
GTEX-QEG4	1452	0	1928	4	0	1711	0	1239	12
GTEX-R55E	1198	1	1352	2	1	1317	0	899	9
GTEX-147F3	1223	2	1480	0	0	1369	0	952	12
GTEX-YEC4	1299	3	1501	1	0	1436	1	993	17
GTEX-YB5E	2585	7	3405	3	1	3111	0	2039	30
GTEX-Y8E4	1530	1	1969	1	0	1802	0	1309	14
GTEX-12WSM	849	3	1071	1	0	945	0	731	7
GTEX-15EO6	3182	4	3945	8	3	3782	0	2698	47
GTEX-1QMI2	1420	2	1538	1	0	1672	0	1102	15
GTEX-WHPG	4463	3	5321	7	0	5144	0	3788	40
GTEX-1CAMR	2051	7	2464	3	2	2506	0	1805	15
GTEX-1AX8Z	1285	0	1520	0	0	1469	0	1030	10
GTEX-11EQ9	1802	8	2194	0	0	2071	0	1376	16
GTEX-13OVJ	1427	8	1729	1	1	1605	0	1165	6
GTEX-13W46	2536	5	3182	3	1	3246	0	2292	26
GTEX-16MTA	1328	0	1764	3	0	1639	0	1120	19
GTEX-13NZA	1428	1	1750	0	2	1719	0	1311	26
GTEX-1GN1V	1591	1	1925	4	0	2078	0	1307	20
GTEX-XPT6	2795	2	3382	6	2	3246	0	2309	13
GTEX-U4B1	2204	3	2452	0	0	2459	0	1724	40
GTEX-146FR	2072	1	2664	5	0	2454	0	1770	32
GTEX-17F96	1751	3	2073	1	0	2060	0	1370	20
GTEX-ZVT2	3556	8	4409	13	0	4098	1	2808	45
GTEX-1KANA	2672	4	3133	2	3	3127	0	2190	21
GTEX-1RQEC	4179	13	4690	8	2	5014	0	3301	20
GTEX-Y5V5	4745	2	5771	11	0	5437	0	3935	60
GTEX-S33H	2548	7	3153	1	2	3143	0	2043	50
GTEX-P78B	2294	7	2702	3	0	2616	0	1753	10
GTEX-1122O	2438	2	3085	6	0	2884	0	1872	41
GTEX-1LB8K	2767	3	3145	0	0	3325	0	2209	45
GTEX-17MFQ	1360	2	1618	4	0	1576	0	1083	9
GTEX-1LC47	1170	0	1375	4	0	1475	0	1042	11
GTEX-14753	2658	2	3363	0	2	3173	0	2138	47
GTEX-11DXX	2241	2	2812	0	0	2649	0	1750	13
GTEX-139T6	2292	3	2825	9	1	2572	0	1817	32
GTEX-12ZZZ	618	0	769	1	0	785	0	544	15
GTEX-13FTX	1557	6	1917	0	0	1835	0	1394	21
GTEX-14DAR	1974	2	2194	3	0	2230	0	1544	11
GTEX-15UF6	2527	1	2869	4	2	3098	0	1976	33
GTEX-1I6K7	2404	4	3027	2	1	2864	0	1793	23
GTEX-11EMC	1905	1	2322	2	2	2261	0	1499	36
GTEX-15UF7	3534	7	4418	10	0	4194	0	2942	74
GTEX-1PPGY	3309	9	3828	8	1	3884	0	2703	36
GTEX-13RTK	1666	0	2147	3	0	1952	0	1287	20
GTEX-1C6VQ	3386	12	4396	4	3	4068	0	2702	57
GTEX-1F75B	3607	4	3954	2	3	4117	0	2687	50
GTEX-11NUK	1288	0	1577	3	0	1562	0	1073	10
GTEX-131YS	1660	3	2040	2	2	1940	0	1407	22
GTEX-12696	2834	11	3786	3	0	3445	0	2365	35
GTEX-XQ8I	1366	4	1769	2	0	1600	0	1091	11
GTEX-13W3W	1029	2	1180	7	0	1195	0	821	13
