individual	chr4:94573393:94575616:cluster17876	chr4:94573393:94575943:cluster17876	chr4:94573393:94579521:cluster17876	chr4:94573393:94582717:cluster17876	chr4:94573393:94585565:cluster17876	chr4:94576034:94579521:cluster17876	chr4:94576034:94582717:cluster17876	chr4:94576034:94584986:cluster17876	chr4:94576034:94585565:cluster17876	chr4:94579537:94582717:cluster17876	chr4:94579537:94584986:cluster17876	chr4:94579569:94582717:cluster17876	chr4:94582731:94584041:cluster17876	chr4:94582731:94584986:cluster17876	chr4:94584131:94584986:cluster17876	chr4:94585003:94585565:cluster17876	chr4:94585003:94585574:cluster17876	chr4:94585003:94585625:cluster17876
GTEX-ZVZP	67	193	192	6	0	2	160	207	4	208	2	3	0	391	0	304	322	4
GTEX-1IDJD	93	419	1040	3	3	40	111	379	11	1053	46	9	0	1300	0	1682	0	5
GTEX-132NY	78	689	849	0	1	28	72	1049	19	842	90	11	0	1013	0	2346	0	5
GTEX-14ABY	81	851	1060	1	0	17	90	1195	16	1064	67	8	1	1274	1	2486	1	8
GTEX-ZYY3	70	582	733	2	1	15	237	780	2	790	4	15	1	1129	2	1972	0	6
GTEX-QEG4	34	503	889	2	0	30	37	648	6	865	42	12	2	946	0	1726	0	12
GTEX-147F3	25	257	592	0	0	41	86	333	9	642	15	7	2	795	1	1170	0	0
GTEX-YEC4	113	286	681	0	0	18	50	467	20	671	33	5	0	833	1	1375	0	4
GTEX-SUCS	116	672	883	1	0	13	71	906	7	855	48	2	1	971	3	1894	0	3
GTEX-15EO6	69	329	819	0	1	25	195	301	5	862	3	14	3	1106	2	1419	1	3
GTEX-13X6I	57	127	231	0	0	11	23	241	21	225	8	2	1	255	0	590	0	2
GTEX-WHPG	80	660	1394	0	0	30	159	791	9	1458	67	13	1	1740	5	2689	0	5
GTEX-1AX8Z	170	388	676	3	0	8	272	433	9	685	17	7	0	986	2	1436	0	4
GTEX-11EQ9	70	275	472	0	0	19	50	407	9	494	8	4	0	560	0	982	1	6
GTEX-13OVJ	58	395	441	0	0	19	27	642	5	427	40	7	2	470	7	1246	0	4
GTEX-13OW5	21	225	567	0	0	13	59	251	6	604	19	0	0	703	4	1035	0	3
GTEX-16MTA	31	227	667	0	0	29	41	283	3	731	6	8	0	846	1	1113	0	5
GTEX-ZQG8	37	498	477	0	0	39	122	688	2	535	6	3	1	693	3	1468	0	6
GTEX-13NZA	61	464	647	2	1	29	20	663	7	628	55	5	2	679	4	1577	0	6
GTEX-1GN1V	51	941	889	0	1	38	43	1061	12	882	79	2	3	1005	1	2355	1	7
GTEX-1C475	46	425	629	3	0	26	45	434	9	643	27	9	0	746	0	1195	0	2
GTEX-1F75W	72	548	588	7	1	24	64	641	2	576	29	6	1	670	1	1469	0	3
GTEX-146FR	136	413	761	2	0	25	83	664	17	794	61	3	0	910	0	1647	2	7
GTEX-1AX9I	69	632	1123	1	2	34	37	778	7	1075	119	18	3	1224	0	2139	0	8
GTEX-1B8KE	66	477	614	3	0	16	54	507	1	600	23	5	0	747	1	1296	0	1
GTEX-14JG6	105	267	631	3	1	38	174	295	6	684	15	11	0	907	0	1212	0	2
GTEX-1KANA	84	534	861	2	2	24	202	559	2	860	9	9	0	1144	0	1727	1	2
GTEX-1JN76	50	566	1227	2	0	17	74	678	14	1221	52	6	3	1350	4	1978	0	5
GTEX-X4XX	140	1033	1610	4	6	37	203	1223	47	1708	23	2	3	1948	0	3287	0	11
GTEX-1RQEC	83	1570	1578	1	2	47	110	1764	5	1599	104	12	1	1907	1	3800	1	9
