individual	chr7:66993417:66994212:cluster13936	chr7:66993417:66994220:cluster13936	chr7:66993417:66995290:cluster13936	chr7:66994341:66995290:cluster13936
GTEX-WYJK	707	138	5	419
GTEX-1IDJC	981	0	0	569
GTEX-132NY	942	0	0	543
GTEX-139TU	1343	0	0	740
GTEX-YB5E	908	0	0	539
GTEX-1QW4Y	1075	1	2	626
GTEX-1KD4Q	932	0	0	522
GTEX-12WSM	694	0	1	373
GTEX-15EO6	1545	1	0	888
GTEX-YF7O	1323	0	0	772
GTEX-WHPG	957	0	1	512
GTEX-1AX8Z	808	0	0	454
GTEX-14A6H	862	0	0	486
GTEX-11EQ9	1047	0	1	561
GTEX-13W46	561	0	0	333
GTEX-13OW5	565	0	0	306
GTEX-16MTA	926	0	1	545
GTEX-ZQG8	735	0	1	452
GTEX-U3ZG	340	0	0	193
GTEX-1K9T9	435	0	1	254
GTEX-14C38	969	0	0	563
GTEX-1C475	1529	0	0	915
GTEX-XBED	817	0	0	469
GTEX-ZF28	743	0	1	444
GTEX-14BMV	842	0	0	507
GTEX-U4B1	839	0	1	482
GTEX-146FR	1228	0	2	667
GTEX-1AX9I	922	0	0	545
GTEX-17F96	1100	0	2	612
GTEX-1B8KE	712	0	0	404
GTEX-ZVT2	878	0	0	518
GTEX-R55D	1123	0	0	646
GTEX-1JN76	1654	1	0	920
GTEX-1RQEC	1417	0	0	833
GTEX-Y5V5	1476	0	3	819
GTEX-1C64N	791	1	1	480
GTEX-16YQH	853	0	0	466
GTEX-S33H	922	0	1	514
GTEX-ZPIC	1288	0	0	721
GTEX-15SHU	1141	0	1	627
GTEX-T5JW	1251	0	2	678
GTEX-1LC47	1524	0	0	836
GTEX-11DXX	1402	0	0	815
GTEX-12ZZZ	467	0	0	268
GTEX-ZDXO	826	0	1	466
GTEX-1I6K7	1535	0	1	924
GTEX-131XW	741	0	1	435
GTEX-1399R	796	1	0	464
GTEX-15UF7	2124	0	1	1160
GTEX-P4PP	464	0	1	271
GTEX-1PPGY	1379	0	0	803
GTEX-13CF2	688	0	0	390
GTEX-13RTK	610	0	0	358
GTEX-ZXG5	963	0	0	555
GTEX-1OFPY	786	0	0	434
GTEX-1F75B	1007	1	1	610
GTEX-11NUK	614	0	0	364
GTEX-131YS	780	0	1	468
GTEX-14PJN	810	0	0	467
GTEX-147F4	759	1	0	426
GTEX-1GZ2Q	702	0	0	390
GTEX-OIZI	991	0	0	574
GTEX-18A7B	1215	0	1	741
GTEX-145LU	728	0	0	406
GTEX-1NUQO	2040	0	0	1158
GTEX-ZUA1	699	0	0	406
GTEX-1PPH7	1060	0	0	608
GTEX-1212Z	1272	0	2	761
GTEX-WK11	1128	0	1	692
GTEX-1RAZR	1534	0	2	842
GTEX-Y8DK	1112	0	0	666
GTEX-OHPL	909	0	0	541
GTEX-1QPFJ	618	0	0	339
GTEX-ZYFG	763	0	1	428
GTEX-1N2DW	1088	0	0	648
GTEX-PLZ5	328	0	0	186
GTEX-U8T8	1085	0	0	646
GTEX-ZF2S	1025	0	2	595
GTEX-1QP9N	1108	0	0	656
GTEX-11ZUS	800	0	1	452
GTEX-1B97J	1627	0	1	885
GTEX-P44G	520	0	0	299
GTEX-14LZ3	558	0	0	319
GTEX-13O3Q	574	0	1	319
GTEX-139UW	1183	0	0	663
GTEX-13N2G	2137	0	0	1245
GTEX-146FQ	859	0	1	469
GTEX-13QBU	1498	0	0	830
GTEX-13U4I	376	0	0	222
GTEX-13G51	585	0	0	324
GTEX-ZDTS	720	0	1	438
GTEX-1A3MX	1680	0	1	946
GTEX-PLZ4	209	0	0	123
GTEX-11GSO	836	0	0	479
GTEX-WRHK	1789	0	1	997
GTEX-13FTW	773	0	1	465
GTEX-1339X	1317	1	0	792
GTEX-1C6VR	571	0	0	328
GTEX-QV44	833	0	1	455
GTEX-11OF3	733	0	0	437
GTEX-1R46S	1014	0	2	578
GTEX-ZV68	766	0	0	445
GTEX-1P4AB	694	0	1	385
GTEX-1CB4F	712	0	0	408
GTEX-17EVQ	1277	0	2	765
GTEX-PWCY	1163	0	1	703
GTEX-14BIL	1154	0	0	682
GTEX-18A67	953	0	2	545
GTEX-1GMRU	921	0	0	512
GTEX-1A3MW	896	0	1	529
GTEX-OIZH	1000	0	2	598
GTEX-1AMFI	755	0	1	429
GTEX-1R9PM	457	0	0	265
GTEX-18D9U	1355	0	0	770
GTEX-1LVA9	710	0	0	410
GTEX-1192X	632	0	0	366
GTEX-15D79	836	0	0	487
GTEX-13OVH	1433	0	0	805
GTEX-U3ZN	2568	3	0	1436
GTEX-11ZTS	571	0	0	321
GTEX-117YW	1019	0	0	609
GTEX-111VG	813	0	0	451
GTEX-1AX9J	1624	0	0	896
GTEX-1QEPI	1518	0	0	909
GTEX-11EI6	623	0	0	360
GTEX-15RIF	1365	1	1	839
GTEX-V955	1548	0	2	907
GTEX-1IDJF	1185	1	0	702
GTEX-183WM	407	0	0	218
GTEX-RTLS	574	0	0	337
GTEX-OXRP	313	0	0	189
GTEX-14E6D	1051	0	0	616
GTEX-1S82Y	1090	0	0	628
GTEX-18A66	789	0	0	473
GTEX-15CHC	390	0	0	226
GTEX-1QCLZ	1950	0	1	1176
GTEX-1RB15	808	0	0	485
GTEX-PLZ6	460	0	0	274
GTEX-YB5K	1258	0	0	720
GTEX-1PDJ9	1377	0	2	770
GTEX-13SLW	468	0	0	275
GTEX-16GPK	661	0	0	397
GTEX-15CHR	646	0	0	383
GTEX-132Q8	469	0	0	274
GTEX-13OW8	746	0	0	432
GTEX-R55G	758	0	0	457
GTEX-13X6H	1082	1	1	661
GTEX-12WSG	523	0	1	284
GTEX-144GM	780	0	0	448
GTEX-133LE	953	0	2	523
GTEX-1R9PO	1339	0	0	740
GTEX-1K2DU	1646	0	1	967
GTEX-14PII	620	0	0	359
GTEX-ZPCL	899	0	1	490
GTEX-1LG7Z	1192	0	1	719
GTEX-RWSA	621	0	0	373
GTEX-1R7EU	781	0	0	434
GTEX-1A8G6	861	0	0	517
GTEX-SNMC	1279	1	0	710
GTEX-T6MN	351	0	0	202
GTEX-18465	1097	0	0	605
GTEX-1QP66	1504	0	1	889
GTEX-147JS	773	0	0	431
GTEX-15SB6	969	0	1	567
GTEX-14PJ6	1268	0	0	707
GTEX-1MCQQ	952	0	1	517
GTEX-1CB4E	712	0	0	426
GTEX-14PJM	886	0	2	524
GTEX-1B8KZ	737	0	0	400
GTEX-139YR	1329	1	2	777
GTEX-15SKB	1007	0	0	564
GTEX-ZVZP	913	0	1	549
GTEX-11ONC	831	0	0	454
GTEX-WY7C	1229	0	0	677
GTEX-14LLW	871	0	1	475
GTEX-12WSL	1198	0	1	650
GTEX-1GMR8	909	0	0	506
GTEX-1GPI6	645	0	1	364
GTEX-1GN1U	627	0	1	358
GTEX-111YS	1052	1	0	621
GTEX-13111	886	0	1	522
GTEX-XMD2	518	0	0	304
GTEX-144FL	537	0	0	296
GTEX-14JG1	823	0	0	480
GTEX-17JCI	819	0	0	493
GTEX-1JJ6O	1082	0	0	618
GTEX-WRHU	881	1	0	488
GTEX-13OVG	1390	1	1	786
GTEX-12WSA	591	0	0	329
GTEX-14XAO	994	0	1	546
GTEX-1GN2E	577	0	1	342
GTEX-13D11	1005	0	0	572
GTEX-14C39	1822	0	0	1080
GTEX-12WSF	611	0	1	349
GTEX-1R9JW	1641	0	3	949
GTEX-11O72	881	0	1	505
GTEX-RM2N	508	0	0	277
GTEX-14DAQ	1007	0	0	604
GTEX-1S82U	1736	0	0	1014
GTEX-15RIE	809	0	1	444
GTEX-1GF9V	871	0	0	491
GTEX-12WSN	885	0	0	526
GTEX-146FH	1073	1	1	618
GTEX-RUSQ	227	0	0	124
GTEX-U3ZH	894	0	0	497
GTEX-YFC4	671	0	0	396
GTEX-14BIM	903	0	0	535
GTEX-17F98	682	0	0	386
GTEX-Y5V6	1316	1	0	727
GTEX-1GTWX	1628	0	0	958
GTEX-111CU	929	0	1	525
GTEX-ZF29	1884	0	0	1099
GTEX-13NZB	626	0	1	366
GTEX-13PVQ	854	0	1	502
GTEX-Z9EW	694	0	1	371
GTEX-1QP67	885	0	0	507
GTEX-ZVT3	591	0	0	352
GTEX-S95S	548	0	0	305
GTEX-1QP28	1077	0	0	587
GTEX-XV7Q	577	0	1	329
