individual	chr5:79745455:79747091:cluster29018	chr5:79745455:79752676:cluster29018	chr5:79747113:79752658:cluster29018	chr5:79747113:79752676:cluster29018	chr5:79747113:79758753:cluster29018	chr5:79752794:79758753:cluster29018
GTEX-XBEW	5637	7	11	4838	140	5960
GTEX-139TU	4463	3	15	3980	1	4991
GTEX-UPJH	3463	6	9	3105	0	3950
GTEX-14JIY	3228	3	11	2766	0	3809
GTEX-147F3	2101	6	3	1735	0	2282
GTEX-YEC4	3210	10	11	2664	0	3653
GTEX-SUCS	6204	8	24	5745	0	7565
GTEX-1QW4Y	4141	8	6	3603	0	4753
GTEX-12WSM	2143	6	6	1976	0	2578
GTEX-15EO6	6404	4	26	5629	2	7198
GTEX-14PJO	3162	7	19	2847	0	3639
GTEX-1KXAM	7421	21	28	6342	3	8622
GTEX-14A6H	3995	8	17	3616	0	4790
GTEX-11EQ9	3311	9	14	2929	0	3633
GTEX-13OVJ	3156	18	10	2875	0	3684
GTEX-13W46	4494	9	10	4086	0	5413
GTEX-16MTA	5863	8	22	5367	0	6731
GTEX-ZQG8	4072	7	8	3656	0	4550
GTEX-1K9T9	2810	9	8	2380	0	3395
GTEX-1GN1V	3658	3	8	3170	0	4213
GTEX-14C38	2340	2	10	2054	0	2557
GTEX-XPT6	5795	6	17	4817	0	6460
GTEX-146FR	6397	20	21	5701	0	7588
GTEX-1AX9I	2936	5	6	2609	0	3501
GTEX-1B8KE	5331	7	13	4716	0	6287
GTEX-1KANA	5192	7	19	4406	0	6138
GTEX-1JN76	3335	7	13	2821	1	4050
GTEX-ZPIC	2700	2	5	2476	0	3118
GTEX-SIU8	3556	4	12	2948	0	4127
GTEX-15SHU	4224	4	7	3800	0	5092
GTEX-17MFQ	2529	3	5	2180	0	2871
GTEX-11TTK	3587	7	12	3259	0	4402
GTEX-14753	5103	22	11	4493	0	5580
GTEX-11DXX	5298	25	17	4682	2	6111
GTEX-13PL6	2487	9	6	2178	0	2721
GTEX-13FTX	5138	9	22	4806	0	6270
GTEX-RWS6	4786	17	17	4311	2	5471
GTEX-1I6K7	4507	12	12	3870	0	4990
GTEX-15UF7	6406	30	34	5502	2	7179
GTEX-13RTK	5340	10	30	4600	0	6060
GTEX-PWN1	2796	6	11	2510	0	3121
GTEX-1A32A	3241	3	4	2917	0	3859
GTEX-131YS	3353	4	14	2991	0	3687
GTEX-XQ8I	3478	7	14	3109	0	3850
GTEX-147F4	3828	3	6	3458	0	4450
GTEX-13W3W	2776	6	12	2546	0	3369
GTEX-QV31	2921	9	7	2558	0	3528
GTEX-1GZ2Q	2517	4	6	2154	0	3020
GTEX-1313W	3409	7	2	3110	0	4123
GTEX-XQ3S	3107	5	8	2741	0	3494
GTEX-1C6WA	4200	6	10	3789	0	4727
GTEX-XUZC	3345	19	11	3050	0	4095
GTEX-18A7B	5633	13	16	5035	0	6629
GTEX-183FY	4365	12	10	3888	0	4784
GTEX-145LU	3453	4	4	2961	0	3940
GTEX-1LSNL	3422	6	7	2981	1	4096
GTEX-1GF9W	3711	5	8	3247	0	4404
GTEX-18A6Q	4407	8	12	3926	0	5349
GTEX-13FTZ	3501	6	12	2878	0	3924
GTEX-1L5NE	6523	16	16	5600	0	7453
GTEX-X8HC	6023	19	20	5488	0	7202
GTEX-169BO	6876	21	17	6050	1	7770
GTEX-1MCYP	5744	24	22	5152	0	7045
GTEX-16NPX	4350	9	13	3631	0	5120
GTEX-15ETS	8934	23	37	7840	0	9700
GTEX-1F5PL	5234	12	17	4242	0	5790
GTEX-1GPI7	5694	14	11	4919	0	6351
GTEX-1RAZR	4998	9	13	4270	2	5814
GTEX-Y8DK	4668	8	18	4179	0	5216
GTEX-OHPL	5595	14	15	5036	0	6240
GTEX-1ICG6	3828	6	13	3263	1	4524
GTEX-TMMY	14336	64	63	13335	0	16541
GTEX-PLZ5	4671	4	12	4173	0	5337
GTEX-13O3O	4033	7	18	3820	0	4753
GTEX-SN8G	10259	16	62	9336	0	11762
GTEX-1K2DA	12402	29	56	10926	0	14008
GTEX-1LH75	5467	12	16	4708	0	6523
GTEX-ZV6S	5934	32	24	5141	0	6506
GTEX-14BMU	3737	7	11	3277	0	4128
GTEX-1QP9N	3598	10	5	3180	0	4223
GTEX-1B97J	8996	31	37	7750	0	9723
GTEX-1F75A	5064	4	15	4385	0	5940
GTEX-13O3Q	2669	5	7	2390	0	3074
GTEX-139UW	2981	5	9	2680	1	3566
GTEX-13N2G	6076	33	14	5636	1	7126
GTEX-146FQ	3228	6	12	2939	0	3724
GTEX-XGQ4	2834	16	14	2537	0	3232
GTEX-13G51	1993	4	4	1774	0	2174
GTEX-1B97I	3728	8	9	3462	0	4221
GTEX-1A3MX	4921	17	11	4232	1	5848
GTEX-XOT4	4304	11	14	3903	0	5324
GTEX-13FTW	4010	21	10	3589	0	4501
GTEX-QEG5	4863	3	9	4412	0	5604
GTEX-17HII	3912	5	11	3388	0	4674
GTEX-15G1A	5424	29	16	4922	0	6709
GTEX-11OF3	3000	4	6	2708	0	3478
GTEX-17EVQ	3954	19	13	3508	0	4650
GTEX-ZF3C	3423	2	15	3103	0	3966
GTEX-14BIL	4151	9	10	3678	0	4786
GTEX-13FH7	1966	2	7	1724	0	2187
GTEX-OIZH	6878	17	25	6075	0	7728
GTEX-YEC3	3847	20	17	3537	0	4461
GTEX-Y3I4	4085	13	25	3646	0	4623
GTEX-O5YT	9137	20	16	7653	0	10850
GTEX-1AMFI	5669	29	21	4974	0	6794
GTEX-11ZU8	3760	13	14	3343	0	4264
GTEX-S32W	3323	8	7	2964	0	3692
GTEX-18D9U	6638	18	22	5961	1	7534
GTEX-1192X	4827	9	11	4337	0	5371
GTEX-1LSNM	4149	14	18	3564	0	4809
GTEX-15D79	4427	12	17	3829	0	4761
GTEX-1RAZA	7861	22	33	6966	0	9441
GTEX-13OVH	5982	9	15	5362	0	6980
GTEX-U3ZN	7843	38	29	6587	0	9236
GTEX-16MT8	6684	14	15	5835	0	7565
GTEX-ZWKS	2579	8	9	2400	0	3150
GTEX-1AX9J	5935	16	17	5285	0	6815
GTEX-1R9K4	2759	15	10	2442	0	3305
GTEX-YJ8O	2542	3	6	2245	0	2843
GTEX-1QEPI	5162	19	13	4506	0	6155
GTEX-15CHQ	2208	11	7	2028	0	2722
GTEX-1EWIQ	4574	15	15	4141	0	5609
GTEX-Y5LM	2689	7	3	2452	0	3110
GTEX-15RIF	6809	8	26	6221	0	8139
GTEX-XPVG	5325	13	10	4770	0	5999
GTEX-1JN6P	5788	8	13	4935	0	6740
GTEX-P4PQ	2529	4	6	2196	0	2737
GTEX-1GN73	5446	8	12	4561	0	5961
GTEX-11LCK	3024	5	8	2816	0	3760
GTEX-RTLS	2704	11	12	2403	0	3125
GTEX-OXRP	2389	3	4	2213	0	2823
GTEX-1S82Y	7080	9	34	6115	0	7926
GTEX-15CHC	4380	6	18	3872	0	5060
GTEX-13O21	2746	8	5	2263	0	2953
GTEX-1RB15	3892	7	8	3536	0	4795
GTEX-13PVR	3338	18	13	2979	0	4084
GTEX-ZTPG	4009	7	11	3529	0	4464
GTEX-YB5K	3527	11	7	3249	0	3963
GTEX-QDVN	4113	16	19	3836	1	4717
GTEX-13SLW	1086	7	3	935	0	1275
GTEX-1PIEJ	4877	11	19	4315	0	5880
GTEX-15CHR	3197	7	11	2702	0	3829
GTEX-132Q8	2971	15	9	2827	0	3612
GTEX-18A7A	3791	4	3	3345	0	4407
GTEX-ZAK1	3213	3	5	2895	0	3734
GTEX-1GZ4I	5594	11	11	4820	0	6133
GTEX-1QP2A	5062	8	9	4301	0	5964
GTEX-145MH	2928	7	8	2691	0	3372
GTEX-1E2YA	4306	8	12	3943	0	4937
GTEX-16XZY	2685	7	3	2375	0	3230
GTEX-OIZG	6593	11	29	5561	0	7204
GTEX-1F52S	7689	29	33	6850	0	8689
GTEX-12WSG	3285	0	10	2878	0	3861
GTEX-1IDJE	5884	20	19	5080	0	6451
GTEX-144GM	5796	13	22	5172	0	6315
GTEX-1LVAM	4359	4	8	3906	0	5142
GTEX-133LE	3585	6	12	3240	0	4072
GTEX-X5EB	3537	12	13	3191	0	4287
GTEX-1K2DU	5282	14	32	4440	0	6062
GTEX-17HHE	6137	6	27	5503	0	6855
GTEX-ZPCL	5089	9	23	4552	1	5582
GTEX-1LG7Z	6006	20	20	5152	0	7257
GTEX-U3ZM	4968	10	20	4484	0	5488
GTEX-1A8G6	4372	13	10	3925	0	5255
GTEX-14PN4	2877	5	7	2542	0	3214
GTEX-T6MN	1570	5	4	1453	0	1797
GTEX-15SHV	5309	27	14	4588	0	5949
GTEX-13PLJ	1760	3	5	1529	0	2123
GTEX-1128S	5260	10	16	4686	1	5850
GTEX-RN64	3529	3	6	2938	0	3946
GTEX-1QP66	5348	28	20	4628	0	6480
GTEX-1GZHY	3748	5	12	3177	0	4059
GTEX-1JN1M	7505	8	37	6598	0	8467
GTEX-147JS	3205	12	10	2834	0	3598
GTEX-QCQG	5395	17	17	4909	0	6547
GTEX-144GL	3404	11	12	3010	0	3707
GTEX-13RTJ	3393	16	6	3015	2	4056
GTEX-14PJ6	5588	4	28	4926	0	6328
GTEX-1MCQQ	4649	13	8	4056	0	5404
GTEX-1CB4E	3411	9	5	2983	0	4124
GTEX-OXRL	4516	18	12	4098	0	5122
GTEX-14PJM	3008	5	5	2710	0	3364
GTEX-1EH9U	6885	23	24	6096	0	8131
GTEX-1MA7W	5288	17	22	4457	0	6361
GTEX-15SKB	4939	7	12	4313	0	5996
GTEX-11ONC	3225	7	6	2667	0	3616
GTEX-13QIC	2158	7	9	1995	0	2481
GTEX-1GPI6	3917	6	9	3369	0	4475
GTEX-1GN1U	3146	2	11	2767	0	3525
GTEX-X4EO	4395	10	10	4006	0	5063
GTEX-14H4A	3800	5	14	3355	0	4150
GTEX-139TS	4332	6	10	3948	0	4959
GTEX-1CAMQ	4566	7	9	4234	0	5463
GTEX-1B8L1	1985	6	5	1768	0	2272
GTEX-13QJ3	5972	5	14	5251	0	6635
GTEX-ZYFD	1810	3	4	1708	0	2158
GTEX-1PIIG	4333	4	12	3843	0	5136
GTEX-ZVE1	5532	14	15	5049	0	6703
GTEX-11XUK	2869	8	11	2489	0	3253
GTEX-13OVK	4296	9	12	3792	0	4997
GTEX-Y8LW	3337	15	6	2940	1	3706
GTEX-1GN2E	2525	2	5	2251	0	2865
GTEX-14E6E	4563	11	20	3945	0	5040
GTEX-ZP4G	5374	15	22	4497	1	6146
GTEX-14C39	4469	16	17	3914	0	5372
GTEX-147GR	2393	2	9	2052	0	2736
GTEX-11P81	2951	3	6	2694	0	3409
GTEX-1R9K5	6923	21	42	5999	0	7828
GTEX-1CB4I	5943	28	19	5393	0	6640
GTEX-1399S	4149	15	9	3431	0	4672
GTEX-P4QT	6237	6	27	5378	0	6942
GTEX-Q734	5466	15	11	4614	0	6229
GTEX-1A8G7	2088	7	6	1839	0	2384
GTEX-1B932	5458	26	15	4901	0	6088
GTEX-WFG7	2793	4	11	2483	0	3397
GTEX-1RAZQ	6533	13	22	5887	1	7970
GTEX-13FHO	2554	3	6	2339	0	2888
GTEX-146FH	1768	2	6	1469	0	2019
GTEX-1JKYR	5088	25	10	4314	0	5721
GTEX-17F98	4280	19	25	3649	0	4960
GTEX-Y5V6	3251	7	8	2680	0	3648
GTEX-ZF29	8233	15	34	7183	0	9812
GTEX-17F97	4434	7	13	3953	0	5498
GTEX-ZVE2	4931	11	10	4518	0	5537
GTEX-11GS4	1992	2	5	1659	0	2227
GTEX-S95S	2257	6	7	2110	0	2787
GTEX-1QP28	3561	8	8	3157	0	4218
