individual	chr10:124682379:124686807:cluster4891	chr10:124682379:124696158:cluster4891	chr10:124682379:124706636:cluster4891	chr10:124696212:124706388:cluster4891	chr10:124696212:124706636:cluster4891
GTEX-X4XX	0	70	3	19	38
GTEX-1IDJC	1	134	9	0	128
GTEX-14ABY	0	41	3	0	45
GTEX-13OVL	0	29	3	0	28
GTEX-139TU	0	45	2	0	41
GTEX-ZYY3	0	26	2	0	28
GTEX-14JIY	0	38	3	0	42
GTEX-YEC4	0	148	14	0	161
GTEX-Y8E4	0	59	4	0	50
GTEX-1KD4Q	0	49	4	0	47
GTEX-15EO6	0	53	5	0	63
GTEX-YF7O	0	157	12	0	155
GTEX-13X6I	0	19	1	0	24
GTEX-13PL7	0	131	9	0	146
GTEX-11EQ9	0	88	6	0	88
GTEX-ZQG8	0	52	6	0	51
GTEX-13NZA	0	30	4	0	32
GTEX-ZF28	0	56	3	0	64
GTEX-1AX9I	0	43	3	0	49
GTEX-14JG6	0	70	4	0	66
GTEX-R55D	0	294	21	0	302
GTEX-1RQEC	0	44	4	0	53
GTEX-16YQH	0	37	4	0	43
GTEX-14PQA	0	38	4	0	39
GTEX-S33H	0	64	6	0	83
GTEX-1CB4G	0	22	3	0	28
GTEX-P78B	0	55	7	0	64
GTEX-1122O	1	203	10	0	213
GTEX-15SHU	0	33	3	0	39
GTEX-14753	0	38	5	0	40
GTEX-13PL6	0	42	4	0	40
GTEX-12ZZZ	0	14	1	0	15
GTEX-13FTX	0	132	10	0	126
GTEX-15UF6	0	23	2	0	22
GTEX-RWS6	0	78	4	0	79
GTEX-ZDXO	0	18	1	0	20
GTEX-1399R	0	28	3	0	33
GTEX-15UF7	0	52	3	0	59
GTEX-1PPGY	0	49	5	0	50
GTEX-13CF2	0	22	3	0	21
GTEX-13RTK	0	97	8	0	100
GTEX-1A32A	0	43	3	0	45
GTEX-1OFPY	0	63	5	0	81
GTEX-11NUK	0	35	3	0	30
GTEX-XQ8I	0	34	1	0	35
GTEX-1AX9K	0	118	7	0	133
GTEX-1B933	0	24	2	0	21
GTEX-11VI4	0	117	11	1	136
GTEX-12ZZY	0	25	3	0	24
GTEX-1GMR3	0	33	2	0	31
GTEX-XBEW	0	113	8	0	115
GTEX-13X6J	0	61	3	0	57
GTEX-1LNCM	0	18	1	0	21
GTEX-ZLV1	1	160	10	0	183
GTEX-OHPN	0	12	0	0	13
GTEX-18A6Q	0	43	2	0	40
GTEX-13FTZ	0	27	3	0	26
GTEX-1I4MK	0	108	8	0	133
GTEX-11EM3	0	149	17	0	156
GTEX-1MCYP	0	153	15	0	151
GTEX-131XG	0	105	6	0	110
GTEX-15ETS	0	129	7	0	138
GTEX-1212Z	0	49	5	0	48
GTEX-WK11	0	52	7	0	54
GTEX-ZYFG	0	82	6	0	78
GTEX-TMMY	0	161	9	0	166
GTEX-13O3O	0	49	3	0	50
GTEX-WEY5	0	182	15	0	203
GTEX-1QP9N	0	86	6	0	86
GTEX-1B97J	1	242	16	1	265
GTEX-1F75A	0	51	6	0	52
GTEX-13O3Q	0	35	4	0	42
GTEX-13QBU	0	189	19	0	229
GTEX-XGQ4	0	32	3	0	32
GTEX-13U4I	0	41	2	0	37
GTEX-RNOR	0	15	1	0	16
GTEX-XOT4	0	34	3	0	42
GTEX-17GQL	0	192	20	0	220
GTEX-1FIGZ	0	83	9	0	105
GTEX-OXRK	0	100	9	0	121
GTEX-WRHK	0	124	10	0	146
GTEX-11ZVC	0	13	2	0	16
GTEX-PWCY	0	114	8	0	121
GTEX-1GMRU	0	39	3	0	40
GTEX-13FH7	0	67	5	0	66
GTEX-Y3I4	0	72	4	0	73
GTEX-1269C	0	26	4	0	32
GTEX-11ZU8	0	21	1	0	28
GTEX-1LSNM	0	111	8	0	134
GTEX-15D79	0	45	6	0	48
GTEX-1EU9M	0	25	3	0	30
GTEX-T2IS	0	39	3	0	38
GTEX-145MO	0	36	2	0	46
GTEX-16BQI	0	128	15	0	139
GTEX-16MT8	0	101	10	0	116
GTEX-111VG	0	51	3	0	47
GTEX-1F6IF	0	28	3	0	38
GTEX-1R9K4	0	25	3	0	27
GTEX-OOBK	0	21	3	0	29
GTEX-Y5LM	0	32	1	0	34
GTEX-1M5QR	0	155	11	0	164
GTEX-ZT9X	0	110	7	0	119
GTEX-P4PQ	0	168	13	0	169
GTEX-14E6D	0	47	5	0	43
GTEX-1S82Y	0	41	5	0	45
GTEX-1RB15	0	40	2	0	41
GTEX-1314G	0	26	2	0	35
GTEX-PLZ6	0	45	6	0	57
GTEX-1399U	0	83	9	0	96
GTEX-YB5K	0	71	4	0	82
GTEX-1PDJ9	0	115	8	0	126
GTEX-16GPK	0	46	4	0	40
GTEX-13112	0	24	3	0	27
GTEX-1GZ4I	0	40	3	0	40
GTEX-16XZY	0	24	3	0	23
GTEX-12WSG	0	28	2	0	26
GTEX-1F5PK	0	87	7	0	79
GTEX-12WSJ	0	148	15	0	145
GTEX-N7MS	0	22	1	0	27
GTEX-1IDJE	0	37	5	0	41
GTEX-1LVAM	0	54	5	0	56
GTEX-133LE	0	45	3	0	47
GTEX-1R9PO	0	50	5	0	63
GTEX-ZAB4	0	19	3	0	19
GTEX-17HHE	0	48	3	0	47
GTEX-RWSA	0	24	2	0	24
GTEX-WFON	0	117	8	0	135
GTEX-SNMC	0	66	6	0	68
GTEX-T6MN	0	13	1	0	12
GTEX-15SHV	0	191	13	0	218
GTEX-13PLJ	0	11	1	0	11
GTEX-18465	0	31	4	0	34
GTEX-1128S	0	39	2	0	47
GTEX-RN64	0	24	3	0	23
GTEX-1GZHY	0	41	4	0	52
GTEX-1JN1M	0	23	3	0	31
GTEX-QVJO	0	12	1	0	8
GTEX-QCQG	0	150	10	0	150
GTEX-R55C	0	45	4	0	51
GTEX-1MCQQ	0	49	5	0	47
GTEX-14PJM	0	28	2	0	31
GTEX-15SKB	0	86	6	0	82
GTEX-11ONC	0	31	1	0	32
GTEX-13QIC	0	26	3	0	24
GTEX-1GPI6	0	17	1	0	17
GTEX-Z93S	0	38	3	0	39
GTEX-X4EO	0	44	4	0	42
GTEX-14PK6	0	53	4	0	58
GTEX-1O9I2	0	28	3	0	28
GTEX-1CAMQ	0	13	1	0	18
GTEX-XMD2	0	22	2	0	20
GTEX-13QJ3	0	46	4	0	48
GTEX-ZA64	0	114	13	0	118
GTEX-1PIIG	0	46	4	0	61
GTEX-17JCI	0	41	6	0	46
GTEX-1F88F	0	17	1	0	18
GTEX-ZZPU	0	102	6	0	100
GTEX-13D11	0	42	3	0	53
GTEX-ZVT4	0	29	2	0	25
GTEX-1R9K5	0	42	3	0	36
GTEX-1CB4I	0	90	8	0	97
GTEX-SE5C	0	121	7	0	111
GTEX-QESD	0	16	2	0	18
GTEX-1399S	0	75	4	0	80
GTEX-Q734	0	45	2	0	44
GTEX-1A8G7	0	39	4	0	46
GTEX-1EX96	0	21	2	0	18
GTEX-WFG7	0	97	11	0	111
GTEX-ZEX8	0	58	8	0	65
GTEX-15RIE	0	93	5	0	100
GTEX-1RAZQ	0	131	7	0	147
GTEX-WFG8	0	91	6	0	94
GTEX-13FHO	0	23	2	0	25
GTEX-146FH	0	74	6	0	81
GTEX-U3ZH	0	27	1	0	30
