individual	chr4:4274769:4279447:cluster37608	chr4:4274769:4279480:cluster37608
GTEX-1C4CL	17	25
GTEX-1IDJD	292	0
GTEX-1IDJC	39	0
GTEX-132NY	17	0
GTEX-14ABY	19	0
GTEX-13OVL	40	0
GTEX-139TU	48	0
GTEX-ZYY3	36	0
GTEX-UPJH	10	0
GTEX-11P82	34	0
GTEX-QEG4	25	0
GTEX-14JIY	58	0
GTEX-R55E	31	0
GTEX-147F3	39	0
GTEX-YEC4	18	0
GTEX-YB5E	60	0
GTEX-SUCS	103	0
GTEX-ZYT6	20	0
GTEX-1QW4Y	56	0
GTEX-Y8E4	68	0
GTEX-1KD4Q	36	0
GTEX-12WSM	14	0
GTEX-15EO6	51	0
GTEX-YF7O	36	0
GTEX-1QMI2	26	0
GTEX-13X6I	32	0
GTEX-14PJO	48	0
GTEX-WHPG	62	0
GTEX-1CAMR	53	0
GTEX-1KXAM	70	0
GTEX-14A6H	50	0
GTEX-11EQ9	38	0
GTEX-13OVJ	35	0
GTEX-13W46	35	0
GTEX-13OW5	28	0
GTEX-16MTA	45	0
GTEX-ZQG8	30	0
GTEX-1F88E	35	0
GTEX-U3ZG	27	0
GTEX-139T4	37	0
GTEX-1K9T9	20	0
GTEX-13NZA	28	0
GTEX-1GN1V	36	0
GTEX-1C475	19	0
GTEX-XBED	24	0
GTEX-ZF28	47	0
GTEX-14BMV	29	0
GTEX-U4B1	32	0
GTEX-1F75W	21	0
GTEX-146FR	46	0
GTEX-1AX9I	22	0
GTEX-17F96	71	0
GTEX-1B8KE	37	0
GTEX-ZVT2	49	0
GTEX-1KANA	31	0
GTEX-R55D	52	0
GTEX-X4XX	51	0
GTEX-1RQEC	56	0
GTEX-Y5V5	76	0
GTEX-1S5VW	48	0
GTEX-1C64N	49	0
GTEX-16YQH	28	0
GTEX-14PQA	68	0
GTEX-S33H	73	0
GTEX-13JVG	29	0
GTEX-ZPIC	21	0
GTEX-1CB4G	39	0
GTEX-SIU8	35	0
GTEX-P78B	54	0
GTEX-13S7M	15	0
GTEX-1122O	52	0
GTEX-ZAB5	57	0
GTEX-1LB8K	21	0
GTEX-15SHU	57	0
GTEX-17MFQ	37	0
GTEX-11TTK	31	0
GTEX-T5JW	46	0
GTEX-TMZS	9	0
GTEX-1LC47	79	0
GTEX-14753	29	0
GTEX-11DXX	92	0
GTEX-139T6	53	0
GTEX-1MJK3	67	0
GTEX-13PL6	20	0
GTEX-12ZZZ	35	0
GTEX-13FTX	75	0
GTEX-14DAR	38	0
GTEX-15UF6	39	0
GTEX-RWS6	34	0
GTEX-ZDXO	42	0
GTEX-1I6K7	24	0
GTEX-131XW	15	0
GTEX-11EMC	29	0
GTEX-1399R	28	0
GTEX-X4XY	166	0
GTEX-15UF7	77	0
GTEX-113JC	36	0
GTEX-P4PP	27	0
GTEX-1PPGY	34	0
GTEX-13CF2	26	0
GTEX-13RTK	41	0
GTEX-ZXG5	47	0
GTEX-1CB4H	29	0
GTEX-PWN1	20	0
GTEX-1A32A	22	0
GTEX-1C6VQ	32	0
GTEX-14PJ4	31	0
GTEX-1OFPY	44	0
GTEX-1F75B	48	0
GTEX-1QP6S	27	0
GTEX-11NUK	39	0
GTEX-131YS	28	0
GTEX-14PJN	43	0
GTEX-12696	37	0
GTEX-XQ8I	50	0
GTEX-147F4	22	0
GTEX-13W3W	55	0
GTEX-QV31	21	0
GTEX-1AX9K	38	0
GTEX-1B933	22	0
GTEX-11VI4	78	0
GTEX-XUW1	17	0
GTEX-WZTO	37	0
GTEX-1GZ2Q	38	0
GTEX-1313W	28	0
