individual	chr14:74480288:74480686:cluster63659	chr14:74480288:74480702:cluster63659	chr14:74480288:74484415:cluster63659	chr14:74480779:74484415:cluster63659
GTEX-QDVN	34	98	20	159
GTEX-1IDJD	0	176	0	169
GTEX-132NY	0	217	0	202
GTEX-13OVL	0	148	0	134
GTEX-139TU	0	147	0	138
GTEX-ZYY3	0	241	0	235
GTEX-14JIY	0	143	0	129
GTEX-R55E	0	77	0	70
GTEX-147F3	0	106	0	102
GTEX-YEC4	0	112	0	100
GTEX-YB5E	0	172	0	160
GTEX-SUCS	0	154	0	151
GTEX-ZYT6	0	91	0	82
GTEX-1KD4Q	0	158	0	146
GTEX-12WSM	0	90	0	87
GTEX-YF7O	0	120	0	120
GTEX-1QMI2	0	174	0	163
GTEX-13PL7	0	130	0	121
GTEX-11EQ9	0	115	0	113
GTEX-1F88E	0	199	0	196
GTEX-1K9T9	0	124	0	111
GTEX-13NZA	0	94	0	95
GTEX-1GN1V	0	185	0	183
GTEX-ZF28	0	222	0	199
GTEX-1F75W	0	213	0	206
GTEX-1S5VW	0	119	0	106
GTEX-ZPIC	0	129	0	124
GTEX-13S7M	0	55	0	55
GTEX-1122O	0	83	0	84
GTEX-17MFQ	0	105	0	104
GTEX-11TTK	0	148	0	134
GTEX-1LC47	0	297	0	283
GTEX-14753	0	57	0	59
GTEX-11DXX	0	108	0	105
GTEX-1MJK3	0	85	0	82
GTEX-15UF6	0	179	0	182
GTEX-11EMC	0	105	0	102
GTEX-X4XY	0	111	0	98
GTEX-113JC	0	71	0	68
GTEX-P4PP	0	211	0	196
GTEX-1CB4H	0	205	0	189
GTEX-1OFPY	0	136	0	131
GTEX-QV31	0	53	0	55
GTEX-XUW1	0	99	0	101
GTEX-1GZ2Q	0	101	0	101
GTEX-XQ3S	0	70	0	66
GTEX-XUZC	0	80	0	77
GTEX-18A7B	0	288	0	270
GTEX-R53T	0	167	0	168
GTEX-183FY	0	135	0	127
GTEX-1LNCM	0	81	0	81
GTEX-ZDYS	0	110	0	112
GTEX-OHPN	0	887	0	832
GTEX-ZUA1	0	108	0	111
GTEX-1GF9W	0	132	0	121
GTEX-18A6Q	0	165	0	152
GTEX-13FTZ	0	89	0	84
GTEX-17EUY	0	135	0	120
GTEX-1I4MK	0	153	0	153
GTEX-X8HC	0	251	0	246
GTEX-13FTY	0	173	0	169
GTEX-16NPX	0	128	0	131
GTEX-1PPH7	0	124	0	120
GTEX-1212Z	0	114	0	105
GTEX-1GPI7	0	97	0	100
GTEX-1S82P	0	112	0	99
GTEX-1QPFJ	0	335	0	319
GTEX-1211K	0	105	0	102
GTEX-1ICG6	0	138	0	138
GTEX-PLZ5	0	88	0	87
GTEX-U8T8	0	109	0	110
GTEX-T5JC	0	176	0	160
GTEX-ZF2S	0	202	0	189
GTEX-ZV6S	0	123	0	113
GTEX-WEY5	0	239	0	222
GTEX-11ZUS	0	91	0	86
GTEX-1F75A	0	223	0	217
GTEX-P44G	0	90	0	81
GTEX-146FQ	0	539	0	517
GTEX-XGQ4	0	97	0	91
GTEX-13U4I	0	191	0	173
GTEX-13G51	0	122	0	123
GTEX-WYJK	0	142	0	139
GTEX-1A3MX	0	176	0	174
GTEX-WRHK	0	283	0	280
GTEX-QEG5	0	127	0	121
GTEX-1E1VI	0	109	0	111
GTEX-11ZVC	0	255	0	238
GTEX-1339X	0	110	0	110
GTEX-13RTL	0	338	0	315
GTEX-ZZ64	0	130	0	132
GTEX-QV44	0	95	0	96
GTEX-1R46S	0	137	0	136
GTEX-1P4AB	0	224	0	217
GTEX-11UD2	0	87	0	80
GTEX-1CB4F	0	154	0	149
GTEX-17EVQ	0	526	0	530
GTEX-SJXC	0	245	0	243
GTEX-1A3MW	0	182	0	162
GTEX-X261	0	89	0	91
GTEX-13FH7	0	83	0	77
GTEX-Y3I4	0	123	0	126
GTEX-1AMFI	0	85	0	85
GTEX-1R9PM	0	161	0	154
GTEX-1192X	0	123	0	117
GTEX-1MUQO	0	117	0	110
GTEX-15D79	0	122	0	110
GTEX-U3ZN	0	378	0	379
GTEX-T2IS	0	205	0	195
GTEX-145MO	0	112	0	114
GTEX-13N1W	0	86	0	84
GTEX-16MT8	0	367	0	352
GTEX-1F6IF	0	189	0	173
GTEX-1F7RK	0	141	0	125
GTEX-YJ8O	0	83	0	82
GTEX-1QEPI	0	345	0	328
GTEX-15CHQ	0	155	0	138
GTEX-Y9LG	0	185	0	176
GTEX-11EI6	0	121	0	112
GTEX-1A8FM	0	165	0	164
GTEX-1M5QR	0	125	0	111
GTEX-XPVG	0	165	0	156
GTEX-1JN6P	0	123	0	115
GTEX-1AMEY	0	164	0	168
GTEX-1IDJF	0	201	0	181
GTEX-1GN73	0	211	0	193
GTEX-183WM	0	302	0	291
GTEX-11LCK	0	94	0	91
GTEX-1S82Y	0	321	0	302
GTEX-13O21	0	116	0	116
GTEX-PLZ6	0	54	0	47
GTEX-1399U	0	94	0	83
GTEX-YB5K	0	75	0	76
GTEX-1PDJ9	0	180	0	177
GTEX-QVUS	0	145	0	132
GTEX-15CHR	0	206	0	208
GTEX-132Q8	0	171	0	165
GTEX-13112	0	101	0	90
GTEX-WOFL	0	540	0	502
GTEX-R55G	0	55	0	51
GTEX-1E2YA	0	135	0	122
GTEX-13X6H	0	168	0	165
GTEX-OIZG	0	143	0	127
GTEX-12WSJ	0	85	0	88
GTEX-1A3MV	0	119	0	112
GTEX-1IDJE	0	281	0	260
GTEX-144GM	0	126	0	125
GTEX-1LVAM	0	121	0	122
GTEX-133LE	0	76	0	76
GTEX-1R9PO	0	192	0	181
GTEX-X5EB	0	75	0	69
GTEX-1K2DU	0	208	0	186
GTEX-15ER7	0	304	0	281
GTEX-T8EM	0	290	0	261
GTEX-1LG7Z	0	359	0	340
GTEX-1R7EU	0	341	0	310
GTEX-1C4CL	0	131	0	129
GTEX-WFON	0	149	0	139
GTEX-T6MN	0	48	0	43
GTEX-15SHV	0	96	0	97
GTEX-18465	0	149	0	143
GTEX-1JN1M	0	236	0	241
GTEX-QVJO	0	73	0	64
GTEX-QCQG	0	100	0	89
GTEX-13RTJ	0	259	0	260
GTEX-1MCQQ	0	190	0	181
GTEX-1GF9U	0	209	0	213
GTEX-1CB4E	0	88	0	80
GTEX-11NSD	0	82	0	81
GTEX-1B8KZ	0	292	0	274
GTEX-139YR	0	171	0	161
GTEX-15SKB	0	137	0	140
GTEX-U8XE	0	56	0	56
GTEX-11ONC	0	122	0	115
GTEX-WY7C	0	153	0	154
GTEX-14LLW	0	205	0	188
GTEX-VUSG	0	333	0	326
GTEX-Z93S	0	122	0	115
GTEX-X4EO	0	177	0	158
GTEX-13111	0	84	0	82
GTEX-14H4A	0	82	0	81
GTEX-144FL	0	434	0	418
GTEX-1B8L1	0	78	0	79
GTEX-13QJ3	0	184	0	183
GTEX-ZA64	0	125	0	112
GTEX-11XUK	0	146	0	130
GTEX-1JJ6O	0	118	0	108
GTEX-Y8LW	0	171	0	175
GTEX-13OVG	0	163	0	153
GTEX-YECK	0	231	0	235
GTEX-1F88F	0	179	0	178
GTEX-12WSA	0	262	0	235
GTEX-14XAO	0	205	0	203
GTEX-1GN2E	0	85	0	84
GTEX-13D11	0	182	0	172
GTEX-15DZA	0	220	0	220
GTEX-14C39	0	113	0	101
GTEX-147GR	0	109	0	104
GTEX-1F48J	0	318	0	320
GTEX-1CB4I	0	110	0	106
GTEX-QESD	0	53	0	49
GTEX-1399S	0	101	0	100
GTEX-11O72	0	125	0	120
GTEX-WWTW	0	331	0	329
