individual	chr2:73250438:73251226:cluster20598	chr2:73250438:73252640:cluster20598	chr2:73251432:73252640:cluster20598
GTEX-1C4CL	482	51	459
GTEX-14ABY	365	2	407
GTEX-13OVL	293	0	325
GTEX-ZYY3	732	1	789
GTEX-147F3	348	0	384
GTEX-SUCS	520	2	589
GTEX-Y8E4	717	3	758
GTEX-YF7O	402	0	434
GTEX-13X6I	401	0	436
GTEX-14PJO	413	0	455
GTEX-WHPG	516	0	540
GTEX-1KXAM	776	0	865
GTEX-14A6H	366	1	429
GTEX-13PL7	412	0	464
GTEX-13OVJ	395	0	416
GTEX-16MTA	660	1	728
GTEX-139T4	804	3	894
GTEX-13NZA	352	0	376
GTEX-1C475	448	0	491
GTEX-1AX9I	296	0	334
GTEX-ZVT2	610	2	639
GTEX-1RQEC	565	0	634
GTEX-1C64N	700	1	750
GTEX-14PQA	818	0	907
GTEX-S33H	529	1	551
GTEX-SIU8	230	1	253
GTEX-13S7M	231	1	267
GTEX-1LB8K	387	0	425
GTEX-11TTK	435	0	456
GTEX-14753	436	1	442
GTEX-11DXX	642	1	664
GTEX-139T6	548	0	594
GTEX-12ZZZ	367	0	404
GTEX-14DAR	486	2	545
GTEX-ZDXO	328	0	355
GTEX-1399R	549	0	589
GTEX-15UF7	737	0	815
GTEX-13CF2	333	0	345
GTEX-14PJ4	429	1	443
GTEX-1OFPY	383	1	451
GTEX-1F75B	675	0	752
GTEX-11NUK	295	0	308
GTEX-14PJN	304	1	337
GTEX-XQ8I	461	1	481
GTEX-147F4	370	0	397
GTEX-1AX9K	331	0	353
GTEX-1GMR3	344	0	373
GTEX-1C6WA	471	1	511
GTEX-OIZI	323	1	360
GTEX-18A7B	561	0	625
GTEX-XBEW	793	0	851
GTEX-183FY	515	2	531
GTEX-145LU	346	0	390
GTEX-111FC	308	0	323
GTEX-1S83E	716	1	744
GTEX-1GF9W	315	1	330
GTEX-17EUY	639	1	740
GTEX-1L5NE	640	0	706
GTEX-X8HC	429	1	473
GTEX-1MCYP	747	0	814
GTEX-1JMQJ	367	0	390
GTEX-16NPX	359	0	405
GTEX-15ETS	799	3	868
GTEX-1PPH7	614	0	677
GTEX-1F5PL	483	2	507
GTEX-1RAZR	749	0	802
GTEX-1S82P	591	3	671
GTEX-1211K	345	0	382
GTEX-W5WG	475	0	523
GTEX-1N2DW	510	2	581
GTEX-13O3O	368	2	409
