individual	chr16:22260529:22263110:cluster71750	chr16:22260529:22264818:cluster71750	chr16:22263187:22264818:cluster71750	chr16:22264880:22266390:cluster71750	chr16:22265878:22266390:cluster71750
GTEX-1AX9J	32	24	31	30	0
GTEX-1IDJC	71	0	59	31	2
GTEX-139TU	37	0	38	24	0
GTEX-ZYY3	14	0	16	10	0
GTEX-11P82	100	0	101	58	0
GTEX-YEC4	105	1	117	60	3
GTEX-SUCS	42	0	50	26	0
GTEX-ZYT6	52	0	48	25	1
GTEX-Y8E4	30	0	35	20	0
GTEX-1QMI2	47	0	38	21	0
GTEX-13X6I	11	0	11	4	0
GTEX-WHPG	53	0	47	28	0
GTEX-1AX8Z	25	0	23	14	0
GTEX-14A6H	27	0	24	12	0
GTEX-13W46	24	0	18	11	0
GTEX-13OW5	62	0	56	31	1
GTEX-U3ZG	31	0	25	14	0
GTEX-139T4	29	0	28	12	0
GTEX-14C38	15	0	10	7	0
GTEX-1C475	79	0	79	53	2
GTEX-XBED	279	2	262	156	7
GTEX-1KANA	80	0	97	49	2
GTEX-1JN76	77	0	71	36	2
GTEX-X4XX	119	1	123	62	1
GTEX-1RQEC	36	0	41	27	1
GTEX-Y5V5	35	0	35	16	0
GTEX-1S5VW	136	0	129	74	0
GTEX-16YQH	60	1	54	35	1
GTEX-ZPIC	49	0	43	31	1
GTEX-1CB4G	43	0	37	20	0
GTEX-SIU8	41	0	41	24	0
GTEX-P78B	29	0	27	13	0
GTEX-ZAB5	40	0	43	20	0
GTEX-1LB8K	58	0	58	38	0
GTEX-17MFQ	18	0	19	14	0
GTEX-11TTK	15	0	14	9	0
GTEX-13PL6	42	0	51	26	0
GTEX-12ZZZ	17	0	17	9	0
GTEX-113JC	34	0	29	15	1
GTEX-1PPGY	119	1	113	72	1
GTEX-ZXG5	33	0	32	24	1
GTEX-14PJ4	22	0	17	12	0
GTEX-1F75B	15	0	20	10	0
GTEX-1QP6S	121	0	131	72	2
GTEX-11NUK	52	0	53	28	1
GTEX-11VI4	54	0	47	29	0
GTEX-XUW1	31	0	30	16	0
GTEX-1313W	50	0	56	28	0
GTEX-XQ3S	32	0	37	21	0
GTEX-1JKYN	28	0	30	18	0
GTEX-XUZC	63	0	62	35	0
GTEX-XBEW	60	1	70	35	1
GTEX-R53T	24	0	21	11	0
GTEX-111FC	16	0	13	10	0
GTEX-13X6J	74	0	82	43	0
GTEX-1KD5A	47	0	45	24	0
GTEX-ZLV1	109	0	92	62	1
GTEX-ZUA1	47	0	52	28	0
GTEX-1LGOU	26	0	29	14	0
GTEX-1L5NE	80	0	73	42	0
GTEX-1MCYP	80	0	77	54	1
GTEX-13FTY	27	0	28	13	1
GTEX-1QPFJ	30	0	29	14	0
GTEX-1N2DW	20	0	20	14	1
GTEX-SN8G	16	0	16	8	0
GTEX-1K2DA	90	1	75	45	2
GTEX-1LH75	13	0	9	7	0
GTEX-QEL4	13	0	10	5	0
GTEX-U8T8	68	0	66	44	1
GTEX-T5JC	137	0	133	64	2
GTEX-1QP9N	50	0	46	25	0
GTEX-13QBU	66	0	65	44	2
GTEX-13U4I	18	0	18	11	0
GTEX-13G51	15	0	17	7	0
GTEX-WYJK	59	0	58	25	1
GTEX-1A3MX	33	0	34	14	0
GTEX-PLZ4	5	0	8	4	0
GTEX-11GSO	16	0	19	7	0
GTEX-QEG5	17	0	20	12	0
GTEX-13RTL	39	0	39	17	1
GTEX-1C6VR	40	0	35	25	0
GTEX-1JMQI	51	0	49	30	2
GTEX-ZV68	35	0	36	18	1
GTEX-1P4AB	13	0	13	4	0
GTEX-11UD2	65	0	74	32	2
GTEX-1KWVE	66	0	65	35	0
GTEX-PWCY	89	0	90	50	0
GTEX-X261	31	0	39	20	0
GTEX-Y3I4	57	0	66	38	2
GTEX-1AMFI	111	0	122	62	4
GTEX-1LVA9	47	0	37	23	0
GTEX-1192X	23	0	23	9	0
GTEX-1MUQO	38	0	46	24	0
GTEX-13OVH	23	0	25	9	0
GTEX-145MO	32	0	35	16	0
GTEX-117YW	44	0	45	27	0
GTEX-111VG	40	0	37	23	0
GTEX-ZWKS	16	0	15	7	0
GTEX-1LVAO	6	0	9	4	0
GTEX-1EWIQ	49	0	45	26	0
GTEX-11EI6	36	0	30	21	1
GTEX-17KNJ	24	0	26	14	0
GTEX-QDT8	28	0	26	11	0
GTEX-V1D1	22	0	19	10	0
GTEX-P4PQ	18	0	16	10	1
GTEX-11LCK	42	0	40	25	1
GTEX-14E6D	95	0	89	41	2
GTEX-1S82Y	73	1	74	38	0
GTEX-18A66	15	0	14	7	0
GTEX-1RB15	30	0	28	15	0
GTEX-YB5K	94	0	102	47	1
GTEX-1PDJ9	131	0	128	70	2
GTEX-QVUS	4	0	6	2	0
GTEX-1PIEJ	44	0	43	25	1
GTEX-132Q8	13	0	14	5	0
GTEX-11TT1	47	0	42	26	0
GTEX-18A7A	49	0	57	33	0
GTEX-ZAK1	25	0	26	17	0
GTEX-1GZ4I	95	0	102	54	0
GTEX-16XZY	25	0	26	12	0
GTEX-11GSP	41	0	47	25	0
GTEX-12WSJ	64	0	72	38	1
GTEX-1A3MV	170	0	156	94	2
GTEX-X5EB	20	0	19	9	0
GTEX-16XZZ	17	0	20	12	0
GTEX-1K2DU	34	0	36	23	1
GTEX-1C4CL	33	0	34	20	0
GTEX-13RTJ	26	0	23	10	0
GTEX-14PJ6	44	0	45	31	1
GTEX-1MCQQ	38	0	40	18	1
GTEX-117XS	59	0	58	26	1
GTEX-1EH9U	12	0	9	7	0
GTEX-139YR	10	0	9	6	0
GTEX-1BAJH	47	0	49	29	1
GTEX-14LLW	41	0	33	23	1
