individual	chr14:75101153:75101657:cluster66550	chr14:75101153:75103842:cluster66550	chr14:75101765:75103842:cluster66550
GTEX-1212Z	79	30	96
GTEX-QEG4	72	0	88
GTEX-ZYT6	94	0	111
GTEX-1KD4Q	72	0	85
GTEX-15EO6	135	0	152
GTEX-1KXAM	200	0	239
GTEX-1GN1V	77	0	86
GTEX-XPT6	155	0	182
GTEX-1F75W	65	0	76
GTEX-146FR	110	0	122
GTEX-1B8KE	50	0	60
GTEX-1KANA	109	0	121
GTEX-R55D	153	0	174
GTEX-X4XX	135	0	163
GTEX-P78B	139	0	156
GTEX-11TTK	98	0	114
GTEX-TMZS	46	0	55
GTEX-14753	99	0	113
GTEX-13PL6	77	0	90
GTEX-ZDXO	57	0	65
GTEX-P4PP	98	0	112
GTEX-1PPGY	137	0	163
GTEX-1A32A	76	0	84
GTEX-1OFPY	51	0	63
GTEX-1QP6S	105	0	116
GTEX-131YS	103	0	124
GTEX-147F4	91	0	101
GTEX-XUW1	88	0	97
GTEX-1GMR3	112	0	124
GTEX-1C6WA	117	0	130
GTEX-1JKYN	62	0	73
GTEX-R53T	77	0	89
GTEX-183FY	112	0	132
GTEX-145LU	103	0	124
GTEX-1LNCM	55	0	64
GTEX-UTHO	139	0	154
GTEX-ZDYS	69	0	77
GTEX-OHPN	80	0	96
GTEX-1GF9W	74	0	82
GTEX-169BO	148	0	173
GTEX-1S82P	103	0	116
GTEX-TSE9	143	0	168
GTEX-ZYFG	140	0	160
GTEX-W5WG	120	0	136
GTEX-1N2DW	90	0	103
GTEX-1LH75	64	0	70
GTEX-1QP9N	88	0	106
GTEX-14LZ3	102	0	124
GTEX-139UW	79	0	86
GTEX-146FQ	121	0	135
GTEX-13U4I	99	0	113
GTEX-R3RS	110	0	130
GTEX-1A3MX	106	0	120
GTEX-XOT4	121	0	139
GTEX-1FIGZ	70	0	80
GTEX-QEG5	72	0	83
GTEX-11ZVC	116	0	136
GTEX-1339X	59	0	68
GTEX-15G1A	203	0	230
GTEX-1JMQI	163	0	197
GTEX-1P4AB	85	0	95
GTEX-1M4P7	69	0	78
GTEX-PWCY	134	0	159
GTEX-14BIL	157	0	188
GTEX-18A67	108	0	123
GTEX-OIZH	112	0	131
GTEX-Y3I4	58	0	65
GTEX-1AMFI	98	0	111
GTEX-11ZU8	107	0	120
GTEX-1LVA9	82	0	94
GTEX-1RAZA	141	0	162
GTEX-16BQI	100	0	114
GTEX-13N1W	79	0	93
GTEX-Q2AG	32	0	36
GTEX-YJ8O	51	0	58
GTEX-OOBK	60	0	70
GTEX-15CHQ	80	0	90
GTEX-Y9LG	113	0	137
GTEX-1EWIQ	82	0	91
GTEX-17KNJ	89	0	101
GTEX-1A8FM	88	0	103
GTEX-1ICLZ	54	0	61
GTEX-V955	185	0	209
GTEX-1JN6P	92	0	112
GTEX-ZT9X	112	0	125
GTEX-RTLS	100	0	111
GTEX-1S82Y	146	0	171
GTEX-ZTPG	92	0	110
GTEX-QDVN	108	0	129
GTEX-18A7A	82	0	91
GTEX-ZAK1	78	0	90
GTEX-1E2YA	95	0	112
GTEX-13X6H	42	0	50
GTEX-11GSP	75	0	86
GTEX-12WSJ	86	0	98
GTEX-1A3MV	150	0	176
GTEX-1IDJE	111	0	135
GTEX-144GM	82	0	97
GTEX-1LVAM	92	0	110
GTEX-133LE	118	0	143
GTEX-1R9PO	155	0	184
GTEX-1K2DU	114	0	132
GTEX-13OW6	80	0	97
GTEX-WOFM	200	0	225
GTEX-1R7EU	93	0	113
GTEX-1C4CL	95	0	105
GTEX-1A8G6	106	0	119
GTEX-T6MN	51	0	58
GTEX-15SHV	117	0	140
GTEX-RN64	89	0	97
GTEX-1QP66	208	0	243
GTEX-144GL	78	0	94
GTEX-R55C	36	0	41
GTEX-1CB4E	60	0	69
GTEX-WY7C	171	0	192
GTEX-VUSG	85	0	102
GTEX-12KS4	99	0	108
GTEX-11I78	86	0	95
GTEX-1GMR8	161	0	191
GTEX-X4EO	147	0	173
GTEX-139TS	107	0	126
GTEX-1O9I2	67	0	81
GTEX-XMD2	70	0	82
GTEX-ZYFD	47	0	54
GTEX-1PIIG	147	0	175
GTEX-ZVE1	122	0	144
GTEX-11XUK	55	0	67
GTEX-14XAO	47	0	55
GTEX-1JMQK	115	0	132
GTEX-ZP4G	66	0	76
GTEX-ZGAY	134	0	150
GTEX-14C39	102	0	117
GTEX-1B8SF	115	0	128
GTEX-1F48J	184	0	203
GTEX-ZVT4	59	0	65
GTEX-12WSF	51	0	61
GTEX-1CB4I	80	0	97
GTEX-QESD	55	0	66
GTEX-1EX96	61	0	68
GTEX-RM2N	86	0	105
GTEX-WFG7	52	0	64
GTEX-15RIE	115	0	128
GTEX-RUSQ	21	0	24
GTEX-1477Z	74	0	85
GTEX-14BIM	93	0	112
GTEX-1GTWX	89	0	104
GTEX-ZF29	129	0	153
GTEX-17HHY	76	0	85
GTEX-13O3P	95	0	107
GTEX-1QP67	98	0	116
GTEX-S95S	50	0	54
GTEX-1QP28	84	0	93
