individual	chr7:158763165:158764677:cluster14805	chr7:158763165:158767654:cluster14805	chr7:158764853:158767654:cluster14805	chr7:158764853:158788004:cluster14805	chr7:158773396:158788004:cluster14805
GTEX-1LGOU	37	38	41	0	51
GTEX-132NY	68	0	47	0	43
GTEX-13OVL	93	0	74	0	50
GTEX-ZYT6	44	0	32	0	28
GTEX-1KD4Q	62	0	47	0	41
GTEX-12WSM	45	0	35	0	24
GTEX-YF7O	77	0	74	0	53
GTEX-13X6I	47	0	37	0	30
GTEX-1F88E	65	0	53	0	41
GTEX-14C38	229	0	173	2	153
GTEX-1C475	121	0	99	0	77
GTEX-XBED	177	0	140	0	110
GTEX-1F75W	47	0	40	0	35
GTEX-17F96	161	0	143	0	96
GTEX-ZVT2	76	0	54	0	44
GTEX-14JG6	68	0	64	0	45
GTEX-R55D	210	0	152	0	140
GTEX-1RQEC	76	0	71	0	49
GTEX-Y5V5	117	0	110	0	89
GTEX-16YQH	43	0	36	0	28
GTEX-14PQA	58	0	44	0	42
GTEX-S33H	109	0	90	0	76
GTEX-SIU8	39	0	33	0	24
GTEX-ZAB5	82	0	72	0	46
GTEX-TMZS	15	0	12	0	11
GTEX-1LC47	122	0	107	0	91
GTEX-14753	87	0	80	0	56
GTEX-11DXX	112	0	94	0	66
GTEX-1MJK3	88	0	70	0	52
GTEX-13PL6	55	0	39	0	29
GTEX-13FTX	68	0	59	0	47
GTEX-11EMC	80	0	64	0	47
GTEX-1399R	74	0	57	0	55
GTEX-X4XY	218	0	155	2	145
GTEX-P4PP	134	0	99	0	81
GTEX-1CB4H	78	0	56	0	41
GTEX-1A32A	216	0	159	1	132
GTEX-11NUK	37	0	30	0	18
GTEX-14PJN	75	0	52	0	44
GTEX-13W3W	141	0	128	0	90
GTEX-12ZZY	51	0	45	0	35
GTEX-183FY	75	0	65	1	53
GTEX-111FC	32	0	21	0	19
GTEX-1LNCM	49	0	45	0	38
GTEX-1LSNL	27	0	26	0	23
GTEX-ZDYS	76	0	61	0	49
GTEX-1L5NE	139	0	113	0	93
GTEX-1I4MK	167	0	157	0	117
GTEX-169BO	161	0	144	1	97
GTEX-13FTY	63	0	52	0	48
GTEX-WK11	88	0	77	0	62
GTEX-1GPI7	119	0	97	0	70
GTEX-1RAZR	131	0	106	0	97
GTEX-OHPL	144	0	124	0	95
GTEX-1211K	184	0	162	1	113
GTEX-ZYFG	114	0	101	0	70
GTEX-1N2DW	63	0	46	0	39
GTEX-PLZ5	51	0	44	0	27
GTEX-U8T8	160	0	130	0	107
GTEX-T5JC	65	0	49	0	36
GTEX-ZV6S	150	0	119	0	84
GTEX-WEY5	111	0	79	1	66
GTEX-1B97J	170	0	125	0	109
GTEX-P44G	66	0	51	0	41
GTEX-139UW	61	0	46	0	44
GTEX-13N2G	94	0	83	0	63
GTEX-146FQ	63	0	48	0	47
GTEX-13QBU	123	0	101	0	85
GTEX-1B97I	236	0	196	0	173
GTEX-1A3MX	119	0	98	0	67
GTEX-17GQL	240	0	175	1	153
GTEX-11GSO	86	0	69	0	51
GTEX-1FIGZ	96	0	79	0	55
GTEX-WRHK	120	0	107	0	88
GTEX-1E1VI	69	0	63	0	44
GTEX-11ZVC	89	0	65	0	56
GTEX-13RTL	77	0	62	0	57
GTEX-ZZ64	111	0	89	0	61
GTEX-1C6VR	53	0	50	0	32
GTEX-11OF3	53	0	41	0	35
GTEX-1R46S	74	0	58	0	45
GTEX-1CB4F	41	0	33	0	28
GTEX-1M4P7	35	0	29	0	22
GTEX-ZF3C	124	0	89	1	72
GTEX-Y111	57	0	51	0	44
GTEX-YEC3	101	0	87	0	65
GTEX-1269C	42	0	34	0	22
GTEX-1AMFI	106	0	74	0	63
GTEX-18D9U	132	0	112	0	87
GTEX-1192X	51	0	35	0	33
GTEX-1LSNM	135	0	95	0	84
GTEX-1MUQO	140	0	109	0	95
GTEX-15D79	49	0	47	0	35
GTEX-1RAZA	139	0	118	0	89
GTEX-1EU9M	80	0	63	0	58
GTEX-WYVS	73	0	60	0	54
GTEX-16BQI	190	0	149	1	110
GTEX-Q2AG	17	0	14	0	11
GTEX-1AX9J	101	0	82	0	59
