individual	chr1:153543923:153544635:cluster23653	chr1:153543923:153544654:cluster23653	chr1:153543939:153544654:cluster23653
GTEX-139TS	40	102	3
GTEX-147F3	0	267	6
GTEX-YB5E	0	284	6
GTEX-ZYT6	0	162	4
GTEX-15EO6	0	102	2
GTEX-13X6I	0	631	14
GTEX-14A6H	0	757	14
GTEX-11EQ9	0	126	2
GTEX-U3ZG	0	329	8
GTEX-1GN1V	0	445	8
GTEX-1C475	0	359	7
GTEX-XBED	0	89	2
GTEX-ZF28	0	337	7
GTEX-XPT6	0	116	2
GTEX-U4B1	0	160	3
GTEX-1AX9I	0	388	8
GTEX-17F96	0	280	6
GTEX-1S5VW	0	338	8
GTEX-1C64N	0	195	4
GTEX-16YQH	0	295	7
GTEX-S33H	0	644	15
GTEX-13JVG	0	60	1
GTEX-P78B	0	58	1
GTEX-13S7M	0	197	4
GTEX-1LB8K	0	180	3
GTEX-T5JW	0	227	4
GTEX-11DXX	0	332	6
GTEX-131XW	0	893	16
GTEX-1399R	0	82	2
GTEX-15UF7	0	851	16
GTEX-13CF2	0	282	5
GTEX-1OFPY	0	439	8
GTEX-1F75B	0	222	4
GTEX-147F4	0	183	4
GTEX-QV31	0	93	2
GTEX-1B933	0	177	4
GTEX-XUW1	0	138	3
GTEX-1GZ2Q	0	173	4
GTEX-12ZZY	0	195	5
GTEX-XQ3S	0	178	4
GTEX-1C6WA	0	865	21
GTEX-18A7B	0	906	18
GTEX-ZUA1	0	287	6
GTEX-18A6Q	0	710	14
GTEX-13FTZ	0	449	8
GTEX-1LGOU	0	125	2
GTEX-169BO	0	668	13
GTEX-11EM3	0	126	3
GTEX-1MCYP	0	316	6
GTEX-1JMQJ	0	262	6
GTEX-13FTY	0	1222	26
GTEX-1PPH7	0	174	3
GTEX-1RAZR	0	175	3
GTEX-1S82P	0	66	1
GTEX-1QPFJ	0	509	9
GTEX-PLZ5	0	161	4
GTEX-ZV6S	0	150	3
GTEX-1B97J	0	307	6
GTEX-XGQ4	0	55	1
GTEX-ZDTS	0	240	5
GTEX-R3RS	0	184	3
GTEX-PLZ4	0	77	2
GTEX-1IDFM	0	536	10
GTEX-13FTW	0	165	3
GTEX-QEG5	0	126	2
GTEX-1E1VI	0	325	8
GTEX-11ZVC	0	452	9
GTEX-1339X	0	56	1
GTEX-13RTL	0	1842	35
GTEX-17HGU	0	121	2
GTEX-1R46S	0	83	2
GTEX-1P4AB	0	961	19
GTEX-OIZH	0	285	7
GTEX-YEC3	0	376	8
GTEX-Y3I4	0	231	4
GTEX-1269C	0	74	2
GTEX-13OVH	0	63	1
GTEX-1EU9M	0	570	14
GTEX-U3ZN	0	674	17
GTEX-11ZTS	0	96	2
GTEX-145MO	0	147	3
GTEX-16BQI	0	235	6
GTEX-13N1W	0	234	5
GTEX-117YW	0	115	2
GTEX-111VG	0	374	9
GTEX-1F6IF	0	982	23
GTEX-Q2AG	0	56	1
GTEX-1F7RK	0	257	5
GTEX-OOBK	0	42	1
GTEX-11EI6	0	381	7
GTEX-17KNJ	0	186	4
GTEX-1JN6P	0	153	4
GTEX-1AMEY	0	328	6
GTEX-14E6D	0	327	7
GTEX-1S82Y	0	626	13
GTEX-PLZ6	0	55	1
GTEX-ZE7O	0	1450	32
GTEX-1PDJ9	0	303	6
GTEX-16GPK	0	390	7
GTEX-WHSB	0	379	9
GTEX-1GZ4I	0	579	13
GTEX-13OW8	0	310	7
GTEX-1E2YA	0	203	4
GTEX-1F52S	0	240	6
GTEX-11GSP	0	311	8
GTEX-1IDJE	0	1645	41
GTEX-16XZZ	0	460	9
GTEX-O5YV	0	117	3
GTEX-17HHE	0	200	4
GTEX-1LG7Z	0	1514	36
GTEX-1R7EU	0	1003	20
GTEX-1C4CL	0	1162	25
GTEX-13VXU	0	345	6
GTEX-1128S	0	156	3
GTEX-144GL	0	394	10
GTEX-13RTJ	0	507	10
GTEX-1GF9U	0	830	20
GTEX-1445S	0	66	1
GTEX-1MA7W	0	2143	39
GTEX-15SKB	0	112	2
GTEX-VUSG	0	960	19
GTEX-12KS4	0	117	3
GTEX-13111	0	162	3
GTEX-144FL	0	363	7
GTEX-13QJ3	0	280	7
GTEX-ZA64	0	182	3
GTEX-17JCI	0	482	9
GTEX-Y8LW	0	209	4
GTEX-1F88F	0	437	10
GTEX-OIZF	0	169	4
GTEX-15DZA	0	978	17
GTEX-11P81	0	93	2
GTEX-1R9K5	0	2202	44
GTEX-SE5C	0	520	10
GTEX-1399S	0	209	4
GTEX-11O72	0	194	5
GTEX-WWTW	0	174	3
GTEX-1S82U	0	904	21
GTEX-WL46	0	292	6
GTEX-1GF9V	0	241	4
GTEX-WFG8	0	125	3
GTEX-12WSN	0	381	8
GTEX-146FH	0	127	2
GTEX-VJWN	0	107	2
GTEX-PW2O	0	88	2
GTEX-XAJ8	0	1527	37
GTEX-17F97	0	163	4
GTEX-PSDG	0	232	4
