individual	chr10:102025248:102029638:cluster66135	chr10:102025248:102033026:cluster66135	chr10:102029745:102033026:cluster66135
GTEX-1LB8K	16	15	17
GTEX-1IDJD	39	0	54
GTEX-13OVL	13	0	19
GTEX-139TU	17	0	25
GTEX-11P82	33	0	49
GTEX-YEC4	11	0	13
GTEX-1QW4Y	21	0	26
GTEX-Y8E4	51	0	63
GTEX-13X6I	16	0	20
GTEX-1KXAM	34	0	51
GTEX-13OW5	10	0	15
GTEX-1F88E	15	0	17
GTEX-139T4	18	0	21
GTEX-1F75W	9	0	12
GTEX-1AX9I	16	0	19
GTEX-17F96	50	0	62
GTEX-Y5V5	31	0	44
GTEX-14PQA	13	0	19
GTEX-S33H	35	0	46
GTEX-13JVG	14	0	21
GTEX-1CB4G	16	0	22
GTEX-SIU8	11	0	13
GTEX-13S7M	12	0	14
GTEX-1122O	20	0	26
GTEX-15SHU	14	0	22
GTEX-17MFQ	12	0	16
GTEX-11TTK	7	0	8
GTEX-13PL6	14	0	16
GTEX-13FTX	31	0	43
GTEX-15UF6	17	0	20
GTEX-131XW	8	0	13
GTEX-113JC	10	0	15
GTEX-1PPGY	30	0	40
GTEX-13CF2	15	0	19
GTEX-ZXG5	23	0	26
GTEX-1A32A	14	0	17
GTEX-14PJ4	20	0	30
GTEX-11NUK	17	0	19
GTEX-131YS	14	0	17
GTEX-12696	18	0	24
GTEX-XQ8I	16	0	20
GTEX-147F4	14	0	20
GTEX-11VI4	25	0	30
GTEX-1GZ2Q	9	0	14
GTEX-XQ3S	15	0	20
GTEX-1GMR3	10	0	14
GTEX-18A7B	21	0	25
GTEX-R53T	24	0	36
GTEX-183FY	20	0	27
GTEX-13X6J	36	0	45
GTEX-UTHO	17	0	19
GTEX-OHPN	19	0	28
GTEX-ZUA1	14	0	20
GTEX-18A6Q	24	0	33
GTEX-13FTZ	20	0	27
GTEX-17EUY	38	0	50
GTEX-1LGOU	21	0	30
GTEX-1L5NE	27	0	34
GTEX-169BO	29	0	41
GTEX-11EM3	27	0	34
GTEX-1JMQJ	28	0	39
GTEX-13FTY	13	0	14
GTEX-16NPX	17	0	23
GTEX-1S82P	23	0	28
GTEX-Y8DK	30	0	35
GTEX-OHPL	15	0	23
GTEX-1211K	29	0	38
GTEX-ZYFG	38	0	45
GTEX-W5WG	19	0	28
GTEX-1ICG6	32	0	38
GTEX-1N2DW	10	0	16
GTEX-SN8G	18	0	28
GTEX-1K2DA	86	0	109
GTEX-U8T8	32	0	39
GTEX-ZF2S	26	0	37
GTEX-1399T	12	0	18
GTEX-1QP9N	32	0	41
GTEX-1B97J	37	0	48
GTEX-13O3Q	14	0	18
GTEX-13QBU	44	0	58
GTEX-XGQ4	9	0	11
GTEX-13U4I	14	0	22
GTEX-ZDTS	11	0	15
GTEX-1B97I	53	0	69
GTEX-1IDFM	16	0	24
GTEX-17GQL	41	0	49
GTEX-1FIGZ	54	0	67
GTEX-OXRK	31	0	46
GTEX-17HII	8	0	13
GTEX-11ZVC	11	0	15
GTEX-13RTL	10	0	15
GTEX-15G1A	63	0	91
GTEX-11UD2	17	0	21
GTEX-1KWVE	18	0	26
GTEX-1CB4F	23	0	30
GTEX-1M4P7	10	0	13
GTEX-ZF3C	20	0	26
GTEX-14BIL	16	0	24
GTEX-X261	37	0	53
GTEX-Y3I4	14	0	18
GTEX-O5YT	48	0	62
GTEX-1AMFI	42	0	59
GTEX-S32W	15	0	17
GTEX-1R9PM	19	0	27
GTEX-18D9U	46	0	68
GTEX-1RAZA	42	0	55
GTEX-11ZTS	6	0	10
GTEX-WYVS	16	0	25
GTEX-16MT8	22	0	29
GTEX-Q2AG	4	0	5
GTEX-ZC5H	23	0	30
GTEX-1LVAO	12	0	19
GTEX-17KNJ	10	0	16
GTEX-V1D1	26	0	34
GTEX-15RIF	60	0	73
GTEX-1M5QR	33	0	46
GTEX-183WM	18	0	23
GTEX-11LCK	11	0	18
GTEX-OXRP	5	0	6
GTEX-XBEC	11	0	17
GTEX-1QAET	22	0	26
GTEX-13O21	20	0	25
GTEX-1QCLZ	19	0	21
GTEX-1314G	18	0	22
GTEX-QDVN	16	0	18
GTEX-1PDJ9	22	0	34
GTEX-QVUS	17	0	22
GTEX-13SLW	9	0	15
GTEX-16GPK	33	0	46
GTEX-15CHR	25	0	32
GTEX-11TT1	8	0	11
GTEX-WOFL	24	0	35
GTEX-1GZ4I	40	0	49
GTEX-13OW8	14	0	22
GTEX-16XZY	14	0	15
GTEX-11GSP	12	0	13
GTEX-12WSG	14	0	20
GTEX-1A3MV	35	0	43
GTEX-144GM	16	0	24
GTEX-133LE	26	0	34
GTEX-1R9PO	23	0	27
GTEX-X5EB	5	0	8
GTEX-1K2DU	68	0	95
GTEX-ZAB4	11	0	17
GTEX-O5YV	20	0	28
GTEX-14PII	15	0	19
GTEX-13OW6	10	0	15
GTEX-17HHE	30	0	35
GTEX-U3ZM	36	0	53
GTEX-14PN4	12	0	14
GTEX-13VXU	15	0	24
GTEX-15SHV	25	0	33
GTEX-1128S	19	0	26
GTEX-RN64	11	0	14
GTEX-1QP66	59	0	70
GTEX-147JS	10	0	13
GTEX-15SB6	24	0	29
GTEX-QCQG	33	0	42
GTEX-1GF9U	20	0	30
GTEX-11NSD	10	0	16
GTEX-14PJM	21	0	29
GTEX-117XS	19	0	29
GTEX-1B8KZ	25	0	31
GTEX-ZVZP	30	0	38
GTEX-WY7C	64	0	91
GTEX-13QIC	12	0	19
GTEX-12WSL	23	0	32
GTEX-12KS4	13	0	18
GTEX-1GPI6	11	0	17
GTEX-Z93S	24	0	32
GTEX-1GN1U	16	0	18
GTEX-X4EO	17	0	24
GTEX-111YS	23	0	34
GTEX-14H4A	18	0	27
GTEX-139TS	18	0	26
GTEX-14PK6	20	0	22
GTEX-1O9I2	11	0	17
GTEX-13QJ3	25	0	31
GTEX-ZYFD	8	0	13
GTEX-14JG1	18	0	28
GTEX-ZA64	21	0	30
GTEX-WRHU	43	0	56
GTEX-Y8LW	12	0	19
GTEX-12ZZX	12	0	16
GTEX-OIZF	26	0	36
GTEX-1JMQK	15	0	19
GTEX-ZZPU	36	0	53
GTEX-17EVP	21	0	25
GTEX-11P81	17	0	24
GTEX-ZVT4	11	0	15
GTEX-1R9JW	44	0	60
GTEX-11O72	18	0	26
GTEX-P4QT	29	0	37
GTEX-WWTW	8	0	11
GTEX-1A8G7	16	0	20
GTEX-TKQ2	39	0	56
GTEX-14DAQ	21	0	30
GTEX-WL46	19	0	29
GTEX-15RIE	42	0	61
GTEX-12WSN	17	0	20
GTEX-PX3G	8	0	13
GTEX-1R7EV	15	0	21
GTEX-U3ZH	18	0	26
GTEX-YFC4	19	0	24
GTEX-Y5V6	28	0	38
GTEX-PW2O	7	0	12
GTEX-ZF29	28	0	36
GTEX-17F97	16	0	23
GTEX-PSDG	29	0	34
GTEX-13PVQ	12	0	14
GTEX-17HHY	11	0	14
GTEX-Z9EW	24	0	32
GTEX-11GS4	11	0	15
GTEX-ZVT3	16	0	22
GTEX-OXRN	18	0	23
GTEX-S95S	9	0	10
