individual	chr16:8621775:8625496:cluster44320	chr16:8621775:8625519:cluster44320	chr16:8624118:8625496:cluster44320
GTEX-14753	35	13	1
GTEX-14ABY	49	0	2
GTEX-UPJH	31	0	1
GTEX-11P82	74	0	3
GTEX-14JIY	51	0	3
GTEX-YB5E	71	0	4
GTEX-1QW4Y	116	0	5
GTEX-14A6H	105	0	4
GTEX-13W46	84	0	5
GTEX-13OW5	56	0	2
GTEX-ZQG8	141	0	7
GTEX-U3ZG	29	0	2
GTEX-139T4	29	0	1
GTEX-1K9T9	66	0	3
GTEX-13NZA	56	0	2
GTEX-1C475	101	0	6
GTEX-XBED	91	0	4
GTEX-ZF28	87	0	3
GTEX-XPT6	114	0	6
GTEX-U4B1	48	0	2
GTEX-X4XX	58	0	2
GTEX-16YQH	94	0	4
GTEX-14PQA	80	0	5
GTEX-1CB4G	35	0	1
GTEX-1LB8K	65	0	3
GTEX-1LC47	135	0	5
GTEX-1399R	63	0	3
GTEX-ZXG5	46	0	2
GTEX-1CB4H	43	0	2
GTEX-PWN1	39	0	2
GTEX-1C6VQ	65	0	3
GTEX-147F4	62	0	2
GTEX-11VI4	101	0	5
GTEX-XUW1	62	0	2
GTEX-1313W	75	0	4
GTEX-1C6WA	87	0	5
GTEX-OIZI	84	0	5
GTEX-18A7B	98	0	5
GTEX-183FY	85	0	5
GTEX-145LU	51	0	3
GTEX-111FC	40	0	2
GTEX-1KD5A	160	0	6
GTEX-ZDYS	78	0	4
GTEX-18A6Q	66	0	3
GTEX-13FTZ	40	0	2
GTEX-17EUY	85	0	3
GTEX-1LGOU	63	0	4
GTEX-X8HC	95	0	5
GTEX-169BO	70	0	4
GTEX-WK11	87	0	5
GTEX-1GN1W	70	0	4
GTEX-OHPL	74	0	4
GTEX-1QPFJ	62	0	2
GTEX-ZYFG	49	0	3
GTEX-PLZ5	88	0	4
GTEX-1K2DA	177	0	10
GTEX-1LH75	50	0	3
GTEX-ZF2S	78	0	4
GTEX-1399T	53	0	2
GTEX-11ZUS	51	0	2
GTEX-1B97J	150	0	6
GTEX-P44G	30	0	1
GTEX-13O3Q	48	0	2
GTEX-13N2G	127	0	6
GTEX-XGQ4	74	0	3
GTEX-13U4I	60	0	3
GTEX-RNOR	39	0	2
GTEX-WYJK	123	0	6
GTEX-1B97I	73	0	4
GTEX-17GQL	101	0	5
GTEX-11GSO	37	0	2
GTEX-13FTW	65	0	3
GTEX-17HII	34	0	2
GTEX-11ZVC	48	0	3
