individual	chr2:231067111:231070025:cluster67477	chr2:231067111:231072189:cluster67477	chr2:231070168:231072189:cluster67477
GTEX-14PK6	135	16	152
GTEX-1IDJD	235	0	231
GTEX-132NY	148	0	151
GTEX-ZYY3	176	0	181
GTEX-14JIY	91	0	85
GTEX-YB5E	166	0	159
GTEX-12WSM	69	0	65
GTEX-YF7O	222	0	227
GTEX-WHPG	251	0	240
GTEX-1AX8Z	133	0	136
GTEX-14A6H	151	0	156
GTEX-11EQ9	198	0	203
GTEX-13W46	143	0	148
GTEX-16MTA	202	0	200
GTEX-ZQG8	168	0	167
GTEX-139T4	86	0	81
GTEX-XBED	130	0	133
GTEX-146FR	225	0	225
GTEX-X4XX	203	0	210
GTEX-Y5V5	433	0	427
GTEX-1S5VW	128	0	134
GTEX-13JVG	169	0	173
GTEX-SIU8	91	0	88
GTEX-1LB8K	126	0	128
GTEX-15SHU	147	0	153
GTEX-17MFQ	121	0	116
GTEX-11TTK	88	0	90
GTEX-TMZS	51	0	47
GTEX-1LC47	239	0	235
GTEX-1MJK3	229	0	230
GTEX-12ZZZ	82	0	81
GTEX-13FTX	187	0	195
GTEX-14DAR	251	0	253
GTEX-15UF6	104	0	98
GTEX-1I6K7	176	0	181
GTEX-113JC	75	0	80
GTEX-P4PP	134	0	130
GTEX-1PPGY	168	0	161
GTEX-13CF2	96	0	90
GTEX-13RTK	134	0	135
GTEX-1CB4H	57	0	56
GTEX-1A32A	101	0	106
GTEX-1C6VQ	211	0	214
GTEX-1OFPY	120	0	118
GTEX-1F75B	217	0	209
GTEX-11NUK	92	0	96
GTEX-12696	110	0	104
GTEX-1AX9K	209	0	200
GTEX-WZTO	165	0	161
GTEX-1313W	155	0	161
GTEX-XQ3S	73	0	73
GTEX-1C6WA	180	0	187
GTEX-XUZC	354	0	348
GTEX-145LU	108	0	106
GTEX-13X6J	144	0	147
GTEX-1KD5A	178	0	183
GTEX-UTHO	135	0	130
GTEX-ZDYS	88	0	84
GTEX-ZLV1	345	0	356
GTEX-1GF9W	220	0	227
GTEX-11EM3	117	0	114
GTEX-1MCYP	260	0	256
GTEX-1JMQJ	115	0	120
GTEX-16NPX	156	0	158
GTEX-15ETS	317	0	310
GTEX-Y8DK	172	0	162
GTEX-OHPL	156	0	148
GTEX-1QPFJ	116	0	111
GTEX-TSE9	125	0	129
GTEX-W5WG	202	0	192
GTEX-1N2DW	112	0	118
GTEX-PLZ5	99	0	96
GTEX-1C2JI	305	0	310
GTEX-18D9A	264	0	262
GTEX-1399T	114	0	109
GTEX-P44G	81	0	79
GTEX-14LZ3	141	0	148
GTEX-139UW	135	0	131
GTEX-146FQ	202	0	197
GTEX-13U4I	172	0	178
GTEX-ZDTS	105	0	100
GTEX-1A3MX	136	0	129
GTEX-11GSO	112	0	115
GTEX-WRHK	234	0	237
