individual	chr12:122334705:122335928:cluster1992	chr12:122334705:122336632:cluster1992	chr12:122334705:122340753:cluster1992	chr12:122334705:122340981:cluster1992	chr12:122336748:122340753:cluster1992	chr12:122336748:122340981:cluster1992	chr12:122340908:122340981:cluster1992
GTEX-11NSD	11	147	5	17	128	39	2
GTEX-139TU	1	306	5	1	347	0	3
GTEX-11P82	4	334	6	0	415	2	3
GTEX-QEG4	4	161	2	0	166	0	1
GTEX-14JIY	5	243	3	0	242	0	1
GTEX-YB5E	7	346	4	1	356	3	2
GTEX-SUCS	2	340	5	0	407	0	6
GTEX-YF7O	2	350	3	1	395	2	3
GTEX-WHPG	3	409	9	3	477	1	2
GTEX-1CAMR	8	601	6	1	659	3	8
GTEX-1KXAM	4	652	20	0	704	2	6
GTEX-11EQ9	6	367	6	0	449	1	7
GTEX-13W46	1	291	2	0	293	0	2
GTEX-ZQG8	3	336	4	1	338	0	7
GTEX-U3ZG	0	62	0	0	73	0	0
GTEX-1GN1V	1	163	3	0	164	0	0
GTEX-1C475	10	554	14	1	584	2	10
GTEX-XPT6	4	437	3	0	465	1	3
GTEX-1F75W	2	174	2	0	162	0	1
GTEX-17F96	0	380	5	0	427	0	3
GTEX-ZVT2	8	520	5	0	532	0	2
GTEX-1RQEC	1	342	4	0	387	1	5
GTEX-Y5V5	4	695	11	0	667	3	5
GTEX-1S5VW	5	693	14	2	864	2	4
GTEX-S33H	7	318	5	0	346	1	4
GTEX-13JVG	2	169	2	0	154	0	2
GTEX-1CB4G	4	223	3	1	234	2	2
GTEX-SIU8	1	163	3	0	180	0	1
GTEX-P78B	5	536	2	0	588	1	6
GTEX-15SHU	6	429	10	0	419	1	6
GTEX-17MFQ	4	323	3	1	371	3	4
GTEX-11TTK	6	259	2	1	278	0	3
GTEX-1MJK3	5	407	1	0	461	1	5
GTEX-12ZZZ	0	102	3	0	117	0	1
GTEX-13FTX	4	405	4	1	488	1	9
GTEX-11EMC	6	287	8	0	324	1	0
GTEX-1399R	1	446	4	0	467	1	2
GTEX-X4XY	5	199	6	0	234	0	3
GTEX-15UF7	10	639	7	1	694	1	12
GTEX-113JC	1	105	2	0	109	1	0
GTEX-13RTK	3	309	3	0	319	1	0
GTEX-ZXG5	3	441	5	0	436	3	5
GTEX-1OFPY	4	396	8	1	457	3	5
GTEX-1F75B	5	442	5	2	498	0	9
GTEX-1QP6S	1	279	5	0	280	1	1
GTEX-11NUK	2	100	1	0	110	0	0
GTEX-131YS	4	163	2	0	189	1	1
GTEX-1AX9K	3	369	9	1	438	1	8
GTEX-1B933	0	171	5	0	182	1	1
GTEX-11VI4	8	574	4	1	619	3	9
GTEX-XUW1	1	232	6	0	267	1	2
GTEX-1GZ2Q	0	184	5	0	208	0	1
GTEX-XUZC	4	464	3	0	483	0	4
GTEX-18A7B	5	402	6	0	449	3	7
GTEX-XBEW	8	463	2	0	497	3	3
GTEX-R53T	0	337	3	1	391	1	3
GTEX-183FY	3	304	4	0	396	1	4
GTEX-1KD5A	4	387	9	0	408	1	3
GTEX-UTHO	0	324	4	1	370	0	5
GTEX-ZLV1	7	627	3	0	678	0	6
GTEX-1GF9W	5	406	7	0	413	1	1
GTEX-18A6Q	1	265	6	0	331	1	4
GTEX-1LGOU	6	257	6	0	309	0	2
GTEX-1L5NE	4	644	8	2	662	0	5
GTEX-1I4MK	3	509	8	0	536	1	11
GTEX-13FTY	0	188	3	0	203	1	0
GTEX-15ETS	10	674	14	2	843	3	13
GTEX-1PPH7	6	371	2	0	419	0	5
GTEX-WK11	4	251	4	0	269	1	5
GTEX-12C56	3	262	2	0	296	0	5
GTEX-1211K	4	335	5	0	400	2	2
GTEX-TSE9	6	369	12	1	366	1	4
GTEX-ZYFG	7	409	1	0	433	2	6
GTEX-W5WG	6	362	3	0	385	0	2
GTEX-TMMY	7	1335	13	2	1501	2	19
GTEX-1C2JI	7	590	7	0	661	3	10
GTEX-1K2DA	17	1367	11	0	1432	1	19
GTEX-18D9A	7	571	4	1	613	1	7
GTEX-1LH75	3	257	7	0	335	1	3
GTEX-QEL4	2	209	3	0	254	0	0
GTEX-ZF2S	6	420	3	1	451	1	0
GTEX-1399T	1	102	1	0	119	0	0
GTEX-11ZUS	2	142	4	0	151	0	0
GTEX-14LZ3	3	301	3	0	307	1	0
GTEX-13O3Q	2	119	1	0	116	0	0
GTEX-13QBU	4	541	15	0	591	1	3
GTEX-WYJK	7	537	5	2	541	1	1
GTEX-XOT4	3	190	4	1	219	0	1
GTEX-PLZ4	0	104	1	0	122	0	0
GTEX-17GQL	6	584	11	2	651	0	3
GTEX-1FIGZ	3	215	1	0	240	1	3
GTEX-OXRK	4	343	3	0	332	0	3
GTEX-15RIG	6	410	9	0	438	1	4
GTEX-WRHK	4	556	6	1	589	4	9
GTEX-13FTW	4	317	2	2	339	1	5
GTEX-1E1VI	2	217	1	0	259	0	1
GTEX-17HGU	0	317	5	0	345	0	4
GTEX-QV44	2	588	7	0	669	0	6
GTEX-1JMQI	2	537	4	1	550	3	4
GTEX-11OF3	1	115	1	0	133	0	1
GTEX-ZV68	1	163	0	0	170	0	2
GTEX-1P4AB	6	444	2	0	436	1	5
GTEX-1CB4F	2	203	3	0	208	0	1
GTEX-ZF3C	9	483	10	0	519	0	5
GTEX-PWCY	7	411	4	0	494	0	5
GTEX-14BIL	5	282	8	1	310	2	5
GTEX-18A67	1	541	7	3	594	2	8
GTEX-1GMRU	1	256	3	1	248	2	3
GTEX-X261	3	432	3	2	475	2	3
GTEX-YEC3	8	651	8	0	685	1	11
GTEX-Y3I4	3	185	5	0	209	0	3
GTEX-1269C	3	146	1	0	154	0	2
GTEX-1AMFI	8	702	9	0	746	2	8
GTEX-11ZTS	0	79	2	0	91	1	1
GTEX-13N1W	2	149	4	1	162	1	3
GTEX-117YW	3	198	3	0	211	0	3
GTEX-1AX9J	7	541	13	1	633	2	11
GTEX-OOBK	0	131	3	1	144	0	1
GTEX-1QEPI	5	304	8	1	365	2	3
GTEX-Y9LG	4	228	6	0	276	1	5
GTEX-1EWIQ	6	232	6	0	260	1	2
GTEX-Y5LM	2	151	2	0	161	0	2
GTEX-17KNJ	6	276	6	0	275	1	4
GTEX-15RIF	3	465	4	0	504	1	2
GTEX-1M5QR	2	568	6	1	571	3	6
GTEX-XPVG	7	406	5	0	432	0	1
GTEX-1IDJF	7	500	7	0	538	0	11
