individual	chr2:207581946:207621806:cluster21522	chr2:207582160:207621806:cluster21522	chr2:207613443:207621806:cluster21522	chr2:207613443:207624229:cluster21522	chr2:207621917:207624229:cluster21522
GTEX-SE5C	6	1	10	30	12
GTEX-132NY	11	3	6	0	18
GTEX-UPJH	9	3	5	0	17
GTEX-147F3	3	2	1	0	5
GTEX-Y8E4	15	15	12	1	40
GTEX-15EO6	14	9	5	1	22
GTEX-13X6I	12	6	6	0	16
GTEX-13PL7	9	9	5	0	26
GTEX-13OVJ	5	2	3	0	11
GTEX-ZQG8	16	6	5	1	29
GTEX-1F88E	13	3	6	0	20
GTEX-U3ZG	7	5	7	0	16
GTEX-139T4	9	6	5	0	21
GTEX-1K9T9	3	3	2	0	13
GTEX-1F75W	8	7	4	0	17
GTEX-1AX9I	10	6	7	0	16
GTEX-17F96	22	14	10	1	36
GTEX-14JG6	9	8	5	0	16
GTEX-1C64N	11	8	12	0	29
GTEX-1CB4G	12	5	5	0	14
GTEX-P78B	11	7	5	0	16
GTEX-1122O	11	4	5	1	22
GTEX-1LC47	17	8	8	0	29
GTEX-1MJK3	10	3	5	1	17
GTEX-13FTX	14	6	5	0	24
GTEX-15UF6	18	6	8	1	25
GTEX-RWS6	4	4	3	0	16
GTEX-1I6K7	8	5	4	1	20
GTEX-13RTK	4	2	1	0	9
GTEX-131YS	8	7	6	0	20
GTEX-14PJN	9	6	5	1	18
GTEX-QV31	3	3	2	0	7
GTEX-1AX9K	6	2	4	0	10
GTEX-11VI4	18	10	8	1	29
GTEX-12ZZY	7	6	6	0	23
GTEX-XQ3S	7	5	3	0	10
GTEX-1GMR3	8	4	7	0	13
GTEX-1C6WA	10	5	7	0	26
GTEX-R53T	8	5	6	0	19
GTEX-145LU	7	7	6	0	14
GTEX-1LNCM	7	5	4	0	17
GTEX-1KD5A	9	10	5	0	24
GTEX-ZLV1	17	9	7	1	28
GTEX-13FTZ	9	4	6	0	21
GTEX-17EUY	14	7	6	0	26
GTEX-13FTY	8	9	5	0	22
GTEX-15ETS	18	7	6	1	27
GTEX-1PPH7	9	10	6	0	21
GTEX-1212Z	16	13	6	0	33
GTEX-1RAZR	15	13	10	0	36
GTEX-Y8DK	10	6	4	1	19
GTEX-ZYFG	16	6	10	1	23
GTEX-1ICG6	18	11	10	0	27
GTEX-1N2DW	4	3	2	0	10
GTEX-131XF	3	2	2	0	12
GTEX-146FQ	14	8	7	0	19
GTEX-13QBU	11	8	6	0	23
GTEX-XGQ4	5	5	2	0	12
GTEX-1B97I	15	9	5	1	31
GTEX-1A3MX	8	3	7	0	22
GTEX-PLZ4	6	2	4	0	12
GTEX-17GQL	15	9	9	1	32
GTEX-1FIGZ	9	8	8	0	22
GTEX-15RIG	9	7	4	0	23
GTEX-15G1A	14	5	9	0	24
GTEX-QV44	8	8	4	0	16
GTEX-11OF3	8	9	5	0	22
GTEX-PWCY	16	7	8	0	20
GTEX-14BIL	10	3	3	0	16
GTEX-18A67	21	6	9	0	31
GTEX-1AMFI	15	9	5	0	36
GTEX-11ZU8	8	4	2	0	10
GTEX-1LVA9	10	9	7	0	21
GTEX-1EU9M	7	7	3	0	20
GTEX-U3ZN	19	15	12	0	49
GTEX-13N1W	18	6	7	0	23
GTEX-111VG	12	5	3	0	22
GTEX-ZWKS	9	6	5	0	29
GTEX-1AX9J	12	5	5	0	18
GTEX-15CHQ	12	8	7	0	16
GTEX-1LVAO	13	6	3	0	20
GTEX-11EI6	13	6	7	0	18
GTEX-17KNJ	6	3	5	0	18
GTEX-1ICLZ	12	7	5	0	17
GTEX-1M5QR	19	15	13	0	34
GTEX-XPVG	8	8	7	0	29
GTEX-ZT9X	9	3	4	0	11
GTEX-P4PQ	20	9	7	0	29
GTEX-1GN73	10	7	5	1	21
GTEX-183WM	4	5	2	0	9
GTEX-14E6D	17	7	7	0	27
GTEX-1S82Y	16	12	9	0	46
GTEX-18A66	7	4	3	0	16
GTEX-1QAET	10	4	7	0	20
GTEX-13PVR	11	5	5	0	20
GTEX-ZE7O	6	7	3	0	17
GTEX-18A7A	7	6	4	0	18
GTEX-WHSB	13	10	5	0	22
GTEX-1PBJJ	8	6	6	0	18
GTEX-R55G	12	4	6	0	17
GTEX-145MH	3	2	1	0	10
GTEX-16XZY	6	2	1	0	7
GTEX-13X6H	16	6	8	0	29
GTEX-11GSP	8	4	4	0	19
GTEX-12WSJ	12	5	3	1	18
GTEX-N7MS	2	3	2	0	9
GTEX-1IDJE	15	10	11	0	31
GTEX-14PJ5	7	4	3	0	18
GTEX-16XZZ	10	3	7	0	20
GTEX-13OW6	5	4	3	0	11
GTEX-WOFM	15	15	9	1	42
GTEX-13PLJ	7	4	6	0	12
GTEX-18465	9	9	5	0	25
GTEX-1128S	6	4	3	0	12
GTEX-1QP66	15	9	4	0	25
GTEX-QVJO	3	2	0	0	6
GTEX-147JS	11	4	6	0	24
GTEX-144GL	4	3	3	0	7
GTEX-14PJ6	8	6	6	1	16
GTEX-OXRL	11	6	7	0	20
GTEX-14PJM	6	2	3	0	13
GTEX-117XS	9	8	4	0	21
GTEX-1B8KZ	6	6	6	0	14
GTEX-11ONC	10	5	6	0	21
GTEX-13QIC	5	5	3	0	15
GTEX-11ZTT	8	6	6	0	21
GTEX-12KS4	6	3	3	0	14
GTEX-11I78	8	4	5	0	19
GTEX-1GPI6	9	9	6	0	23
GTEX-Z93S	6	7	6	0	20
GTEX-111YS	8	4	6	0	17
GTEX-139TS	6	4	5	0	22
GTEX-1O9I2	4	1	3	0	11
GTEX-13QJ3	15	6	5	0	25
GTEX-ZYFD	5	2	1	0	7
GTEX-14JG1	6	3	3	0	10
GTEX-ZA64	6	3	6	0	14
GTEX-12ZZX	7	4	2	0	15
GTEX-WHSE	4	5	4	0	15
GTEX-1F88F	6	6	4	0	18
GTEX-1LG7Y	13	5	6	0	28
GTEX-14XAO	20	7	12	1	45
GTEX-ZZPU	10	6	5	0	26
