individual	chr19:47757148:47780725:cluster43102	chr19:47757178:47780725:cluster43102	chr19:47778734:47780725:cluster43102	chr19:47778814:47779497:cluster43102	chr19:47778814:47779648:cluster43102	chr19:47778814:47780373:cluster43102	chr19:47778814:47780725:cluster43102	chr19:47780149:47780725:cluster43102	chr19:47780194:47780725:cluster43102	chr19:47780226:47780725:cluster43102	chr19:47780256:47780725:cluster43102	chr19:47780308:47780725:cluster43102	chr19:47780917:47781108:cluster43102	chr19:47781000:47781108:cluster43102	chr19:47781182:47781290:cluster43102	chr19:47781182:47781294:cluster43102	chr19:47781388:47784290:cluster43102	chr19:47781388:47784406:cluster43102
GTEX-1LSNL	0	1	83	1	0	5	1667	6	16	4	3	7	2168	23	3249	0	3132	5
GTEX-1IDJD	0	0	0	1	1	6	2189	2	23	3	5	12	2202	16	3548	4	3507	2
GTEX-1IDJC	0	2	0	0	0	7	1896	2	21	0	2	8	1823	12	3017	1	3030	5
GTEX-14ABY	0	0	0	1	3	13	2923	8	49	10	16	9	2757	17	4620	3	4588	7
GTEX-13OVL	0	0	0	0	0	3	1998	6	23	5	9	11	2017	13	3140	0	3175	5
GTEX-QEG4	0	0	0	0	0	5	1253	0	24	0	3	8	1424	9	2005	1	2114	2
GTEX-14JIY	1	0	0	0	0	5	2358	4	35	4	17	14	2518	27	3997	0	4105	10
GTEX-R55E	0	0	0	0	0	2	1786	3	19	3	5	8	2021	6	2881	4	2747	5
GTEX-YEC4	0	1	0	0	0	7	2147	4	30	4	6	14	2153	25	3349	0	3402	6
GTEX-YB5E	0	1	0	0	0	2	1266	0	4	2	3	10	1240	10	2012	0	1964	3
GTEX-SUCS	0	0	0	0	0	2	1594	6	20	3	1	16	1784	9	2750	0	2876	16
GTEX-Y8E4	3	3	0	0	3	5	1909	6	20	2	3	11	1963	26	3000	3	3077	13
GTEX-1KD4Q	0	0	0	0	0	8	3133	9	37	5	13	10	3328	20	5104	6	5547	13
GTEX-12WSM	0	0	0	1	0	4	1428	2	18	4	7	8	1457	10	2357	3	2365	7
GTEX-14PJO	1	1	0	0	0	0	712	4	10	2	0	2	796	1	1173	2	1218	0
GTEX-1CAMR	2	0	0	0	1	2	1221	6	17	1	8	4	1264	8	2097	0	2222	8
GTEX-14A6H	0	0	0	1	0	3	1256	2	27	0	2	5	1326	8	2124	0	2227	4
GTEX-11EQ9	1	0	0	0	0	3	1076	2	5	0	3	3	1020	3	1688	0	1610	4
GTEX-13W46	1	5	0	0	0	0	1056	2	15	0	1	5	1191	11	1906	0	1834	3
GTEX-13OW5	0	1	0	0	0	4	1517	4	24	0	1	9	1571	24	2488	1	2607	5
GTEX-1GN1V	0	1	0	1	0	6	2319	0	22	2	4	8	2200	17	3515	4	3534	9
GTEX-1C475	1	1	0	1	0	3	2403	12	30	2	8	12	2250	12	3571	3	3648	4
GTEX-XBED	1	0	0	0	0	3	1942	2	8	2	0	6	2121	10	3047	0	3319	6
