individual	chr1:154435156:154435969:cluster59328	chr1:154435156:154448125:cluster59328	chr1:154436110:154445950:cluster59328	chr1:154436110:154448125:cluster59328	chr1:154445094:154448125:cluster59328	chr1:154446042:154448125:cluster59328
GTEX-YB5E	154	2	20	94	0	39
GTEX-1IDJD	130	9	1	111	2	0
GTEX-11P82	267	18	2	210	0	2
GTEX-QEG4	15	1	0	10	0	0
GTEX-14JIY	24	2	0	18	0	0
GTEX-SUCS	257	14	2	199	0	0
GTEX-Y8E4	242	12	1	170	1	1
GTEX-1KD4Q	36	2	0	30	0	0
GTEX-12WSM	34	3	0	37	0	0
GTEX-YF7O	324	16	0	269	2	0
GTEX-1QMI2	14	0	0	9	0	0
GTEX-13X6I	118	6	0	110	0	1
GTEX-14PJO	125	9	1	86	1	0
GTEX-1CAMR	329	12	0	262	2	1
GTEX-1KXAM	430	39	1	361	2	3
GTEX-11EQ9	187	12	0	150	3	0
GTEX-13OVJ	144	11	1	96	1	0
GTEX-13W46	139	12	1	114	0	0
GTEX-13OW5	188	9	0	157	1	2
GTEX-ZQG8	97	4	0	86	0	0
GTEX-1K9T9	46	2	0	35	0	0
GTEX-13NZA	58	5	0	45	0	0
GTEX-1GN1V	13	0	0	14	0	0
GTEX-14BMV	4	0	0	2	0	0
GTEX-XPT6	400	22	4	282	2	2
GTEX-1AX9I	72	3	0	67	0	0
GTEX-1KANA	140	15	0	121	1	0
GTEX-1JN76	57	2	0	49	0	0
GTEX-1RQEC	23	1	0	16	0	0
GTEX-Y5V5	196	17	0	171	0	0
GTEX-1S5VW	149	9	0	113	0	0
GTEX-1C64N	52	6	0	43	0	0
GTEX-13JVG	124	5	0	102	0	0
GTEX-SIU8	6	1	0	3	0	0
GTEX-P78B	177	14	0	130	1	0
GTEX-1122O	233	9	0	179	1	1
GTEX-TMZS	11	0	0	7	0	0
GTEX-1LC47	470	24	0	383	6	1
GTEX-11DXX	179	13	2	136	0	1
GTEX-13PL6	22	2	0	12	0	0
GTEX-15UF6	167	11	1	113	0	0
GTEX-1I6K7	163	10	0	143	1	0
GTEX-X4XY	182	16	1	161	0	0
GTEX-P4PP	46	3	0	38	0	0
GTEX-13RTK	195	9	1	131	1	0
GTEX-1CB4H	96	4	0	85	1	0
GTEX-1C6VQ	72	7	0	55	0	0
GTEX-1OFPY	109	10	0	106	1	1
GTEX-11NUK	9	1	0	8	0	0
GTEX-131YS	12	1	0	10	0	0
GTEX-14PJN	144	11	1	136	0	0
GTEX-XQ8I	231	13	0	188	4	2
GTEX-147F4	6	0	0	7	0	0
GTEX-13W3W	133	12	1	119	1	0
GTEX-1AX9K	258	17	1	202	2	1
GTEX-1GZ2Q	32	1	0	28	0	0
GTEX-12ZZY	14	2	0	17	0	0
GTEX-1JKYN	124	10	0	106	0	0
GTEX-18A7B	197	12	0	163	1	0
GTEX-XBEW	261	19	1	213	2	3
GTEX-145LU	15	0	0	13	0	0
GTEX-13X6J	25	2	0	26	0	0
GTEX-1KD5A	88	4	0	70	0	0
GTEX-1S83E	269	14	0	198	0	0
GTEX-UTHO	108	6	0	76	0	0
GTEX-1GF9W	190	11	0	148	1	2
GTEX-18A6Q	17	1	0	9	0	0
GTEX-1I4MK	272	18	0	200	1	0
GTEX-169BO	296	17	0	221	1	0
GTEX-1MCYP	437	23	2	392	4	3
GTEX-16NPX	175	6	0	143	1	1
GTEX-15ETS	150	11	0	121	2	1
GTEX-1212Z	35	2	0	36	0	0
GTEX-12C56	173	8	0	123	1	0
GTEX-TSE9	217	10	1	163	2	0
GTEX-1N2DW	15	1	0	10	0	0
GTEX-PLZ5	66	6	0	53	0	0
GTEX-1C2JI	263	26	1	212	1	1
GTEX-1K2DA	567	29	3	478	3	3
GTEX-QEL4	102	7	0	84	0	1
GTEX-T5JC	21	0	0	17	0	0
GTEX-14BMU	357	35	0	287	4	2
GTEX-1399T	14	0	0	10	0	0
GTEX-1QP9N	116	8	0	98	2	0
GTEX-11ZUS	8	0	0	6	0	0
GTEX-1B97J	148	11	1	121	0	0
GTEX-1F75A	27	1	0	20	0	0
GTEX-13O3Q	19	1	0	16	0	0
GTEX-146FQ	29	2	0	32	0	0
GTEX-13QBU	196	8	1	138	1	2
GTEX-XGQ4	109	5	0	94	0	1
GTEX-13U4I	24	2	0	21	0	0
GTEX-RNOR	13	0	0	12	0	0
GTEX-1B97I	232	11	0	196	0	0
GTEX-XOT4	18	1	0	12	0	0
GTEX-1IDFM	114	8	1	97	0	1
GTEX-17GQL	166	12	0	137	0	0
GTEX-11GSO	44	5	0	35	0	0
GTEX-OXRK	251	24	3	211	3	2
GTEX-1339X	307	24	0	257	0	3
GTEX-ZZ64	201	10	0	149	0	0
GTEX-1JMQI	355	38	0	315	4	1
GTEX-11OF3	15	1	0	15	0	0
GTEX-1R46S	148	9	0	106	0	0
GTEX-ZV68	91	5	1	63	0	0
GTEX-1P4AB	149	11	1	127	2	2
GTEX-11UD2	48	2	0	40	0	0
GTEX-1KWVE	18	0	0	16	0	0
GTEX-1CB4F	35	2	0	26	0	0
GTEX-1M4P7	9	1	0	7	0	0
GTEX-17EVQ	29	2	0	20	0	0
GTEX-ZF3C	72	7	0	70	0	0
GTEX-PWCY	226	15	0	190	0	2
GTEX-Y111	24	1	0	20	0	0
GTEX-14BIL	84	6	0	81	0	0
GTEX-18A67	190	17	0	137	1	0
GTEX-1GMRU	17	2	0	13	0	0
GTEX-1A3MW	174	13	0	164	3	1
GTEX-OIZH	345	26	1	293	2	3
GTEX-YEC3	242	21	2	189	1	3
GTEX-1269C	42	5	0	38	0	0
GTEX-1LVA9	37	2	0	36	0	0
GTEX-1192X	245	11	0	199	2	2
GTEX-1MUQO	355	24	2	340	0	1
GTEX-15D79	31	3	0	22	0	0
GTEX-1EU9M	18	1	0	15	0	0
GTEX-T2IS	20	2	0	16	0	0
GTEX-117YW	18	2	0	10	0	0
GTEX-111VG	12	1	0	5	0	0
GTEX-1F6IF	5	0	0	6	0	0
GTEX-1F7RK	6	0	0	7	0	0
GTEX-YJ8O	7	0	0	6	0	0
GTEX-15CHQ	14	0	0	15	0	0
GTEX-1LVAO	21	1	0	11	0	0
GTEX-Y9LG	221	17	0	152	1	0
GTEX-17KNJ	70	5	0	57	0	0
GTEX-15RIF	218	19	0	178	3	1
GTEX-XPVG	249	23	2	198	1	3
GTEX-1AMEY	241	16	0	169	2	1
GTEX-1S82Y	82	5	0	65	0	0
GTEX-18A66	126	12	0	105	0	1
GTEX-XBEC	50	3	0	38	0	0
GTEX-1QAET	145	10	1	140	1	1
GTEX-13O21	217	21	1	203	2	0
GTEX-ZTPG	65	2	0	51	0	0
GTEX-YB5K	105	7	0	72	0	0
GTEX-ZE7O	4	0	0	2	0	0
GTEX-13SLW	22	2	0	14	0	0
GTEX-16GPK	12	0	0	7	0	0
GTEX-1PIEJ	227	12	0	174	2	0
GTEX-15CHR	125	5	0	102	1	0
GTEX-13112	28	1	0	21	0	0
