individual	chr11:62676639:62676813:cluster55667	chr11:62676639:62676943:cluster55667	chr11:62676639:62677518:cluster55667	chr11:62677005:62677518:cluster55667
GTEX-ZZ64	302	20	0	521
GTEX-ZYY3	247	0	1	449
GTEX-UPJH	225	0	1	398
GTEX-14JIY	159	0	0	274
GTEX-YEC4	209	0	1	329
GTEX-YB5E	432	0	3	773
GTEX-ZYT6	159	0	1	288
GTEX-YF7O	302	0	1	503
GTEX-1QMI2	248	0	1	431
GTEX-WHPG	424	0	1	701
GTEX-13W46	290	0	1	503
GTEX-13OW5	174	0	0	299
GTEX-13NZA	130	0	1	224
GTEX-1GN1V	223	0	1	376
GTEX-14C38	183	0	1	292
GTEX-1C475	276	0	1	501
GTEX-1F75W	246	0	1	436
GTEX-146FR	336	0	1	590
GTEX-1KANA	406	0	1	700
GTEX-13JVG	251	0	2	438
GTEX-ZPIC	163	0	1	254
GTEX-15SHU	184	0	0	305
GTEX-17MFQ	151	0	1	264
GTEX-139T6	363	0	1	630
GTEX-14DAR	326	0	2	568
GTEX-ZDXO	110	0	0	198
GTEX-1I6K7	335	0	2	542
GTEX-131XW	130	0	1	206
GTEX-1399R	236	0	2	393
GTEX-113JC	103	0	0	171
GTEX-13RTK	347	0	2	618
GTEX-PWN1	108	0	1	195
GTEX-14PJ4	256	0	2	419
GTEX-12696	337	0	2	546
GTEX-XQ8I	272	0	1	432
GTEX-147F4	203	0	1	316
GTEX-13W3W	291	0	1	530
GTEX-1AX9K	237	0	1	412
GTEX-1B933	117	0	1	194
GTEX-XUW1	205	0	0	349
GTEX-12ZZY	122	0	0	218
GTEX-1GMR3	200	0	0	334
GTEX-1C6WA	256	0	1	410
GTEX-18A7B	301	0	2	489
GTEX-XBEW	662	0	3	1054
GTEX-111FC	146	0	0	236
GTEX-13X6J	181	0	0	314
GTEX-ZDYS	204	0	0	342
GTEX-1NUQO	375	0	1	607
GTEX-ZUA1	158	0	0	258
GTEX-1GF9W	193	0	1	342
GTEX-17EUY	471	0	2	834
GTEX-1L5NE	369	0	2	603
GTEX-169BO	435	0	1	745
GTEX-15ETS	495	0	1	827
GTEX-1F5PL	378	0	3	632
GTEX-1GPI7	381	0	2	635
GTEX-Y8DK	260	0	2	419
GTEX-TSE9	218	0	0	368
GTEX-W5WG	307	0	1	499
GTEX-1ICG6	297	0	1	537
GTEX-1N2DW	245	0	1	385
GTEX-13O3O	164	0	0	276
GTEX-1K2DA	1072	0	6	1836
GTEX-ZF2S	222	0	2	367
GTEX-1F75A	244	0	2	415
GTEX-P44G	111	0	0	178
GTEX-13QBU	297	0	2	511
GTEX-XGQ4	247	0	1	387
GTEX-WYJK	449	0	3	782
GTEX-WRHK	540	0	3	959
GTEX-13FTW	354	0	1	588
GTEX-1E1VI	123	0	0	209
GTEX-11ZVC	210	0	0	349
GTEX-17HGU	146	0	1	253
GTEX-1C6VR	117	0	0	203
GTEX-QV44	241	0	1	396
GTEX-11OF3	143	0	1	253
GTEX-Y111	150	0	1	270
GTEX-SJXC	149	0	0	249
GTEX-1GMRU	200	0	0	343
GTEX-X261	503	0	1	837
GTEX-1269C	143	0	0	235
GTEX-1R9PM	429	0	3	702
GTEX-1LVA9	225	0	0	380
GTEX-1RAZA	564	0	2	972
GTEX-117YW	178	0	0	303
GTEX-Q2AG	42	0	0	62
GTEX-YJ8O	118	0	0	202
GTEX-ZC5H	265	0	1	460
GTEX-Y5LM	606	0	3	1007
GTEX-17KNJ	220	0	1	343
GTEX-XPVG	365	0	3	642
GTEX-ZT9X	272	0	1	459
GTEX-14E6D	195	0	0	326
GTEX-15CHC	335	0	2	559
GTEX-1QCLZ	410	0	3	734
GTEX-13PVR	223	0	1	362
GTEX-PLZ6	116	0	1	212
GTEX-15CHR	264	0	1	458
GTEX-ZAK1	135	0	1	230
GTEX-1PBJJ	361	0	2	624
