individual	chr5:79791069:79791396:cluster67047	chr5:79791069:79793437:cluster67047	chr5:79791069:79799370:cluster67047	chr5:79791539:79793437:cluster67047	chr5:79793610:79794031:cluster67047	chr5:79793610:79799370:cluster67047
GTEX-TSE9	75	3693	4	63	3	3421
GTEX-14ABY	0	4159	3	0	0	4356
GTEX-11P82	2	5195	6	0	2	5322
GTEX-QEG4	0	3303	5	0	2	3485
GTEX-14JIY	1	3356	2	0	1	3518
GTEX-YEC4	2	3105	4	1	0	3257
GTEX-SUCS	0	5992	6	0	1	6045
GTEX-1QW4Y	1	3993	8	0	3	4361
GTEX-Y8E4	1	6750	16	1	0	6767
GTEX-15EO6	3	6051	5	0	3	6128
GTEX-YF7O	1	3893	3	2	2	4079
GTEX-WHPG	1	6857	20	3	3	7239
GTEX-14A6H	1	3933	9	0	4	3871
GTEX-13W46	0	4366	11	2	0	4418
GTEX-16MTA	2	5323	14	0	0	5721
GTEX-ZQG8	2	5083	6	2	1	5417
GTEX-1K9T9	0	3130	10	0	2	3199
GTEX-13NZA	0	4146	6	0	1	4187
GTEX-14C38	0	1969	3	0	0	2146
GTEX-XBED	0	3594	4	0	0	3742
GTEX-XPT6	0	5857	12	0	3	5932
GTEX-U4B1	1	3701	9	0	0	3715
GTEX-146FR	0	5566	14	1	2	6041
GTEX-17F96	0	10669	12	0	13	11474
GTEX-14JG6	3	4256	7	0	1	4271
GTEX-Y5V5	1	6107	15	4	4	6369
GTEX-16YQH	0	4364	7	1	1	4309
GTEX-14PQA	1	3869	7	0	2	3866
GTEX-13JVG	0	3366	5	0	2	3386
GTEX-ZAB5	1	4915	17	0	2	5173
GTEX-1LB8K	0	4814	3	0	6	4918
GTEX-15SHU	0	4183	6	0	5	4277
GTEX-11DXX	0	4651	14	0	0	4828
GTEX-13PL6	0	2671	6	0	1	2789
GTEX-14DAR	0	5077	2	1	3	5406
GTEX-1I6K7	4	4062	5	2	3	4314
GTEX-1399R	2	2939	4	0	1	3063
GTEX-13CF2	0	3265	2	1	2	3364
GTEX-13RTK	2	4757	7	0	1	4821
GTEX-ZXG5	0	6154	10	0	7	6199
GTEX-1F75B	1	4983	3	0	4	5224
GTEX-11NUK	1	3496	9	0	1	3826
GTEX-14PJN	1	3429	5	2	1	3562
GTEX-147F4	0	3747	5	0	2	3867
GTEX-WZTO	1	4156	9	0	0	4200
GTEX-1GZ2Q	0	2946	4	0	3	3044
GTEX-1313W	1	3328	4	0	3	3268
GTEX-12ZZY	0	2833	4	1	1	3114
GTEX-18A7B	0	5708	13	0	9	5762
GTEX-XBEW	1	5574	9	0	3	5926
GTEX-183FY	1	4350	11	0	2	4747
GTEX-145LU	0	3179	6	0	5	3286
GTEX-1LSNL	0	3388	10	2	3	3641
GTEX-UTHO	0	6232	14	3	1	6569
GTEX-ZLV1	1	3924	5	0	1	4113
GTEX-18A6Q	2	4368	3	0	0	4464
GTEX-13FTZ	1	3508	1	0	4	3636
GTEX-17EUY	0	5612	22	0	3	5898
GTEX-1L5NE	0	6081	15	1	0	6141
GTEX-169BO	1	7249	9	0	2	7555
GTEX-1212Z	2	5581	6	0	4	5761
GTEX-1F5PL	0	5591	10	0	5	5922
GTEX-Y8DK	0	4510	6	0	0	4673
GTEX-ZYFG	0	4237	13	0	2	4606
GTEX-W5WG	0	3184	4	0	1	3341
GTEX-13O3O	0	3992	4	0	5	4231
GTEX-SN8G	3	8245	13	0	3	8297
GTEX-1C2JI	2	4892	15	0	6	5345
GTEX-1LH75	1	5612	7	0	0	5655
GTEX-U8T8	1	3200	6	0	2	3304
GTEX-T5JC	0	3821	9	0	6	3786
GTEX-ZV6S	3	5830	25	0	4	5947
GTEX-WEY5	1	9519	20	0	7	9947
GTEX-14BMU	1	3284	5	0	3	3496
GTEX-1399T	1	2742	3	0	0	2943
GTEX-14LZ3	0	3104	3	0	2	3166
GTEX-13N2G	1	5480	5	0	5	5891
GTEX-13G51	0	2290	7	0	1	2456
GTEX-WYJK	3	9304	20	0	0	9403
GTEX-1B97I	4	3493	6	0	2	3591
GTEX-1A3MX	0	4783	6	3	6	4862
GTEX-PLZ4	0	1459	2	0	0	1476
GTEX-11GSO	2	3576	2	1	2	3689
GTEX-1FIGZ	0	3181	7	0	2	3480
GTEX-OXRK	0	4021	2	1	2	4301
GTEX-WRHK	5	6050	10	3	5	6365
GTEX-13FTW	0	3935	9	0	2	3956
GTEX-QV44	0	4607	7	0	0	4867
GTEX-1R46S	0	4796	12	0	4	5291
GTEX-ZV68	0	4330	10	0	4	4767
GTEX-1KWVE	0	4419	8	0	1	4691
GTEX-PWCY	0	5270	7	1	2	5769
GTEX-14BIL	1	4058	5	0	1	4373
GTEX-SJXC	5	6809	7	0	0	6896
GTEX-1GMRU	3	4391	13	1	1	4606
GTEX-1A3MW	0	3245	4	0	3	3313
GTEX-11ZU8	0	3592	3	0	2	3645
GTEX-1LVA9	0	3832	3	0	2	3966
GTEX-1MUQO	1	6767	11	0	3	7070
GTEX-15D79	0	4635	11	0	0	4916
GTEX-13OVH	3	6445	14	0	2	6828
GTEX-145MO	4	5188	5	0	5	5408
GTEX-16BQI	2	7982	29	2	5	8134
GTEX-117YW	3	3627	5	0	0	3753
GTEX-16MT8	7	6494	7	1	3	6684
GTEX-1F6IF	0	4952	5	0	5	5190
GTEX-1AX9J	3	5174	16	2	1	5376
GTEX-1QEPI	1	6141	16	0	1	6141
GTEX-ZC5H	1	2688	2	0	1	2887
GTEX-1EWIQ	2	4431	9	2	2	4333
GTEX-Y5LM	0	3558	5	2	5	3784
GTEX-QDT8	0	3321	4	0	4	3492
GTEX-1A8FM	1	3666	7	0	0	3746
GTEX-15RIF	0	7616	21	0	4	7521
GTEX-P4PQ	0	2592	2	0	3	2794
GTEX-1AMEY	0	5892	14	0	6	6228
GTEX-1GN73	0	5050	12	1	2	5566
GTEX-11LCK	0	2808	9	0	2	3002
GTEX-RTLS	0	2401	1	0	3	2512
GTEX-XBEC	0	3210	4	0	2	3425
GTEX-15CHC	0	4858	11	0	6	5145
GTEX-1399U	0	5102	15	0	1	5373
GTEX-15CHR	0	3159	10	0	3	3405
GTEX-13112	0	3689	1	1	2	3839
GTEX-ZAK1	0	3059	3	0	5	3243
GTEX-1GZ4I	0	5381	10	0	4	5786
GTEX-13OW8	0	2779	6	0	4	3008
GTEX-145MH	0	2590	3	0	2	2783
GTEX-1E2YA	0	4442	3	0	1	4602
GTEX-1F52S	0	7329	13	0	5	7731
GTEX-1LVAM	3	5072	13	0	2	5080
GTEX-14PJ5	1	4028	9	2	0	4280
GTEX-133LE	0	3367	4	1	0	3501
GTEX-1K2DU	0	5340	14	1	3	5641
GTEX-ZPCL	0	4666	8	0	1	4936
GTEX-WOFM	8	10999	26	3	12	11277
GTEX-1C4CL	0	5284	15	0	3	5506
GTEX-1A8G6	0	3877	5	0	2	3875
GTEX-15SHV	1	5019	9	2	11	5123
GTEX-13PLJ	0	2511	4	1	3	2679
GTEX-RN64	0	3110	8	0	3	3375
GTEX-1QP66	0	6294	13	2	7	6477
GTEX-147JS	0	2645	7	0	2	2912
GTEX-15SB6	1	7652	17	0	3	8057
GTEX-14PJ6	3	5326	7	0	2	5588
GTEX-1MCQQ	0	5256	8	0	6	5274
GTEX-11NSD	2	3305	7	1	1	3634
GTEX-1B8KZ	0	3225	10	0	5	3355
GTEX-1EH9U	0	7436	11	0	14	7876
GTEX-139YR	1	5812	22	0	4	6256
GTEX-15SKB	0	5128	9	2	7	5055
GTEX-11ONC	0	3098	4	0	0	3223
GTEX-13QIC	2	2303	6	0	1	2449
GTEX-11I78	0	4567	12	0	2	4736
GTEX-1GPI6	1	4011	5	1	0	4184
GTEX-X4EO	0	5440	8	0	0	5660
GTEX-14H4A	2	3586	16	0	3	3730
GTEX-1O9I2	0	3660	2	0	6	3844
GTEX-14JG1	0	3755	6	0	0	3968
GTEX-1JJ6O	2	6037	7	0	4	6414
GTEX-13OVK	0	4008	14	0	2	4269
GTEX-12ZZX	0	3456	4	0	0	3477
GTEX-1F88F	0	3856	10	0	3	3797
GTEX-OIZF	2	4355	7	0	2	4688
GTEX-1GN2E	0	2658	5	0	0	2851
GTEX-1JMQK	3	4049	8	0	6	4349
GTEX-ZGAY	7	7342	17	5	2	7630
