individual	chr19:47755822:47756528:cluster11031	chr19:47755822:47756688:cluster11031	chr19:47756346:47756528:cluster11031	chr19:47756604:47756688:cluster11031
GTEX-11XUK	409	20	0	426
GTEX-1IDJC	1047	0	1	1004
GTEX-147F3	341	0	0	341
GTEX-YB5E	587	0	1	591
GTEX-Y8E4	568	0	0	565
GTEX-12WSM	336	0	0	318
GTEX-13X6I	443	0	1	417
GTEX-1CAMR	366	0	0	375
GTEX-13PL7	500	0	0	501
GTEX-13OVJ	390	0	0	387
GTEX-ZQG8	598	0	1	608
GTEX-U3ZG	658	0	0	652
GTEX-139T4	1172	0	1	1197
GTEX-ZF28	510	0	0	496
GTEX-1F75W	689	0	0	681
GTEX-1B8KE	306	0	0	307
GTEX-1KANA	582	0	0	562
GTEX-X4XX	519	0	0	499
GTEX-1LB8K	531	0	0	538
GTEX-15SHU	488	0	0	482
GTEX-1LC47	1102	0	2	1026
GTEX-14753	319	0	0	309
GTEX-13FTX	356	0	0	336
GTEX-ZDXO	224	0	0	217
GTEX-1I6K7	619	0	0	584
GTEX-X4XY	468	0	0	467
GTEX-15UF7	778	0	0	760
GTEX-113JC	294	0	0	276
GTEX-1PPGY	999	0	0	978
GTEX-ZXG5	501	0	0	491
GTEX-1C6VQ	701	0	0	667
GTEX-14PJN	372	0	0	368
GTEX-145LU	328	0	0	322
GTEX-13X6J	589	0	0	582
GTEX-1LNCM	365	0	0	353
GTEX-1S83E	1074	0	0	1030
GTEX-1NUQO	579	0	0	553
GTEX-13FTZ	362	0	0	369
GTEX-11EM3	431	0	0	411
GTEX-1MCYP	757	0	0	714
GTEX-131XG	562	0	0	550
GTEX-1JMQJ	602	0	0	601
GTEX-1GN1W	493	0	0	462
GTEX-1S82P	649	0	0	623
GTEX-1211K	505	0	0	473
GTEX-W5WG	347	0	0	325
GTEX-PLZ5	476	0	0	485
GTEX-13O3O	366	0	0	359
GTEX-QEL4	100	0	0	99
GTEX-U8T8	441	0	0	419
GTEX-14BMU	361	0	0	353
GTEX-146FQ	1020	0	1	967
GTEX-13QBU	474	0	0	469
GTEX-13G51	339	0	0	331
GTEX-1A3MX	1021	0	0	989
GTEX-11GSO	352	0	0	352
GTEX-OXRK	387	0	0	388
GTEX-QEG5	515	0	1	523
GTEX-17HGU	371	0	0	360
GTEX-1JMQI	676	0	0	648
GTEX-11OF3	347	0	0	331
GTEX-1P4AB	1076	0	2	1091
GTEX-1KWVE	518	0	0	499
GTEX-1M4P7	1264	0	0	1250
GTEX-PWCY	737	0	0	704
GTEX-14BIL	500	0	0	495
GTEX-X261	664	0	0	651
GTEX-1R9PN	1891	0	3	1812
GTEX-Y3I4	654	0	1	643
