individual	chr9:133352142:133352415:cluster65202	chr9:133352142:133352446:cluster65202	chr9:133352766:133353749:cluster65202	chr9:133352766:133354659:cluster65202	chr9:133353940:133354659:cluster65202
GTEX-12696	17	112	76	2	99
GTEX-14ABY	0	239	155	3	160
GTEX-11P82	0	380	242	3	259
GTEX-QEG4	0	122	87	3	78
GTEX-14JIY	0	153	102	2	112
GTEX-R55E	0	108	79	1	69
GTEX-YB5E	0	240	180	2	184
GTEX-SUCS	0	211	149	2	161
GTEX-12WSM	0	177	111	2	129
GTEX-15EO6	0	288	194	5	189
GTEX-YF7O	0	140	101	2	97
GTEX-13X6I	0	130	103	2	100
GTEX-14PJO	0	119	81	0	82
GTEX-WHPG	0	246	169	5	166
GTEX-1CAMR	0	355	255	6	250
GTEX-1KXAM	0	347	231	2	236
GTEX-13PL7	0	236	163	3	175
GTEX-13W46	0	303	210	1	193
GTEX-16MTA	0	233	172	1	159
GTEX-ZQG8	0	322	205	3	210
GTEX-U3ZG	0	210	165	4	145
GTEX-1GN1V	0	211	128	2	147
GTEX-14C38	0	154	99	2	110
GTEX-1C475	0	165	113	1	100
GTEX-ZF28	0	169	104	1	121
GTEX-U4B1	0	141	100	0	105
GTEX-1F75W	0	247	169	4	150
GTEX-146FR	0	166	127	1	107
GTEX-ZVT2	0	168	114	2	110
GTEX-13JVG	0	160	114	4	114
GTEX-P78B	0	197	136	1	133
GTEX-1122O	0	129	103	1	85
GTEX-1LC47	0	277	205	4	204
GTEX-14753	0	144	97	2	90
GTEX-RWS6	0	160	93	2	99
GTEX-ZDXO	0	115	85	2	69
GTEX-131XW	0	140	94	3	95
GTEX-113JC	0	92	62	1	62
GTEX-13CF2	0	145	105	0	97
GTEX-13RTK	0	219	174	4	172
GTEX-ZXG5	0	184	123	4	117
GTEX-11NUK	0	118	80	2	79
GTEX-14PJN	0	148	90	1	101
GTEX-XQ8I	0	129	106	1	91
GTEX-147F4	0	139	85	2	89
GTEX-13W3W	0	210	141	2	126
GTEX-XUW1	0	115	83	0	73
GTEX-12ZZY	0	152	116	1	100
GTEX-1GMR3	0	156	118	1	105
GTEX-18A7B	0	216	146	2	128
GTEX-XBEW	0	440	304	1	312
GTEX-111FC	0	206	126	2	124
GTEX-UTHO	0	242	172	2	149
GTEX-ZDYS	0	117	95	2	88
GTEX-1NUQO	0	177	123	4	138
GTEX-1GF9W	0	179	115	1	124
GTEX-18A6Q	0	235	176	2	176
GTEX-17EUY	0	250	200	4	181
GTEX-1LGOU	0	209	149	2	169
GTEX-1L5NE	0	200	131	2	152
GTEX-1I4MK	0	234	187	4	171
GTEX-131XG	0	138	103	2	87
GTEX-15ETS	0	293	200	2	195
GTEX-WK11	0	219	173	1	162
GTEX-1RAZR	0	379	270	3	266
GTEX-1QPFJ	0	245	160	4	158
GTEX-TMMY	0	315	246	3	245
GTEX-1C2JI	0	212	159	2	147
