individual	chr16:374892:375133:cluster6868	chr16:374892:375345:cluster6868	chr16:375256:375345:cluster6868
GTEX-1A3MV	75	20	71
GTEX-1IDJC	150	2	156
GTEX-14ABY	54	0	63
GTEX-13OVL	46	1	47
GTEX-ZYY3	148	2	162
GTEX-R55E	36	0	39
GTEX-1QW4Y	83	0	91
GTEX-Y8E4	123	1	131
GTEX-15EO6	107	2	110
GTEX-13X6I	66	0	75
GTEX-14A6H	122	0	131
GTEX-13OVJ	53	0	58
GTEX-1F88E	79	0	90
GTEX-U3ZG	50	1	52
GTEX-139T4	66	1	68
GTEX-1K9T9	52	0	57
GTEX-13NZA	46	0	51
GTEX-ZF28	84	0	83
GTEX-14BMV	66	0	67
GTEX-1F75W	49	0	58
GTEX-ZVT2	74	0	85
GTEX-1C64N	137	2	147
GTEX-16YQH	52	0	52
GTEX-1CB4G	39	0	42
GTEX-P78B	96	0	97
GTEX-ZAB5	95	0	97
GTEX-TMZS	26	0	26
GTEX-11DXX	103	0	104
GTEX-13PL6	61	0	59
GTEX-14DAR	79	1	77
GTEX-RWS6	65	0	67
GTEX-1I6K7	94	0	93
GTEX-X4XY	68	1	74
GTEX-15UF7	137	1	155
GTEX-1PPGY	83	0	92
GTEX-13RTK	90	1	106
GTEX-14PJ4	67	1	72
GTEX-11NUK	33	0	38
GTEX-14PJN	60	1	61
GTEX-1AX9K	75	1	83
GTEX-11VI4	68	1	76
GTEX-XUW1	58	0	62
GTEX-WZTO	39	0	45
GTEX-1313W	61	0	65
GTEX-12ZZY	34	0	40
GTEX-OIZI	45	0	49
GTEX-1JKYN	30	0	30
GTEX-18A7B	101	1	124
GTEX-183FY	136	0	144
GTEX-13X6J	55	0	62
GTEX-1LNCM	43	0	43
GTEX-UTHO	98	1	112
GTEX-ZUA1	32	0	36
GTEX-1GF9W	43	0	43
GTEX-17EUY	103	1	114
GTEX-1L5NE	86	0	97
GTEX-1I4MK	127	0	132
GTEX-169BO	182	1	184
GTEX-1MCYP	97	0	100
GTEX-16NPX	60	1	61
GTEX-15ETS	135	1	131
GTEX-1212Z	39	0	45
GTEX-1F5PL	79	1	80
GTEX-1GPI7	131	1	155
GTEX-1S82P	100	0	102
GTEX-TSE9	35	0	42
GTEX-W5WG	92	0	102
GTEX-1ICG6	133	2	130
GTEX-PLZ5	134	1	162
GTEX-SN8G	115	1	120
GTEX-1K2DA	236	1	232
GTEX-U8T8	96	1	109
GTEX-ZF2S	75	0	85
GTEX-ZV6S	115	1	121
GTEX-1QP9N	78	0	81
GTEX-1F75A	94	0	105
GTEX-146FQ	150	0	156
GTEX-13QBU	67	0	72
GTEX-XGQ4	61	1	57
GTEX-RNOR	39	0	47
GTEX-WYJK	182	1	175
GTEX-1A3MX	103	1	95
GTEX-PLZ4	47	0	47
GTEX-1FIGZ	83	0	86
GTEX-15RIG	99	1	107
GTEX-17HII	24	0	24
GTEX-11OF3	63	0	67
GTEX-1P4AB	113	0	116
GTEX-ZF3C	98	0	98
GTEX-Y111	39	0	40
GTEX-18A67	134	1	128
GTEX-X261	115	1	130
GTEX-Y3I4	69	1	66
GTEX-1192X	76	0	75
GTEX-1LSNM	119	2	131
GTEX-1RAZA	191	3	216
GTEX-13OVH	60	0	69
GTEX-U3ZN	200	3	218
GTEX-11ZTS	24	0	30
GTEX-T2IS	66	0	75
GTEX-WYVS	67	1	74
GTEX-16MT8	143	0	156
GTEX-1F6IF	65	1	72
GTEX-Q2AG	21	0	18
GTEX-1F7RK	46	0	43
GTEX-YJ8O	27	0	25
GTEX-OOBK	52	1	61
GTEX-1LVAO	66	1	61
GTEX-1EWIQ	45	0	46
GTEX-11EI6	88	1	91
GTEX-15RIF	155	1	157
GTEX-1M5QR	104	1	113
GTEX-ZT9X	86	0	96
GTEX-183WM	88	0	88
GTEX-11LCK	56	1	53
GTEX-OXRP	16	0	19
GTEX-14E6D	50	0	51
GTEX-1S82Y	140	0	149
GTEX-18A66	120	0	124
GTEX-XBEC	41	0	38
GTEX-13O21	111	2	128
GTEX-1314G	90	0	89
GTEX-QVUS	53	0	61
GTEX-16GPK	38	0	35
GTEX-1PIEJ	134	0	144
GTEX-132Q8	86	0	87
GTEX-13112	28	0	34
GTEX-145MH	37	0	41
GTEX-12WSG	70	1	69
GTEX-N7MS	52	0	57
GTEX-1IDJE	159	0	170
GTEX-144GM	74	0	81
GTEX-14PJ5	57	0	63
GTEX-133LE	62	0	61
GTEX-1K2DU	91	1	112
GTEX-O5YV	92	1	112
GTEX-14PII	54	0	61
GTEX-15ER7	125	1	115
GTEX-13OW6	44	0	41
GTEX-1LG7Z	112	1	132
GTEX-1R7EU	111	0	122
GTEX-U3ZM	92	0	98
GTEX-1A8G6	56	0	60
GTEX-SNMC	106	0	111
GTEX-15SHV	84	0	92
GTEX-1GZHY	53	0	53
GTEX-147JS	29	0	26
GTEX-QCQG	95	0	106
GTEX-1CB4E	37	0	39
GTEX-1EH9U	139	0	152
GTEX-139YR	144	2	147
GTEX-1445S	51	0	54
GTEX-15SKB	86	1	86
GTEX-U8XE	110	1	111
GTEX-11ONC	49	0	55
GTEX-12WSL	75	1	92
GTEX-12KS4	53	0	60
GTEX-1GMR8	75	0	80
GTEX-1GPI6	31	0	34
GTEX-1GN1U	89	0	95
GTEX-111YS	63	0	71
GTEX-139TS	74	0	75
GTEX-14PK6	50	1	54
GTEX-13QJ3	120	0	128
GTEX-ZA64	64	0	66
GTEX-1PIIG	48	0	57
GTEX-17JCI	36	0	35
GTEX-11XUK	46	0	53
GTEX-1JJ6O	102	1	111
GTEX-13OVK	70	0	69
GTEX-WRHU	82	0	85
GTEX-14XAO	155	1	144
GTEX-14E6E	65	0	74
GTEX-ZGAY	112	2	119
GTEX-ZVT4	37	0	43
GTEX-1R9JW	161	2	173
GTEX-1A8G7	80	0	78
GTEX-RM2N	74	0	77
GTEX-WFG7	34	0	38
GTEX-13FHO	72	0	73
GTEX-U3ZH	77	0	81
GTEX-Q2AI	12	0	16
GTEX-1477Z	66	0	65
GTEX-14BIM	102	0	114
GTEX-17F98	105	0	106
GTEX-111CU	74	1	88
GTEX-17F97	71	0	81
GTEX-13NZB	74	0	79
GTEX-PSDG	95	0	101
GTEX-Z9EW	32	0	29
GTEX-1QP67	110	0	118
GTEX-S95S	49	0	50
