individual	chr8:81478915:81479414:cluster26229	chr8:81478915:81480426:cluster26229	chr8:81479515:81480426:cluster26229	chr8:81480598:81483095:cluster26229	chr8:81480598:81483099:cluster26229
GTEX-N7MS	175	99	161	183	0
GTEX-1IDJC	2471	6	2990	1616	10
GTEX-14ABY	296	0	357	186	0
GTEX-ZYY3	398	0	450	255	0
GTEX-147F3	193	0	222	133	0
GTEX-YEC4	194	0	215	118	0
GTEX-Y8E4	460	0	578	335	1
GTEX-12WSM	369	0	462	244	1
GTEX-15EO6	280	0	347	185	0
GTEX-YF7O	261	0	330	175	1
GTEX-13X6I	2925	9	3588	1912	6
GTEX-14PJO	174	0	228	131	0
GTEX-WHPG	136	0	142	81	0
GTEX-1CAMR	220	1	261	156	0
GTEX-1AX8Z	279	0	303	179	0
GTEX-1KXAM	792	0	976	538	4
GTEX-11EQ9	335	2	398	214	0
GTEX-13W46	450	0	536	278	1
GTEX-13OW5	129	0	154	86	0
GTEX-U3ZG	1022	4	1191	642	1
GTEX-139T4	923	2	1120	558	2
GTEX-13NZA	141	1	171	92	0
GTEX-1GN1V	276	0	314	193	0
GTEX-14C38	56	0	71	37	0
GTEX-14BMV	112	0	129	81	0
GTEX-U4B1	234	0	251	150	0
GTEX-1F75W	294	0	361	213	1
GTEX-146FR	195	0	215	120	1
GTEX-Y5V5	268	1	288	177	0
GTEX-13JVG	490	0	614	328	1
GTEX-ZPIC	357	0	411	221	0
GTEX-ZAB5	280	0	308	165	0
GTEX-15SHU	319	0	410	227	1
GTEX-139T6	244	0	308	157	0
GTEX-13PL6	426	0	514	268	0
GTEX-131XW	161	1	207	106	0
GTEX-15UF7	1020	2	1270	667	0
GTEX-113JC	122	0	164	83	0
GTEX-1PPGY	347	0	395	207	0
GTEX-13CF2	355	0	453	241	0
GTEX-1CB4H	481	0	585	321	1
GTEX-PWN1	57	0	66	32	0
GTEX-1C6VQ	1067	0	1241	746	2
GTEX-1OFPY	842	3	1066	582	2
GTEX-1F75B	343	0	383	224	1
GTEX-1QP6S	134	0	170	102	0
GTEX-11NUK	122	0	125	75	0
GTEX-14PJN	392	0	452	272	0
GTEX-XUW1	178	0	216	123	1
GTEX-1313W	281	1	353	200	0
GTEX-1GMR3	140	0	176	102	0
GTEX-18A7B	919	0	1016	579	2
GTEX-R53T	223	0	273	138	0
GTEX-1KD5A	484	0	617	318	1
GTEX-1LSNL	377	0	473	233	1
GTEX-ZDYS	289	1	343	192	2
GTEX-17EUY	462	1	526	304	2
GTEX-1L5NE	535	1	616	342	0
GTEX-X8HC	658	2	745	411	0
GTEX-1MCYP	776	0	961	545	0
GTEX-1212Z	292	1	355	210	0
GTEX-WK11	177	0	195	113	0
GTEX-1GPI7	265	0	332	189	0
GTEX-1RAZR	626	0	720	429	1
GTEX-12C56	528	0	627	332	1
GTEX-1211K	133	0	159	93	0
GTEX-18D9A	277	1	328	179	0
GTEX-1LH75	95	0	109	68	0
GTEX-U8T8	156	0	190	103	0
GTEX-ZF2S	537	0	612	370	0
GTEX-ZV6S	610	1	665	372	0
GTEX-1B97J	489	0	537	305	0
GTEX-131XF	225	0	275	161	1
GTEX-139UW	314	0	372	197	0
GTEX-13G51	277	1	338	171	0
GTEX-1IDFM	197	0	254	142	0
GTEX-13RTL	1445	3	1563	877	5
GTEX-15G1A	1455	1	1652	968	0
GTEX-17HGU	107	0	131	64	0
GTEX-1JMQI	298	0	357	188	1
GTEX-11OF3	418	1	484	242	0
GTEX-1P4AB	485	0	612	334	0
GTEX-11UD2	292	0	358	187	0
GTEX-ZF3C	226	0	263	140	1
GTEX-18A67	397	1	455	250	0
GTEX-OIZH	237	0	263	144	0
GTEX-YEC3	245	0	305	161	1
GTEX-1AMFI	133	1	154	86	0
GTEX-S32W	179	0	231	114	0
GTEX-18D9U	453	0	501	272	0
GTEX-1LVA9	265	0	320	167	0
GTEX-1192X	599	1	689	394	2
GTEX-1MUQO	380	1	475	263	0
GTEX-15D79	334	0	377	213	0
GTEX-1RAZA	512	0	660	357	1
GTEX-13OVH	536	0	586	338	0
GTEX-145MO	310	1	354	186	0
GTEX-13N1W	335	0	409	231	0
GTEX-111VG	348	1	381	236	0
GTEX-1AX9J	211	0	240	152	0
GTEX-1QEPI	534	0	627	366	0
GTEX-15CHQ	835	1	962	583	3
GTEX-1LVAO	801	0	993	570	0
GTEX-Y9LG	233	0	256	144	0
GTEX-Y5LM	976	1	1180	630	0
GTEX-1A8FM	347	2	398	221	0
GTEX-ZT9X	208	0	241	131	0
GTEX-1GN73	372	2	436	262	1
GTEX-RTLS	196	0	251	132	1
GTEX-OXRP	39	0	41	29	0
GTEX-18A66	274	0	361	190	1
GTEX-1RB15	231	1	265	136	0
GTEX-1399U	242	1	263	152	0
GTEX-ZE7O	270	1	339	167	0
GTEX-1PDJ9	200	1	242	125	0
GTEX-QVUS	130	0	174	86	0
GTEX-132Q8	401	2	480	254	0
GTEX-11TT1	34	0	48	25	0
GTEX-WOFL	848	1	1029	617	1
GTEX-ZAK1	335	1	425	210	0
GTEX-R55G	180	0	222	111	0
GTEX-145MH	237	0	294	175	0
GTEX-12WSG	852	2	990	522	3
GTEX-1F5PK	1341	0	1604	940	3
GTEX-1IDJE	532	1	645	358	2
GTEX-1LVAM	435	0	519	271	2
GTEX-1K2DU	457	0	526	314	0
GTEX-WOFM	238	0	295	151	0
GTEX-1LG7Z	772	3	951	530	2
GTEX-1C4CL	320	1	333	199	1
GTEX-13PLJ	467	2	593	345	1
GTEX-RN64	155	0	191	112	0
GTEX-1GZHY	169	0	220	122	0
GTEX-QCQG	131	0	163	90	0
GTEX-144GL	622	0	718	412	0
GTEX-1MCQQ	356	1	472	254	0
GTEX-1GF9U	312	1	332	182	1
GTEX-14PJM	284	1	375	203	0
GTEX-117XS	173	0	183	105	0
GTEX-139YR	664	0	749	420	2
GTEX-1BAJH	239	0	279	170	0
GTEX-WY7C	467	1	603	340	0
GTEX-12WSL	588	2	724	423	0
GTEX-11I78	155	0	173	110	0
GTEX-1GMR8	661	0	803	475	2
GTEX-1O9I2	654	3	792	401	1
GTEX-1CAMQ	357	0	418	222	1
GTEX-144FL	867	3	1094	601	1
GTEX-13QJ3	581	2	686	373	0
GTEX-14JG1	196	0	215	122	0
GTEX-11XUK	186	0	200	110	0
GTEX-1JJ6O	183	0	193	108	0
GTEX-WRHU	323	1	420	212	0
GTEX-Y8LW	336	1	386	217	0
GTEX-12ZZX	278	0	311	184	0
GTEX-WHSE	217	0	265	147	0
