individual	chr7:43640649:43645251:cluster45326	chr7:43640649:43647535:cluster45326	chr7:43645399:43647535:cluster45326	chr7:43648652:43650612:cluster45326	chr7:43648652:43656033:cluster45326	chr7:43648652:43665658:cluster45326	chr7:43648652:43711400:cluster45326	chr7:43648652:43729429:cluster45326	chr7:43650712:43729429:cluster45326	chr7:43656153:43657216:cluster45326	chr7:43656153:43729429:cluster45326	chr7:43665722:43729429:cluster45326	chr7:43711449:43729429:cluster45326
GTEX-WRHU	154	62	110	3	26	9	5	74	1	19	12	17	6
GTEX-1IDJD	75	0	60	0	0	3	1	35	1	0	0	11	1
GTEX-14ABY	139	0	100	1	0	12	4	86	2	0	0	17	7
GTEX-13OVL	145	2	139	6	0	12	1	87	7	0	0	23	7
GTEX-11P82	195	0	181	7	0	10	5	105	2	0	0	27	12
GTEX-QEG4	75	0	65	1	0	8	1	30	3	0	0	10	3
GTEX-14JIY	110	1	96	3	0	11	4	68	2	0	0	19	12
GTEX-R55E	129	0	117	1	0	10	8	81	0	0	0	16	7
GTEX-YEC4	89	0	75	3	0	8	4	43	0	0	0	10	4
GTEX-ZYT6	111	2	86	3	0	12	6	67	2	0	0	12	9
GTEX-Y8E4	228	0	170	3	0	13	7	127	3	0	0	25	10
GTEX-YF7O	127	0	114	1	0	11	0	58	6	0	0	15	1
GTEX-14PJO	150	0	112	2	0	15	2	66	3	0	0	9	5
GTEX-WHPG	158	0	126	2	0	11	6	71	2	0	0	8	6
GTEX-1CAMR	117	0	107	0	0	8	2	73	3	0	0	16	3
GTEX-1AX8Z	120	0	147	4	0	11	5	80	3	0	0	14	5
GTEX-1KXAM	210	0	159	6	0	12	8	131	3	0	0	17	5
GTEX-14A6H	146	2	108	5	0	5	1	62	6	0	0	14	3
GTEX-13PL7	97	0	85	3	0	8	3	45	2	0	0	16	2
GTEX-13OVJ	89	1	73	3	0	5	2	50	1	0	0	11	4
GTEX-13W46	126	0	107	2	0	6	3	62	4	0	0	10	7
GTEX-1K9T9	95	0	74	1	0	4	1	58	1	0	0	8	2
GTEX-13NZA	134	0	120	4	0	13	2	75	3	0	0	15	4
GTEX-1GN1V	188	0	152	0	0	17	2	101	0	0	0	22	5
GTEX-14C38	104	0	87	4	0	10	2	52	3	0	0	21	2
GTEX-1C475	118	0	126	5	0	13	5	94	1	0	0	19	7
GTEX-1F75W	98	0	84	2	0	14	1	36	2	0	0	10	4
GTEX-146FR	82	0	82	2	0	5	5	50	3	0	0	5	4
GTEX-1AX9I	152	0	116	4	0	12	3	70	3	0	0	20	2
GTEX-ZVT2	88	0	88	0	0	9	3	67	1	0	0	16	4
GTEX-R55D	157	0	153	4	0	6	5	73	6	0	0	14	7
GTEX-1JN76	158	0	133	2	0	15	6	71	3	0	0	9	8
GTEX-1RQEC	192	0	193	2	0	14	3	128	5	0	0	18	11
GTEX-Y5V5	156	2	137	3	0	16	4	81	6	0	0	18	9
GTEX-16YQH	196	0	192	4	0	22	6	105	5	1	0	20	20
GTEX-ZPIC	146	0	117	1	0	16	1	74	5	0	0	19	4
GTEX-P78B	130	0	107	0	0	13	4	67	3	0	0	16	6
GTEX-1LB8K	190	0	143	5	0	28	3	102	3	0	0	26	4
GTEX-15SHU	187	1	154	5	0	28	7	92	7	0	0	38	9
