individual	chr15:42417360:42417805:cluster59206	chr15:42417360:42421061:cluster59206	chr15:42417453:42417805:cluster59206	chr15:42417951:42421061:cluster59206
GTEX-1S83E	677	39	1	664
GTEX-1IDJC	970	1	1	842
GTEX-132NY	667	0	1	585
GTEX-14JIY	911	0	1	744
GTEX-SUCS	539	1	0	438
GTEX-1QMI2	792	2	1	649
GTEX-WHPG	1125	1	2	934
GTEX-1CAMR	369	0	1	312
GTEX-13W46	360	1	0	303
GTEX-13OW5	431	0	0	371
GTEX-1F88E	44	0	0	34
GTEX-1GN1V	614	0	1	505
GTEX-14C38	392	1	1	306
GTEX-XBED	515	0	1	426
GTEX-1AX9I	1003	0	2	807
GTEX-1B8KE	996	2	0	825
GTEX-1KANA	579	1	0	493
GTEX-1RQEC	1003	0	3	830
GTEX-Y5V5	1309	3	1	1106
GTEX-16YQH	1091	2	0	930
GTEX-1CB4G	878	0	1	706
GTEX-SIU8	632	1	0	520
GTEX-P78B	358	0	0	289
GTEX-13S7M	279	0	1	227
GTEX-1122O	264	0	0	214
GTEX-15SHU	648	0	1	565
GTEX-T5JW	1061	0	2	870
GTEX-TMZS	194	0	0	161
GTEX-14753	369	0	0	305
GTEX-11DXX	748	1	3	635
GTEX-12ZZZ	396	0	0	347
GTEX-1I6K7	619	0	1	529
GTEX-X4XY	654	1	2	569
GTEX-15UF7	467	0	1	373
GTEX-1PPGY	1075	2	1	901
GTEX-ZXG5	731	0	1	644
GTEX-1CB4H	47	0	0	47
GTEX-1A32A	1074	1	1	851
GTEX-1OFPY	387	0	0	341
GTEX-1F75B	363	1	1	294
GTEX-12696	278	0	0	241
GTEX-WZTO	1172	1	1	992
GTEX-1313W	938	0	2	835
GTEX-1GMR3	958	1	0	799
GTEX-18A7B	832	0	1	728
GTEX-183FY	632	0	0	535
GTEX-13X6J	770	0	2	675
GTEX-1KD5A	1339	2	2	1150
GTEX-UTHO	597	1	2	490
GTEX-18A6Q	1039	2	0	862
GTEX-1I4MK	565	0	0	476
GTEX-13FTY	564	0	1	454
GTEX-15ETS	965	0	2	788
GTEX-1212Z	596	0	1	477
GTEX-1RAZR	658	1	2	525
GTEX-OHPL	1087	1	0	950
GTEX-TSE9	427	0	0	352
GTEX-W5WG	424	0	0	365
GTEX-1C2JI	826	1	2	730
GTEX-1K2DA	1456	1	2	1156
GTEX-1B97J	1379	0	2	1172
GTEX-1F75A	929	1	3	807
GTEX-13O3Q	493	0	1	398
GTEX-13N2G	1370	1	4	1098
GTEX-13U4I	266	0	0	229
GTEX-XOT4	688	0	1	591
GTEX-PLZ4	152	0	0	136
GTEX-15RIG	418	1	1	357
GTEX-WRHK	910	2	0	769
GTEX-15G1A	900	0	2	801
GTEX-ZV68	465	0	0	395
GTEX-1P4AB	317	0	0	265
GTEX-11UD2	505	0	1	436
GTEX-PWCY	841	1	2	702
GTEX-SJXC	1938	5	4	1617
GTEX-1GMRU	1019	1	1	886
GTEX-1R9PN	1977	1	3	1635
GTEX-1269C	431	0	0	356
GTEX-1R9PM	558	1	0	460
GTEX-1192X	583	0	1	461
GTEX-1RAZA	1572	1	3	1397
GTEX-145MO	462	0	0	397
GTEX-13N1W	498	0	0	415
GTEX-1F7RK	593	0	0	508
GTEX-1R9K4	450	1	0	380
GTEX-YJ8O	459	0	0	384
GTEX-OOBK	399	0	0	349
GTEX-1QEPI	957	2	2	819
GTEX-1LVAO	29	0	0	26
GTEX-Y9LG	573	1	0	461
GTEX-QDT8	379	0	0	305
GTEX-1A8FM	580	0	1	513
GTEX-1M5QR	711	1	1	581
GTEX-XPVG	299	0	1	249
GTEX-ZT9X	1202	1	2	991
GTEX-1GN73	1275	3	2	1056
GTEX-11LCK	399	0	0	330
GTEX-OXRP	453	0	0	383
GTEX-13O21	577	0	1	492
GTEX-1314G	788	0	1	666
GTEX-YB5K	837	1	1	722
GTEX-1PDJ9	679	1	1	542
GTEX-QVUS	148	0	0	115
GTEX-16GPK	572	1	1	493
GTEX-1PIEJ	759	1	0	668
GTEX-132Q8	120	0	0	93
GTEX-13112	729	0	1	603
GTEX-11TT1	243	0	0	210
GTEX-WOFL	99	0	0	92
GTEX-ZAK1	538	0	0	443
GTEX-1GZ4I	525	0	0	451
GTEX-OIZG	973	0	3	837
GTEX-12WSG	97	0	0	74
GTEX-144GM	552	1	1	455
GTEX-133LE	507	1	0	448
GTEX-O5YV	426	0	0	353
GTEX-15ER7	2406	4	5	1978
GTEX-T8EM	2094	0	2	1765
GTEX-ZPCL	849	1	0	708
GTEX-1R7EU	747	1	3	640
GTEX-1C4CL	596	1	1	530
GTEX-U3ZM	866	0	2	744
GTEX-T6MN	429	1	0	377
GTEX-147JS	510	1	0	427
GTEX-15SB6	1411	1	1	1162
GTEX-1GF9U	892	2	0	749
GTEX-11NSD	350	0	0	310
GTEX-U8XE	621	0	2	520
GTEX-1BAJH	717	2	1	608
GTEX-13QIC	236	0	0	208
GTEX-11ZTT	396	0	1	354
GTEX-12WSL	573	0	1	515
GTEX-12KS4	478	0	1	379
GTEX-1O9I2	195	0	0	173
GTEX-XMD2	60	0	0	58
GTEX-14JG1	806	2	1	679
GTEX-1F88F	437	0	1	349
GTEX-14XAO	156	0	0	127
GTEX-14E6E	576	1	0	492
GTEX-13D11	682	0	1	600
GTEX-15DZA	1399	4	2	1157
GTEX-1B8SF	1432	1	2	1187
GTEX-17EVP	680	1	0	573
GTEX-147GR	137	0	0	123
GTEX-11P81	297	1	1	246
GTEX-1CB4I	438	0	1	376
GTEX-15DCD	464	0	0	389
GTEX-16NPV	84	0	0	76
GTEX-11O72	166	0	0	134
GTEX-13X6K	322	1	0	284
GTEX-1A8G7	529	0	1	449
GTEX-1EX96	444	0	0	368
GTEX-14DAQ	1196	1	3	1046
GTEX-WFG7	370	0	1	300
GTEX-WL46	713	0	1	593
GTEX-12WSN	653	0	1	548
GTEX-PX3G	234	0	1	202
GTEX-1R7EV	493	0	0	409
GTEX-RUSQ	111	0	0	94
GTEX-YFC4	851	0	2	717
GTEX-1477Z	121	0	0	111
GTEX-1GTWX	554	1	0	474
GTEX-13NZB	796	0	1	688
GTEX-S95S	221	0	0	173
GTEX-13OW7	1049	2	1	924
