individual	chr15:66494552:66495330:cluster8438	chr15:66494552:66497490:cluster8438	chr15:66494552:66497642:cluster8438	chr15:66495419:66497490:cluster8438	chr15:66495419:66497642:cluster8438
GTEX-15RIE	61	29	97	7	32
GTEX-14ABY	123	1	9	3	89
GTEX-13OVL	77	2	2	3	62
GTEX-11P82	301	3	8	18	246
GTEX-QEG4	59	0	2	4	47
GTEX-14JIY	92	1	4	3	65
GTEX-147F3	61	1	5	4	60
GTEX-YEC4	69	2	6	6	65
GTEX-SUCS	125	2	5	6	88
GTEX-ZYT6	88	3	5	5	67
GTEX-1QW4Y	193	3	14	14	156
GTEX-Y8E4	213	1	9	13	182
GTEX-YF7O	169	0	7	8	125
GTEX-1CAMR	151	2	7	4	109
GTEX-1AX8Z	107	1	3	5	74
GTEX-13W46	132	2	9	10	123
GTEX-13OW5	60	0	3	4	42
GTEX-ZQG8	188	2	15	12	150
GTEX-U3ZG	45	0	3	1	40
GTEX-1GN1V	87	0	8	5	70
GTEX-1C475	131	2	6	9	123
GTEX-146FR	104	1	7	9	76
GTEX-14JG6	115	0	4	6	87
GTEX-Y5V5	149	2	9	9	136
GTEX-1S5VW	217	1	9	11	142
GTEX-1C64N	186	4	9	9	159
GTEX-16YQH	87	2	3	7	67
GTEX-S33H	112	1	8	5	105
GTEX-13JVG	94	2	5	2	83
GTEX-1CB4G	104	1	7	3	75
GTEX-SIU8	59	1	1	2	51
GTEX-1LB8K	111	1	5	4	87
GTEX-15SHU	94	0	7	4	74
GTEX-14753	104	0	5	3	75
GTEX-13PL6	69	1	2	6	55
GTEX-1PPGY	138	0	5	9	105
GTEX-PWN1	28	0	1	2	25
GTEX-14PJ4	89	2	9	7	72
GTEX-1OFPY	54	1	2	5	42
GTEX-1F75B	190	2	8	10	144
GTEX-12696	126	0	7	8	85
GTEX-147F4	108	2	8	9	73
GTEX-1AX9K	124	2	6	5	78
GTEX-11VI4	174	4	9	12	134
GTEX-1GZ2Q	88	1	3	4	68
GTEX-1313W	103	1	7	2	70
GTEX-XQ3S	64	2	5	3	48
GTEX-18A7B	104	2	11	6	86
GTEX-183FY	216	5	6	12	156
GTEX-111FC	77	0	5	3	57
GTEX-1S83E	305	5	16	20	240
GTEX-ZLV1	209	4	7	8	165
GTEX-ZUA1	87	2	5	3	59
GTEX-13FTZ	91	2	5	7	71
GTEX-1LGOU	143	2	5	10	114
GTEX-1L5NE	75	2	5	4	69
GTEX-1I4MK	168	1	11	7	117
GTEX-X8HC	113	1	10	4	95
GTEX-11EM3	158	3	9	7	121
GTEX-13FTY	95	0	6	6	68
GTEX-16NPX	96	0	6	7	90
GTEX-15ETS	229	5	9	12	153
GTEX-1PPH7	161	1	9	11	127
GTEX-1F5PL	153	1	8	7	110
GTEX-WK11	123	2	5	7	105
GTEX-1GPI7	136	3	11	6	102
GTEX-1RAZR	285	5	17	21	234
GTEX-Y8DK	120	1	5	8	101
GTEX-OHPL	103	2	5	2	70
GTEX-1211K	106	2	5	7	72
GTEX-ZYFG	186	3	16	8	127
GTEX-W5WG	125	1	8	9	106
GTEX-1ICG6	188	3	18	7	153
GTEX-13O3O	85	0	3	5	61
GTEX-1LH75	94	0	4	5	78
GTEX-T5JC	103	0	9	7	81
GTEX-ZF2S	154	1	5	9	106
GTEX-ZV6S	128	3	10	11	98
GTEX-WEY5	377	3	12	16	290
GTEX-11ZUS	97	0	6	7	67
GTEX-1B97J	199	3	13	15	156
GTEX-1F75A	125	2	8	10	92
GTEX-P44G	50	0	4	3	39
GTEX-13O3Q	61	1	2	4	54
GTEX-146FQ	197	4	16	11	133
GTEX-13QBU	184	4	6	14	142
GTEX-XGQ4	63	0	4	3	55
GTEX-13U4I	100	1	3	5	70
GTEX-1A3MX	148	3	8	6	129
GTEX-OXRK	86	2	6	4	62
GTEX-17HII	54	0	4	1	43
GTEX-11ZVC	123	0	8	4	93
GTEX-1339X	107	0	5	8	78
GTEX-17HGU	76	0	6	4	69
GTEX-1CB4F	79	1	4	7	57
GTEX-1M4P7	80	2	5	2	75
GTEX-ZF3C	140	3	8	9	111
GTEX-PWCY	184	1	10	12	124
GTEX-14BIL	154	3	10	6	112
GTEX-18A67	115	1	11	6	108
GTEX-1GMRU	125	0	5	5	86
GTEX-1A3MW	73	2	2	3	52
GTEX-1LVA9	70	1	4	5	66
GTEX-1192X	103	0	4	4	79
GTEX-1MUQO	202	3	15	17	152
GTEX-15D79	84	2	6	3	60
GTEX-1EU9M	91	2	6	6	75
GTEX-16BQI	162	1	6	5	130
GTEX-1F6IF	103	0	5	4	90
GTEX-1AX9J	79	1	4	5	74
GTEX-YJ8O	46	1	1	1	37
GTEX-ZC5H	159	0	6	8	120
GTEX-1LVAO	82	1	5	4	64
GTEX-17KNJ	70	1	6	4	70
GTEX-V1D1	78	0	6	3	61
GTEX-XPVG	184	3	7	15	137
GTEX-P4PQ	224	0	13	13	166
GTEX-1GN73	158	3	9	6	99
GTEX-183WM	68	2	3	3	48
GTEX-11LCK	72	1	6	3	55
GTEX-OXRP	24	0	1	1	17
GTEX-18A66	95	0	5	4	76
GTEX-1QAET	181	0	13	13	139
GTEX-1314G	91	1	4	3	69
GTEX-PLZ6	52	0	2	4	42
GTEX-1399U	70	1	4	4	53
GTEX-YB5K	78	1	4	2	71
GTEX-16GPK	83	0	4	4	66
GTEX-11TT1	70	0	4	4	45
GTEX-ZAK1	57	0	2	4	38
GTEX-1PBJJ	147	1	7	10	135
GTEX-13OW8	78	2	4	4	53
GTEX-145MH	74	0	4	3	54
GTEX-13X6H	109	1	9	4	97
GTEX-OIZG	110	3	9	5	104
GTEX-1F5PK	196	2	12	8	145
GTEX-144GM	114	2	8	6	96
GTEX-16XZZ	166	2	10	12	133
GTEX-14PII	81	1	5	6	59
GTEX-17HHE	91	0	5	4	71
GTEX-ZPCL	92	2	4	2	66
