individual	chr11:64754836:64755089:cluster66001	chr11:64754836:64755273:cluster66001	chr11:64754836:64757779:cluster66001	chr11:64755558:64756237:cluster66001	chr11:64755558:64757779:cluster66001	chr11:64755558:64758246:cluster66001	chr11:64756335:64757779:cluster66001	chr11:64757910:64758246:cluster66001	chr11:64757910:64758437:cluster66001	chr11:64758349:64758437:cluster66001
GTEX-WYVS	0	4356	0	7	2441	1148	2	1903	16	3500
GTEX-1IDJC	0	4765	1	2	4692	1	3	3343	29	3914
GTEX-13OVL	4	5959	1	3	5446	0	7	4187	11	4730
GTEX-ZYY3	0	2073	0	3	2076	0	4	1408	10	1729
GTEX-11P82	7	5035	0	0	4927	0	0	3506	0	3960
GTEX-QEG4	2	8306	0	10	8840	0	10	6505	15	6890
GTEX-14JIY	16	6594	2	3	6495	0	2	4901	9	5790
GTEX-1QW4Y	1	6850	2	6	6308	0	5	4339	0	5131
GTEX-Y8E4	6	6629	1	2	6781	0	1	4776	8	5839
GTEX-12WSM	0	3584	2	4	3752	0	4	2442	13	2937
GTEX-15EO6	2	4834	0	9	4449	1	8	3285	6	4094
GTEX-1QMI2	1	7563	3	16	6479	0	12	4739	5	5756
GTEX-WHPG	1	9549	4	9	10130	0	11	6634	27	7883
GTEX-1AX8Z	0	1636	0	6	1573	0	3	1134	13	1321
GTEX-1KXAM	1	2670	0	0	2943	0	2	1948	3	2323
GTEX-11EQ9	1	2453	0	1	2295	0	0	1689	6	1912
GTEX-13OVJ	0	3267	0	5	3013	0	0	2198	6	2423
GTEX-13W46	10	3792	0	6	3464	0	3	2397	10	2771
GTEX-13OW5	5	5215	0	1	5590	1	0	3715	6	4239
GTEX-16MTA	2	6193	0	2	6147	0	3	4143	9	5341
GTEX-ZQG8	3	8801	0	5	9103	0	5	5922	15	7361
GTEX-U3ZG	0	4807	1	3	4416	0	8	3167	29	3472
GTEX-1GN1V	20	7743	2	8	7075	0	7	4955	13	5545
GTEX-14C38	0	3568	0	2	3480	0	5	2611	0	2848
GTEX-1C475	1	7606	0	4	7076	1	1	5601	21	6313
GTEX-XBED	2	6352	1	7	5793	0	3	4290	20	4937
GTEX-14BMV	3	5886	2	5	5741	0	14	4017	8	4655
GTEX-XPT6	0	4305	0	3	4577	1	9	3174	5	3875
GTEX-U4B1	4	5246	3	11	5164	0	5	3438	6	3712
GTEX-146FR	0	4097	0	2	4023	0	3	2762	4	3126
GTEX-1AX9I	5	5241	0	4	4906	0	3	3783	26	4211
GTEX-ZVT2	0	4282	0	2	4314	0	0	2833	8	3511
GTEX-14JG6	2	4266	0	0	4564	0	4	3216	15	3800
GTEX-1KANA	4	7670	2	3	6874	0	5	4879	17	5742
GTEX-1JN76	0	7588	0	3	7403	0	6	5307	49	5799
GTEX-16YQH	5	9813	0	7	9498	0	5	6513	19	7707
GTEX-S33H	29	12406	1	11	11389	0	9	8043	23	9524
