individual	chr19:51350391:51353123:cluster11195	chr19:51350391:51353132:cluster11195	chr19:51350391:51354150:cluster11195	chr19:51353290:51354150:cluster11195
GTEX-YECK	36	358	469	361
GTEX-1IDJC	0	658	1	472
GTEX-132NY	0	605	1	474
GTEX-139TU	0	780	2	621
GTEX-UPJH	0	308	0	242
GTEX-14JIY	0	462	0	354
GTEX-R55E	0	615	0	487
GTEX-147F3	0	387	0	300
GTEX-YEC4	0	310	0	242
GTEX-ZYT6	0	573	0	429
GTEX-Y8E4	0	684	2	519
GTEX-1KD4Q	0	588	0	458
GTEX-12WSM	0	733	0	551
GTEX-13X6I	0	242	0	187
GTEX-1KXAM	0	624	2	487
GTEX-14A6H	0	521	1	383
GTEX-13OVJ	0	649	0	505
GTEX-13W46	0	536	0	427
GTEX-U3ZG	0	571	1	462
GTEX-139T4	0	618	1	458
GTEX-1GN1V	0	748	1	564
GTEX-ZF28	0	470	0	351
GTEX-XPT6	0	834	1	656
GTEX-146FR	0	256	1	204
GTEX-14JG6	0	367	1	294
GTEX-R55D	0	332	0	269
GTEX-1RQEC	0	849	0	660
GTEX-Y5V5	0	553	2	415
GTEX-1S5VW	0	970	0	734
GTEX-16YQH	0	981	1	741
GTEX-ZPIC	0	390	0	311
GTEX-1CB4G	0	540	0	423
GTEX-13S7M	0	252	1	190
GTEX-15SHU	0	606	1	493
GTEX-11TTK	0	333	0	246
GTEX-14753	0	421	0	310
GTEX-139T6	0	299	0	232
GTEX-1MJK3	0	362	1	303
GTEX-12ZZZ	0	527	1	424
GTEX-13FTX	0	669	1	492
GTEX-14DAR	0	479	0	378
GTEX-1I6K7	0	591	2	479
GTEX-11EMC	0	536	0	406
GTEX-1399R	0	255	0	208
GTEX-X4XY	0	481	2	362
GTEX-15UF7	0	467	1	357
GTEX-1PPGY	0	683	1	501
GTEX-13CF2	0	506	0	408
GTEX-13RTK	0	372	0	299
GTEX-1C6VQ	0	830	0	634
GTEX-1OFPY	0	280	0	207
GTEX-131YS	0	599	0	476
GTEX-147F4	0	513	0	389
GTEX-1AX9K	0	556	0	419
GTEX-1B933	0	795	1	627
GTEX-11VI4	0	333	0	267
GTEX-XUW1	0	340	0	251
GTEX-1GMR3	0	739	0	579
GTEX-1JKYN	0	216	0	159
GTEX-18A7B	0	601	1	431
GTEX-R53T	0	313	0	239
GTEX-183FY	0	552	2	416
GTEX-111FC	0	808	0	641
GTEX-13X6J	0	877	0	691
GTEX-1LNCM	0	440	0	333
