individual	chr7:44114945:44115295:cluster45328	chr7:44114945:44115766:cluster45328	chr7:44115354:44115766:cluster45328	chr7:44115396:44115766:cluster45328	chr7:44115396:44116430:cluster45328	chr7:44115893:44116115:cluster45328	chr7:44115893:44116430:cluster45328	chr7:44116272:44116430:cluster45328
GTEX-X4XY	162	2	4	132	45	145	5	136
GTEX-1IDJD	176	0	4	217	0	230	9	198
GTEX-1IDJC	311	2	5	400	0	415	9	308
GTEX-14ABY	129	0	4	162	0	196	5	155
GTEX-13OVL	102	0	5	126	0	158	4	119
GTEX-11P82	464	0	10	508	0	540	8	455
GTEX-QEG4	107	1	4	135	0	139	7	129
GTEX-14JIY	187	0	5	239	0	255	3	194
GTEX-R55E	126	0	2	145	0	160	3	130
GTEX-ZYT6	146	2	2	156	0	186	7	156
GTEX-1QW4Y	263	2	9	306	0	295	8	265
GTEX-15EO6	308	6	11	347	0	403	9	336
GTEX-YF7O	297	3	5	372	0	415	11	343
GTEX-13X6I	193	1	8	236	0	233	1	196
GTEX-1CAMR	358	2	11	452	0	464	10	386
GTEX-14A6H	176	0	4	189	0	216	8	183
GTEX-13PL7	335	0	16	390	0	454	11	314
GTEX-11EQ9	234	2	7	275	0	322	2	267
GTEX-13OW5	143	3	4	198	0	221	3	182
GTEX-16MTA	184	2	3	253	0	250	5	208
GTEX-1K9T9	130	1	5	141	0	148	2	117
GTEX-13NZA	192	2	11	217	0	280	5	199
GTEX-1GN1V	209	2	12	246	0	280	1	225
GTEX-XBED	152	2	7	175	0	196	5	153
GTEX-14BMV	159	1	5	187	0	203	2	180
GTEX-17F96	562	1	18	722	0	695	12	559
GTEX-Y5V5	250	4	12	328	0	381	7	310
GTEX-1C64N	515	6	9	568	0	598	8	472
GTEX-13JVG	286	4	13	375	0	427	14	356
GTEX-P78B	381	2	11	489	0	529	11	392
GTEX-13PL6	190	2	8	217	0	253	0	208
GTEX-14DAR	240	3	6	292	0	316	9	285
GTEX-RWS6	197	2	8	238	0	218	8	177
GTEX-ZDXO	119	2	6	160	0	180	5	144
GTEX-1I6K7	156	2	4	192	0	200	3	157
GTEX-131XW	118	2	4	138	0	163	3	126
GTEX-11EMC	248	3	9	277	0	324	5	261
GTEX-1PPGY	223	4	10	257	0	280	10	219
GTEX-13CF2	138	3	4	174	0	204	7	152
GTEX-13RTK	130	0	5	138	0	131	3	127
GTEX-ZXG5	228	1	9	266	0	279	11	224
GTEX-1C6VQ	269	5	11	345	0	372	6	310
GTEX-1OFPY	182	4	4	209	0	216	2	175
GTEX-1F75B	339	1	8	407	0	431	5	342
GTEX-XQ8I	263	0	9	353	0	345	5	312
GTEX-QV31	96	0	4	107	0	113	3	112
GTEX-1AX9K	224	4	8	305	0	308	8	252
GTEX-1B933	187	0	4	204	0	227	3	189
GTEX-11VI4	261	0	9	338	0	337	9	258
GTEX-WZTO	214	0	7	228	0	251	5	239
GTEX-1313W	223	1	11	276	0	284	9	262
GTEX-12ZZY	104	1	3	137	0	130	1	103
GTEX-XQ3S	76	1	2	78	0	98	1	75
GTEX-18A7B	256	1	6	329	0	334	5	289
GTEX-145LU	160	0	9	202	0	222	2	175
GTEX-111FC	132	2	6	144	0	165	2	131
GTEX-1KD5A	377	1	8	439	0	418	11	349
GTEX-ZDYS	104	2	6	130	0	115	4	106
GTEX-ZLV1	350	5	10	410	0	490	18	401
GTEX-1I4MK	249	2	4	297	0	315	6	272
GTEX-169BO	372	1	16	421	0	411	7	355
GTEX-1PPH7	455	4	17	561	0	559	13	411
GTEX-1F5PL	203	0	5	234	0	281	6	215
GTEX-1GPI7	228	0	6	290	0	305	3	264
GTEX-1RAZR	436	2	13	488	0	538	15	462
GTEX-ZYFG	221	3	3	258	0	287	3	247
GTEX-18D9A	206	1	8	245	0	223	8	208
GTEX-1LH75	122	0	7	158	0	174	3	127
GTEX-ZV6S	121	0	3	155	0	156	7	135
