individual	chr11:43889828:43892041:cluster2581	chr11:43889828:43901516:cluster2581	chr11:43892129:43901516:cluster2581	chr11:43892129:43901543:cluster2581
GTEX-183FY	65	1	45	28
GTEX-1IDJD	71	5	85	0
GTEX-132NY	37	2	52	0
GTEX-11P82	75	6	89	0
GTEX-14JIY	42	3	45	0
GTEX-147F3	35	3	44	0
GTEX-1QW4Y	55	3	66	0
GTEX-12WSM	31	1	38	0
GTEX-15EO6	61	3	73	0
GTEX-WHPG	67	4	75	0
GTEX-1CAMR	57	2	67	0
GTEX-14A6H	90	5	96	0
GTEX-13PL7	55	3	57	0
GTEX-ZQG8	75	6	93	0
GTEX-1F88E	35	2	38	0
GTEX-U4B1	27	2	39	0
GTEX-1F75W	80	6	87	0
GTEX-14JG6	44	3	48	0
GTEX-R55D	80	6	104	0
GTEX-1JN76	51	2	56	0
GTEX-1RQEC	73	7	98	0
GTEX-16YQH	52	4	70	0
GTEX-S33H	55	3	71	0
GTEX-13JVG	36	2	47	0
GTEX-ZPIC	29	2	41	0
GTEX-P78B	54	3	75	0
GTEX-15SHU	67	3	87	0
GTEX-T5JW	72	4	76	0
GTEX-11DXX	63	5	78	0
GTEX-13PL6	42	3	54	0
GTEX-13FTX	87	4	114	0
GTEX-131XW	30	3	37	0
GTEX-15UF7	68	4	84	0
GTEX-113JC	28	2	40	0
GTEX-13CF2	53	3	56	0
GTEX-1A32A	28	3	34	0
GTEX-14PJ4	34	3	45	0
GTEX-1F75B	57	2	67	0
GTEX-11VI4	68	3	82	0
GTEX-1313W	66	4	72	0
GTEX-OIZI	89	4	99	0
GTEX-XUZC	93	4	119	0
GTEX-18A7B	49	4	63	0
GTEX-XBEW	89	4	110	0
GTEX-111FC	28	2	35	0
GTEX-13X6J	75	5	78	0
GTEX-ZDYS	32	1	37	0
GTEX-1NUQO	58	3	69	0
GTEX-18A6Q	21	1	29	0
GTEX-X8HC	35	2	41	0
GTEX-11EM3	27	2	34	0
GTEX-1PPH7	44	4	61	0
GTEX-1RAZR	103	9	117	0
GTEX-1S82P	36	2	44	0
GTEX-1QPFJ	68	5	99	0
GTEX-ZYFG	53	2	68	0
GTEX-TMMY	89	4	115	0
GTEX-PLZ5	69	3	77	0
GTEX-13O3O	34	2	48	0
GTEX-1K2DA	182	16	232	0
GTEX-18D9A	62	3	77	0
GTEX-14BMU	50	3	51	0
GTEX-131XF	63	4	84	0
GTEX-139UW	72	4	80	0
GTEX-13G51	30	2	40	0
GTEX-1B97I	77	5	80	0
GTEX-1IDFM	60	5	68	0
GTEX-11GSO	42	3	59	0
GTEX-1E1VI	37	2	46	0
GTEX-1C6VR	39	4	46	0
GTEX-QV44	33	2	48	0
GTEX-11OF3	62	2	73	0
GTEX-1R46S	48	2	55	0
GTEX-ZF3C	68	3	82	0
GTEX-SJXC	101	7	114	0
GTEX-13FH7	31	1	37	0
GTEX-1R9PN	163	13	187	0
GTEX-1269C	40	4	46	0
GTEX-18D9U	86	4	108	0
GTEX-13OVH	48	4	59	0
GTEX-U3ZN	156	11	176	0
GTEX-WYVS	63	4	88	0
GTEX-117YW	42	2	50	0
GTEX-1F6IF	66	3	84	0
GTEX-1QEPI	90	7	110	0
GTEX-Y9LG	62	4	77	0
GTEX-1EWIQ	77	5	96	0
