individual	chr1:59554227:59607803:cluster32099	chr1:59554227:59625988:cluster32099	chr1:59607910:59610092:cluster32099	chr1:59607910:59625988:cluster32099	chr1:59610119:59625988:cluster32099
GTEX-11EMC	23	28	0	25	1
GTEX-1IDJD	28	0	0	31	0
GTEX-1IDJC	82	0	3	86	2
GTEX-13OVL	49	0	2	63	1
GTEX-11P82	68	0	1	83	2
GTEX-YB5E	29	0	1	38	2
GTEX-SUCS	42	0	1	45	0
GTEX-Y8E4	53	0	2	58	1
GTEX-1KD4Q	84	0	5	104	3
GTEX-12WSM	60	0	1	65	3
GTEX-15EO6	60	0	3	69	3
GTEX-1QMI2	111	0	1	125	3
GTEX-13X6I	27	0	1	32	1
GTEX-14PJO	27	0	0	30	0
GTEX-WHPG	82	0	2	94	1
GTEX-14A6H	50	0	2	58	0
GTEX-13PL7	62	0	1	64	0
GTEX-11EQ9	24	0	0	28	0
GTEX-1F88E	57	0	2	68	2
GTEX-139T4	158	0	4	174	4
GTEX-1K9T9	55	0	1	56	0
GTEX-13NZA	58	0	2	55	1
GTEX-14BMV	46	0	2	61	1
GTEX-1F75W	128	0	3	121	3
GTEX-1AX9I	53	0	2	57	0
GTEX-1B8KE	19	0	0	24	0
GTEX-ZVT2	15	0	1	15	0
GTEX-1KANA	43	0	1	53	0
GTEX-1RQEC	100	0	2	123	1
GTEX-Y5V5	78	0	1	90	4
GTEX-1S5VW	75	0	4	99	1
GTEX-1C64N	140	0	5	176	3
GTEX-16YQH	85	0	1	85	1
GTEX-14PQA	71	0	1	87	1
GTEX-ZAB5	34	0	1	40	1
GTEX-15SHU	58	0	2	83	1
GTEX-17MFQ	26	0	0	31	1
GTEX-1LC47	108	0	3	112	2
GTEX-1MJK3	33	0	1	33	1
GTEX-13FTX	17	0	0	22	0
GTEX-ZDXO	46	0	3	53	2
GTEX-X4XY	42	0	1	43	1
GTEX-15UF7	93	0	4	89	4
GTEX-113JC	48	0	1	50	0
GTEX-1PPGY	75	0	4	76	3
GTEX-1A32A	55	0	1	48	1
GTEX-14PJ4	26	0	1	38	1
GTEX-14PJN	31	0	1	33	0
GTEX-147F4	37	0	1	35	1
GTEX-11VI4	56	0	2	57	1
GTEX-1GZ2Q	71	0	3	80	1
GTEX-1313W	87	0	4	84	3
GTEX-12ZZY	40	0	1	42	0
GTEX-XUZC	53	0	2	62	3
GTEX-XBEW	126	0	5	150	5
GTEX-111FC	45	0	1	47	2
GTEX-1S83E	99	0	3	98	5
GTEX-UTHO	86	0	3	95	0
GTEX-ZLV1	104	0	6	134	5
GTEX-1GF9W	37	0	0	42	1
GTEX-17EUY	15	0	0	16	0
GTEX-1LGOU	52	0	0	52	1
GTEX-1I4MK	23	0	0	32	1
GTEX-X8HC	22	0	1	30	0
