individual	chr3:47877523:47891024:cluster48677	chr3:47877523:47902950:cluster48677	chr3:47877523:47909038:cluster48677	chr3:47877523:47914817:cluster48677	chr3:47877523:47915951:cluster48677	chr3:47903000:47909038:cluster48677	chr3:47912421:47914817:cluster48677	chr3:47912421:47915951:cluster48677	chr3:47914939:47915951:cluster48677	chr3:47916541:47918719:cluster48677	chr3:47917165:47918719:cluster48677	chr3:47917174:47918719:cluster48677	chr3:47917174:47921765:cluster48677	chr3:47917174:47928228:cluster48677	chr3:47918841:47921765:cluster48677	chr3:47918841:47928228:cluster48677	chr3:47921878:47928228:cluster48677
GTEX-QDVJ	4	73	1023	23	19	97	240	120	200	3	0	244	55	0	264	5	351
GTEX-1IDJC	0	45	995	76	0	46	595	0	488	2	0	428	95	0	511	7	526
GTEX-132NY	1	45	679	51	0	48	395	0	249	0	0	191	27	0	273	2	306
GTEX-13OVL	1	50	812	44	0	51	337	0	258	0	0	213	23	0	252	2	324
GTEX-139TU	3	48	1125	29	0	54	687	0	476	2	0	396	68	3	515	11	566
GTEX-QEG4	0	37	609	31	0	23	327	0	215	0	0	203	23	0	207	0	256
GTEX-14JIY	3	70	857	38	0	64	469	0	369	1	0	277	31	0	335	2	387
GTEX-R55E	0	50	803	25	0	55	421	0	341	0	0	249	9	0	310	2	318
GTEX-147F3	0	20	337	29	0	20	142	0	117	0	0	96	22	0	129	1	115
GTEX-YB5E	1	65	772	35	1	70	445	0	319	3	0	241	62	0	335	5	365
GTEX-SUCS	0	35	831	46	0	46	405	0	413	0	0	281	51	1	263	6	343
GTEX-ZYT6	0	47	806	25	0	61	487	0	393	0	0	278	51	1	339	7	388
GTEX-1QW4Y	0	40	1011	28	0	56	502	0	321	0	0	281	45	3	351	8	379
GTEX-Y8E4	2	34	1327	46	0	40	781	0	519	3	1	407	69	0	434	1	488
GTEX-1KD4Q	0	29	736	28	0	48	358	0	293	0	0	247	29	0	255	0	303
GTEX-12WSM	0	24	351	28	0	15	151	0	108	0	0	85	10	0	114	0	115
GTEX-YF7O	1	26	611	55	0	42	391	0	275	0	0	200	37	0	293	5	318
GTEX-1QMI2	0	54	807	32	0	60	399	0	287	0	0	288	26	1	292	3	339
GTEX-WHPG	1	67	1310	56	0	74	735	0	607	4	0	439	73	0	522	2	584
GTEX-14A6H	0	97	1240	53	0	89	692	0	524	1	0	435	113	3	453	7	600
GTEX-13PL7	0	45	762	22	0	63	339	0	239	0	0	175	36	1	201	5	211
GTEX-11EQ9	0	52	721	32	0	40	443	0	355	2	1	240	79	2	270	4	334
GTEX-13OVJ	0	53	745	26	0	49	378	0	276	0	0	180	27	0	224	1	234
GTEX-16MTA	3	47	1130	20	0	58	565	0	455	3	0	315	70	1	345	2	402
GTEX-13NZA	0	34	732	21	0	66	312	0	242	0	0	169	27	0	218	2	248
GTEX-14C38	1	32	349	37	0	38	181	0	174	0	0	140	25	0	141	2	180
GTEX-XBED	1	17	558	28	0	16	331	0	267	1	0	191	40	0	216	4	289
GTEX-ZF28	3	29	951	51	0	32	564	0	396	0	1	332	58	0	385	5	440
GTEX-U4B1	1	16	672	26	0	17	360	0	299	1	0	271	42	3	289	7	281
GTEX-1F75W	1	37	599	29	0	41	246	0	231	0	0	162	15	0	180	0	162
GTEX-ZVT2	0	21	931	29	0	27	476	0	379	4	0	234	61	1	316	4	409
GTEX-14JG6	1	14	538	18	0	16	280	0	201	1	0	181	24	2	187	2	174
GTEX-1KANA	0	50	661	22	0	52	366	0	297	0	0	224	28	0	238	2	303
GTEX-1RQEC	0	67	836	59	0	76	448	0	405	1	0	322	25	1	324	0	357
GTEX-Y5V5	6	91	2112	66	0	115	1113	0	673	2	3	591	98	3	711	2	759
GTEX-1S5VW	0	73	1387	27	0	69	590	0	454	0	0	437	50	1	374	4	449
GTEX-1C64N	0	88	1037	35	0	96	576	0	389	1	0	277	37	2	340	1	357
GTEX-16YQH	0	31	789	42	0	26	329	0	230	0	0	196	28	0	236	2	262
GTEX-S33H	1	21	1021	41	0	22	436	0	347	1	0	332	64	3	356	7	456
GTEX-13JVG	0	39	508	31	0	39	242	0	196	0	0	148	20	0	177	0	182
GTEX-ZPIC	0	43	533	35	1	40	249	0	301	0	0	197	34	0	192	1	264
GTEX-SIU8	0	16	501	26	0	31	214	0	191	0	0	146	7	0	160	2	177
GTEX-P78B	2	89	1019	12	0	96	529	0	355	0	0	304	43	0	337	2	402
GTEX-1122O	0	26	734	24	0	22	390	0	234	1	0	208	62	1	242	7	296
GTEX-1LB8K	0	43	627	15	0	54	318	0	236	1	0	199	43	0	246	3	268
GTEX-15SHU	0	66	746	24	0	71	431	0	336	0	0	311	41	0	317	5	364
GTEX-1LC47	1	43	772	79	1	42	379	0	319	0	0	281	39	0	321	9	349
GTEX-14753	0	26	872	12	0	30	379	0	279	0	0	226	47	0	308	3	336
GTEX-11DXX	0	22	781	50	0	33	499	0	379	2	0	314	57	3	343	9	427
GTEX-139T6	0	40	940	28	0	48	551	0	384	2	0	334	71	0	348	4	443
GTEX-1MJK3	2	35	590	34	0	27	292	0	300	6	0	236	56	0	237	3	324
GTEX-13FTX	1	43	865	30	0	62	430	0	335	4	0	243	73	2	308	2	314
GTEX-14DAR	0	22	483	18	0	21	253	0	226	0	0	142	25	1	154	4	181
GTEX-RWS6	0	44	980	49	0	52	440	0	346	2	1	295	32	0	272	0	318
GTEX-ZDXO	0	38	746	33	0	37	330	0	283	0	0	228	25	2	273	5	299
GTEX-131XW	2	42	520	33	0	35	400	0	224	0	0	221	38	0	237	4	276
GTEX-11EMC	0	35	834	43	0	38	409	0	236	1	0	219	39	0	257	2	278
GTEX-1399R	0	46	805	13	0	52	453	0	352	1	0	273	53	3	322	2	342
GTEX-X4XY	2	24	496	31	0	30	170	0	180	1	0	135	29	0	140	1	169
GTEX-15UF7	2	39	1082	85	0	47	563	0	490	3	0	352	85	0	399	7	501
GTEX-113JC	0	40	464	28	0	44	223	0	179	2	0	117	12	1	140	0	159
GTEX-P4PP	2	90	916	65	0	98	509	0	386	1	0	334	64	0	368	6	368
GTEX-1PPGY	0	46	806	32	0	53	446	0	321	0	0	328	58	0	341	1	384
GTEX-13CF2	0	31	591	45	0	30	236	0	180	0	0	159	17	0	175	0	192
GTEX-13RTK	2	50	839	15	0	52	455	0	335	2	0	264	62	4	269	11	304
GTEX-ZXG5	0	65	964	38	1	68	509	0	369	1	2	295	56	0	319	5	402
GTEX-PWN1	0	21	427	26	0	14	213	0	174	1	0	124	16	2	166	0	149
GTEX-1F75B	1	27	882	23	0	34	360	0	275	0	1	267	29	0	263	3	319
GTEX-1QP6S	0	17	698	24	0	25	347	0	313	0	0	227	31	0	223	3	281
GTEX-11NUK	0	37	624	23	0	46	316	0	243	1	0	202	34	0	213	1	252
GTEX-131YS	1	39	731	26	0	47	399	0	332	0	0	231	44	1	316	2	296
GTEX-14PJN	0	36	546	29	0	28	293	0	191	0	0	142	29	3	192	2	208
GTEX-XQ8I	0	28	406	12	0	18	236	0	176	1	0	129	27	4	144	4	173
GTEX-147F4	0	24	705	31	0	27	310	0	243	0	0	186	26	0	195	3	250
GTEX-QV31	0	16	450	20	0	26	193	0	129	0	0	137	24	1	166	0	183
GTEX-1B933	0	59	728	51	0	47	439	0	409	0	0	310	35	0	303	2	333
GTEX-WZTO	0	40	939	57	0	47	415	0	309	0	0	231	36	0	292	2	302
GTEX-1313W	0	37	710	36	0	35	392	0	283	0	1	230	32	1	253	4	306
GTEX-12ZZY	0	41	584	24	0	42	359	0	260	2	0	198	30	0	222	2	278
GTEX-XQ3S	0	38	516	12	0	32	255	0	204	0	0	145	23	0	185	1	211
GTEX-1GMR3	0	42	872	25	0	42	399	0	293	0	0	301	27	1	324	4	353
GTEX-1JKYN	1	21	443	7	0	31	229	0	183	0	0	131	24	0	127	3	140
GTEX-18A7B	1	28	975	86	0	37	553	0	392	1	0	374	60	2	397	4	458
GTEX-145LU	0	32	617	23	0	37	272	0	207	0	0	164	10	0	178	5	214
GTEX-13X6J	0	40	663	39	0	48	416	0	256	1	0	232	40	0	238	7	272
GTEX-1LNCM	0	26	430	14	0	30	200	0	142	1	0	101	11	0	114	1	136
GTEX-1KD5A	1	56	1256	39	0	57	722	0	529	0	0	441	45	0	586	3	581
GTEX-1LSNL	0	38	448	18	0	40	213	0	180	0	0	154	20	0	159	1	177
GTEX-1S83E	2	63	1254	40	0	76	716	0	579	8	0	420	108	5	526	7	683
GTEX-UTHO	0	57	1535	38	0	86	624	0	598	0	0	403	83	3	422	24	611
GTEX-ZLV1	0	80	818	37	0	70	439	0	420	0	0	272	37	1	337	3	344
GTEX-1NUQO	2	34	753	28	0	31	400	0	387	0	2	259	46	1	261	3	386
GTEX-ZUA1	0	43	593	49	0	55	406	0	315	0	0	202	38	0	290	4	315
GTEX-1GF9W	0	17	374	16	0	26	154	0	111	1	0	114	11	0	95	1	120
GTEX-18A6Q	1	28	866	73	0	57	530	0	402	0	0	342	47	0	332	6	340
GTEX-13FTZ	0	42	520	41	0	51	267	0	194	0	0	143	32	2	189	3	224
GTEX-1LGOU	0	43	473	31	0	57	251	0	206	2	0	137	25	0	154	3	219
GTEX-131XG	1	28	630	20	0	31	434	0	283	2	0	188	61	2	234	3	319
GTEX-1JMQJ	0	52	810	26	0	50	350	0	259	0	0	282	28	0	243	0	360
GTEX-16NPX	2	41	889	30	0	39	530	0	409	1	0	315	38	0	350	3	341
GTEX-15ETS	2	97	1579	49	0	119	1053	0	801	6	0	609	129	2	679	14	822
GTEX-1212Z	1	41	687	33	0	40	401	0	274	2	0	257	38	2	251	5	272
GTEX-1F5PL	2	44	819	55	0	44	473	0	385	1	0	292	65	0	312	2	385
GTEX-WK11	0	64	1315	41	0	63	701	0	494	1	0	444	54	0	517	5	556
GTEX-1RAZR	0	103	1042	36	0	103	575	0	465	4	2	342	44	0	408	4	494
GTEX-1S82P	0	44	825	15	0	45	415	0	328	1	0	278	49	1	275	5	338
GTEX-Y8DK	1	41	994	49	0	39	674	0	482	0	0	393	64	0	443	2	537
GTEX-OHPL	2	33	1190	59	0	34	752	0	472	0	2	411	59	0	462	6	497
GTEX-12C56	0	48	1050	29	0	59	649	0	403	0	0	347	85	0	468	8	586
GTEX-TSE9	1	52	792	58	0	51	348	0	319	0	0	272	48	0	305	5	346
GTEX-ZYFG	0	53	780	41	0	69	426	0	265	1	0	237	78	3	297	3	420
GTEX-W5WG	1	28	633	41	0	39	329	0	219	0	0	209	17	0	225	2	273
GTEX-1N2DW	1	26	810	22	0	21	389	0	302	0	0	216	26	1	234	3	302
GTEX-PLZ5	1	65	1221	28	0	71	611	0	416	5	1	297	41	0	352	9	346
GTEX-13O3O	0	38	730	33	0	52	408	0	313	0	0	225	41	0	244	3	259
GTEX-SN8G	1	96	1276	67	0	108	503	0	588	0	0	362	92	0	390	2	630
GTEX-1K2DA	0	148	1767	109	0	165	866	0	748	8	0	628	147	9	698	14	849
GTEX-18D9A	1	77	1191	25	0	80	696	0	542	4	0	398	64	2	371	2	429
GTEX-1LH75	0	31	777	11	0	18	425	0	319	0	0	245	67	1	296	7	325
GTEX-ZF2S	0	71	892	42	1	70	555	0	504	0	0	324	57	3	439	4	505
GTEX-ZV6S	1	8	844	38	0	19	474	0	296	1	0	246	52	1	312	8	361
GTEX-14BMU	0	20	438	10	0	24	277	0	219	0	0	176	29	1	143	5	183
GTEX-1399T	1	64	630	24	0	62	388	0	271	1	0	176	34	0	226	1	235
GTEX-1QP9N	0	20	500	10	0	32	248	0	176	0	0	165	22	1	175	3	247
GTEX-11ZUS	1	37	654	15	0	38	358	0	259	0	2	189	26	0	215	0	280
GTEX-131XF	2	42	724	47	0	50	269	0	255	0	0	172	35	0	194	1	223
GTEX-1F75A	0	66	934	48	0	50	430	0	352	0	0	303	40	1	326	6	395
GTEX-P44G	1	16	574	37	0	19	283	0	222	0	0	218	32	1	243	2	291
GTEX-14LZ3	0	52	1069	22	0	68	575	0	372	0	0	299	41	1	346	8	369
GTEX-13O3Q	0	32	572	16	0	46	257	0	174	2	1	134	18	0	142	3	186
GTEX-139UW	1	21	563	55	0	26	246	0	211	0	0	158	31	0	160	1	195
GTEX-13N2G	0	49	1233	34	0	44	758	0	576	2	0	426	73	0	552	5	550
GTEX-146FQ	0	34	892	63	0	51	519	0	348	0	0	293	77	0	346	4	443
GTEX-13QBU	0	19	636	32	0	18	380	0	229	0	0	224	50	2	261	1	304
GTEX-XGQ4	0	18	484	18	0	14	216	0	174	0	0	146	26	0	192	4	177
GTEX-RNOR	0	65	851	27	0	63	548	0	466	0	3	317	42	0	375	6	437
GTEX-ZDTS	0	15	455	15	0	27	230	0	141	0	0	163	30	1	192	0	202
GTEX-R3RS	1	50	814	35	0	53	318	0	273	0	0	236	40	1	271	1	286
GTEX-1A3MX	1	47	599	65	0	57	321	0	255	0	0	196	26	2	229	4	235
