individual	chr2:9412405:9414178:cluster20065	chr2:9412405:9418626:cluster20065	chr2:9412405:9423373:cluster20065	chr2:9414256:9418626:cluster20065	chr2:9414256:9423373:cluster20065	chr2:9418732:9419990:cluster20065	chr2:9418732:9422479:cluster20065	chr2:9418732:9422882:cluster20065	chr2:9418732:9422966:cluster20065	chr2:9418732:9423373:cluster20065	chr2:9420100:9422479:cluster20065	chr2:9420100:9423373:cluster20065
GTEX-1S82U	195	1	4	167	11	40	11	42	7	66	7	2
GTEX-1IDJC	99	1	3	64	4	11	14	0	1	42	2	3
GTEX-132NY	118	4	3	90	8	22	32	0	5	53	12	1
GTEX-14ABY	149	5	5	123	8	17	37	0	3	74	15	1
GTEX-13OVL	86	2	3	87	5	17	13	0	3	41	7	2
GTEX-UPJH	57	1	6	49	4	8	11	0	3	22	3	2
GTEX-11P82	85	4	5	66	6	20	14	0	1	32	5	1
GTEX-14JIY	100	2	5	92	6	18	22	0	3	45	7	3
GTEX-147F3	52	3	0	44	0	8	8	0	2	28	4	2
GTEX-YB5E	166	2	7	134	11	17	21	0	2	74	5	3
GTEX-SUCS	82	6	4	75	4	12	12	0	1	27	7	0
GTEX-1QW4Y	95	4	2	94	8	14	24	0	4	56	7	0
GTEX-Y8E4	102	1	7	85	6	17	20	0	1	58	6	1
GTEX-12WSM	93	2	1	79	3	12	15	0	1	45	7	2
GTEX-15EO6	140	4	0	131	5	18	21	0	3	64	10	2
GTEX-YF7O	51	0	1	49	3	13	12	0	0	24	5	1
GTEX-1QMI2	128	3	4	125	3	24	25	0	3	67	8	2
GTEX-WHPG	73	1	2	67	4	12	21	0	0	30	8	1
GTEX-1CAMR	37	1	1	29	1	11	8	0	1	23	3	2
GTEX-1AX8Z	128	4	2	114	3	19	21	0	6	66	4	1
GTEX-14A6H	204	3	9	155	20	30	49	0	4	73	14	7
GTEX-13PL7	92	1	2	76	4	15	11	0	1	57	6	2
GTEX-ZQG8	70	3	0	66	4	10	13	0	2	42	4	1
GTEX-U3ZG	83	1	4	82	2	16	12	0	0	29	4	2
GTEX-1K9T9	52	1	5	37	2	6	9	0	0	16	4	0
GTEX-13NZA	97	7	3	95	2	21	22	0	4	48	5	2
GTEX-1GN1V	50	2	2	51	3	13	10	0	1	26	3	0
GTEX-XBED	69	4	1	75	5	6	12	0	1	33	4	2
GTEX-1F75W	152	1	6	130	6	24	18	0	7	73	6	2
GTEX-146FR	86	4	2	56	4	14	20	0	3	34	3	0
GTEX-1AX9I	92	6	5	85	4	18	18	0	2	42	10	3
GTEX-1B8KE	58	1	2	46	6	5	9	0	2	19	2	0
GTEX-R55D	84	2	2	56	5	6	14	0	0	22	4	1
GTEX-1RQEC	176	1	4	119	11	30	41	0	4	88	16	4
GTEX-1S5VW	99	3	5	80	4	14	19	0	2	48	3	1
GTEX-13JVG	64	1	0	40	1	9	9	0	0	23	4	0
GTEX-1122O	35	1	1	41	3	3	7	0	0	16	2	0
GTEX-ZAB5	35	1	2	26	2	6	4	0	3	20	2	1
GTEX-17MFQ	66	1	2	52	5	17	20	0	3	28	4	0
GTEX-13FTX	61	1	2	65	6	11	9	0	2	22	7	2
GTEX-113JC	43	1	1	43	1	8	11	0	1	27	6	0
GTEX-P4PP	103	1	1	91	4	20	20	0	3	65	8	4
GTEX-13CF2	93	5	5	78	4	27	13	0	2	47	8	0
GTEX-13RTK	122	4	5	86	5	10	23	0	2	64	6	4
GTEX-1A32A	109	4	4	102	5	18	17	0	1	42	12	2
GTEX-1OFPY	109	4	3	90	7	12	15	0	2	37	2	3
GTEX-11NUK	91	4	5	86	5	25	23	0	3	45	7	1
GTEX-13W3W	72	1	3	52	3	18	10	0	2	31	2	2
GTEX-1B933	85	0	2	71	1	15	18	0	2	49	8	1
GTEX-WZTO	102	3	5	92	2	16	14	0	2	41	4	1
GTEX-XQ3S	66	2	4	59	6	14	17	0	0	41	3	1
GTEX-18A7B	157	9	8	143	12	28	32	0	3	74	9	3
GTEX-145LU	115	1	8	80	6	19	23	0	2	52	11	0
GTEX-111FC	76	2	3	61	1	18	21	0	3	33	4	1
GTEX-1KD5A	161	6	12	146	7	30	48	0	4	91	15	2
GTEX-UTHO	50	4	2	38	1	8	8	0	0	21	2	2
GTEX-1GF9W	58	1	3	52	1	10	9	0	0	24	9	2
GTEX-18A6Q	64	1	2	61	6	10	17	0	1	29	4	3
GTEX-17EUY	124	5	4	101	7	11	30	0	4	53	2	2
GTEX-1LGOU	78	2	4	63	6	13	6	0	0	30	2	2
GTEX-1L5NE	141	6	8	140	6	17	15	0	6	82	13	2
GTEX-1MCYP	90	3	5	77	2	20	16	0	1	46	5	1
GTEX-13FTY	80	1	2	61	3	13	10	0	2	26	4	0
GTEX-1212Z	131	1	4	101	6	25	12	0	3	60	13	0
GTEX-WK11	109	2	5	83	8	11	14	0	1	40	9	0
GTEX-Y8DK	92	3	4	61	3	15	22	0	0	43	5	0
GTEX-OHPL	122	1	3	122	9	19	31	0	3	81	10	3
GTEX-18D9A	119	1	3	91	8	14	20	0	6	52	8	0
GTEX-U8T8	61	1	1	48	3	4	13	0	2	29	3	0
GTEX-ZV6S	89	4	4	77	7	12	9	0	2	52	5	1
GTEX-WEY5	156	2	6	139	11	27	26	0	3	70	7	3
GTEX-14BMU	64	2	1	59	3	11	11	0	1	31	8	0
GTEX-1QP9N	96	2	3	98	3	19	26	0	4	44	7	2
GTEX-1F75A	140	6	6	158	12	29	40	0	5	52	15	4
GTEX-13N2G	165	2	4	116	9	23	28	0	5	56	11	2
GTEX-XGQ4	46	2	0	38	3	3	7	0	0	22	5	0
GTEX-R3RS	143	6	5	117	3	21	17	0	6	54	8	4
GTEX-1B97I	123	1	8	99	9	15	14	0	4	51	11	1
GTEX-XOT4	100	1	1	110	3	22	20	0	4	54	9	3
GTEX-PLZ4	41	2	1	32	0	7	6	0	1	19	1	0
GTEX-11GSO	78	5	6	62	5	17	15	0	4	35	4	0
GTEX-1FIGZ	57	3	7	56	5	13	14	0	2	32	5	1
GTEX-OXRK	58	5	5	53	5	8	16	0	1	33	6	2
GTEX-15RIG	83	3	2	65	10	12	21	0	1	40	5	2
GTEX-13FTW	55	2	0	44	4	13	8	0	3	22	7	2
GTEX-QEG5	106	0	3	96	4	21	14	0	0	54	4	3
GTEX-17HII	77	2	0	59	3	19	16	0	1	27	8	2
GTEX-15G1A	234	10	15	168	13	24	31	0	5	91	6	5
GTEX-11OF3	65	1	3	42	5	14	14	0	2	31	6	1
GTEX-1P4AB	38	1	1	34	1	6	14	0	1	15	2	0
GTEX-1CB4F	82	0	7	72	4	11	11	0	1	41	9	3
GTEX-17EVQ	145	5	5	127	5	26	20	0	10	69	9	3
GTEX-Y111	82	0	1	70	3	15	14	0	3	25	4	0
GTEX-14BIL	64	0	0	47	5	15	11	0	1	32	4	2
GTEX-18A67	137	3	8	123	11	19	23	0	5	80	5	1
GTEX-1A3MW	78	5	2	55	2	11	14	0	2	34	9	1
GTEX-OIZH	59	3	1	44	2	5	10	0	1	20	4	0
