individual	chr18:49795881:49797466:cluster50763	chr18:49795881:49802687:cluster50763	chr18:49797594:49802687:cluster50763	chr18:49802853:49813469:cluster50763	chr18:49802853:49813732:cluster50763
GTEX-1S82U	268	87	199	248	3
GTEX-14ABY	296	0	227	209	5
GTEX-ZYY3	211	0	154	141	1
GTEX-14JIY	216	0	190	167	2
GTEX-R55E	279	0	222	185	2
GTEX-YB5E	419	0	313	265	3
GTEX-SUCS	207	0	175	145	2
GTEX-1KD4Q	254	0	234	185	3
GTEX-13X6I	121	0	97	88	0
GTEX-WHPG	264	0	232	196	4
GTEX-1CAMR	271	0	217	215	2
GTEX-13PL7	142	0	114	92	2
GTEX-11EQ9	265	0	202	171	1
GTEX-ZQG8	351	0	301	256	2
GTEX-1K9T9	199	0	185	155	2
GTEX-1C475	493	0	428	394	4
GTEX-XBED	139	0	106	102	1
GTEX-XPT6	464	0	361	327	7
GTEX-1AX9I	270	0	229	203	1
GTEX-17F96	166	0	128	104	1
GTEX-14JG6	291	0	228	216	5
GTEX-1KANA	387	0	292	275	4
GTEX-Y5V5	323	0	271	226	4
GTEX-1S5VW	847	0	660	596	2
GTEX-14PQA	158	0	122	117	2
GTEX-S33H	329	0	282	229	5
GTEX-ZAB5	162	0	137	112	1
GTEX-TMZS	83	0	75	68	1
GTEX-139T6	292	0	227	210	4
GTEX-1MJK3	281	0	243	194	2
GTEX-12ZZZ	246	0	191	160	2
GTEX-13FTX	227	0	173	160	3
GTEX-113JC	214	0	164	152	1
GTEX-1PPGY	386	0	310	297	2
GTEX-13RTK	185	0	167	141	2
GTEX-ZXG5	172	0	133	120	1
GTEX-1CB4H	149	0	120	101	1
GTEX-1QP6S	203	0	172	149	4
GTEX-11NUK	224	0	166	138	3
GTEX-131YS	328	0	252	235	3
GTEX-14PJN	254	0	205	185	2
GTEX-XQ8I	134	0	111	104	1
GTEX-1AX9K	311	0	228	215	1
GTEX-11VI4	303	0	249	223	2
GTEX-XUW1	214	0	172	132	1
GTEX-1JKYN	131	0	101	81	1
GTEX-XBEW	298	0	242	219	5
GTEX-183FY	230	0	168	146	3
GTEX-145LU	472	0	361	325	1
GTEX-1KD5A	396	0	347	307	2
GTEX-1S83E	296	0	262	206	2
GTEX-ZLV1	209	0	189	164	3
GTEX-ZUA1	309	0	226	210	3
GTEX-13FTZ	338	0	270	250	4
GTEX-X8HC	321	0	250	218	1
GTEX-11EM3	330	0	282	233	3
GTEX-1212Z	289	0	216	213	4
GTEX-OHPL	234	0	203	191	3
GTEX-W5WG	413	0	343	297	2
GTEX-1C2JI	213	0	180	146	3
GTEX-U8T8	259	0	212	182	5
GTEX-T5JC	522	0	434	369	2
GTEX-ZF2S	261	0	199	171	2
GTEX-ZV6S	143	0	116	104	3
GTEX-1399T	284	0	246	203	2
GTEX-1B97J	397	0	325	257	5
GTEX-1F75A	478	0	387	347	3
GTEX-14LZ3	396	0	323	292	3
GTEX-13O3Q	306	0	274	238	3
GTEX-13QBU	263	0	234	199	3
GTEX-WYJK	279	0	231	183	4
GTEX-1B97I	263	0	221	186	2
GTEX-XOT4	235	0	203	178	2
GTEX-PLZ4	87	0	72	61	1
GTEX-17GQL	482	0	353	349	6
GTEX-11GSO	153	0	138	110	2
GTEX-OXRK	107	0	100	85	1
GTEX-17HII	75	0	68	65	1
GTEX-1E1VI	278	0	209	179	1
GTEX-11ZVC	128	0	106	99	1
GTEX-1339X	239	0	181	164	1
GTEX-17HGU	139	0	114	91	0
GTEX-1JMQI	280	0	209	178	4
GTEX-11OF3	566	0	437	428	6
GTEX-ZV68	320	0	230	215	2
GTEX-Y111	348	0	284	244	3
GTEX-14BIL	418	0	330	313	4
GTEX-1GMRU	373	0	303	240	2
GTEX-1A3MW	222	0	185	170	1
GTEX-1AMFI	272	0	223	204	5
GTEX-1LVA9	448	0	337	299	2
GTEX-1MUQO	228	0	196	169	4
GTEX-15D79	335	0	265	234	6
GTEX-13OVH	241	0	193	158	2
GTEX-1EU9M	284	0	243	213	3
GTEX-11ZTS	240	0	195	168	3
GTEX-145MO	265	0	190	183	1
GTEX-13N1W	215	0	172	163	2
GTEX-111VG	209	0	153	153	3
GTEX-ZWKS	108	0	77	76	2
GTEX-1QEPI	401	0	340	304	7
GTEX-ZC5H	143	0	116	97	3
GTEX-Y5LM	310	0	253	221	2
GTEX-17KNJ	146	0	136	106	2
GTEX-QDT8	316	0	258	243	1
GTEX-1M5QR	350	0	276	264	2
GTEX-1JN6P	326	0	251	231	2
GTEX-P4PQ	233	0	168	162	2
GTEX-OXRP	89	0	65	61	1
GTEX-1QAET	155	0	130	98	1
GTEX-15CHC	171	0	140	117	1
GTEX-13PVR	338	0	250	221	2
GTEX-PLZ6	148	0	123	102	1
GTEX-1399U	225	0	203	166	2
GTEX-YB5K	307	0	257	224	1
GTEX-QDVN	79	0	68	59	0
GTEX-1PDJ9	508	0	380	361	3
GTEX-1PIEJ	367	0	311	273	1
GTEX-15CHR	245	0	200	185	4
GTEX-WHSB	270	0	211	180	3
GTEX-ZAK1	205	0	187	166	2
GTEX-145MH	326	0	285	244	1
GTEX-16XZY	198	0	173	146	2
GTEX-11GSP	154	0	126	123	1
GTEX-14PJ5	399	0	359	301	5
GTEX-1R9PO	280	0	245	210	1
GTEX-16XZZ	338	0	283	243	4
GTEX-17HHE	124	0	101	77	2
GTEX-U3ZM	236	0	203	165	1
GTEX-1A8G6	200	0	164	128	3
GTEX-13VXU	412	0	351	299	2
GTEX-1128S	324	0	262	225	1
GTEX-RN64	316	0	273	226	3
GTEX-1GZHY	416	0	300	277	5
GTEX-147JS	195	0	143	126	1
GTEX-1MCQQ	126	0	112	105	2
GTEX-117XS	284	0	216	210	4
GTEX-1445S	191	0	151	140	0
GTEX-1MA7W	376	0	305	276	7
GTEX-15SKB	327	0	272	227	1
GTEX-13QIC	127	0	96	83	1
GTEX-1GPI6	191	0	173	138	1
GTEX-Z93S	270	0	223	202	1
GTEX-139TS	381	0	289	242	2
GTEX-1O9I2	232	0	179	154	3
GTEX-1CAMQ	231	0	164	154	2
GTEX-XMD2	65	0	46	49	0
GTEX-ZYFD	234	0	206	170	1
GTEX-14JG1	386	0	316	278	1
GTEX-17JCI	396	0	312	258	1
GTEX-REY6	195	0	170	145	2
GTEX-1JJ6O	196	0	163	126	2
GTEX-13OVG	216	0	177	146	2
GTEX-YECK	255	0	231	197	3
GTEX-WHSE	231	0	169	141	2
GTEX-1F88F	281	0	241	195	1
GTEX-14XAO	176	0	134	129	2
GTEX-ZZPU	236	0	212	182	1
GTEX-ZP4G	295	0	230	186	4
GTEX-14C39	231	0	175	160	4
GTEX-17EVP	282	0	242	200	5
GTEX-13CF3	214	0	163	157	2
GTEX-1F48J	278	0	228	180	2
GTEX-ZVT4	289	0	242	204	1
GTEX-12584	174	0	138	137	2
GTEX-15DCD	264	0	228	195	2
GTEX-16NPV	129	0	90	87	2
GTEX-1399S	218	0	183	138	3
GTEX-WWTW	101	0	75	62	1
GTEX-1A8G7	289	0	241	194	2
GTEX-QDVJ	81	0	71	57	1
GTEX-TKQ2	488	0	350	319	3
GTEX-1RAZQ	272	0	245	187	3
GTEX-WFG8	208	0	163	145	2
GTEX-1R7EV	304	0	243	226	1
GTEX-PW2O	94	0	83	81	1
GTEX-17HHY	232	0	191	163	0
GTEX-13O3P	207	0	169	129	1
GTEX-ZVT3	265	0	230	203	2
GTEX-OXRN	200	0	164	124	2
GTEX-1QP28	311	0	236	220	2
GTEX-XV7Q	163	0	138	114	1
