individual	chr8:18075587:18082715:cluster25857	chr8:18075587:18083122:cluster25857	chr8:18075587:18083981:cluster25857	chr8:18075587:18084587:cluster25857	chr8:18075587:18084676:cluster25857
GTEX-1A3MX	1	23	173	41	3
GTEX-1IDJC	0	0	217	0	8
GTEX-11P82	0	0	45	0	1
GTEX-QEG4	0	0	78	0	2
GTEX-R55E	0	0	95	0	4
GTEX-1QW4Y	0	0	146	0	7
GTEX-Y8E4	0	4	398	0	18
GTEX-1KD4Q	0	0	117	0	5
GTEX-12WSM	0	0	85	0	3
GTEX-15EO6	0	2	184	0	5
GTEX-1AX8Z	0	3	259	0	7
GTEX-14A6H	0	0	136	0	6
GTEX-16MTA	0	0	87	0	3
GTEX-1F88E	0	0	79	0	4
GTEX-U3ZG	0	1	117	0	8
GTEX-139T4	0	0	80	0	3
GTEX-1GN1V	0	0	188	0	7
GTEX-XBED	0	0	42	0	2
GTEX-14BMV	0	2	171	0	4
GTEX-XPT6	0	1	187	0	7
GTEX-1B8KE	0	0	44	0	3
GTEX-ZVT2	0	1	86	0	6
GTEX-1KANA	0	1	119	0	5
GTEX-1RQEC	0	2	200	0	9
GTEX-16YQH	0	1	145	0	5
GTEX-14PQA	0	1	91	0	6
GTEX-ZPIC	0	1	60	0	3
GTEX-1CB4G	0	1	146	0	7
GTEX-13S7M	0	0	83	0	3
GTEX-1LB8K	0	0	187	0	9
GTEX-15SHU	0	0	107	0	3
GTEX-17MFQ	0	0	71	0	4
GTEX-1I6K7	0	1	203	0	13
GTEX-15UF7	0	0	103	0	5
GTEX-1CB4H	0	1	60	0	1
GTEX-1A32A	0	3	231	0	6
GTEX-14PJ4	0	0	168	0	8
GTEX-1OFPY	0	0	48	0	1
GTEX-11NUK	0	0	110	0	5
GTEX-131YS	0	0	125	0	5
GTEX-12696	0	0	89	0	3
GTEX-147F4	0	2	141	0	6
GTEX-1B933	0	0	198	0	7
GTEX-1313W	0	0	254	0	9
GTEX-12ZZY	0	2	137	0	3
GTEX-XQ3S	0	0	70	0	2
GTEX-1JKYN	0	0	13	0	1
GTEX-18A7B	0	2	317	0	9
GTEX-183FY	0	0	106	0	5
GTEX-111FC	0	2	140	0	7
GTEX-13X6J	0	0	197	0	8
GTEX-1LNCM	0	0	90	0	4
GTEX-1LSNL	0	0	85	0	3
GTEX-1NUQO	0	1	123	0	3
GTEX-ZUA1	0	0	150	0	8
GTEX-18A6Q	0	2	235	0	9
GTEX-17EUY	0	0	64	0	2
GTEX-1LGOU	0	1	86	0	3
GTEX-1L5NE	0	0	88	0	3
GTEX-169BO	0	0	113	0	5
GTEX-1MCYP	0	6	289	0	13
GTEX-1JMQJ	0	0	100	0	6
GTEX-13FTY	0	1	149	0	3
GTEX-15ETS	0	0	184	0	7
GTEX-WK11	0	1	174	0	9
GTEX-1GPI7	0	1	249	0	10
GTEX-1GN1W	0	1	80	0	4
GTEX-1RAZR	0	0	93	0	4
GTEX-1S82P	0	0	105	0	3
GTEX-12C56	0	0	157	0	5
GTEX-1ICG6	0	0	77	0	4
GTEX-1K2DA	0	0	117	0	6
GTEX-U8T8	0	0	54	0	2
GTEX-ZF2S	0	0	122	0	6
GTEX-WEY5	0	0	133	0	5
GTEX-13N2G	0	1	243	0	8
GTEX-146FQ	0	1	199	0	7
GTEX-13U4I	0	0	95	0	4
GTEX-WYJK	0	0	80	0	2
GTEX-R3RS	0	0	76	0	3
GTEX-17GQL	0	1	194	0	9
GTEX-OXRK	0	0	31	0	2
GTEX-15RIG	0	0	89	0	5
GTEX-17HII	0	0	80	0	2
GTEX-ZZ64	0	0	105	0	5
GTEX-17HGU	0	0	44	0	2
GTEX-1JMQI	0	0	41	0	2
GTEX-11OF3	0	1	212	0	8
GTEX-11UD2	0	1	219	0	11
GTEX-1CB4F	0	0	35	0	1
GTEX-ZF3C	0	0	84	0	5
GTEX-PWCY	0	1	219	0	7
GTEX-Y111	0	0	91	0	5
GTEX-18A67	0	0	153	0	7
GTEX-1A3MW	0	2	136	0	5
GTEX-13FH7	0	0	137	0	5
GTEX-Y3I4	0	0	60	0	2
GTEX-11ZU8	0	0	119	0	4
GTEX-S32W	0	0	67	0	4
GTEX-1MUQO	0	0	73	0	3
GTEX-15D79	0	1	165	0	6
GTEX-1RAZA	0	2	163	0	5
GTEX-1EU9M	0	0	169	0	6
GTEX-U3ZN	1	3	260	0	7
GTEX-145MO	0	2	192	0	6
GTEX-WYVS	0	1	93	0	2
GTEX-13N1W	0	0	86	0	3
GTEX-1AX9J	0	1	89	0	6
GTEX-1F7RK	0	0	105	0	5
GTEX-1QEPI	0	3	351	0	13
GTEX-Y9LG	0	0	34	0	2
GTEX-1EWIQ	0	0	139	0	5
GTEX-Y5LM	0	5	257	0	13
GTEX-17KNJ	0	0	59	0	3
GTEX-QDT8	0	1	140	0	4
GTEX-1A8FM	0	1	211	0	6
GTEX-XPVG	0	0	61	0	3
GTEX-1GN73	0	1	239	0	7
GTEX-183WM	0	1	71	0	4
GTEX-14E6D	0	0	139	0	7
GTEX-18A66	0	1	132	0	3
GTEX-13O21	0	1	103	0	5
GTEX-1RB15	0	1	94	0	5
GTEX-WOFL	0	1	90	0	2
