individual	chr1:246840998:246842694:cluster24616	chr1:246840998:246843795:cluster24616	chr1:246840998:246849615:cluster24616	chr1:246842776:246843795:cluster24616	chr1:246842776:246849615:cluster24616	chr1:246843916:246849615:cluster24616	chr1:246843928:246849615:cluster24616
GTEX-X5EB	29	4	4	16	2	20	28
GTEX-132NY	46	1	1	39	1	0	46
GTEX-14ABY	52	0	1	48	1	0	49
GTEX-13OVL	56	0	1	48	2	0	49
GTEX-ZYY3	46	2	4	32	1	0	58
GTEX-14JIY	37	0	3	33	2	0	46
GTEX-1QW4Y	82	1	1	66	7	0	85
GTEX-Y8E4	60	1	5	64	1	0	81
GTEX-1KD4Q	44	1	0	41	4	0	51
GTEX-YF7O	65	1	1	53	1	0	49
GTEX-1QMI2	49	3	2	39	0	0	51
GTEX-13X6I	49	1	5	59	2	0	62
GTEX-1KXAM	81	0	2	73	2	0	80
GTEX-13W46	59	1	4	67	3	0	81
GTEX-13OW5	62	1	4	53	0	0	49
GTEX-139T4	100	3	7	91	7	0	116
GTEX-1K9T9	53	1	2	47	2	0	40
GTEX-13NZA	49	0	5	36	1	0	39
GTEX-1C475	64	2	2	62	3	0	72
GTEX-ZF28	69	2	3	67	4	0	75
GTEX-U4B1	65	0	3	37	0	0	63
GTEX-17F96	126	0	7	116	3	0	120
GTEX-1KANA	78	0	4	80	3	0	81
GTEX-1RQEC	64	0	1	54	1	0	53
GTEX-1C64N	73	4	5	76	4	0	67
GTEX-ZPIC	36	1	3	23	1	0	43
GTEX-ZAB5	64	1	1	55	2	0	56
GTEX-15SHU	41	2	1	41	2	0	42
GTEX-17MFQ	40	1	4	20	2	0	35
GTEX-1MJK3	73	3	7	76	4	0	86
GTEX-13PL6	35	1	0	27	3	0	39
GTEX-14DAR	63	0	2	57	3	0	77
GTEX-RWS6	57	1	2	62	1	0	79
GTEX-11EMC	40	1	2	29	1	0	30
GTEX-1399R	47	2	1	44	1	0	62
GTEX-15UF7	144	1	9	105	3	0	122
GTEX-PWN1	23	0	0	13	1	0	21
GTEX-131YS	44	1	1	46	1	0	55
GTEX-XQ8I	70	1	3	62	2	0	55
GTEX-1GZ2Q	51	0	3	41	3	0	54
GTEX-12ZZY	25	0	1	20	1	0	35
GTEX-1GMR3	36	1	0	24	0	0	41
GTEX-145LU	45	1	2	27	0	0	36
GTEX-111FC	26	0	1	27	2	0	33
GTEX-13X6J	49	1	7	48	2	0	61
GTEX-1LNCM	49	1	1	35	3	0	59
GTEX-1S83E	86	4	6	49	4	0	64
GTEX-1GF9W	54	4	5	42	1	0	51
GTEX-1I4MK	82	1	7	47	2	0	62
GTEX-1MCYP	113	1	9	126	3	0	130
GTEX-15ETS	81	2	4	89	5	0	82
GTEX-1PPH7	112	1	9	103	2	0	124
GTEX-1212Z	62	0	4	51	0	0	60
GTEX-1GN1W	85	2	3	68	0	0	83
GTEX-TSE9	60	1	4	37	2	0	63
GTEX-ZYFG	65	0	5	53	2	0	54
GTEX-TMMY	226	1	14	233	3	0	265
GTEX-PLZ5	50	2	0	46	0	0	58
GTEX-1C2JI	73	2	3	46	2	0	70
GTEX-1K2DA	156	6	7	90	8	0	156
GTEX-13O3Q	43	1	3	25	1	0	38
GTEX-139UW	64	1	2	46	3	0	68
GTEX-13N2G	87	2	6	106	4	0	113
GTEX-13QBU	80	2	5	62	2	0	73
GTEX-13U4I	47	0	2	41	1	0	36
GTEX-13G51	20	1	2	16	1	0	31
GTEX-XOT4	43	1	0	38	1	0	52
GTEX-PLZ4	34	1	2	19	3	0	40
GTEX-17GQL	98	6	3	85	1	0	99
GTEX-1FIGZ	58	1	1	36	2	0	56
GTEX-OXRK	53	0	5	36	2	0	49
GTEX-13FTW	42	1	3	22	1	0	43
GTEX-QEG5	95	3	4	66	7	0	81
GTEX-1339X	110	3	7	103	5	0	125
GTEX-13RTL	103	0	2	83	6	0	90
GTEX-1C6VR	43	0	3	46	2	0	51
GTEX-1JMQI	121	1	9	72	1	0	118
GTEX-11UD2	25	1	2	27	2	0	34
GTEX-1KWVE	48	2	0	47	1	0	52
GTEX-1CB4F	45	1	1	42	1	0	52
GTEX-OIZH	143	0	6	99	2	0	104
