individual	chr21:46126237:46126503:cluster13435	chr21:46126297:46126503:cluster13435	chr21:46126541:46129196:cluster13435	chr21:46126541:46131954:cluster13435
GTEX-139TS	200	56	72	171
GTEX-1IDJC	467	0	96	308
GTEX-13OVL	565	0	96	406
GTEX-UPJH	122	0	27	81
GTEX-QEG4	179	0	34	115
GTEX-R55E	218	0	42	160
GTEX-147F3	579	0	107	366
GTEX-YB5E	247	0	53	187
GTEX-1QW4Y	528	0	101	400
GTEX-Y8E4	326	0	60	225
GTEX-12WSM	360	0	69	254
GTEX-15EO6	199	0	34	134
GTEX-13X6I	707	0	152	478
GTEX-1CAMR	133	0	26	94
GTEX-14A6H	407	0	84	306
GTEX-11EQ9	232	0	47	147
GTEX-13W46	297	0	54	195
GTEX-13OW5	157	0	28	120
GTEX-16MTA	119	0	20	84
GTEX-139T4	1093	0	225	770
GTEX-1K9T9	269	0	49	194
GTEX-13NZA	288	0	51	206
GTEX-1C475	337	0	71	240
GTEX-146FR	236	0	44	160
GTEX-1B8KE	72	0	14	55
GTEX-ZVT2	177	0	31	129
GTEX-X4XX	430	0	81	316
GTEX-1C64N	215	0	48	166
GTEX-16YQH	432	0	93	325
GTEX-S33H	398	0	74	275
GTEX-SIU8	217	0	42	155
GTEX-13S7M	325	0	59	218
GTEX-ZAB5	380	0	82	274
GTEX-1LB8K	244	0	55	169
GTEX-15SHU	221	0	47	166
GTEX-11TTK	291	0	57	226
GTEX-T5JW	279	0	61	219
GTEX-14753	108	0	26	83
GTEX-11DXX	363	0	83	245
GTEX-13PL6	327	0	67	223
GTEX-13FTX	131	0	26	92
GTEX-14DAR	145	0	25	94
GTEX-15UF6	179	0	35	115
GTEX-11EMC	220	0	51	171
GTEX-X4XY	474	0	102	348
GTEX-113JC	400	0	83	313
GTEX-13CF2	569	0	105	426
GTEX-13RTK	134	0	28	88
GTEX-ZXG5	241	0	53	161
GTEX-1F75B	218	0	41	144
GTEX-1QP6S	377	0	84	262
GTEX-11NUK	256	0	60	180
GTEX-1B933	346	0	70	239
GTEX-WZTO	320	0	65	228
GTEX-1GZ2Q	425	0	85	268
GTEX-12ZZY	297	0	57	213
GTEX-XQ3S	207	0	39	161
GTEX-1GMR3	210	0	40	154
GTEX-XUZC	162	0	33	112
GTEX-145LU	358	0	74	258
GTEX-111FC	322	0	54	228
GTEX-1KD5A	359	0	85	263
GTEX-1S83E	272	0	61	206
GTEX-ZDYS	368	0	82	245
GTEX-ZLV1	215	0	45	161
GTEX-1NUQO	150	0	36	106
GTEX-ZUA1	459	0	77	308
GTEX-13FTZ	378	0	75	260
GTEX-1LGOU	168	0	40	125
GTEX-1I4MK	244	0	47	175
GTEX-169BO	207	0	34	133
GTEX-11EM3	253	0	49	155
GTEX-131XG	139	0	32	104
GTEX-13FTY	1093	0	239	796
GTEX-16NPX	495	0	96	332
GTEX-1PPH7	188	0	41	128
GTEX-1F5PL	440	0	93	309
GTEX-WK11	492	0	98	374
GTEX-1GN1W	221	0	52	155
GTEX-1S82P	148	0	24	106
GTEX-Y8DK	450	0	85	343
GTEX-12C56	332	0	66	235
GTEX-TSE9	162	0	29	110
GTEX-ZYFG	156	0	27	96
GTEX-1ICG6	199	0	48	141
GTEX-PLZ5	88	0	16	63
GTEX-13O3O	390	0	88	274
GTEX-SN8G	244	0	55	172
GTEX-1C2JI	251	0	54	176
GTEX-18D9A	190	0	41	139
GTEX-QEL4	54	0	11	31
GTEX-WEY5	345	0	79	266
