individual	chr2:218401712:218402111:cluster56829	chr2:218401712:218402114:cluster56829	chr2:218402215:218402349:cluster56829	chr2:218402215:218403035:cluster56829	chr2:218402405:218403035:cluster56829
GTEX-1C4CL	73	79	129	23	149
GTEX-1IDJC	51	75	163	4	176
GTEX-132NY	27	60	106	1	126
GTEX-139TU	34	56	111	3	114
GTEX-UPJH	20	36	74	0	76
GTEX-QEG4	26	35	75	0	81
GTEX-SUCS	49	108	206	3	210
GTEX-ZYT6	25	38	81	1	88
GTEX-Y8E4	56	85	197	1	199
GTEX-15EO6	61	115	227	2	264
GTEX-WHPG	54	75	149	3	170
GTEX-13PL7	36	75	167	2	174
GTEX-11EQ9	35	61	128	0	129
GTEX-16MTA	44	87	164	2	185
GTEX-ZQG8	30	62	114	0	121
GTEX-1F75W	31	64	124	0	128
GTEX-1B8KE	29	45	89	1	111
GTEX-ZVT2	45	70	143	3	151
GTEX-14JG6	30	55	115	1	137
GTEX-R55D	58	105	224	1	220
GTEX-1JN76	30	47	101	3	116
GTEX-1RQEC	35	68	141	1	159
GTEX-1S5VW	44	73	143	1	157
GTEX-1C64N	57	97	177	3	179
GTEX-16YQH	34	46	110	1	112
GTEX-1CB4G	26	44	94	1	107
GTEX-SIU8	34	57	124	1	127
GTEX-15SHU	34	71	142	0	154
GTEX-T5JW	45	70	173	4	184
GTEX-1LC47	46	107	209	3	222
GTEX-14753	32	50	95	2	110
GTEX-13FTX	28	51	122	1	117
GTEX-14DAR	39	68	129	1	142
GTEX-1I6K7	33	70	132	2	140
GTEX-131XW	24	43	72	0	85
GTEX-15UF7	43	76	174	2	181
GTEX-113JC	15	40	70	2	80
GTEX-14PJ4	36	77	126	1	155
GTEX-1F75B	30	63	130	3	145
GTEX-1QP6S	24	46	82	0	92
GTEX-11NUK	22	35	77	2	72
GTEX-QV31	14	20	54	0	54
GTEX-11VI4	50	83	158	1	174
GTEX-XUW1	26	48	91	0	105
GTEX-1GMR3	23	42	94	1	107
GTEX-1C6WA	37	59	109	1	123
GTEX-18A7B	63	98	222	4	229
GTEX-111FC	24	53	105	0	107
GTEX-OHPN	47	90	174	3	200
GTEX-18A6Q	43	61	122	2	149
GTEX-1L5NE	64	109	226	2	217
GTEX-1I4MK	58	93	201	4	214
GTEX-X8HC	40	77	159	4	150
GTEX-1JMQJ	31	40	89	1	97
GTEX-ZYFG	30	62	116	1	128
GTEX-W5WG	44	62	137	1	143
GTEX-1N2DW	30	62	121	1	131
GTEX-ZV6S	54	103	191	3	219
GTEX-1B97J	71	132	244	4	273
GTEX-13G51	18	37	79	0	84
GTEX-1IDFM	42	64	154	3	168
GTEX-OXRK	33	73	120	1	134
GTEX-WRHK	59	90	164	3	200
GTEX-13RTL	41	77	135	1	158
GTEX-QV44	38	88	153	4	173
GTEX-Y111	46	67	124	3	137
GTEX-18A67	50	99	160	4	196
GTEX-18D9U	73	120	249	7	292
GTEX-1192X	26	53	109	2	124
GTEX-1LSNM	30	67	130	1	129
GTEX-1MUQO	62	85	171	4	198
GTEX-1EU9M	45	87	163	1	174
GTEX-16MT8	65	103	214	4	219
GTEX-ZWKS	22	55	106	1	102
GTEX-1QEPI	45	83	179	1	194
GTEX-15CHQ	33	57	121	0	125
GTEX-1LVAO	31	62	128	0	141
GTEX-1A8FM	38	72	165	1	158
GTEX-15RIF	62	90	189	2	221
GTEX-1M5QR	37	70	148	2	167
GTEX-XPVG	44	74	124	1	153
GTEX-ZT9X	37	54	119	2	133
GTEX-18A66	44	73	157	3	144
GTEX-13PVR	26	53	118	2	125
GTEX-1399U	29	60	107	1	120
GTEX-QDVN	38	78	137	4	137
GTEX-13SLW	33	47	107	2	107
GTEX-15CHR	33	76	136	2	147
GTEX-13112	19	33	68	0	78
GTEX-18A7A	43	80	157	3	165
GTEX-WHSB	87	147	278	5	287
GTEX-WOFL	56	102	181	2	191
GTEX-ZAK1	23	35	86	2	84
GTEX-1GZ4I	71	115	266	3	295
GTEX-1PBJJ	49	86	177	2	173
GTEX-13OW8	23	42	91	1	101
GTEX-1A3MV	53	93	206	6	222
GTEX-1LVAM	49	92	179	0	193
GTEX-X5EB	13	30	50	1	47
GTEX-14PII	35	69	133	0	142
GTEX-15ER7	100	191	386	5	429
GTEX-T8EM	55	106	191	5	195
GTEX-ZPCL	33	68	129	2	148
GTEX-1LG7Z	50	93	204	4	208
GTEX-1R7EU	46	88	188	4	210
GTEX-U3ZM	32	80	147	2	165
GTEX-1A8G6	50	71	162	3	156
GTEX-T6MN	14	32	57	0	61
GTEX-14PJ2	30	55	104	3	108
GTEX-RN64	25	43	80	0	94
GTEX-1JN1M	24	40	89	3	101
GTEX-147JS	19	43	76	0	76
GTEX-R55C	23	38	73	0	81
GTEX-11NSD	37	51	102	3	112
GTEX-14PJM	33	50	94	1	98
GTEX-ZVZP	47	73	149	2	189
GTEX-VUSG	63	94	199	3	229
GTEX-13QIC	18	38	68	2	74
GTEX-11ZTT	38	69	125	2	134
GTEX-12WSL	39	57	115	3	130
GTEX-12KS4	26	36	77	2	91
GTEX-Z93S	36	52	108	3	135
GTEX-111YS	40	80	161	0	174
GTEX-1CAMQ	26	54	95	0	102
GTEX-1B8L1	28	43	75	2	90
