individual	chr2:135911493:135912486:cluster51102	chr2:135911493:135914469:cluster51102	chr2:135912566:135914469:cluster51102
GTEX-ZV6S	163	31	119
GTEX-1IDJC	190	0	133
GTEX-13OVL	99	0	72
GTEX-ZYY3	240	1	155
GTEX-14JIY	123	0	85
GTEX-YB5E	164	0	115
GTEX-ZYT6	136	0	99
GTEX-1QW4Y	216	1	162
GTEX-14PJO	155	1	104
GTEX-13OW5	71	0	51
GTEX-1F88E	200	1	129
GTEX-1GN1V	126	0	85
GTEX-ZF28	172	1	124
GTEX-14BMV	89	0	60
GTEX-146FR	158	0	106
GTEX-14JG6	110	0	73
GTEX-R55D	344	1	248
GTEX-1RQEC	195	1	128
GTEX-16YQH	136	0	92
GTEX-SIU8	137	0	93
GTEX-13S7M	64	0	43
GTEX-1LB8K	152	0	103
GTEX-17MFQ	115	0	76
GTEX-11TTK	167	1	112
GTEX-14753	139	0	96
GTEX-13PL6	108	0	73
GTEX-131XW	92	0	63
GTEX-13CF2	122	0	87
GTEX-PWN1	66	0	46
GTEX-1C6VQ	169	1	125
GTEX-XQ8I	146	0	98
GTEX-147F4	115	1	85
GTEX-13W3W	165	1	126
GTEX-QV31	76	0	50
GTEX-1AX9K	135	1	89
GTEX-1B933	104	0	77
GTEX-XUW1	95	0	71
GTEX-12ZZY	78	0	59
GTEX-R53T	157	1	109
GTEX-13X6J	125	1	89
GTEX-1LNCM	111	1	73
GTEX-1KD5A	192	1	141
GTEX-1NUQO	236	1	163
GTEX-17EUY	186	0	124
GTEX-11EM3	143	0	97
GTEX-16NPX	147	0	102
GTEX-1RAZR	358	2	240
GTEX-TSE9	161	0	110
GTEX-ZYFG	160	0	114
GTEX-W5WG	161	1	123
GTEX-1N2DW	160	0	107
GTEX-PLZ5	120	1	79
GTEX-13O3O	144	0	99
GTEX-18D9A	164	1	122
GTEX-1LH75	139	0	102
GTEX-T5JC	177	0	125
GTEX-1399T	95	0	63
GTEX-1QP9N	170	0	114
GTEX-11ZUS	117	1	79
GTEX-131XF	157	0	111
GTEX-14LZ3	143	0	100
GTEX-13QBU	182	1	122
GTEX-1B97I	174	1	111
GTEX-1A3MX	164	0	117
GTEX-OXRK	107	0	78
GTEX-QEG5	195	1	136
GTEX-1E1VI	92	0	69
GTEX-1339X	153	0	106
GTEX-17HGU	130	0	89
GTEX-1C6VR	104	1	76
GTEX-1R46S	177	1	125
GTEX-11UD2	105	0	70
GTEX-14BIL	148	1	99
GTEX-OIZH	153	0	109
GTEX-1269C	120	0	85
GTEX-1AMFI	169	1	121
GTEX-18D9U	191	0	131
GTEX-1LVA9	144	0	103
GTEX-15D79	116	1	84
GTEX-13OVH	153	1	107
GTEX-WYVS	236	1	173
GTEX-111VG	136	0	95
GTEX-1F6IF	204	1	132
GTEX-1F7RK	162	1	119
GTEX-1R9K4	216	1	142
GTEX-1QEPI	244	1	153
GTEX-1LVAO	173	1	111
GTEX-Y9LG	173	1	125
GTEX-Y5LM	201	1	147
GTEX-17KNJ	134	1	85
GTEX-1A8FM	149	1	114
GTEX-15RIF	209	1	137
GTEX-1IDJF	278	1	211
GTEX-14E6D	128	0	86
GTEX-18A66	187	0	126
GTEX-XBEC	124	1	89
GTEX-15CHC	114	0	75
GTEX-13O21	150	0	100
GTEX-1314G	149	1	95
GTEX-PLZ6	91	0	60
GTEX-16GPK	119	0	81
GTEX-15CHR	185	0	127
GTEX-132Q8	110	1	76
GTEX-18A7A	122	0	85
GTEX-1QP2A	133	0	90
GTEX-145MH	118	1	81
GTEX-1E2YA	117	1	76
GTEX-1F52S	146	0	98
GTEX-1F5PK	308	1	215
GTEX-1A3MV	214	0	146
GTEX-144GM	131	1	99
GTEX-14PJ5	136	0	97
GTEX-16XZZ	322	1	226
GTEX-ZAB4	145	1	91
GTEX-14PII	135	0	97
GTEX-ZPCL	108	0	71
GTEX-RWSA	116	0	75
GTEX-1R7EU	159	1	104
GTEX-1C4CL	189	1	134
GTEX-1A8G6	164	0	109
GTEX-14PN4	129	1	84
GTEX-13VXU	155	0	102
GTEX-SNMC	322	2	240
GTEX-15SHV	180	0	128
GTEX-18465	172	1	129
GTEX-14PJ2	195	0	137
GTEX-RN64	133	0	97
GTEX-1JN1M	216	0	149
GTEX-QVJO	146	0	98
GTEX-13RTJ	200	1	139
GTEX-R55C	89	0	58
GTEX-14PJ6	179	1	111
GTEX-1EH9U	169	1	126
GTEX-1MA7W	179	0	126
GTEX-15SKB	277	1	201
GTEX-1BAJH	127	0	83
GTEX-ZVZP	152	0	107
GTEX-WY7C	309	2	216
GTEX-13QIC	73	0	45
GTEX-1GMR8	194	0	132
GTEX-1GPI6	96	0	69
GTEX-Z93S	116	0	85
GTEX-14PK6	112	1	81
GTEX-1B8L1	123	0	84
GTEX-13QJ3	176	1	123
