individual	chr19:36140157:36140997:cluster10684	chr19:36140157:36141000:cluster10684	chr19:36140265:36140997:cluster10684	chr19:36140265:36141000:cluster10684
GTEX-18A7A	33	18	20	29
GTEX-14ABY	65	16	0	1
GTEX-139TU	65	20	0	1
GTEX-11P82	76	23	1	1
GTEX-QEG4	25	8	0	0
GTEX-147F3	41	11	0	0
GTEX-SUCS	40	10	0	1
GTEX-1QW4Y	112	35	0	3
GTEX-1CAMR	25	5	0	0
GTEX-13PL7	36	9	0	0
GTEX-13OVJ	36	12	0	0
GTEX-ZQG8	60	22	0	1
GTEX-14C38	47	15	0	0
GTEX-ZF28	47	13	0	1
GTEX-XPT6	46	13	1	1
GTEX-1F75W	32	10	0	0
GTEX-146FR	32	10	0	1
GTEX-17F96	95	24	0	1
GTEX-1B8KE	8	2	0	0
GTEX-ZVT2	42	13	0	1
GTEX-R55D	21	6	0	0
GTEX-1JN76	21	4	0	0
GTEX-X4XX	22	8	0	0
GTEX-14PQA	43	10	0	0
GTEX-ZPIC	14	5	0	0
GTEX-1CB4G	63	16	0	0
GTEX-13S7M	19	5	0	0
GTEX-1122O	23	8	0	0
GTEX-TMZS	3	0	0	0
GTEX-1LC47	92	21	0	2
GTEX-12ZZZ	37	10	0	1
GTEX-15UF6	45	12	0	0
GTEX-131XW	40	14	0	1
GTEX-PWN1	8	2	0	0
GTEX-1OFPY	14	5	0	0
GTEX-11NUK	54	15	0	0
GTEX-QV31	11	2	0	0
GTEX-1B933	42	11	0	1
GTEX-XUW1	27	7	0	0
GTEX-1GZ2Q	31	11	0	0
GTEX-XQ3S	30	9	0	1
GTEX-1GMR3	41	12	0	0
GTEX-1C6WA	51	16	1	1
GTEX-OIZI	6	3	0	0
GTEX-1JKYN	15	4	0	0
GTEX-18A7B	65	18	0	0
GTEX-R53T	5	2	0	0
GTEX-183FY	108	27	0	1
GTEX-145LU	59	16	1	0
GTEX-111FC	66	21	0	1
GTEX-1KD5A	63	22	0	1
GTEX-UTHO	12	2	0	0
GTEX-ZUA1	64	19	0	0
GTEX-17EUY	17	5	0	0
GTEX-1LGOU	60	17	0	0
GTEX-1MCYP	56	15	0	0
GTEX-15ETS	71	19	0	0
GTEX-1PPH7	32	11	0	0
GTEX-1GPI7	76	25	0	2
GTEX-1GN1W	60	15	0	1
GTEX-1QPFJ	19	6	0	0
GTEX-12C56	88	25	0	2
GTEX-TMMY	2	1	0	0
GTEX-1N2DW	35	13	0	1
GTEX-1C2JI	51	15	0	0
GTEX-QEL4	15	3	0	0
GTEX-ZV6S	33	8	0	1
GTEX-1QP9N	37	10	0	0
GTEX-11ZUS	53	15	0	0
GTEX-1B97J	83	24	0	1
GTEX-P44G	12	3	0	0
GTEX-14LZ3	93	27	1	2
GTEX-13QBU	34	11	0	1
GTEX-13U4I	68	19	0	2
GTEX-RNOR	13	4	0	0
GTEX-PLZ4	9	3	0	0
GTEX-13FTW	27	9	0	1
GTEX-QEG5	35	10	0	1
GTEX-17HII	20	6	0	0
GTEX-1E1VI	44	13	0	0
GTEX-13RTL	102	26	1	0
GTEX-15G1A	84	22	1	0
GTEX-1C6VR	23	9	0	0
GTEX-1P4AB	26	7	0	1
GTEX-11UD2	60	18	0	1
GTEX-1KWVE	47	13	0	0
GTEX-1CB4F	21	4	0	0
GTEX-ZF3C	62	15	0	1
GTEX-SJXC	5	1	0	0
GTEX-1GMRU	68	20	0	0
GTEX-YEC3	65	22	0	1
GTEX-Y3I4	37	11	0	0
GTEX-1192X	32	7	0	0
GTEX-1MUQO	43	14	0	0
GTEX-15D79	51	16	0	0
GTEX-13OVH	59	13	1	1
GTEX-11ZTS	34	9	0	0
GTEX-16BQI	78	21	0	0
GTEX-1F6IF	41	11	0	0
GTEX-1AX9J	27	9	0	0
GTEX-Y9LG	42	13	0	0
GTEX-11EI6	55	16	0	0
GTEX-V1D1	1	0	0	0
GTEX-1M5QR	108	33	1	2
GTEX-1GN73	80	22	0	1
GTEX-OXRP	9	2	0	0
GTEX-1S82Y	129	41	0	1
GTEX-XBEC	12	3	0	0
GTEX-1QAET	39	13	0	0
GTEX-1399U	38	10	0	0
GTEX-ZE7O	35	9	0	1
GTEX-16GPK	47	10	0	1
GTEX-15CHR	44	12	0	1
GTEX-ZAK1	27	10	0	0
GTEX-13OW8	40	14	0	0
GTEX-R55G	19	7	0	0
GTEX-1E2YA	86	24	0	0
GTEX-1F52S	65	18	0	0
GTEX-12WSG	57	18	0	1
GTEX-N7MS	21	6	0	0
GTEX-14PJ5	49	12	0	0
GTEX-1R9PO	45	12	0	0
GTEX-1K2DU	43	14	0	0
GTEX-13OW6	62	15	0	1
GTEX-17HHE	11	4	0	0
GTEX-1R7EU	21	6	0	0
GTEX-13VXU	47	10	0	1
GTEX-1GZHY	50	17	0	0
GTEX-147JS	37	8	0	0
GTEX-QCQG	41	10	0	0
GTEX-144GL	49	15	0	0
GTEX-13RTJ	13	3	0	0
GTEX-R55C	7	2	0	0
GTEX-1MCQQ	37	11	0	0
GTEX-1GF9U	44	11	0	0
GTEX-11NSD	34	9	0	0
GTEX-14PJM	45	14	0	0
GTEX-117XS	34	8	0	1
GTEX-1EH9U	66	17	1	0
GTEX-139YR	61	15	0	0
GTEX-1445S	50	13	0	0
GTEX-1MA7W	112	32	1	0
GTEX-13QIC	33	10	0	0
GTEX-12WSL	43	12	0	0
GTEX-12KS4	59	15	1	1
GTEX-11I78	56	16	0	1
GTEX-1GMR8	56	16	0	1
GTEX-1GPI6	26	6	0	0
GTEX-1O9I2	77	20	0	1
GTEX-13QJ3	77	20	0	0
GTEX-ZYFD	27	8	0	0
GTEX-14JG1	49	14	0	1
GTEX-ZA64	77	28	0	1
GTEX-1PIIG	36	11	0	0
GTEX-13OVG	41	9	0	1
GTEX-1F88F	21	5	0	0
GTEX-1JMQK	29	7	0	0
GTEX-ZZPU	57	15	0	1
GTEX-14E6E	51	17	0	0
GTEX-13D11	33	11	0	0
GTEX-1B8SF	39	12	0	0
GTEX-17EVP	40	12	0	0
GTEX-147GR	50	16	0	0
GTEX-SE5C	2	1	0	0
GTEX-1399S	45	13	0	0
GTEX-1EX96	25	8	0	0
GTEX-14DAQ	81	27	1	0
GTEX-ZEX8	81	21	1	0
GTEX-15RIE	51	15	0	0
GTEX-1GF9V	64	16	0	1
GTEX-1RAZQ	67	20	0	0
GTEX-WFG8	1	0	0	0
GTEX-PX3G	39	10	0	1
GTEX-146FH	32	11	0	0
GTEX-U3ZH	31	10	0	0
GTEX-1ICLY	4	1	0	0
GTEX-YFC4	48	15	0	0
GTEX-Q2AI	1	0	0	0
GTEX-14BIM	36	13	0	0
GTEX-VJWN	5	1	0	0
GTEX-ZF29	46	13	0	0
GTEX-1CB4J	88	30	0	1
GTEX-13PVQ	38	10	0	0
GTEX-11GS4	55	21	0	1
GTEX-ZVT3	27	6	0	0
