individual	chr2:151625638:151627002:cluster67373	chr2:151625638:151631143:cluster67373	chr2:151630819:151631143:cluster67373
GTEX-1GTWX	109	277	805
GTEX-132NY	281	0	328
GTEX-14ABY	1225	0	1447
GTEX-11P82	103	0	115
GTEX-R55E	448	0	490
GTEX-YEC4	413	0	448
GTEX-YB5E	298	0	334
GTEX-15EO6	963	0	1096
GTEX-1QMI2	609	0	673
GTEX-1KXAM	1321	0	1482
GTEX-11EQ9	437	0	461
GTEX-13OVJ	311	0	361
GTEX-13W46	235	0	257
GTEX-13OW5	195	0	227
GTEX-16MTA	401	0	449
GTEX-ZQG8	84	0	95
GTEX-1F88E	29	0	29
GTEX-1K9T9	213	0	254
GTEX-1GN1V	166	0	178
GTEX-XBED	318	0	332
GTEX-XPT6	300	0	313
GTEX-1AX9I	1189	0	1305
GTEX-17F96	312	0	361
GTEX-1B8KE	1057	0	1142
GTEX-ZVT2	191	0	222
GTEX-1JN76	707	0	778
GTEX-1S5VW	570	0	604
GTEX-1C64N	462	0	539
GTEX-14PQA	40	0	44
GTEX-13JVG	205	0	230
GTEX-ZPIC	460	0	504
GTEX-1CB4G	679	0	805
GTEX-SIU8	314	0	342
GTEX-1122O	350	0	401
GTEX-1LB8K	522	0	546
GTEX-15SHU	1007	0	1110
GTEX-17MFQ	877	0	1021
GTEX-14753	271	0	293
GTEX-11DXX	831	0	890
GTEX-139T6	616	0	700
GTEX-1MJK3	377	0	418
GTEX-13PL6	279	0	314
GTEX-13FTX	175	0	184
GTEX-14DAR	236	0	271
GTEX-15UF6	94	0	98
GTEX-11EMC	413	0	459
GTEX-1399R	518	0	543
GTEX-113JC	189	0	204
GTEX-1CB4H	102	0	109
GTEX-PWN1	281	0	307
GTEX-1A32A	764	0	904
GTEX-14PJ4	363	0	407
GTEX-1OFPY	353	0	388
GTEX-1QP6S	503	0	532
GTEX-11NUK	298	0	352
GTEX-14PJN	217	0	233
GTEX-QV31	258	0	300
GTEX-1B933	539	0	592
GTEX-WZTO	425	0	457
GTEX-1GZ2Q	263	0	309
GTEX-1313W	553	0	583
GTEX-1GMR3	407	0	473
GTEX-OIZI	787	0	873
GTEX-18A7B	909	0	995
GTEX-XBEW	118	0	130
GTEX-145LU	216	0	253
GTEX-1LNCM	123	0	140
GTEX-1KD5A	1025	0	1088
GTEX-1S83E	593	0	660
GTEX-1NUQO	836	0	926
GTEX-OHPN	72	0	75
GTEX-ZUA1	506	0	565
GTEX-13FTZ	265	0	299
GTEX-17EUY	331	0	373
GTEX-1LGOU	272	0	302
GTEX-1L5NE	725	0	792
GTEX-1I4MK	972	0	1068
GTEX-X8HC	236	0	255
GTEX-131XG	523	0	560
GTEX-16NPX	424	0	485
GTEX-1212Z	834	0	913
GTEX-WK11	712	0	836
GTEX-1GPI7	706	0	827
GTEX-1GN1W	654	0	758
GTEX-1RAZR	391	0	453
GTEX-1S82P	320	0	360
GTEX-Y8DK	1192	0	1356
GTEX-1211K	809	0	912
GTEX-TSE9	531	0	618
GTEX-ZYFG	254	0	301
GTEX-13O3O	393	0	455
GTEX-1K2DA	803	0	928
GTEX-18D9A	358	0	410
GTEX-14BMU	348	0	370
GTEX-1399T	238	0	275
GTEX-131XF	127	0	141
GTEX-P44G	387	0	421
GTEX-14LZ3	307	0	366
GTEX-13O3Q	94	0	105
GTEX-13N2G	812	1	902
GTEX-146FQ	287	0	305
GTEX-13QBU	283	0	329
GTEX-13U4I	138	0	153
GTEX-ZDTS	321	0	353
GTEX-XOT4	548	0	604
GTEX-PLZ4	126	0	136
GTEX-11GSO	304	0	323
GTEX-1FIGZ	429	0	461
GTEX-WRHK	401	0	463
GTEX-13FTW	313	0	363
GTEX-QEG5	343	0	374
GTEX-17HII	1072	0	1143
GTEX-1E1VI	799	1	941
GTEX-11ZVC	1618	1	1734
GTEX-1339X	225	0	249
GTEX-15G1A	734	1	835
GTEX-ZZ64	635	0	736
GTEX-1C6VR	428	0	450
GTEX-11OF3	319	0	379
GTEX-1R46S	121	0	139
GTEX-ZV68	199	0	231
GTEX-1KWVE	607	0	646
GTEX-ZF3C	638	0	720
GTEX-PWCY	442	0	497
GTEX-Y111	377	0	439
GTEX-14BIL	826	0	929
GTEX-18A67	1922	0	2096
GTEX-1GMRU	745	0	832
GTEX-X261	217	0	238
GTEX-13FH7	369	0	420
GTEX-1R9PN	312	0	343
GTEX-1269C	146	0	167
GTEX-1AMFI	930	0	1072
GTEX-11ZU8	416	0	436
GTEX-S32W	264	0	292
GTEX-1R9PM	139	0	165
GTEX-18D9U	799	0	856
GTEX-1192X	382	0	415
GTEX-1MUQO	685	0	756
GTEX-1EU9M	476	0	511
GTEX-11ZTS	202	0	214
GTEX-WYVS	298	0	334
GTEX-117YW	742	1	860
GTEX-111VG	769	0	865
GTEX-1F6IF	584	0	634
GTEX-1AX9J	1243	0	1401
GTEX-YJ8O	158	0	188
GTEX-ZC5H	655	0	695
GTEX-15CHQ	581	0	672
GTEX-QDT8	370	0	393
GTEX-1M5QR	581	0	642
GTEX-XPVG	232	0	250
GTEX-P4PQ	460	0	517
GTEX-1AMEY	440	0	508
GTEX-1IDJF	768	0	842
GTEX-183WM	31	0	33
GTEX-11LCK	225	0	238
GTEX-1S82Y	611	0	703
GTEX-XBEC	158	0	166
GTEX-15CHC	156	0	165
GTEX-1QCLZ	331	0	365
GTEX-13PVR	249	0	281
GTEX-1314G	534	0	624
GTEX-ZTPG	258	0	291
GTEX-YB5K	351	0	406
GTEX-ZE7O	30	0	32
GTEX-16GPK	278	0	329
GTEX-1PIEJ	211	0	231
GTEX-132Q8	43	0	49
GTEX-13112	195	0	218
GTEX-WHSB	865	0	961
GTEX-WOFL	139	0	167
GTEX-1RQED	172	0	183
GTEX-ZAK1	250	0	297
GTEX-1GZ4I	384	0	428
GTEX-13OW8	709	0	775
GTEX-1QP2A	508	0	603
GTEX-1F52S	628	1	721
GTEX-11GSP	315	0	334
GTEX-133LE	307	0	345
GTEX-1R9PO	287	0	304
GTEX-X5EB	330	0	368
GTEX-1K2DU	258	0	279
GTEX-14PII	342	0	402
GTEX-WOFM	268	0	286
GTEX-1LG7Z	517	0	612
GTEX-1R7EU	430	0	483
GTEX-WFON	517	0	554
GTEX-15SHV	672	0	790
GTEX-13PLJ	100	0	114
GTEX-18465	438	0	500
GTEX-1QP66	355	0	394
GTEX-15SB6	874	0	975
GTEX-QCQG	548	0	602
GTEX-13RTJ	443	0	478
GTEX-R55C	62	0	70
GTEX-14PJ6	461	0	538
GTEX-1MCQQ	431	0	455
GTEX-1CB4E	594	0	682
GTEX-139YR	224	0	252
GTEX-1MA7W	249	0	292
GTEX-1BAJH	894	0	1006
GTEX-ZVZP	235	0	245
GTEX-VUSG	672	0	721
GTEX-13QIC	171	0	200
GTEX-1GMR8	474	0	509
GTEX-1GPI6	196	0	228
GTEX-Z93S	520	0	608
GTEX-X4EO	581	0	630
GTEX-111YS	725	0	862
GTEX-139TS	398	0	433
GTEX-14PK6	571	0	617
GTEX-1CAMQ	198	0	228
GTEX-144FL	142	0	169
GTEX-ZA64	906	0	989
GTEX-1PIIG	607	0	689
GTEX-ZVE1	168	0	177
GTEX-11XUK	329	0	345
GTEX-REY6	1123	0	1288
GTEX-1JJ6O	505	0	601
GTEX-13OVK	168	0	193
GTEX-Y8LW	342	0	387
GTEX-13OVG	233	0	244
GTEX-12ZZX	597	0	673
GTEX-WHSE	375	0	405
GTEX-1GN2E	144	0	165
GTEX-1JMQK	223	0	249
GTEX-14E6E	694	0	782
GTEX-13D11	391	0	451
GTEX-15DZA	1873	0	2135
GTEX-ZGAY	601	0	682
GTEX-14C39	418	0	465
GTEX-17EVP	445	0	507
GTEX-11P81	352	0	407
GTEX-12584	741	0	881
GTEX-15DCD	802	0	948
GTEX-16NPV	38	0	40
GTEX-SE5C	148	0	172
GTEX-QESD	443	0	480
GTEX-P4QT	801	0	925
GTEX-13X6K	432	0	474
GTEX-1A8G7	1233	0	1429
GTEX-1B932	458	0	532
GTEX-1EX96	167	0	178
GTEX-RM2N	631	0	741
GTEX-14DAQ	940	0	1106
GTEX-WL46	71	0	76
GTEX-15RIE	717	0	796
GTEX-1GF9V	664	0	774
GTEX-PX3G	352	0	385
GTEX-RUSQ	205	0	231
GTEX-1ICLY	95	0	113
GTEX-YFC4	466	0	522
GTEX-1477Z	259	0	301
GTEX-14BIM	85	0	93
GTEX-17F98	455	0	481
GTEX-VJWN	171	0	204
GTEX-111CU	431	0	456
GTEX-XAJ8	181	0	203
GTEX-ZF29	1104	0	1287
GTEX-15UKP	222	0	232
GTEX-13NZB	432	0	455
GTEX-PSDG	199	0	211
GTEX-ZVE2	167	0	181
GTEX-17HHY	756	0	822
GTEX-Z9EW	463	0	485
GTEX-11GS4	216	0	240
