individual	chr12:109206856:109209165:cluster1759	chr12:109206856:109212836:cluster1759	chr12:109209353:109212836:cluster1759
GTEX-144GM	76	102	125
GTEX-132NY	28	1	33
GTEX-YEC4	216	8	277
GTEX-YB5E	606	11	772
GTEX-SUCS	184	5	218
GTEX-12WSM	65	1	80
GTEX-15EO6	110	2	134
GTEX-YF7O	752	14	1007
GTEX-1CAMR	346	9	392
GTEX-1AX8Z	116	5	138
GTEX-13PL7	250	10	308
GTEX-11EQ9	320	10	454
GTEX-16MTA	425	11	495
GTEX-ZQG8	191	3	229
GTEX-U3ZG	15	0	17
GTEX-1C475	485	12	593
GTEX-XBED	157	2	187
GTEX-XPT6	591	8	757
GTEX-146FR	546	18	688
GTEX-1AX9I	69	2	79
GTEX-17F96	304	7	339
GTEX-1C64N	47	1	62
GTEX-13JVG	129	3	142
GTEX-1LB8K	52	2	76
GTEX-1LC47	179	8	224
GTEX-139T6	656	10	857
GTEX-14DAR	342	13	419
GTEX-131XW	22	0	25
GTEX-P4PP	95	3	117
GTEX-1PPGY	79	3	101
GTEX-1CB4H	189	3	255
GTEX-1A32A	144	4	179
GTEX-14PJN	298	11	355
GTEX-XQ8I	180	4	244
GTEX-147F4	40	2	52
GTEX-1AX9K	462	11	540
GTEX-1B933	53	1	74
GTEX-WZTO	45	1	49
GTEX-1GZ2Q	54	1	77
GTEX-1313W	30	1	37
GTEX-12ZZY	28	1	32
GTEX-1GMR3	82	2	92
GTEX-XBEW	270	9	340
GTEX-1LNCM	93	2	102
GTEX-1LSNL	37	1	43
GTEX-1S83E	253	3	321
GTEX-UTHO	104	3	112
GTEX-ZDYS	118	4	142
GTEX-1LGOU	352	5	424
GTEX-1I4MK	529	7	668
GTEX-1MCYP	1176	20	1379
GTEX-1JMQJ	72	1	95
GTEX-13FTY	18	1	26
GTEX-16NPX	93	3	121
GTEX-15ETS	329	7	456
GTEX-1PPH7	328	7	371
GTEX-1212Z	57	1	65
GTEX-1F5PL	325	6	418
GTEX-Y8DK	41	2	54
GTEX-SN8G	235	6	269
GTEX-1C2JI	446	8	593
GTEX-18D9A	829	19	986
GTEX-ZF2S	129	5	158
GTEX-139UW	78	1	100
GTEX-146FQ	70	2	88
GTEX-XGQ4	268	6	307
GTEX-13G51	19	1	24
GTEX-WYJK	340	10	390
GTEX-1B97I	481	9	583
GTEX-17GQL	506	12	621
GTEX-15RIG	343	14	437
GTEX-13FTW	375	9	506
GTEX-QEG5	48	2	65
GTEX-13RTL	40	1	60
GTEX-ZZ64	369	7	477
GTEX-1C6VR	42	1	58
GTEX-1GMRU	76	3	103
GTEX-1A3MW	169	4	193
GTEX-X261	399	13	483
GTEX-OIZH	603	12	718
GTEX-1R9PN	617	12	803
GTEX-Y3I4	187	8	230
GTEX-1269C	62	1	79
GTEX-O5YT	380	12	506
GTEX-1R9PM	73	2	91
GTEX-1192X	221	7	290
GTEX-1LSNM	198	5	278
GTEX-11ZTS	23	1	31
GTEX-WYVS	89	1	117
GTEX-16BQI	274	5	364
GTEX-13N1W	66	1	84
GTEX-117YW	43	1	47
GTEX-1F6IF	11	0	17
GTEX-Q2AG	48	1	53
GTEX-1AX9J	294	5	339
GTEX-OOBK	183	5	233
GTEX-Y9LG	192	4	225
GTEX-V1D1	44	1	61
GTEX-15RIF	480	17	556
GTEX-1M5QR	380	5	487
GTEX-ZT9X	121	3	170
GTEX-1GN73	27	1	32
GTEX-1S82Y	202	5	226
GTEX-1QAET	23	0	30
GTEX-15CHC	97	3	119
GTEX-13O21	319	7	377
GTEX-1QCLZ	344	6	412
GTEX-1PIEJ	301	10	347
GTEX-18A7A	42	1	56
GTEX-1PBJJ	165	3	219
GTEX-16XZY	34	1	52
GTEX-11GSP	23	0	28
GTEX-12WSG	66	1	75
GTEX-1A3MV	628	20	720
GTEX-133LE	164	3	225
GTEX-1K2DU	705	16	800
GTEX-14PII	312	7	421
GTEX-ZPCL	242	7	318
GTEX-WOFM	417	13	550
GTEX-1R7EU	288	7	351
GTEX-1C4CL	120	5	156
GTEX-1A8G6	59	1	66
GTEX-15SHV	572	9	705
GTEX-15SB6	178	5	203
GTEX-14PJ6	253	5	330
GTEX-1GF9U	83	2	98
GTEX-1CB4E	140	2	176
GTEX-OXRL	316	8	391
GTEX-117XS	37	1	38
GTEX-1B8KZ	59	2	72
GTEX-1445S	134	4	183
GTEX-ZVZP	580	17	819
GTEX-WY7C	710	14	810
GTEX-14LLW	409	6	496
GTEX-VUSG	278	4	326
GTEX-11ZTT	321	7	448
GTEX-1GMR8	393	16	475
GTEX-13111	179	2	227
GTEX-14H4A	306	5	387
GTEX-144FL	116	3	137
GTEX-1PIIG	52	2	75
GTEX-ZVE1	146	5	170
GTEX-11XUK	150	6	203
GTEX-WRHU	44	1	57
GTEX-WHSE	84	2	92
GTEX-12WSA	241	9	337
GTEX-OIZF	281	8	334
GTEX-1GN2E	47	1	53
GTEX-ZZPU	540	8	714
GTEX-ZP4G	479	18	592
GTEX-ZGAY	575	12	687
GTEX-147GR	21	1	32
GTEX-11P81	93	2	114
GTEX-ZVT4	41	1	58
GTEX-1R9K5	63	2	82
GTEX-16NPV	34	1	44
GTEX-14DAQ	66	1	91
GTEX-U3ZH	70	3	82
GTEX-17F98	393	11	474
GTEX-Y5V6	321	13	393
GTEX-XAJ8	369	12	425
GTEX-1CB4J	231	5	318
GTEX-PSDG	343	8	379
GTEX-13O3P	156	4	196
GTEX-1QP67	194	4	216
GTEX-ZVT3	48	1	52
GTEX-OXRN	112	4	127
GTEX-S95S	93	1	109
GTEX-1QP28	428	14	502
