individual	chr17:15981144:15986800:cluster87406	chr17:15981144:15987266:cluster87406	chr17:15986892:15987266:cluster87406
GTEX-13111	13	31	15
GTEX-1IDJD	4	125	3
GTEX-132NY	2	129	3
GTEX-14ABY	2	83	2
GTEX-UPJH	2	66	2
GTEX-14JIY	1	54	1
GTEX-YF7O	3	84	2
GTEX-1QMI2	1	46	2
GTEX-WHPG	1	81	2
GTEX-1AX8Z	4	143	3
GTEX-1KXAM	8	272	8
GTEX-14A6H	4	151	2
GTEX-11EQ9	3	111	3
GTEX-13W46	3	79	1
GTEX-13OW5	2	38	1
GTEX-ZQG8	6	146	4
GTEX-1K9T9	2	86	1
GTEX-1GN1V	4	107	3
GTEX-14C38	1	37	1
GTEX-1C475	1	75	2
GTEX-ZF28	4	106	4
GTEX-14BMV	1	34	1
GTEX-XPT6	6	234	9
GTEX-U4B1	1	63	1
GTEX-1B8KE	1	62	1
GTEX-1JN76	2	57	1
GTEX-16YQH	2	71	1
GTEX-14PQA	2	115	2
GTEX-13JVG	2	68	2
GTEX-ZPIC	1	62	1
GTEX-13S7M	1	48	1
GTEX-14753	1	62	1
GTEX-1MJK3	3	157	5
GTEX-12ZZZ	1	46	1
GTEX-13FTX	4	148	3
GTEX-14DAR	4	110	3
GTEX-131XW	4	110	3
GTEX-1C6VQ	2	58	1
GTEX-131YS	2	62	2
GTEX-1313W	5	172	3
GTEX-18A7B	2	122	4
GTEX-183FY	3	125	3
GTEX-OHPN	7	196	4
GTEX-169BO	3	149	3
GTEX-131XG	3	114	2
GTEX-WK11	4	134	3
GTEX-1GPI7	3	158	4
GTEX-Y8DK	4	152	2
GTEX-1QPFJ	5	143	5
GTEX-1211K	2	69	3
GTEX-W5WG	4	90	3
GTEX-TMMY	4	126	5
GTEX-1N2DW	5	152	4
GTEX-PLZ5	3	85	3
GTEX-13O3O	3	120	2
GTEX-1C2JI	6	159	4
GTEX-1K2DA	8	287	6
GTEX-18D9A	4	143	5
GTEX-1LH75	2	41	1
GTEX-U8T8	6	144	5
GTEX-ZF2S	5	147	2
GTEX-14BMU	3	88	2
GTEX-1399T	2	97	2
GTEX-131XF	4	126	3
GTEX-1F75A	3	179	4
GTEX-146FQ	7	238	6
GTEX-XGQ4	2	56	2
GTEX-R3RS	3	106	3
GTEX-1A3MX	4	111	2
GTEX-1IDFM	3	98	2
GTEX-11GSO	1	58	1
GTEX-15RIG	4	218	5
GTEX-QEG5	1	77	2
GTEX-13RTL	4	149	3
GTEX-1C6VR	1	65	1
GTEX-QV44	3	140	5
GTEX-11UD2	1	60	1
GTEX-1KWVE	3	111	3
GTEX-1M4P7	3	122	3
GTEX-ZF3C	4	174	4
GTEX-1A3MW	1	49	1
GTEX-OIZH	4	90	2
GTEX-YEC3	8	242	6
GTEX-1R9PN	3	96	4
GTEX-1RAZA	7	191	4
GTEX-11ZTS	2	49	1
GTEX-16MT8	2	74	3
GTEX-111VG	1	76	2
GTEX-1F6IF	4	134	2
GTEX-YJ8O	2	69	2
GTEX-OOBK	1	64	2
GTEX-Y9LG	7	177	6
GTEX-1EWIQ	3	134	2
GTEX-Y5LM	4	110	2
GTEX-11EI6	4	122	3
GTEX-1ICLZ	1	48	2
GTEX-15RIF	5	166	3
GTEX-XPVG	4	160	4
GTEX-V955	7	244	6
GTEX-ZT9X	3	125	3
GTEX-P4PQ	5	184	6
GTEX-1IDJF	9	217	5
GTEX-OXRP	1	26	1
GTEX-18A66	4	102	4
GTEX-1QAET	4	176	3
GTEX-13PVR	1	56	1
GTEX-QDVN	4	95	2
GTEX-WHSB	3	134	3
GTEX-1GZ4I	4	195	4
GTEX-R55G	2	62	1
GTEX-OIZG	3	151	3
GTEX-12WSJ	2	72	1
GTEX-1A3MV	7	224	7
GTEX-133LE	3	122	2
GTEX-ZPCL	5	122	4
GTEX-13VXU	3	94	2
GTEX-13PLJ	1	50	1
GTEX-RN64	2	77	3
GTEX-1JN1M	1	75	2
GTEX-147JS	1	37	1
GTEX-144GL	1	50	1
GTEX-13RTJ	2	84	2
GTEX-139YR	2	101	2
GTEX-1MA7W	8	317	10
GTEX-15SKB	3	81	1
GTEX-VUSG	1	48	1
GTEX-Z93S	3	118	2
GTEX-1GN1U	1	84	2
GTEX-XMD2	1	57	2
GTEX-144FL	4	146	3
GTEX-1B8L1	1	25	1
GTEX-14JG1	2	58	2
GTEX-ZA64	3	85	3
GTEX-17JCI	3	128	3
GTEX-13OVK	6	161	5
GTEX-Y8LW	2	70	2
GTEX-YECK	2	81	1
GTEX-WHSE	2	83	3
GTEX-1F88F	2	65	1
GTEX-1LG7Y	3	82	1
GTEX-12WSA	1	71	2
GTEX-14C39	3	112	3
GTEX-17EVP	2	107	3
GTEX-1R9K5	6	161	3
GTEX-Q734	1	59	1
GTEX-QDVJ	4	133	2
GTEX-TKQ2	4	122	4
GTEX-1S82U	5	145	2
GTEX-ZEX8	4	182	5
GTEX-1GF9V	2	59	1
GTEX-1RAZQ	5	197	5
GTEX-13FHO	2	67	2
GTEX-1GTWX	2	61	2
GTEX-111CU	3	75	3
GTEX-ZF29	3	145	4
GTEX-1CB4J	2	75	1
GTEX-17HHY	2	69	2
GTEX-Z9EW	2	69	2
GTEX-OXRN	2	100	3
GTEX-1QP28	4	114	3
GTEX-XV7Q	5	147	2
