individual	chr19:51354308:51366270:cluster88134	chr19:51354308:51367457:cluster88134	chr19:51367215:51367457:cluster88134
GTEX-15RIF	780	96	0
GTEX-1IDJC	812	0	1
GTEX-132NY	719	0	1
GTEX-13OVL	701	0	2
GTEX-139TU	882	0	1
GTEX-ZYY3	672	0	1
GTEX-UPJH	301	0	1
GTEX-11P82	1058	0	4
GTEX-14JIY	482	0	1
GTEX-147F3	455	0	2
GTEX-12WSM	767	0	1
GTEX-YF7O	661	0	2
GTEX-1QMI2	729	0	1
GTEX-13X6I	225	0	1
GTEX-1AX8Z	424	0	1
GTEX-1KXAM	738	0	1
GTEX-11EQ9	516	0	2
GTEX-1F88E	434	0	2
GTEX-1C475	579	0	1
GTEX-XPT6	853	0	1
GTEX-1F75W	603	0	1
GTEX-146FR	253	0	1
GTEX-17F96	481	0	2
GTEX-ZVT2	402	0	1
GTEX-R55D	263	0	1
GTEX-X4XX	362	0	1
GTEX-Y5V5	574	0	1
GTEX-1S5VW	748	0	2
GTEX-1CB4G	531	0	2
GTEX-SIU8	361	0	1
GTEX-ZAB5	453	0	1
GTEX-1LB8K	807	0	1
GTEX-11DXX	476	0	1
GTEX-13PL6	797	0	3
GTEX-12ZZZ	599	0	2
GTEX-1I6K7	762	0	1
GTEX-131XW	512	0	1
GTEX-11EMC	664	0	1
GTEX-15UF7	493	0	1
GTEX-113JC	638	0	1
GTEX-P4PP	443	0	1
GTEX-13CF2	566	0	1
GTEX-ZXG5	407	0	2
GTEX-1CB4H	334	0	1
GTEX-1C6VQ	894	0	1
GTEX-14PJ4	411	0	1
GTEX-11NUK	644	0	2
GTEX-12696	509	0	1
GTEX-147F4	535	0	2
GTEX-1AX9K	526	0	1
GTEX-1B933	889	0	3
GTEX-1GZ2Q	979	0	3
GTEX-XQ3S	620	0	3
GTEX-XUZC	414	0	1
GTEX-1LNCM	379	0	1
GTEX-1KD5A	1225	0	2
GTEX-1LSNL	815	0	1
GTEX-UTHO	299	0	1
GTEX-ZDYS	336	0	1
GTEX-1LGOU	1184	0	3
GTEX-11EM3	876	0	1
GTEX-1JMQJ	401	0	1
GTEX-1F5PL	922	0	2
GTEX-WK11	717	0	2
GTEX-Y8DK	765	0	1
GTEX-1211K	427	0	1
GTEX-W5WG	792	0	1
GTEX-1ICG6	347	0	1
GTEX-1N2DW	855	0	2
GTEX-1C2JI	286	0	1
GTEX-1K2DA	808	0	1
GTEX-18D9A	600	0	2
GTEX-QEL4	215	0	1
GTEX-ZF2S	586	0	1
GTEX-11ZUS	853	0	1
GTEX-1F75A	1077	0	2
GTEX-14LZ3	1007	0	3
GTEX-146FQ	920	0	2
GTEX-13G51	924	0	3
GTEX-WYJK	508	0	1
GTEX-1A3MX	498	0	2
GTEX-PLZ4	215	0	1
GTEX-17GQL	674	0	2
GTEX-WRHK	636	0	2
GTEX-QEG5	569	0	1
GTEX-1E1VI	531	0	1
GTEX-1339X	660	0	1
GTEX-ZZ64	521	0	1
GTEX-1C6VR	841	0	2
GTEX-1R46S	522	0	2
GTEX-ZV68	824	0	2
GTEX-1P4AB	282	0	1
GTEX-11UD2	740	0	2
GTEX-1M4P7	597	0	2
GTEX-ZF3C	528	0	2
GTEX-Y111	618	0	2
GTEX-14BIL	1316	0	5
GTEX-1GMRU	714	0	2
GTEX-13FH7	566	0	1
GTEX-1269C	847	0	2
GTEX-18D9U	468	0	1
GTEX-1LVA9	1057	0	2
GTEX-1LSNM	717	0	2
GTEX-15D79	896	0	2
GTEX-11ZTS	703	0	3
GTEX-117YW	667	0	2
GTEX-16MT8	823	0	1
GTEX-OOBK	314	0	1
GTEX-1QEPI	795	0	1
GTEX-ZC5H	559	0	1
GTEX-1EWIQ	625	0	2
GTEX-QDT8	891	0	4
GTEX-1M5QR	803	0	1
GTEX-1JN6P	558	0	1
GTEX-ZT9X	485	0	1
GTEX-1GN73	770	0	3
GTEX-RTLS	470	0	1
GTEX-PLZ6	261	0	1
GTEX-YB5K	690	0	1
GTEX-13112	676	0	3
GTEX-18A7A	757	0	1
GTEX-1PBJJ	571	0	2
GTEX-1QP2A	396	0	1
GTEX-OIZG	550	0	1
GTEX-11GSP	512	0	2
GTEX-12WSG	569	0	2
GTEX-1F5PK	709	0	3
GTEX-12WSJ	343	0	1
GTEX-N7MS	623	0	1
GTEX-1A3MV	1040	0	3
GTEX-1LVAM	556	0	1
GTEX-14PJ5	443	0	2
GTEX-ZAB4	729	0	3
GTEX-14PII	559	0	2
GTEX-15ER7	1544	0	7
GTEX-ZPCL	325	0	1
GTEX-14PN4	272	0	1
GTEX-WFON	656	0	1
GTEX-15SHV	664	0	1
GTEX-13PLJ	349	0	1
GTEX-18465	808	0	2
GTEX-1128S	862	0	3
GTEX-1QP66	927	0	2
GTEX-147JS	363	0	1
GTEX-1MCQQ	353	0	1
GTEX-1CB4E	267	0	1
GTEX-14PJM	676	0	2
GTEX-117XS	904	0	3
GTEX-15SKB	671	0	2
GTEX-1BAJH	545	0	1
GTEX-ZVZP	263	0	1
GTEX-12WSL	216	0	1
GTEX-X4EO	1129	0	5
GTEX-14H4A	723	0	2
GTEX-1O9I2	834	0	1
GTEX-1CAMQ	476	0	1
GTEX-144FL	856	0	1
GTEX-ZA64	671	0	1
GTEX-ZVE1	604	0	2
GTEX-17JCI	989	0	4
GTEX-11XUK	411	0	2
GTEX-1JJ6O	608	0	1
GTEX-1F88F	1120	0	3
GTEX-1LG7Y	766	0	2
GTEX-12WSA	582	0	1
GTEX-1GN2E	956	0	2
GTEX-14E6E	823	0	2
GTEX-15DZA	690	0	1
GTEX-ZGAY	528	0	1
GTEX-1B8SF	867	0	4
GTEX-17EVP	657	0	1
GTEX-147GR	719	0	1
GTEX-1R9K5	466	0	2
GTEX-15DCD	823	0	2
GTEX-1399S	583	0	2
GTEX-13X6K	658	0	1
GTEX-1A8G7	510	0	1
GTEX-WL46	874	0	4
GTEX-15RIE	414	0	1
