individual	chr3:193240821:193251367:cluster67257	chr3:193240821:193254684:cluster67257	chr3:193241533:193251367:cluster67257	chr3:193241533:193254684:cluster67257	chr3:193241533:193255651:cluster67257	chr3:193241533:193262970:cluster67257	chr3:193251500:193254646:cluster67257	chr3:193251500:193254684:cluster67257	chr3:193251500:193255651:cluster67257	chr3:193254738:193255651:cluster67257	chr3:193255789:193262970:cluster67257
GTEX-15D79	19	1	15	2	47	58	1	2	20	8	96
GTEX-1IDJD	14	2	6	4	51	1	1	2	18	9	123
GTEX-132NY	19	1	19	3	82	0	3	2	22	12	172
GTEX-14ABY	24	1	11	1	123	0	2	7	33	12	227
GTEX-ZYY3	9	0	7	1	26	0	0	2	7	7	66
GTEX-UPJH	10	0	2	2	41	0	1	2	13	9	98
GTEX-11P82	19	1	9	2	69	1	0	3	17	4	105
GTEX-QEG4	23	2	8	3	62	0	0	4	13	12	139
GTEX-14JIY	33	3	12	0	83	2	7	7	29	16	214
GTEX-YEC4	11	0	9	0	55	0	1	1	12	11	130
GTEX-YB5E	6	0	7	1	34	0	1	0	14	3	90
GTEX-ZYT6	26	1	11	5	91	1	3	4	32	18	166
GTEX-1QW4Y	31	4	10	3	67	0	1	6	26	11	175
GTEX-1KD4Q	35	0	8	6	104	0	3	6	33	27	213
GTEX-12WSM	22	1	7	1	51	0	1	4	16	11	101
GTEX-YF7O	11	0	1	1	29	0	2	4	9	5	60
GTEX-13X6I	5	0	0	0	14	0	0	1	7	4	29
GTEX-1CAMR	9	0	5	0	24	0	0	0	6	2	47
GTEX-1AX8Z	6	0	3	0	29	0	2	2	5	4	64
GTEX-16MTA	13	0	8	0	55	0	4	1	16	5	119
GTEX-14C38	15	0	4	1	37	0	3	1	12	5	84
GTEX-1C475	23	2	9	0	55	1	1	2	14	9	99
GTEX-1AX9I	25	2	4	6	77	0	0	5	12	15	159
GTEX-1KANA	24	1	8	4	66	0	0	4	15	7	120
GTEX-1RQEC	27	0	13	3	97	0	7	7	24	17	205
GTEX-Y5V5	17	0	6	2	32	0	1	1	7	9	73
GTEX-1CB4G	20	0	6	1	78	0	1	3	23	11	138
GTEX-13S7M	6	0	3	1	25	1	0	3	4	3	50
GTEX-1122O	6	0	3	1	17	0	0	1	3	5	33
GTEX-15SHU	19	0	8	2	40	1	0	4	20	11	89
GTEX-1LC47	9	1	2	1	40	0	0	0	11	7	59
GTEX-139T6	19	0	9	0	46	0	2	2	15	9	81
GTEX-14DAR	18	0	4	1	57	0	0	4	16	8	93
GTEX-131XW	17	1	6	6	109	0	2	5	24	11	184
GTEX-1A32A	19	0	7	3	57	0	0	3	16	7	107
