individual	chr10:13283839:13288360:cluster3943	chr10:13283839:13294428:cluster3943	chr10:13288541:13291825:cluster3943	chr10:13288541:13291831:cluster3943	chr10:13291912:13294428:cluster3943
GTEX-ZYY3	149	155	2	187	180
GTEX-1IDJC	803	47	16	993	991
GTEX-14ABY	774	57	17	969	925
GTEX-13OVL	693	59	10	823	843
GTEX-UPJH	515	24	12	595	596
GTEX-11P82	689	52	15	784	687
GTEX-YF7O	459	37	4	548	524
GTEX-1QMI2	646	32	14	694	700
GTEX-14PJO	371	24	4	444	410
GTEX-1AX8Z	495	26	6	567	503
GTEX-1KXAM	566	30	13	637	612
GTEX-13PL7	489	32	10	555	578
GTEX-11EQ9	555	37	13	627	657
GTEX-13OVJ	483	23	8	505	496
GTEX-13W46	665	31	11	711	693
GTEX-139T4	208	17	3	228	228
GTEX-1GN1V	540	33	8	636	582
GTEX-14C38	270	24	5	339	325
GTEX-14BMV	729	42	13	875	823
GTEX-1F75W	604	47	9	715	639
GTEX-1AX9I	713	48	17	793	779
GTEX-1B8KE	355	27	5	408	379
GTEX-14JG6	272	21	9	310	315
GTEX-R55D	733	35	13	811	775
GTEX-1RQEC	949	62	16	1056	973
GTEX-1C64N	988	53	24	1185	1127
GTEX-S33H	748	59	14	923	915
GTEX-13JVG	523	25	13	619	615
GTEX-13S7M	232	17	3	262	233
GTEX-ZAB5	452	35	9	505	488
GTEX-15SHU	426	25	10	485	481
GTEX-11TTK	332	26	7	348	360
GTEX-11DXX	309	26	4	378	347
GTEX-139T6	431	24	10	536	520
GTEX-13PL6	713	50	22	846	800
GTEX-14DAR	491	31	8	582	550
GTEX-ZDXO	241	14	7	268	239
GTEX-1I6K7	821	63	18	916	884
GTEX-15UF7	298	18	6	330	322
GTEX-13CF2	555	32	11	574	572
GTEX-1F75B	364	33	9	452	436
GTEX-131YS	578	44	5	711	671
GTEX-147F4	656	45	18	816	749
GTEX-1AX9K	364	26	8	425	407
GTEX-1B933	786	37	16	871	898
GTEX-11VI4	741	55	13	889	857
GTEX-WZTO	1132	71	21	1294	1284
GTEX-XQ3S	560	29	9	601	599
GTEX-1GMR3	623	36	7	663	690
GTEX-1C6WA	774	39	12	922	834
GTEX-OIZI	464	30	8	599	573
GTEX-18A7B	744	37	10	822	821
GTEX-XBEW	1402	102	28	1756	1557
GTEX-111FC	650	40	10	767	725
GTEX-1S83E	628	49	13	729	740
GTEX-ZLV1	564	32	13	630	619
GTEX-OHPN	479	35	7	577	565
GTEX-17EUY	481	21	9	542	527
GTEX-1LGOU	943	59	23	1038	1003
GTEX-11EM3	686	49	10	869	828
GTEX-13FTY	502	23	13	569	566
GTEX-15ETS	460	42	12	546	549
GTEX-1212Z	855	44	13	957	933
GTEX-WK11	895	71	23	1009	933
GTEX-Y8DK	898	64	12	976	945
GTEX-12C56	389	24	7	433	425
GTEX-1211K	280	12	4	336	320
GTEX-TSE9	415	24	7	458	465
GTEX-W5WG	577	31	12	657	627
GTEX-1ICG6	328	23	8	392	367
GTEX-1K2DA	1035	84	19	1160	1069
GTEX-U8T8	654	48	11	708	650
GTEX-T5JC	904	50	19	951	997
GTEX-ZV6S	439	40	8	519	482
GTEX-1QP9N	551	47	8	632	631
GTEX-131XF	403	29	5	456	431
GTEX-139UW	704	57	13	889	834
GTEX-146FQ	601	37	15	777	728
GTEX-13U4I	303	21	6	367	339
GTEX-RNOR	613	38	11	763	738
GTEX-ZDTS	404	28	4	510	464
GTEX-R3RS	508	24	10	585	557
GTEX-1B97I	1012	76	11	1104	1084
GTEX-1A3MX	540	23	10	591	574
GTEX-17GQL	867	45	18	975	908
GTEX-1FIGZ	403	19	6	488	444
GTEX-WRHK	636	50	11	700	689
GTEX-QEG5	383	21	3	429	435
GTEX-11ZVC	457	27	12	535	509
GTEX-ZZ64	523	35	10	614	587
GTEX-17HGU	391	17	8	445	436
GTEX-Y111	842	47	13	959	869
GTEX-13FH7	319	23	6	419	388
GTEX-YEC3	567	33	13	618	636
GTEX-O5YT	463	31	6	533	550
GTEX-11ZU8	482	25	7	562	523
GTEX-1LVA9	1159	62	21	1242	1170
GTEX-1192X	713	49	13	892	803
GTEX-1MUQO	496	28	11	545	540
GTEX-1RAZA	465	38	8	481	493
GTEX-11ZTS	607	47	10	740	740
GTEX-145MO	578	32	9	704	646
GTEX-WYVS	992	56	15	1182	1132
GTEX-13N1W	610	50	9	753	757
GTEX-117YW	732	41	13	927	855
GTEX-16MT8	716	44	9	753	749
GTEX-111VG	622	40	14	777	739
GTEX-Q2AG	168	14	4	175	191
GTEX-1AX9J	541	41	10	623	659
GTEX-1F7RK	881	60	24	930	939
GTEX-QDT8	678	39	14	810	796
GTEX-15RIF	603	54	16	683	680
GTEX-11LCK	390	30	7	432	387
GTEX-XBEC	561	26	12	645	639
GTEX-1QCLZ	549	36	17	641	580
GTEX-1RB15	502	32	10	570	560
GTEX-ZTPG	451	27	8	511	496
GTEX-1PDJ9	770	48	21	866	863
GTEX-13SLW	341	23	7	360	361
GTEX-16GPK	751	56	19	924	885
GTEX-15CHR	330	26	6	408	361
GTEX-132Q8	251	18	7	294	303
GTEX-13112	714	41	10	850	855
GTEX-18A7A	648	40	15	804	740
GTEX-WHSB	607	56	13	747	697
GTEX-WOFL	278	21	8	336	350
GTEX-ZAK1	465	32	9	544	553
GTEX-13X6H	444	27	11	470	487
GTEX-N7MS	491	27	6	567	498
GTEX-144GM	385	23	4	461	417
GTEX-1LVAM	617	46	17	665	683
GTEX-1K2DU	430	22	11	517	517
GTEX-15ER7	1565	100	18	1794	1701
GTEX-13OW6	589	36	10	646	690
GTEX-17HHE	421	28	9	489	477
GTEX-1LG7Z	557	34	9	612	566
GTEX-1C4CL	471	26	8	583	521
GTEX-14PN4	219	13	6	244	246
GTEX-13VXU	790	59	20	937	964
GTEX-13PLJ	218	14	4	225	255
GTEX-1QP66	685	53	11	805	704
GTEX-1GZHY	807	45	20	883	931
GTEX-QVJO	184	15	3	216	182
GTEX-147JS	370	19	8	439	443
GTEX-QCQG	404	22	12	433	441
GTEX-144GL	538	49	9	652	625
GTEX-13RTJ	228	13	2	247	237
GTEX-14PJ6	402	24	10	505	482
GTEX-14PJM	763	48	15	921	833
GTEX-117XS	588	42	14	718	740
GTEX-1B8KZ	552	37	9	655	592
GTEX-1EH9U	521	35	14	644	646
GTEX-1MA7W	509	40	8	540	512
GTEX-15SKB	674	44	7	729	708
GTEX-U8XE	321	17	8	338	334
GTEX-11ONC	427	23	6	497	468
GTEX-WY7C	457	34	7	594	555
GTEX-13QIC	303	21	6	395	386
GTEX-11ZTT	469	36	8	600	572
GTEX-12KS4	603	35	13	695	726
GTEX-1GPI6	609	39	12	644	601
GTEX-Z93S	758	40	18	891	841
GTEX-111YS	333	21	5	410	386
GTEX-14H4A	526	37	14	636	601
GTEX-14PK6	610	44	10	669	694
GTEX-XMD2	365	22	11	423	397
GTEX-144FL	376	19	6	426	408
GTEX-13QJ3	487	28	7	526	535
GTEX-ZYFD	452	25	10	534	539
GTEX-14JG1	701	38	12	872	811
GTEX-ZA64	531	30	7	625	631
GTEX-1PIIG	796	53	14	866	914
GTEX-ZVE1	498	33	10	571	609
GTEX-1JJ6O	626	33	8	689	673
GTEX-13OVK	394	28	6	451	459
GTEX-Y8LW	559	33	12	691	606
GTEX-13OVG	331	22	9	436	402
GTEX-12ZZX	641	37	8	742	666
GTEX-YECK	720	42	10	854	741
GTEX-12WSA	521	35	7	594	546
GTEX-15DZA	566	32	5	624	586
GTEX-ZGAY	544	32	13	636	641
GTEX-14C39	541	33	6	666	593
GTEX-17EVP	684	43	8	790	691
GTEX-11P81	372	25	7	476	467
GTEX-13CF3	277	17	5	353	336
GTEX-1F48J	590	35	11	675	675
GTEX-ZVT4	573	40	13	680	634
GTEX-12WSF	888	59	11	965	939
GTEX-12584	332	16	3	365	349
GTEX-1R9JW	731	45	16	800	755
GTEX-1399S	224	16	4	268	237
GTEX-13X6K	850	39	14	960	905
GTEX-1A8G7	457	23	7	493	489
GTEX-1EX96	307	18	5	379	350
GTEX-1GF9V	575	43	11	715	657
GTEX-1RAZQ	937	61	14	1008	937
GTEX-1R7EV	400	21	8	407	429
GTEX-U3ZH	520	38	10	615	578
GTEX-1477Z	211	12	4	244	217
GTEX-111CU	344	20	9	385	367
GTEX-15UKP	335	18	7	394	354
GTEX-1QP67	352	22	5	404	363
GTEX-S95S	401	31	9	428	414
GTEX-1QP28	430	37	13	512	489
GTEX-XV7Q	362	26	8	443	421
