individual	chr12:118138148:118139451:cluster30444	chr12:118138148:118144586:cluster30444	chr12:118139551:118144586:cluster30444
GTEX-ZF29	520	15	536
GTEX-132NY	794	0	786
GTEX-UPJH	679	0	672
GTEX-1KD4Q	1168	0	1104
GTEX-1CAMR	814	0	808
GTEX-1KXAM	1151	0	1134
GTEX-11EQ9	611	0	608
GTEX-1F88E	520	0	518
GTEX-139T4	807	0	761
GTEX-13NZA	892	0	854
GTEX-1GN1V	965	0	952
GTEX-14C38	759	0	730
GTEX-14BMV	1004	0	969
GTEX-XPT6	1150	0	1097
GTEX-U4B1	599	0	569
GTEX-1F75W	996	0	974
GTEX-1B8KE	500	0	488
GTEX-R55D	1207	0	1160
GTEX-1RQEC	1667	0	1623
GTEX-1C64N	1633	0	1599
GTEX-S33H	1107	0	1060
GTEX-P78B	815	0	804
GTEX-TMZS	419	0	419
GTEX-1LC47	1272	0	1211
GTEX-14753	669	0	664
GTEX-139T6	697	0	660
GTEX-1MJK3	758	0	742
GTEX-13PL6	708	0	691
GTEX-13FTX	799	0	789
GTEX-14DAR	1303	0	1236
GTEX-RWS6	886	0	854
GTEX-ZDXO	597	0	564
GTEX-1I6K7	1098	0	1045
GTEX-1PPGY	1427	0	1410
GTEX-1A32A	863	0	815
GTEX-1OFPY	525	0	496
GTEX-1QP6S	1140	0	1089
GTEX-WZTO	1242	0	1204
GTEX-OIZI	807	0	795
GTEX-R53T	909	0	887
GTEX-145LU	1047	0	1007
GTEX-1NUQO	1190	0	1181
GTEX-ZUA1	1053	0	994
GTEX-1GF9W	758	0	717
GTEX-13FTZ	864	0	855
GTEX-17EUY	930	0	915
GTEX-131XG	882	0	835
GTEX-13FTY	845	0	840
GTEX-1212Z	1254	0	1220
GTEX-OHPL	1064	0	1008
GTEX-1211K	873	0	859
GTEX-1LH75	791	0	772
GTEX-WEY5	1614	0	1588
GTEX-14BMU	698	0	675
GTEX-1399T	939	0	895
GTEX-14LZ3	1021	0	1004
GTEX-XGQ4	626	0	596
GTEX-13U4I	797	0	786
GTEX-ZDTS	724	0	720
GTEX-1B97I	794	0	777
GTEX-1IDFM	843	0	819
GTEX-17GQL	930	0	924
GTEX-1FIGZ	547	0	539
GTEX-11ZVC	1146	0	1122
GTEX-1C6VR	960	0	941
GTEX-QV44	715	0	701
GTEX-11OF3	1319	0	1267
GTEX-1R46S	855	0	807
GTEX-11UD2	1099	0	1083
GTEX-17EVQ	1184	0	1138
GTEX-1GMRU	830	0	793
GTEX-1R9PN	1646	0	1588
GTEX-1AMFI	842	0	818
GTEX-1R9PM	841	0	799
GTEX-1LVA9	1403	0	1360
GTEX-1RAZA	1253	0	1215
GTEX-13N1W	730	0	711
GTEX-117YW	874	0	845
GTEX-1AX9J	1170	0	1114
GTEX-1F7RK	1084	0	1051
GTEX-1R9K4	1092	0	1042
GTEX-Y9LG	666	0	650
GTEX-17KNJ	605	0	573
GTEX-1M5QR	1045	0	993
GTEX-ZT9X	650	0	634
GTEX-183WM	461	0	462
GTEX-RTLS	578	0	572
GTEX-OXRP	389	0	380
GTEX-15CHC	853	0	834
GTEX-1QCLZ	988	0	983
GTEX-1399U	638	0	626
GTEX-1PDJ9	1245	0	1215
GTEX-16GPK	878	0	835
GTEX-15CHR	807	0	761
GTEX-13112	953	0	907
GTEX-WHSB	980	0	940
GTEX-1PBJJ	851	0	831
GTEX-13OW8	1178	0	1130
GTEX-1E2YA	740	0	707
GTEX-12WSJ	510	0	494
GTEX-1A3MV	1207	0	1154
GTEX-1LVAM	1281	0	1254
GTEX-1R9PO	1026	0	986
GTEX-ZPCL	749	0	731
GTEX-1A8G6	1167	0	1108
GTEX-WFON	1080	0	1038
GTEX-1128S	1010	0	987
GTEX-1JN1M	1558	0	1512
GTEX-13RTJ	697	0	689
GTEX-14PJ6	831	0	783
GTEX-14PJM	1019	0	1007
GTEX-1BAJH	1142	0	1093
GTEX-ZVZP	421	0	415
GTEX-14LLW	1184	0	1142
GTEX-12WSL	571	0	536
GTEX-11I78	726	0	689
GTEX-1GPI6	801	0	765
GTEX-Z93S	1143	0	1123
GTEX-X4EO	1815	0	1737
GTEX-111YS	624	0	613
GTEX-13111	644	0	621
GTEX-1O9I2	1156	0	1104
GTEX-1CAMQ	705	0	678
GTEX-1B8L1	917	0	880
GTEX-14JG1	1205	0	1184
GTEX-ZVE1	1010	0	984
GTEX-11XUK	645	0	630
GTEX-1JJ6O	963	0	932
GTEX-13OVK	616	0	585
GTEX-Y8LW	1023	0	1015
GTEX-13OVG	588	0	579
GTEX-1F88F	1310	0	1267
GTEX-1GN2E	849	0	809
GTEX-ZZPU	629	0	613
GTEX-14E6E	942	0	934
GTEX-13D11	828	0	809
GTEX-15DZA	1064	0	1036
GTEX-1B8SF	1288	0	1233
GTEX-11P81	635	0	629
GTEX-13CF3	842	0	833
GTEX-ZVT4	970	0	916
GTEX-12584	697	0	673
GTEX-15DCD	1216	0	1207
GTEX-16NPV	510	0	503
GTEX-11O72	863	0	844
GTEX-1B932	848	0	828
GTEX-TKQ2	1380	0	1336
GTEX-RM2N	423	0	397
GTEX-14DAQ	1595	0	1566
GTEX-ZEX8	1086	0	1069
GTEX-146FH	518	0	516
GTEX-U3ZH	787	0	768
GTEX-14BIM	1049	0	1028
GTEX-17F98	515	0	487
GTEX-VJWN	626	0	613
GTEX-15UKP	719	0	712
GTEX-17F97	1315	0	1298
GTEX-ZVE2	699	0	672
GTEX-13O3P	731	0	689
GTEX-Z9EW	584	0	579
GTEX-1QP28	703	0	671
