individual	chr3:197066754:197069219:cluster31804	chr3:197066754:197076586:cluster31804	chr3:197069260:197075837:cluster31804	chr3:197069260:197076586:cluster31804	chr3:197075870:197076586:cluster31804	chr3:197076682:197081051:cluster31804	chr3:197076685:197081051:cluster31804
GTEX-ZPCL	39	19	9	51	11	24	64
GTEX-1IDJC	121	0	8	96	7	21	50
GTEX-139TU	51	0	7	39	6	11	23
GTEX-ZYY3	73	0	7	64	7	18	43
GTEX-UPJH	19	0	1	20	1	3	10
GTEX-147F3	49	1	5	50	2	6	20
GTEX-YB5E	82	0	6	81	4	14	42
GTEX-SUCS	72	1	6	58	5	8	27
GTEX-Y8E4	118	3	10	98	8	18	50
GTEX-1KD4Q	50	0	3	40	4	11	30
GTEX-12WSM	21	0	2	17	0	3	12
GTEX-15EO6	85	2	8	75	5	20	49
GTEX-YF7O	108	3	9	91	9	20	53
GTEX-1CAMR	96	1	9	106	9	14	58
GTEX-1AX8Z	46	0	4	54	5	13	34
GTEX-14A6H	57	1	8	54	4	8	36
GTEX-11EQ9	102	0	12	100	13	27	51
GTEX-13OW5	48	1	4	41	3	9	25
GTEX-1K9T9	46	1	1	44	3	11	24
GTEX-14C38	29	0	3	27	2	5	12
GTEX-ZF28	71	0	7	67	6	12	30
GTEX-14BMV	22	1	2	18	3	4	13
GTEX-U4B1	89	1	5	84	4	15	50
GTEX-146FR	139	1	11	128	10	36	89
GTEX-1AX9I	44	0	5	29	4	8	22
GTEX-17F96	146	1	17	126	19	28	80
GTEX-1KANA	62	1	6	52	9	10	36
GTEX-R55D	131	0	10	122	9	24	70
GTEX-1JN76	74	1	6	69	4	14	36
GTEX-Y5V5	154	2	11	121	11	26	69
GTEX-S33H	52	0	7	58	4	13	28
GTEX-13JVG	68	0	6	47	4	7	33
GTEX-ZPIC	47	1	2	52	4	6	27
GTEX-P78B	119	2	8	107	11	20	58
GTEX-13S7M	26	0	4	17	3	4	14
GTEX-1122O	50	0	7	59	7	14	30
GTEX-1LB8K	45	0	4	37	2	7	14
GTEX-15SHU	53	1	5	45	5	6	27
GTEX-TMZS	19	0	1	14	1	1	12
GTEX-1LC47	93	1	5	88	3	16	51
GTEX-11DXX	76	0	9	78	7	14	37
GTEX-139T6	141	1	12	114	10	22	59
GTEX-1MJK3	75	2	6	72	4	12	34
GTEX-ZDXO	28	0	2	24	2	6	17
GTEX-1I6K7	84	0	10	81	7	13	43
GTEX-15UF7	110	2	7	87	6	26	57
GTEX-13CF2	28	1	3	25	2	9	13
GTEX-1CB4H	60	0	6	54	5	14	33
GTEX-PWN1	40	1	2	27	2	5	15
GTEX-1C6VQ	62	0	7	55	8	10	32
GTEX-1OFPY	63	1	5	57	8	15	36
GTEX-1F75B	183	3	14	159	11	31	69
GTEX-13W3W	64	0	5	54	4	10	25
GTEX-QV31	29	0	1	23	1	6	18
GTEX-1AX9K	46	1	2	36	4	7	27
GTEX-1B933	34	0	2	32	2	4	19
GTEX-11VI4	127	2	15	113	10	28	58
GTEX-1313W	32	0	4	34	3	6	25
GTEX-1GMR3	48	1	3	48	1	8	21
GTEX-1JKYN	55	2	7	45	6	14	29
GTEX-18A7B	110	1	7	109	6	15	49
GTEX-XBEW	78	0	6	68	5	14	48
GTEX-183FY	81	0	6	79	3	14	36
GTEX-111FC	20	0	4	20	2	6	14
GTEX-1NUQO	105	0	10	77	7	16	45
GTEX-1GF9W	73	0	5	55	7	14	35
GTEX-18A6Q	42	0	2	44	4	6	24
GTEX-1I4MK	133	1	12	115	17	28	75
GTEX-131XG	114	1	5	101	5	20	62
GTEX-1PPH7	51	1	5	52	3	10	37
GTEX-1212Z	50	0	4	51	4	10	21
GTEX-1F5PL	96	1	5	78	5	24	43
GTEX-WK11	44	1	2	43	3	5	23
GTEX-1GPI7	123	0	12	111	10	16	53
GTEX-1S82P	109	1	10	87	14	16	54
GTEX-Y8DK	46	1	6	40	5	5	18
GTEX-1211K	96	1	6	91	4	17	44
GTEX-ZYFG	84	0	7	67	5	21	52
GTEX-PLZ5	67	0	7	69	5	8	33
GTEX-13O3O	41	0	4	43	3	8	18
GTEX-1C2JI	114	0	9	116	9	24	67
