individual	chr14:92117642:92118849:cluster44749	chr14:92117642:92121196:cluster44749	chr14:92117642:92121280:cluster44749	chr14:92117642:92121642:cluster44749	chr14:92118966:92121280:cluster44749	chr14:92118966:92121642:cluster44749	chr14:92121399:92121642:cluster44749	chr14:92121413:92121642:cluster44749
GTEX-ZVT4	53	4	126	956	16	14	63	32
GTEX-1IDJC	18	5	0	1147	0	7	1	1
GTEX-132NY	14	2	0	1028	0	8	2	0
GTEX-14ABY	18	4	0	1149	0	14	2	0
GTEX-ZYY3	16	7	0	961	0	9	3	2
GTEX-14JIY	23	4	0	1107	0	12	0	2
GTEX-R55E	21	8	0	896	0	11	0	0
GTEX-147F3	21	3	0	834	0	11	0	0
GTEX-YEC4	15	0	0	666	0	3	2	0
GTEX-YB5E	9	2	0	850	0	14	0	0
GTEX-SUCS	17	3	0	715	0	10	4	0
GTEX-ZYT6	20	0	0	924	0	7	1	0
GTEX-Y8E4	22	1	0	1124	0	12	2	0
GTEX-12WSM	25	8	0	924	0	14	2	2
GTEX-15EO6	12	8	0	890	0	9	2	0
GTEX-YF7O	21	0	0	736	0	10	0	0
GTEX-1QMI2	25	6	0	1078	0	17	2	1
GTEX-14PJO	15	4	0	779	0	7	0	2
GTEX-WHPG	12	3	0	768	0	8	1	2
GTEX-1AX8Z	18	3	0	588	0	13	2	2
GTEX-1KXAM	14	1	0	1095	0	12	1	0
GTEX-14A6H	13	5	0	683	0	12	4	0
GTEX-11EQ9	16	6	0	654	0	9	3	0
GTEX-13OW5	18	0	0	582	0	10	0	0
GTEX-16MTA	13	2	0	894	0	10	1	0
GTEX-13NZA	21	3	0	842	0	8	1	0
GTEX-1GN1V	18	2	0	994	0	13	0	1
GTEX-14C38	25	3	0	749	0	16	1	0
GTEX-1C475	29	7	0	1009	0	15	2	0
GTEX-XBED	4	0	0	322	0	4	0	0
GTEX-14BMV	21	6	0	1442	0	9	1	0
GTEX-XPT6	34	5	0	928	0	15	1	0
GTEX-U4B1	8	2	0	426	0	5	0	0
GTEX-1F75W	15	7	0	1286	0	17	3	0
GTEX-146FR	25	1	0	767	0	8	1	0
GTEX-1AX9I	11	2	0	953	0	18	1	1
GTEX-ZVT2	13	5	0	669	0	8	5	3
GTEX-14JG6	12	2	0	713	0	5	0	0
GTEX-1KANA	32	2	0	1563	0	10	1	1
GTEX-13JVG	16	4	0	607	0	13	4	0
GTEX-1CB4G	15	3	0	918	0	8	3	3
GTEX-P78B	22	6	0	803	0	13	0	2
GTEX-13S7M	10	1	0	270	0	3	1	0
GTEX-1122O	12	4	0	532	0	9	2	2
GTEX-ZAB5	7	3	0	485	0	4	2	0
GTEX-1LB8K	15	4	0	1456	0	17	2	0
GTEX-15SHU	15	6	0	958	0	6	0	1
GTEX-17MFQ	11	2	0	365	0	3	0	0
GTEX-T5JW	20	7	0	881	0	11	5	0
GTEX-1LC47	14	1	0	1018	0	9	3	0
GTEX-14753	16	1	0	781	0	17	0	0
GTEX-11DXX	10	0	0	714	0	10	1	0
GTEX-1MJK3	18	2	0	908	0	11	2	0
GTEX-12ZZZ	14	3	0	876	0	6	3	0
GTEX-14DAR	14	4	0	724	0	13	1	1
GTEX-15UF6	22	9	0	931	0	12	2	2
GTEX-11EMC	26	9	0	831	0	11	3	3
GTEX-1399R	8	5	0	718	0	9	3	1
GTEX-X4XY	12	3	0	604	0	5	1	0
GTEX-15UF7	10	2	0	879	0	9	4	1
GTEX-113JC	11	4	0	880	0	11	0	0
GTEX-P4PP	11	1	0	422	0	3	0	1
GTEX-1PPGY	16	9	0	1366	0	10	7	3
GTEX-13CF2	19	8	0	911	0	15	2	0
GTEX-ZXG5	17	2	0	708	0	10	1	1
GTEX-PWN1	2	0	0	175	0	1	0	0
GTEX-1C6VQ	13	5	0	837	0	14	2	0
GTEX-1OFPY	15	1	0	535	0	12	2	0
GTEX-1F75B	19	7	0	1009	0	6	5	0
GTEX-131YS	17	3	0	987	0	11	0	0
GTEX-12696	13	2	0	597	0	9	2	2
GTEX-147F4	12	2	0	848	0	9	1	0
GTEX-1AX9K	26	4	0	754	0	17	2	0
