individual	chr10:125039155:125074743:cluster36117	chr10:125039155:125088191:cluster36117	chr10:125039155:125110990:cluster36117	chr10:125039155:125122657:cluster36117	chr10:125039155:125133512:cluster36117	chr10:125039155:125160319:cluster36117	chr10:125088319:125110990:cluster36117	chr10:125111093:125122657:cluster36117	chr10:125111093:125133512:cluster36117	chr10:125111093:125160319:cluster36117	chr10:125133612:125160319:cluster36117
GTEX-1A8G6	27	2	3	0	0	1	0	1	3	3	2
GTEX-1IDJD	1	5	39	0	5	9	5	16	9	20	5
GTEX-132NY	1	1	14	0	1	3	0	4	2	6	0
GTEX-139TU	0	2	9	0	2	2	0	2	0	2	0
GTEX-UPJH	0	0	6	0	0	0	0	1	0	0	1
GTEX-14JIY	0	2	13	0	0	0	1	3	1	2	0
GTEX-SUCS	2	9	50	0	3	6	2	11	10	10	7
GTEX-YF7O	0	2	16	0	1	6	1	1	2	7	2
GTEX-1QMI2	0	0	19	0	2	3	1	4	2	3	6
GTEX-13X6I	0	1	18	0	1	2	0	5	3	9	3
GTEX-13OVJ	1	3	22	0	0	1	1	5	1	5	4
GTEX-13W46	0	0	15	0	0	3	0	3	0	6	2
GTEX-13OW5	0	1	11	0	1	3	1	2	0	4	2
GTEX-16MTA	0	5	17	0	2	4	0	8	5	7	4
GTEX-1GN1V	0	1	12	0	0	1	0	3	2	4	3
GTEX-14C38	0	3	41	0	2	6	0	10	8	12	6
GTEX-1C475	0	3	31	2	0	5	0	4	3	8	3
GTEX-U4B1	0	0	19	0	1	2	0	3	0	6	2
GTEX-1AX9I	0	2	18	0	0	1	0	2	1	7	1
GTEX-X4XX	1	5	36	0	1	10	0	11	1	4	6
GTEX-1S5VW	0	5	40	0	2	5	2	9	8	3	5
GTEX-16YQH	0	0	12	0	2	1	0	4	2	2	1
GTEX-14PQA	0	1	13	0	1	2	1	3	0	3	2
GTEX-13JVG	0	1	18	0	1	5	1	4	2	5	6
GTEX-ZPIC	0	0	11	0	0	2	0	1	1	3	1
GTEX-13S7M	0	2	16	0	1	1	0	6	4	7	3
GTEX-ZAB5	0	3	32	2	1	3	2	10	2	15	5
GTEX-11TTK	0	2	22	0	1	3	0	8	3	3	4
GTEX-T5JW	0	1	24	0	0	3	0	6	2	5	0
GTEX-TMZS	0	1	6	0	0	1	0	3	0	2	0
GTEX-1LC47	0	4	38	0	3	7	0	3	0	11	5
GTEX-14753	0	0	9	0	0	2	1	3	1	1	0
GTEX-1MJK3	0	1	17	0	0	1	0	2	4	3	2
GTEX-13PL6	0	1	15	0	2	0	1	3	3	3	0
GTEX-14DAR	0	1	16	0	1	4	0	1	0	3	1
GTEX-RWS6	0	1	19	0	3	3	0	4	4	10	3
GTEX-ZDXO	0	0	10	0	0	1	1	1	2	4	3
GTEX-11EMC	0	0	12	0	0	1	0	4	1	3	2
GTEX-15UF7	1	5	31	0	3	4	1	9	1	8	3
GTEX-1PPGY	0	2	17	0	0	1	0	7	2	6	2
GTEX-13CF2	0	2	12	0	1	0	1	5	0	4	1
GTEX-ZXG5	0	2	16	0	2	1	1	5	1	3	3
GTEX-1A32A	0	7	33	3	4	8	2	9	6	6	4
GTEX-1C6VQ	0	4	20	0	1	3	0	2	1	3	4
GTEX-1QP6S	1	1	22	0	3	3	0	7	3	1	2
GTEX-14PJN	0	2	19	0	0	0	1	2	1	3	3
GTEX-11VI4	0	2	14	0	1	1	1	1	2	3	2
GTEX-1313W	0	1	21	0	0	1	1	4	2	4	3
GTEX-12ZZY	0	1	5	0	0	0	1	2	1	2	2
GTEX-XQ3S	0	0	10	0	1	0	0	1	0	4	1
GTEX-1GMR3	0	1	20	0	1	2	0	1	2	6	4
