individual	chr10:86680157:86681436:cluster4412	chr10:86680157:86685594:cluster4412	chr10:86680157:86685678:cluster4412	chr10:86681803:86685678:cluster4412	chr10:86681803:86687069:cluster4412	chr10:86681803:86691896:cluster4412	chr10:86685700:86686065:cluster4412	chr10:86685700:86687069:cluster4412	chr10:86685700:86689260:cluster4412	chr10:86685700:86691896:cluster4412	chr10:86687272:86689260:cluster4412	chr10:86687272:86691896:cluster4412	chr10:86689274:86691896:cluster4412	chr10:86690612:86691896:cluster4412
GTEX-U3ZN	106	4	2584	57	2	20	101	1597	67	335	87	1198	146	7
GTEX-1IDJD	17	0	1734	13	0	2	1	1491	4	1	27	1201	44	0
GTEX-1IDJC	47	2	2483	6	6	8	0	2117	1	0	24	1690	26	3
GTEX-132NY	77	1	7581	24	1	7	0	6329	15	3	73	4499	86	12
GTEX-14ABY	25	0	8978	24	0	1	0	7646	9	2	82	5510	92	4
GTEX-UPJH	10	0	2275	2	0	5	0	1793	4	0	47	1331	56	3
GTEX-11P82	9	0	1133	2	2	5	0	1013	0	0	5	764	7	2
GTEX-QEG4	14	0	4598	10	0	2	0	3902	3	2	44	3109	47	9
GTEX-14JIY	25	2	8335	9	1	4	0	7328	10	3	70	5282	75	0
GTEX-147F3	6	0	1161	5	2	3	0	986	1	0	9	778	9	0
GTEX-YEC4	23	2	2178	8	4	4	0	1825	1	0	14	1440	11	0
GTEX-YB5E	9	0	1175	2	0	3	0	997	0	0	18	690	16	4
GTEX-SUCS	16	0	2430	1	2	5	1	2149	2	0	56	1768	64	1
GTEX-ZYT6	28	5	7197	10	0	5	0	6035	4	0	34	4596	38	5
GTEX-Y8E4	32	0	3181	9	1	8	0	2657	13	1	56	1868	60	0
GTEX-1KD4Q	20	1	8321	14	1	9	2	7420	10	2	130	6275	158	2
GTEX-12WSM	42	2	5520	16	2	7	0	4693	10	1	55	3770	78	4
GTEX-YF7O	9	1	1527	1	2	2	0	1247	1	0	13	944	10	1
GTEX-1QMI2	21	0	7893	16	0	6	0	6817	26	0	193	5736	216	3
GTEX-WHPG	15	2	3503	8	0	1	0	3132	6	2	52	2592	56	1
GTEX-1CAMR	8	2	783	2	0	3	0	716	0	0	15	602	14	0
GTEX-1KXAM	21	1	2702	5	4	12	0	2342	1	0	36	1766	40	2
GTEX-14A6H	12	0	2232	9	0	5	2	1910	4	1	35	1564	44	2
GTEX-11EQ9	7	0	1035	1	0	1	0	929	0	0	9	749	9	2
GTEX-13OVJ	16	0	2198	1	0	2	0	1892	3	0	53	1377	48	3
GTEX-13W46	5	0	1288	6	0	4	0	1143	2	0	6	894	7	0
GTEX-13OW5	8	0	2196	1	0	2	0	1873	0	3	14	1377	16	0
GTEX-16MTA	17	0	1520	6	0	0	0	1239	0	0	7	1108	8	0
GTEX-ZQG8	15	0	2749	1	1	3	1	2306	3	2	14	1892	15	6
GTEX-1F88E	9	0	1098	1	1	1	0	963	3	0	20	807	20	0
GTEX-U3ZG	16	2	3215	2	3	3	0	2849	1	0	14	2416	14	2
GTEX-1K9T9	8	0	2131	10	0	1	1	1868	5	3	9	1553	15	2
