individual	chr11:47180690:47182403:cluster65975	chr11:47180690:47182674:cluster65975	chr11:47182559:47182674:cluster65975	chr11:47182559:47183004:cluster65975	chr11:47182764:47183004:cluster65975	chr11:47182809:47183004:cluster65975
GTEX-15UF7	345	25	238	0	352	4
GTEX-132NY	784	3	528	3	600	12
GTEX-11P82	368	1	247	2	300	5
GTEX-14JIY	648	1	479	0	553	12
GTEX-147F3	330	1	213	0	259	4
GTEX-YB5E	388	1	257	2	330	5
GTEX-ZYT6	512	2	357	1	404	7
GTEX-1KD4Q	621	0	462	3	490	9
GTEX-YF7O	216	0	141	1	165	1
GTEX-13X6I	290	0	199	0	216	3
GTEX-1KXAM	924	5	653	3	764	20
GTEX-11EQ9	396	1	254	1	285	10
GTEX-ZQG8	922	2	649	2	695	16
GTEX-1GN1V	695	1	440	1	555	11
GTEX-14C38	119	0	83	1	108	4
GTEX-ZF28	431	0	295	0	347	7
GTEX-U4B1	299	1	230	1	237	5
GTEX-1AX9I	508	2	345	2	389	10
GTEX-16YQH	629	2	407	1	491	10
GTEX-14PQA	459	1	350	0	371	11
GTEX-P78B	366	1	241	2	320	5
GTEX-13S7M	271	1	182	1	213	3
GTEX-1122O	312	0	231	2	267	9
GTEX-17MFQ	314	2	213	0	245	4
GTEX-139T6	423	2	328	1	347	6
GTEX-14DAR	282	0	177	2	206	6
GTEX-15UF6	351	0	232	0	265	8
GTEX-RWS6	276	2	219	1	234	9
GTEX-1I6K7	713	3	507	1	560	13
GTEX-11EMC	543	1	380	2	437	12
GTEX-1PPGY	866	5	670	3	754	18
GTEX-13CF2	458	0	352	3	401	6
GTEX-13RTK	370	0	261	0	300	9
GTEX-1CB4H	344	0	240	0	298	7
GTEX-PWN1	172	1	142	1	169	4
GTEX-1OFPY	295	2	191	2	225	8
GTEX-1F75B	573	2	421	0	434	13
GTEX-1QP6S	563	0	422	3	430	11
GTEX-11NUK	453	0	318	0	365	5
GTEX-147F4	552	0	372	1	451	9
GTEX-1B933	508	0	368	2	431	5
GTEX-WZTO	636	3	523	3	518	11
GTEX-1313W	773	1	508	1	627	15
GTEX-12ZZY	547	1	381	2	442	15
GTEX-1JKYN	158	0	113	1	148	2
GTEX-111FC	588	2	377	3	482	5
GTEX-13X6J	638	3	435	2	574	10
GTEX-1LNCM	359	0	231	1	289	6
GTEX-1KD5A	964	1	757	5	793	15
GTEX-ZDYS	366	0	250	3	284	4
GTEX-11EM3	288	1	180	0	222	5
GTEX-1MCYP	277	1	207	1	220	3
GTEX-1PPH7	546	0	378	1	396	8
GTEX-1212Z	692	1	467	2	612	11
GTEX-1F5PL	619	2	415	4	476	13
GTEX-1S82P	320	0	256	2	268	4
GTEX-Y8DK	751	0	546	2	589	10
GTEX-1211K	220	1	166	0	194	4
GTEX-1ICG6	332	1	216	3	244	5
GTEX-1N2DW	1179	3	906	5	1038	16
GTEX-1C2JI	396	3	290	4	311	6
GTEX-1K2DA	539	2	381	2	435	10
GTEX-1399T	401	1	279	2	333	11
GTEX-1QP9N	391	0	307	2	335	6
GTEX-1F75A	864	0	606	4	762	14
GTEX-13N2G	932	0	643	2	700	18
GTEX-146FQ	819	2	527	4	683	13
GTEX-13QBU	279	2	182	0	217	7
GTEX-13U4I	500	0	335	0	391	10
GTEX-13G51	468	0	353	0	392	9
GTEX-ZDTS	433	1	330	1	326	7
GTEX-1A3MX	519	1	378	2	424	12
GTEX-PLZ4	300	0	229	2	240	6
GTEX-11GSO	323	0	207	2	251	5
GTEX-11ZVC	879	5	623	5	736	19
GTEX-1JMQI	441	1	335	3	361	3
GTEX-ZV68	458	2	297	1	344	9
GTEX-1KWVE	655	1	514	2	540	11
GTEX-1CB4F	212	0	154	1	169	4
GTEX-ZF3C	694	0	496	1	536	11
GTEX-Y111	600	0	441	3	449	10
GTEX-1GMRU	789	1	531	3	570	15
GTEX-1A3MW	387	0	268	0	326	9
GTEX-1269C	365	0	287	2	321	4
GTEX-15D79	649	3	500	5	576	12
GTEX-1EU9M	814	2	571	0	669	13
GTEX-16BQI	770	3	608	6	652	16
GTEX-13N1W	478	3	365	3	407	7
GTEX-117YW	624	5	439	5	464	12
GTEX-111VG	672	2	436	4	528	15
GTEX-1F6IF	693	2	464	3	535	11
GTEX-ZWKS	367	0	241	1	274	5
GTEX-1AX9J	569	3	451	1	472	13
GTEX-1QEPI	1174	2	856	4	914	22
GTEX-1LVAO	271	0	208	1	207	6
GTEX-1EWIQ	486	2	306	3	390	10
GTEX-Y5LM	64	0	52	0	50	1
GTEX-11EI6	421	0	278	1	298	7
GTEX-17KNJ	490	0	352	0	412	8
GTEX-XPVG	558	1	426	3	483	7
GTEX-1AMEY	564	1	380	5	419	10
GTEX-1IDJF	1044	2	714	5	905	15
GTEX-1GN73	731	3	503	5	553	16
GTEX-183WM	280	0	190	1	231	3
GTEX-13O21	295	1	190	2	244	4
GTEX-1RB15	443	3	337	2	357	9
GTEX-1314G	881	2	576	0	706	20
GTEX-1399U	487	1	346	2	394	8
GTEX-1PIEJ	450	1	332	4	385	5
GTEX-18A7A	764	5	578	3	648	14
GTEX-ZAK1	383	1	277	2	281	5
GTEX-1GZ4I	851	1	540	3	635	17
GTEX-1QP2A	645	3	430	3	531	9
GTEX-145MH	368	2	262	1	308	4
GTEX-13X6H	110	0	88	0	93	4
GTEX-OIZG	755	5	529	7	636	8
GTEX-11GSP	497	1	346	3	420	14
GTEX-1F5PK	453	1	300	1	328	7
GTEX-12WSJ	285	0	224	0	257	7
GTEX-133LE	315	1	223	2	236	4
GTEX-14PII	508	0	337	1	379	9
GTEX-13OW6	327	0	249	3	297	4
GTEX-1LG7Z	537	3	414	1	442	9
GTEX-14PN4	111	0	74	1	77	1
GTEX-13VXU	730	1	534	2	581	8
GTEX-15SHV	565	0	454	2	508	12
GTEX-1128S	436	0	296	2	330	6
GTEX-1QP66	909	1	650	6	691	13
GTEX-144GL	585	0	394	4	495	14
GTEX-1MCQQ	760	1	568	1	594	19
GTEX-1CB4E	341	3	256	2	262	4
GTEX-11NSD	353	1	229	0	276	4
GTEX-117XS	575	1	376	4	440	8
GTEX-1BAJH	622	3	473	3	473	15
GTEX-ZVZP	294	1	207	2	224	7
GTEX-11ZTT	468	1	334	3	409	12
GTEX-12KS4	314	0	206	1	266	3
GTEX-11I78	435	0	294	3	363	8
GTEX-Z93S	618	2	409	4	429	11
GTEX-1GN1U	284	2	196	0	206	7
GTEX-139TS	891	2	611	0	711	12
GTEX-13QJ3	877	2	597	3	771	16
GTEX-17JCI	576	3	375	1	471	14
GTEX-Y8LW	540	2	422	3	405	10
GTEX-13OVG	335	0	212	2	283	7
GTEX-YECK	499	1	361	2	378	7
GTEX-1GN2E	354	0	275	2	306	5
GTEX-ZP4G	248	1	172	2	196	2
GTEX-ZGAY	394	3	310	2	339	5
GTEX-17EVP	538	3	394	2	471	13
GTEX-11P81	345	2	248	0	260	7
GTEX-13CF3	453	3	296	2	359	12
GTEX-1CB4I	347	1	278	3	328	9
GTEX-1R9JW	950	2	671	4	729	20
GTEX-1399S	447	2	335	4	353	3
GTEX-11O72	430	0	316	0	365	7
GTEX-P4QT	905	2	699	3	706	14
GTEX-1A8G7	561	2	397	1	464	4
GTEX-1B932	455	0	326	2	357	4
GTEX-WL46	686	1	459	2	526	10
GTEX-15RIE	498	3	363	4	432	9
GTEX-1R7EV	501	1	349	4	365	8
GTEX-YFC4	606	1	403	1	501	9
GTEX-1JKYR	643	2	456	3	490	10
GTEX-Q2AI	75	0	52	0	59	0
GTEX-14BIM	484	0	334	1	381	9
GTEX-XAJ8	467	2	331	1	339	8
GTEX-ZF29	528	1	355	3	446	8
GTEX-15UKP	351	2	248	0	269	6
GTEX-13NZB	521	0	393	2	477	10
