individual	chr5:79761957:79762429:cluster59970	chr5:79761957:79762589:cluster59970	chr5:79761957:79762937:cluster59970	chr5:79761957:79763062:cluster59970	chr5:79762487:79762589:cluster59970	chr5:79762631:79763062:cluster59970	chr5:79762743:79763062:cluster59970
GTEX-17EVP	3	65	5	2161	12	2	119
GTEX-1IDJD	4	15	9	4363	7	17	1
GTEX-1IDJC	4	14	0	4593	5	17	0
GTEX-13OVL	3	7	0	2505	0	7	1
GTEX-ZYY3	0	10	10	3794	6	17	2
GTEX-UPJH	3	12	0	4167	0	11	2
GTEX-QEG4	0	7	2	3352	2	7	0
GTEX-15EO6	3	14	9	5028	2	15	0
GTEX-WHPG	6	18	1	6089	2	14	1
GTEX-14A6H	0	4	2	3263	0	11	1
GTEX-13OW5	0	7	2	2794	4	13	0
GTEX-1K9T9	0	3	1	2467	1	10	0
GTEX-13NZA	1	4	0	3197	2	10	1
GTEX-XPT6	0	13	11	5414	0	14	1
GTEX-U4B1	4	11	3	3245	2	14	1
GTEX-1F75W	2	4	2	2803	0	10	2
GTEX-146FR	2	17	3	5121	5	28	0
GTEX-1B8KE	0	15	2	3645	0	13	1
GTEX-14JG6	2	19	3	3826	0	18	1
GTEX-1KANA	1	10	4	4443	0	11	0
GTEX-R55D	4	10	7	3945	0	12	0
GTEX-Y5V5	3	19	4	4885	1	10	4
GTEX-1C64N	0	9	6	4120	1	13	0
GTEX-16YQH	1	5	12	3752	1	12	3
GTEX-S33H	1	10	0	4788	5	19	2
GTEX-ZPIC	1	4	0	1980	0	6	0
GTEX-13S7M	0	5	1	1151	0	7	0
GTEX-ZAB5	1	18	6	5189	1	28	1
GTEX-17MFQ	0	3	2	1992	1	6	0
GTEX-T5JW	3	20	8	4169	5	21	2
GTEX-14753	2	9	1	3838	1	19	3
GTEX-139T6	2	16	7	4321	0	28	2
GTEX-1MJK3	1	9	10	3972	0	17	1
GTEX-13PL6	0	4	4	2334	0	8	0
GTEX-14DAR	4	20	1	4520	3	24	0
GTEX-1I6K7	1	11	0	3914	1	12	2
GTEX-131XW	1	6	0	2568	0	10	0
GTEX-X4XY	2	8	3	2994	1	7	0
GTEX-15UF7	0	9	7	4693	2	14	0
GTEX-P4PP	2	10	9	3320	3	10	0
GTEX-ZXG5	6	28	2	5951	6	26	3
GTEX-1A32A	2	5	1	2622	1	8	2
GTEX-1C6VQ	3	17	10	4007	0	13	4
GTEX-1QP6S	1	9	2	3793	2	20	2
GTEX-14PJN	0	14	5	3102	0	12	0
GTEX-12696	0	7	2	3685	0	12	2
GTEX-13W3W	0	10	3	2717	2	8	0
GTEX-QV31	1	8	2	2511	0	6	2
GTEX-1AX9K	0	10	2	2980	1	8	1
GTEX-11VI4	1	19	3	4640	1	21	0
GTEX-WZTO	0	12	2	3444	1	15	0
GTEX-1JKYN	0	9	0	2263	1	10	1
GTEX-XUZC	0	7	7	3502	3	7	0
GTEX-18A7B	1	11	5	4636	0	25	0
GTEX-R53T	4	10	3	4195	6	13	0
GTEX-183FY	0	17	10	4151	0	19	2
GTEX-145LU	0	8	1	2623	0	8	0
GTEX-1LNCM	0	4	4	2917	0	7	0
GTEX-1KD5A	1	14	1	4445	2	15	2
GTEX-1S83E	3	15	8	5859	0	10	0
GTEX-ZLV1	0	10	6	3428	0	19	0
GTEX-1NUQO	0	15	0	3920	3	16	1
GTEX-OHPN	0	3	1	1952	1	8	2
GTEX-1GF9W	0	9	7	2567	0	10	1
GTEX-18A6Q	3	3	3	4001	4	13	1
GTEX-17EUY	1	14	8	4904	0	22	2
GTEX-1LGOU	2	12	2	3549	0	18	3
GTEX-1L5NE	1	6	7	5128	2	13	0
GTEX-X8HC	3	17	6	5935	8	27	6
GTEX-169BO	4	13	9	6094	3	20	3
GTEX-11EM3	4	19	2	3464	3	12	3
GTEX-1MCYP	0	20	4	4446	0	20	2
GTEX-131XG	2	3	8	3641	1	11	0
GTEX-1JMQJ	1	5	8	4258	2	16	1
GTEX-13FTY	0	4	0	2143	0	6	1
GTEX-16NPX	1	7	0	3617	2	11	0
GTEX-1PPH7	2	10	4	4889	0	23	0
GTEX-1F5PL	4	8	9	5211	2	9	4
GTEX-1GPI7	5	20	3	4963	3	18	1
GTEX-1RAZR	1	12	2	4167	1	14	0
GTEX-Y8DK	1	10	4	3957	0	9	0
GTEX-OHPL	8	24	5	5952	3	17	0
GTEX-ZYFG	2	11	1	3927	2	17	0
GTEX-1ICG6	3	8	10	3643	1	10	2
GTEX-1N2DW	1	12	0	3090	2	15	0
GTEX-1K2DA	3	22	12	10081	0	21	1
GTEX-1LH75	4	9	4	4309	5	10	3
GTEX-ZF2S	1	10	10	3018	2	9	2
GTEX-ZV6S	2	12	8	4898	1	28	0
GTEX-14BMU	1	12	0	2976	1	11	0
GTEX-1B97J	7	21	4	7992	5	17	1
GTEX-131XF	2	11	3	3097	2	12	1
GTEX-1F75A	4	13	4	4051	2	10	1
GTEX-14LZ3	0	7	2	2849	0	17	0
GTEX-146FQ	0	13	4	3204	1	8	0
GTEX-13QBU	1	11	6	3885	0	11	3
GTEX-RNOR	0	9	2	4322	0	14	2
GTEX-1B97I	3	10	6	3407	1	6	0
GTEX-17GQL	4	23	2	4857	3	23	0
GTEX-OXRK	3	9	3	4852	0	15	0
GTEX-15RIG	0	15	7	4030	2	16	0
GTEX-13FTW	2	11	6	3776	0	16	1
GTEX-17HII	4	7	1	2611	3	11	0
GTEX-1339X	2	15	1	2808	0	10	2
GTEX-ZZ64	2	17	6	3440	2	20	2
GTEX-QV44	4	6	4	4839	1	15	2
GTEX-11OF3	2	7	1	3005	0	11	0
GTEX-ZV68	1	8	2	3538	1	9	1
GTEX-11UD2	4	8	2	4106	1	11	1
GTEX-1KWVE	0	7	4	3770	0	13	1
GTEX-PWCY	3	9	2	5064	3	24	0
GTEX-14BIL	2	10	2	3932	2	9	2
GTEX-18A67	8	17	6	6499	5	19	0
GTEX-1GMRU	3	8	1	3704	2	24	2
GTEX-X261	2	9	7	4858	1	12	1
GTEX-OIZH	3	19	1	6664	5	22	1
GTEX-Y3I4	4	16	2	4011	0	12	2
GTEX-1269C	0	7	3	2290	1	10	2
GTEX-1AMFI	4	21	12	5019	3	27	0
GTEX-11ZU8	0	13	4	3157	2	10	3
GTEX-1R9PM	0	7	8	4256	0	11	0
GTEX-1LVA9	0	4	3	2962	1	13	0
GTEX-1MUQO	8	16	7	5616	3	19	0
GTEX-1RAZA	5	29	4	6129	2	18	0
GTEX-13OVH	2	17	2	5090	0	21	2
GTEX-U3ZN	5	19	12	5536	0	17	3
GTEX-145MO	2	16	6	5339	3	18	4
GTEX-13N1W	3	4	3	3321	1	8	3
GTEX-117YW	3	5	4	3854	0	12	5
GTEX-111VG	0	7	4	3745	0	7	1
GTEX-OOBK	4	13	3	3566	4	20	2
GTEX-1QEPI	2	7	6	4607	4	16	1
GTEX-15CHQ	0	9	6	2112	1	5	0
GTEX-Y9LG	2	19	3	5520	2	17	2
GTEX-1EWIQ	0	5	4	3552	2	14	1
GTEX-17KNJ	1	15	7	3413	0	18	0
GTEX-V1D1	1	7	0	2570	0	7	0
GTEX-15RIF	2	20	6	5672	0	24	0
GTEX-V955	2	19	8	6541	0	23	0
GTEX-1JN6P	2	7	15	4418	4	21	2
GTEX-1AMEY	0	14	8	4775	3	9	0
GTEX-1IDJF	3	17	2	5200	3	22	0
GTEX-1GN73	2	6	10	3859	4	14	1
GTEX-183WM	0	6	2	1138	1	7	1
GTEX-11LCK	0	12	3	2596	0	10	1
GTEX-RTLS	2	7	1	2343	1	4	1
GTEX-14E6D	1	8	3	4735	1	12	0
GTEX-XBEC	0	9	9	3130	0	11	0
GTEX-15CHC	4	10	2	3640	1	16	0
GTEX-1QCLZ	3	14	3	3938	4	23	2
GTEX-1RB15	2	8	9	3147	0	7	0
GTEX-1399U	2	12	16	4374	2	13	2
GTEX-13SLW	1	1	1	996	0	3	0
GTEX-15CHR	0	8	0	2576	0	13	1
GTEX-18A7A	2	6	1	3276	0	13	0
GTEX-WHSB	4	27	8	8935	2	26	2
GTEX-ZAK1	0	10	3	2619	2	9	0
GTEX-1GZ4I	2	14	3	4660	0	18	2
GTEX-1QP2A	0	13	3	4251	3	15	0
GTEX-1E2YA	3	12	2	3700	2	14	3
GTEX-12WSJ	0	6	3	2688	0	6	1
GTEX-N7MS	1	9	0	3051	2	11	0
GTEX-1IDJE	4	19	7	4525	2	23	0
GTEX-144GM	2	16	6	5077	2	16	1
GTEX-133LE	2	13	1	2997	2	17	0
GTEX-X5EB	3	7	3	2717	4	10	2
GTEX-16XZZ	3	22	2	5043	4	25	2
GTEX-1K2DU	5	16	3	4252	4	20	1
GTEX-O5YV	1	15	2	4143	3	25	0
GTEX-15ER7	1	29	11	10069	3	19	4
GTEX-ZPCL	2	9	2	4128	2	17	1
GTEX-1LG7Z	5	19	3	5416	3	27	1
GTEX-RWSA	1	6	0	2525	2	5	0
GTEX-U3ZM	3	11	3	3313	0	14	3
GTEX-14PN4	2	3	4	2304	0	5	3
GTEX-WFON	1	9	3	5539	0	19	0
GTEX-13VXU	1	6	1	3205	2	11	0
GTEX-SNMC	3	18	9	5522	2	26	1
GTEX-14PJ2	1	9	2	3060	0	8	0
GTEX-1JN1M	5	29	9	7459	5	40	9
GTEX-QVJO	0	2	0	848	0	4	0
GTEX-15SB6	8	18	7	6822	4	21	1
GTEX-144GL	1	7	5	2841	0	6	0
GTEX-1GF9U	0	5	2	2715	0	10	0
GTEX-11NSD	0	5	3	2988	1	6	2
GTEX-117XS	2	5	0	3330	3	15	1
GTEX-1B8KZ	2	12	2	2663	0	8	1
GTEX-1445S	2	12	2	3722	0	16	1
GTEX-15SKB	2	6	2	3986	3	11	2
GTEX-WY7C	6	13	3	4961	2	16	0
GTEX-14LLW	4	15	2	4572	3	25	2
GTEX-11ZTT	1	10	2	3263	0	12	0
GTEX-12KS4	2	9	2	2885	3	14	2
GTEX-1GPI6	2	7	2	3535	2	9	1
GTEX-Z93S	1	9	4	4116	1	11	0
GTEX-1GN1U	2	6	1	2592	2	6	0
GTEX-111YS	1	11	4	3332	4	12	0
GTEX-13111	1	12	7	2837	0	11	0
GTEX-139TS	3	10	0	3866	0	12	0
GTEX-1CAMQ	1	11	3	3845	0	12	2
GTEX-13QJ3	1	7	11	5189	0	10	2
GTEX-ZA64	0	11	5	5498	0	14	2
GTEX-17JCI	0	15	2	3669	3	17	0
GTEX-11XUK	3	10	1	2356	1	9	0
GTEX-WRHU	2	8	3	4110	0	8	1
GTEX-Y8LW	1	5	5	2720	0	14	4
GTEX-13OVG	2	7	7	2905	2	19	0
GTEX-YECK	1	5	6	3015	1	7	2
GTEX-1F88F	0	7	0	2644	0	8	2
GTEX-1GN2E	0	6	1	2309	0	7	1
GTEX-ZZPU	0	10	3	3307	4	17	0
GTEX-14E6E	5	6	8	4143	1	17	1
GTEX-ZGAY	2	25	5	6317	3	32	2
GTEX-14C39	0	10	5	3992	2	17	3
GTEX-147GR	0	5	0	2631	3	10	1
GTEX-11P81	2	11	1	2563	0	11	3
GTEX-13CF3	0	2	3	2658	2	7	0
GTEX-ZVT4	3	5	8	3181	1	10	0
GTEX-12WSF	2	6	1	2793	0	6	1
GTEX-12584	3	6	2	2154	2	10	2
GTEX-1CB4I	2	16	3	5559	3	24	0
GTEX-SE5C	0	5	0	2471	1	7	0
GTEX-1399S	3	11	6	4209	5	22	0
GTEX-P4QT	0	12	5	6059	0	18	1
GTEX-Q734	2	10	8	3723	1	10	3
GTEX-1B932	2	10	5	4412	0	14	0
GTEX-1EX96	2	4	0	1855	0	6	0
GTEX-RM2N	0	9	2	3595	3	10	1
GTEX-14DAQ	0	18	8	5032	0	20	1
GTEX-1S82U	6	13	6	4770	2	27	0
GTEX-ZEX8	2	19	4	4984	3	17	3
GTEX-1R7EV	2	11	6	3447	2	10	2
GTEX-RUSQ	1	8	2	2251	2	10	1
GTEX-1ICLY	1	3	6	2070	2	9	0
GTEX-1GTWX	0	7	2	4221	2	10	1
GTEX-PW2O	1	4	4	1999	0	2	0
GTEX-15UKP	0	5	0	2076	1	8	0
GTEX-13NZB	0	14	2	4343	1	21	0
GTEX-PSDG	1	12	5	4467	2	29	2
GTEX-ZVE2	4	10	4	4579	0	20	0
GTEX-13O3P	1	5	4	1884	0	7	1
GTEX-Z9EW	2	13	2	2550	2	15	0
