individual	chr2:174395817:174398275:cluster40962	chr2:174395817:174399922:cluster40962	chr2:174397404:174398275:cluster40962	chr2:174398442:174399922:cluster40962
GTEX-16NPX	4	16	0	19
GTEX-132NY	7	1	3	20
GTEX-ZYY3	4	0	1	13
GTEX-YB5E	9	0	3	17
GTEX-1QMI2	14	0	7	37
GTEX-14PJO	1	0	1	7
GTEX-16MTA	8	0	2	23
GTEX-ZQG8	11	0	3	22
GTEX-1F88E	2	0	1	7
GTEX-13NZA	6	0	4	22
GTEX-XPT6	14	1	8	43
GTEX-1F75W	8	0	4	18
GTEX-146FR	9	0	6	28
GTEX-1B8KE	8	0	3	14
GTEX-1KANA	11	0	6	31
GTEX-R55D	16	1	3	31
GTEX-1S5VW	13	1	4	30
GTEX-S33H	17	0	7	48
GTEX-13JVG	8	0	3	17
GTEX-1CB4G	14	2	5	34
GTEX-SIU8	8	1	1	20
GTEX-P78B	14	0	4	37
GTEX-1122O	4	0	1	7
GTEX-1LB8K	20	0	6	38
GTEX-T5JW	3	0	2	12
GTEX-1LC47	5	0	2	13
GTEX-14753	6	1	1	12
GTEX-113JC	6	0	4	17
GTEX-1CB4H	5	0	1	12
GTEX-1A32A	7	1	5	20
GTEX-1QP6S	17	1	9	38
GTEX-11NUK	8	0	3	25
GTEX-131YS	19	1	8	35
GTEX-12696	5	0	2	8
GTEX-1313W	20	2	6	48
GTEX-1GMR3	9	0	5	32
GTEX-145LU	16	2	11	44
GTEX-111FC	5	0	2	12
GTEX-13X6J	20	1	10	38
GTEX-1KD5A	15	3	8	40
GTEX-1LSNL	4	0	3	15
GTEX-1S83E	15	1	5	52
GTEX-13FTZ	12	0	3	30
GTEX-13FTY	11	1	3	19
GTEX-15ETS	16	2	6	37
GTEX-WK11	28	1	8	53
GTEX-12C56	8	1	3	24
GTEX-1211K	8	0	3	21
GTEX-TSE9	9	0	2	18
GTEX-ZF2S	19	1	8	62
GTEX-WEY5	11	0	5	29
GTEX-1399T	14	1	5	25
GTEX-1QP9N	9	0	2	25
GTEX-1B97J	9	0	5	30
GTEX-1F75A	11	2	7	42
GTEX-P44G	3	0	1	8
GTEX-14LZ3	15	2	4	27
GTEX-XGQ4	6	0	3	14
GTEX-R3RS	7	0	2	12
GTEX-XOT4	13	0	4	31
GTEX-1IDFM	4	0	2	10
GTEX-11GSO	7	1	5	21
GTEX-17HII	4	1	2	15
GTEX-1R46S	5	1	1	12
GTEX-1KWVE	12	0	5	38
GTEX-1CB4F	13	1	5	24
GTEX-17EVQ	5	0	2	15
GTEX-ZF3C	6	1	4	24
GTEX-14BIL	12	0	3	32
GTEX-18A67	15	1	3	33
GTEX-OIZH	5	0	2	13
GTEX-1AMFI	9	0	3	22
GTEX-15D79	12	1	3	20
GTEX-1RAZA	19	0	5	42
GTEX-13OVH	8	0	3	18
