individual	chr8:17923188:17924713:cluster38688	chr8:17923188:17934706:cluster38688	chr8:17923188:17935589:cluster38688	chr8:17924264:17924713:cluster38688	chr8:17924780:17934706:cluster38688	chr8:17924780:17935589:cluster38688	chr8:17934858:17935134:cluster38688	chr8:17934858:17935589:cluster38688	chr8:17935317:17935589:cluster38688	chr8:17935317:17937134:cluster38688	chr8:17935706:17937134:cluster38688
GTEX-1LSNL	20	1	0	1	23	3	31	0	4	25	25
GTEX-1IDJC	69	4	9	7	60	16	96	3	84	0	136
GTEX-132NY	17	1	3	1	19	7	21	0	20	0	34
GTEX-13OVL	20	1	2	4	38	11	40	1	37	0	52
GTEX-ZYY3	32	3	2	3	29	11	43	2	28	0	63
GTEX-11P82	27	0	4	1	25	11	30	0	28	0	58
GTEX-QEG4	31	3	1	2	33	7	30	1	28	0	44
GTEX-R55E	26	2	1	5	34	14	45	0	35	0	50
GTEX-YEC4	19	2	1	1	28	12	31	2	26	0	46
GTEX-SUCS	24	4	2	3	27	11	42	2	41	0	59
GTEX-ZYT6	40	2	1	4	31	13	31	1	34	0	67
GTEX-1QMI2	23	3	1	4	32	12	29	0	41	0	42
GTEX-1KXAM	98	4	8	17	98	28	105	1	117	0	171
GTEX-13OVJ	32	1	0	3	28	7	28	1	28	0	45
GTEX-13OW5	11	1	1	0	17	5	17	0	21	0	34
GTEX-16MTA	35	1	3	2	33	12	49	1	57	0	57
GTEX-ZQG8	27	0	0	2	15	7	23	0	23	0	40
GTEX-XPT6	54	4	4	2	44	12	50	2	43	0	73
GTEX-U4B1	35	3	3	1	32	21	40	0	46	0	69
GTEX-1F75W	24	2	0	2	22	3	24	1	22	0	35
GTEX-146FR	66	4	2	6	58	34	63	2	54	0	98
GTEX-14JG6	36	2	8	4	35	20	50	0	44	0	68
GTEX-1KANA	46	1	5	5	29	18	50	0	47	0	69
GTEX-1JN76	32	3	3	5	35	12	48	2	43	0	68
GTEX-16YQH	26	1	0	3	16	8	34	0	31	0	39
GTEX-14PQA	17	1	1	1	15	10	23	0	28	0	32
GTEX-S33H	49	2	6	8	48	19	54	0	52	0	78
GTEX-1122O	27	2	2	2	30	7	35	0	40	0	51
GTEX-ZAB5	52	3	8	9	56	16	69	0	66	0	104
GTEX-1LB8K	29	1	2	4	35	9	30	0	27	0	69
GTEX-15SHU	22	3	2	4	27	16	32	0	34	0	59
GTEX-17MFQ	48	5	5	8	37	19	58	0	47	0	76
GTEX-T5JW	19	2	0	0	18	8	21	0	23	0	47
GTEX-14753	29	3	1	2	25	14	29	0	32	0	52
GTEX-11DXX	57	2	6	2	55	23	65	3	71	1	114
GTEX-139T6	36	4	6	1	42	19	54	0	53	0	69
GTEX-13FTX	38	3	4	2	35	9	35	0	39	0	62
GTEX-14DAR	19	2	0	3	15	7	35	1	25	0	36
GTEX-1I6K7	33	3	6	9	40	16	53	2	60	0	90
GTEX-113JC	11	0	0	0	9	5	12	0	12	0	17
GTEX-1PPGY	42	1	1	3	32	10	32	2	43	0	74
GTEX-13CF2	21	1	5	1	25	11	26	0	29	0	41
GTEX-1CB4H	18	0	1	1	10	3	12	0	12	0	25
GTEX-1OFPY	32	0	1	2	27	9	48	2	33	0	51
GTEX-1F75B	32	5	6	5	48	16	59	0	58	0	87
GTEX-1QP6S	44	1	2	2	41	14	42	2	43	0	63
GTEX-131YS	25	0	3	4	33	11	38	3	45	0	67
GTEX-1AX9K	52	5	4	3	41	16	59	0	48	0	99
GTEX-1B933	34	0	3	0	31	11	37	0	37	0	55
GTEX-XUW1	40	2	1	2	27	12	44	2	31	0	52
GTEX-WZTO	29	1	0	5	34	9	41	0	41	0	54
GTEX-12ZZY	31	1	3	6	25	8	38	1	35	0	74
GTEX-XQ3S	16	0	0	2	11	5	10	0	12	0	18
GTEX-1GMR3	31	0	2	1	27	14	41	0	39	0	57
GTEX-1JKYN	11	0	1	3	15	6	16	0	19	0	24
GTEX-18A7B	45	1	4	4	41	22	66	0	80	0	96
GTEX-145LU	23	1	2	6	30	9	39	1	30	0	61
GTEX-111FC	8	1	0	2	13	3	14	0	17	0	29
GTEX-13X6J	44	2	2	7	30	24	45	1	43	0	73
GTEX-1LNCM	14	2	0	2	18	8	19	1	11	0	30
GTEX-1S83E	49	7	7	6	42	17	65	1	54	0	101
GTEX-ZLV1	52	3	2	3	59	19	61	1	57	0	96
GTEX-1NUQO	38	3	3	3	25	19	43	1	53	0	61
GTEX-18A6Q	44	1	5	2	37	20	38	0	50	0	72
GTEX-13FTZ	24	1	2	1	19	8	18	0	25	0	39
GTEX-1I4MK	59	4	6	3	61	32	70	0	72	0	117
GTEX-X8HC	17	0	2	2	27	5	29	0	27	0	42
GTEX-15ETS	57	3	0	4	62	22	82	4	78	0	118
GTEX-1F5PL	40	4	4	6	48	12	64	0	65	0	105
GTEX-1GPI7	67	2	5	7	50	24	79	1	79	1	106
GTEX-1GN1W	44	1	2	0	46	24	47	2	49	0	83
GTEX-1S82P	27	4	1	3	30	14	24	1	33	0	50
GTEX-Y8DK	50	1	7	4	55	24	58	2	59	0	75
GTEX-1N2DW	25	1	1	3	15	10	25	0	30	0	53
GTEX-1LH75	31	3	1	3	33	15	36	0	51	0	68
GTEX-U8T8	15	1	2	0	11	9	15	0	24	0	38
GTEX-ZF2S	62	5	7	5	60	19	66	0	64	0	106
GTEX-ZV6S	34	2	2	1	34	17	51	2	56	0	72
GTEX-14BMU	37	1	4	2	36	14	39	0	47	0	83
GTEX-1QP9N	28	4	1	1	29	7	36	0	30	0	50
GTEX-14LZ3	36	2	2	7	36	17	47	4	48	0	83
GTEX-13N2G	65	3	4	8	53	41	67	0	70	0	114
GTEX-1B97I	38	6	5	3	41	12	58	0	54	0	74
GTEX-1A3MX	31	2	0	5	28	17	43	3	31	0	59
GTEX-1FIGZ	45	3	6	6	31	16	53	1	47	0	76
GTEX-OXRK	25	2	4	5	26	10	36	0	43	0	66
GTEX-WRHK	35	0	2	1	42	21	61	0	50	0	85
GTEX-QEG5	26	2	2	1	26	9	28	0	26	0	58
GTEX-1339X	12	1	2	1	11	6	15	1	18	0	30
GTEX-15G1A	66	4	7	5	51	28	75	1	93	0	141
GTEX-ZZ64	51	3	4	2	27	20	49	1	60	0	105
GTEX-17HGU	35	1	2	3	23	14	35	1	33	0	64
GTEX-1C6VR	27	0	1	2	27	10	32	1	23	0	44
GTEX-QV44	92	4	9	24	93	51	130	4	149	0	192
GTEX-11OF3	26	3	3	3	29	13	34	0	40	0	47
GTEX-ZV68	20	2	3	2	17	4	27	1	28	0	33
GTEX-11UD2	27	0	4	5	21	12	35	1	23	0	54
GTEX-1KWVE	41	2	2	2	29	21	46	2	49	0	71
GTEX-PWCY	35	2	3	0	34	17	49	1	55	0	83
GTEX-14BIL	35	0	6	2	32	14	36	0	38	0	64
GTEX-1AMFI	95	10	5	3	85	34	90	1	104	0	140
GTEX-1RAZA	47	8	7	10	55	28	72	3	75	0	134
GTEX-13OVH	26	0	1	6	27	10	43	0	39	0	51
GTEX-11ZTS	9	0	2	1	10	4	16	0	9	0	26
GTEX-145MO	55	2	8	5	49	18	59	4	59	0	95
GTEX-16MT8	68	2	9	9	62	22	68	5	69	0	110
GTEX-1F6IF	29	2	0	1	22	12	31	0	32	0	59
GTEX-ZWKS	10	2	1	0	8	4	11	1	17	0	23
GTEX-1AX9J	42	3	2	4	49	16	43	1	62	0	70
GTEX-1F7RK	15	2	1	2	9	6	16	1	10	0	21
GTEX-1QEPI	26	2	2	4	34	9	40	0	31	0	57
GTEX-11EI6	25	0	2	6	30	13	45	0	46	0	55
GTEX-1M5QR	45	2	4	7	38	17	45	0	44	0	90
GTEX-1JN6P	37	4	4	3	48	13	54	1	46	0	74
GTEX-ZT9X	61	6	7	8	59	17	90	2	81	1	130
GTEX-RTLS	35	3	2	6	47	12	41	2	53	0	63
GTEX-1S82Y	66	3	8	4	55	33	60	2	76	0	122
GTEX-18A66	70	0	4	8	60	20	77	5	66	0	103
GTEX-1QAET	40	0	0	3	46	19	61	2	41	0	81
GTEX-13PVR	31	1	3	2	24	8	36	0	41	0	70
GTEX-ZTPG	29	1	1	1	28	16	31	0	31	0	62
GTEX-PLZ6	19	2	2	3	20	8	19	0	24	0	42
GTEX-YB5K	23	2	5	2	24	14	28	1	39	0	65
GTEX-1PDJ9	29	2	1	3	25	13	35	1	36	0	40
GTEX-QVUS	6	0	0	0	6	4	6	0	9	0	9
GTEX-16GPK	22	0	2	5	24	14	37	0	24	0	57
GTEX-15CHR	35	0	2	0	26	10	35	0	45	0	64
GTEX-13112	33	0	0	4	22	9	29	1	32	0	45
GTEX-1PBJJ	35	1	1	3	22	18	39	0	38	0	49
GTEX-1QP2A	37	4	4	7	28	12	44	2	38	0	68
GTEX-1E2YA	34	1	2	2	21	10	36	2	44	0	57
GTEX-1F52S	51	2	1	3	49	19	66	4	79	0	113
GTEX-1F5PK	29	4	1	4	33	15	39	1	39	0	49
GTEX-144GM	23	1	3	4	21	14	20	0	27	0	53
GTEX-14PJ5	40	4	5	6	30	22	42	2	58	0	97
GTEX-133LE	26	0	3	2	23	15	33	1	30	0	40
GTEX-1R9PO	32	2	2	7	32	15	45	3	37	0	55
GTEX-17HHE	57	2	10	4	81	33	84	1	76	0	153
GTEX-14PN4	12	0	1	1	11	6	17	0	16	0	27
GTEX-13VXU	38	0	1	4	37	22	41	1	36	0	57
GTEX-1GZHY	26	0	1	1	33	11	43	0	40	0	50
GTEX-147JS	24	1	3	1	17	12	32	1	37	0	50
GTEX-QCQG	33	1	2	2	44	14	59	1	69	0	80
GTEX-1MCQQ	19	2	2	1	20	11	26	1	22	0	33
GTEX-1GF9U	20	0	2	2	19	10	27	1	25	0	41
GTEX-OXRL	45	3	3	4	33	18	31	1	40	0	63
GTEX-11NSD	20	1	1	3	21	12	23	1	30	0	40
GTEX-1MA7W	34	3	3	3	26	5	45	0	47	0	71
GTEX-1BAJH	38	0	1	4	29	10	30	0	37	0	59
GTEX-WY7C	57	6	8	2	70	22	83	0	82	0	105
GTEX-VUSG	58	4	3	3	48	19	50	0	59	0	101
GTEX-11I78	32	2	3	3	29	15	59	0	43	0	69
GTEX-1GMR8	40	1	1	2	34	17	38	1	58	0	74
GTEX-Z93S	40	2	3	1	42	24	49	3	37	0	74
GTEX-111YS	54	1	5	4	35	18	41	0	40	0	75
GTEX-13111	34	2	3	1	25	19	34	1	40	0	49
GTEX-139TS	24	0	2	5	28	14	31	0	38	0	69
GTEX-14PK6	44	2	5	6	34	21	46	2	62	0	98
GTEX-XMD2	12	0	1	1	13	4	16	0	14	0	17
GTEX-13QJ3	48	4	4	13	52	25	70	0	72	0	112
GTEX-1PIIG	39	1	0	6	47	22	54	1	51	0	84
GTEX-ZVE1	16	0	2	4	19	7	27	1	24	0	41
GTEX-17JCI	33	1	3	7	37	22	41	0	56	0	70
GTEX-11XUK	28	2	3	2	16	6	33	1	32	0	44
GTEX-1JJ6O	68	2	10	3	53	24	70	0	87	0	112
GTEX-Y8LW	19	0	0	1	22	12	21	1	21	0	29
GTEX-12ZZX	35	0	3	4	30	13	30	0	50	0	65
GTEX-YECK	3	0	0	1	7	1	8	0	6	0	8
GTEX-OIZF	53	0	1	4	44	14	60	0	47	0	91
GTEX-1JMQK	18	0	1	1	27	6	21	1	23	0	43
GTEX-14E6E	37	2	8	2	37	19	48	0	42	0	72
GTEX-13D11	23	1	3	1	27	13	28	2	39	0	59
GTEX-15DZA	86	8	4	4	93	29	139	2	145	0	193
GTEX-ZGAY	65	5	6	6	62	28	85	2	81	0	128
GTEX-17EVP	25	0	2	3	32	15	37	1	26	0	58
GTEX-147GR	3	0	0	0	1	0	4	0	3	0	8
GTEX-11P81	15	0	1	2	22	10	22	1	25	0	29
GTEX-1F48J	71	4	6	7	75	25	110	1	96	0	132
GTEX-1CB4I	42	1	6	5	31	11	47	1	36	0	62
GTEX-16NPV	2	0	0	0	3	3	4	0	6	0	6
GTEX-1399S	21	2	1	1	21	6	25	1	30	0	44
GTEX-WWTW	4	0	1	0	3	2	7	0	3	0	7
GTEX-QDVJ	20	0	3	2	25	8	31	2	29	0	49
GTEX-14DAQ	47	2	1	6	45	18	50	2	49	0	94
GTEX-ZEX8	64	3	5	3	34	22	64	1	66	0	95
GTEX-15RIE	46	1	4	3	32	14	54	3	50	0	65
GTEX-1GF9V	42	1	3	4	41	27	63	0	70	0	90
GTEX-1RAZQ	59	5	3	7	40	24	74	1	69	0	103
GTEX-PX3G	19	1	3	1	20	8	30	2	22	0	39
GTEX-146FH	17	2	2	1	22	8	31	1	29	0	36
GTEX-1ICLY	14	0	1	0	7	6	11	1	16	0	24
GTEX-YFC4	26	0	0	2	28	7	37	0	30	0	50
GTEX-1JKYR	42	0	2	4	39	14	56	0	51	1	89
GTEX-14BIM	13	0	0	1	12	4	16	2	16	0	27
GTEX-ZF29	73	2	5	5	57	30	78	6	104	0	128
GTEX-13NZB	33	3	2	5	33	14	34	0	35	0	64
GTEX-PSDG	33	2	4	6	34	14	40	0	47	0	73
GTEX-ZVE2	36	2	4	5	23	13	40	1	40	0	51
GTEX-13PVQ	20	0	0	1	22	7	19	0	29	0	37
GTEX-13O3P	20	3	1	1	21	13	29	0	37	0	43
GTEX-Z9EW	22	1	0	1	17	11	33	0	36	0	41
GTEX-1QP67	21	0	2	1	22	11	30	2	37	0	37
GTEX-ZVT3	32	0	1	2	28	16	41	1	42	0	67
GTEX-XV7Q	23	1	1	0	19	5	34	0	26	0	43
GTEX-13OW7	41	0	2	4	38	16	48	1	53	0	56
