individual	chr10:113589797:113590578:cluster59535	chr10:113589797:113592194:cluster59535	chr10:113589797:113595623:cluster59535	chr10:113590889:113592194:cluster59535	chr10:113590889:113595623:cluster59535	chr10:113590889:113597086:cluster59535	chr10:113590925:113592194:cluster59535	chr10:113592301:113595623:cluster59535	chr10:113592301:113597086:cluster59535	chr10:113595727:113597086:cluster59535
GTEX-15D79	2476	2010	508	2756	115	12	0	5674	89	6442
GTEX-14ABY	4507	17	7	5445	227	22	3	5743	77	6359
GTEX-13OVL	4756	0	10	4963	264	21	1	5567	33	5883
GTEX-139TU	13968	7	5	14218	466	43	8	15117	108	17375
GTEX-ZYY3	2437	4	3	2556	61	4	1	2900	49	3261
GTEX-11P82	8882	3	8	9899	492	30	2	11054	143	10506
GTEX-QEG4	4218	3	6	5206	199	16	1	5678	43	5552
GTEX-14JIY	6683	3	9	7152	326	46	5	7653	54	7679
GTEX-YEC4	2784	2	2	2757	119	8	0	2930	44	3337
GTEX-1QW4Y	4305	0	5	4351	219	16	3	4757	14	4886
GTEX-Y8E4	4361	1	9	4884	226	20	4	5358	50	5572
GTEX-1KD4Q	4505	6	8	4897	232	20	0	5360	77	5002
GTEX-12WSM	2699	4	2	2693	130	4	0	2950	16	3057
GTEX-YF7O	1514	0	0	1581	61	8	0	1764	8	2012
GTEX-13X6I	2016	0	0	2107	70	2	1	2204	8	2221
GTEX-WHPG	5870	3	4	6167	148	0	2	6773	62	6980
GTEX-1CAMR	1722	1	0	1958	85	1	0	2068	13	1960
GTEX-1AX8Z	3035	3	4	3222	68	2	0	3413	40	3630
GTEX-1KXAM	4536	3	2	5722	132	9	2	6004	48	5908
GTEX-13PL7	2075	0	1	2166	45	4	2	2347	31	2348
GTEX-11EQ9	3266	3	1	3617	124	16	0	4007	12	4087
GTEX-13W46	2789	2	2	2762	77	2	1	3097	41	3148
GTEX-16MTA	3085	1	4	3139	136	3	3	3499	43	3738
GTEX-13NZA	5835	4	4	6573	278	19	0	7112	28	6882
GTEX-1GN1V	6466	4	11	6912	354	37	1	7505	55	7242
GTEX-14C38	1965	0	4	2008	80	0	3	2320	11	2435
GTEX-14BMV	3980	16	7	4589	245	25	4	5022	42	5075
GTEX-U4B1	1192	0	0	1375	54	8	1	1388	14	1617
GTEX-146FR	2574	3	2	2633	144	7	3	3061	21	3015
GTEX-1AX9I	3084	3	2	3562	141	6	0	3879	27	3865
GTEX-17F96	1503	0	0	1534	51	2	0	1919	15	1992
GTEX-1B8KE	3160	0	1	3755	98	2	0	3957	41	3761
GTEX-R55D	3023	0	3	3550	115	8	0	3611	25	3837
GTEX-X4XX	3143	0	4	3474	104	17	3	3583	53	3582
GTEX-1RQEC	6505	20	6	7364	338	22	4	8368	34	7782
GTEX-1C64N	7354	1	9	7167	301	29	6	8032	52	8375
GTEX-S33H	5125	1	7	5284	216	7	4	6069	65	6338
GTEX-ZPIC	3062	0	1	3611	146	6	2	3897	35	3863
GTEX-P78B	2775	0	3	2990	74	3	1	3334	18	3608
GTEX-1LB8K	5897	5	3	6039	256	33	3	6566	77	6557
GTEX-15SHU	5912	7	4	6233	178	4	3	7330	23	7724
GTEX-1LC47	4685	2	2	5007	133	10	2	5522	71	5277
GTEX-14753	2157	1	3	2366	86	8	2	2566	24	2589
GTEX-11DXX	1927	7	3	2134	67	5	0	2303	6	2353
GTEX-14DAR	2940	2	2	3142	124	15	1	3309	39	3495
GTEX-15UF7	7096	0	8	7640	220	23	5	8339	140	8476
GTEX-ZXG5	4282	1	4	4953	207	15	6	5544	15	5930
GTEX-1A32A	5408	5	5	6447	319	11	5	6685	30	6957
GTEX-1OFPY	1445	3	0	1666	39	5	1	1792	12	1699
GTEX-1F75B	2383	0	4	2348	96	7	2	2730	9	2796
GTEX-1QP6S	5724	5	2	6259	251	15	2	6981	47	6424
GTEX-14PJN	1491	1	0	1621	77	3	1	1862	19	1893
GTEX-147F4	3099	6	0	3282	116	6	0	3485	23	3740
GTEX-13W3W	1467	1	2	1534	75	5	0	1671	15	1662
GTEX-XUW1	1014	5	2	1187	40	8	0	1284	2	1405
GTEX-WZTO	3342	15	2	3714	100	7	2	3901	20	4135
GTEX-1GZ2Q	6815	5	5	7102	182	7	6	7552	8	7948
GTEX-1313W	3271	0	2	3513	107	2	3	3891	16	4031
GTEX-12ZZY	2763	7	3	2927	101	8	1	3643	35	3799
GTEX-1GMR3	5944	4	5	6098	323	12	2	7307	28	7427
GTEX-1JKYN	2216	0	3	2542	98	11	0	2860	44	3183
GTEX-18A7B	4837	11	3	5302	169	11	2	5855	20	6282
GTEX-XBEW	2136	5	11	2402	93	4	1	2698	28	2753
GTEX-111FC	4019	0	4	3902	218	19	0	4388	26	4704
GTEX-1KD5A	4859	6	1	5265	142	4	4	5587	25	5756
GTEX-1S83E	5690	1	5	6086	269	15	2	6875	87	6950
GTEX-ZDYS	1479	3	1	1625	65	6	0	1880	40	1921
GTEX-ZLV1	1850	0	1	1929	62	2	2	2195	23	2339
GTEX-ZUA1	6018	2	3	6046	196	28	6	6743	79	7870
GTEX-1GF9W	2390	0	0	2652	98	7	0	2752	29	2634
GTEX-18A6Q	3985	5	3	5106	176	24	6	5018	43	5476
GTEX-13FTZ	4645	5	2	4788	169	26	2	5349	46	5469
GTEX-17EUY	1746	2	0	1886	74	7	0	2155	16	2020
GTEX-1LGOU	2008	1	0	2043	81	3	0	2147	19	2158
GTEX-1I4MK	4502	3	7	4761	207	15	5	5648	68	6230
GTEX-131XG	2051	1	1	2339	111	21	4	2619	31	2822
GTEX-16NPX	4537	2	1	4463	181	5	1	5024	18	5608
GTEX-15ETS	4034	8	9	4354	91	9	0	4678	56	4928
GTEX-1PPH7	3744	0	2	3842	142	16	1	4322	53	4108
GTEX-1F5PL	5676	4	9	5967	314	22	1	6528	64	7700
GTEX-WK11	6116	18	4	6617	374	18	0	7505	60	7851
GTEX-1RAZR	4330	2	6	4224	155	15	3	4601	41	5096
GTEX-1S82P	4694	2	2	5433	156	13	1	5797	39	5551
GTEX-Y8DK	7222	3	5	8163	222	32	0	8717	93	9110
GTEX-1211K	2257	2	3	2319	119	10	1	2711	20	3101
GTEX-TSE9	3797	3	3	4390	137	7	2	4708	17	5219
GTEX-W5WG	1865	1	4	2090	107	1	1	2315	11	2416
GTEX-13O3O	4941	13	0	5701	153	17	5	5930	39	6288
GTEX-T5JC	5644	13	8	6292	307	41	3	6770	35	6774
GTEX-ZF2S	2538	0	5	2872	104	9	0	3073	17	3472
GTEX-ZV6S	1279	0	0	1503	28	1	0	1605	9	1597
GTEX-1399T	2307	11	5	2568	130	7	1	2819	24	2970
GTEX-1QP9N	1521	1	5	1660	95	3	2	1694	21	1773
GTEX-131XF	1354	1	0	1538	83	5	0	1644	19	1669
GTEX-P44G	2069	0	2	2654	101	9	1	2687	27	2649
GTEX-14LZ3	3762	3	5	3717	145	5	2	4365	12	4863
GTEX-13O3Q	3127	4	5	3236	143	13	1	3667	11	3993
GTEX-13N2G	5646	3	2	5730	151	6	2	6422	57	7296
GTEX-146FQ	5301	31	17	5267	166	9	5	5895	81	6530
GTEX-XGQ4	2031	0	1	2071	96	4	1	2282	11	2307
GTEX-13U4I	3927	4	5	3719	177	6	2	4623	27	4499
GTEX-13G51	3954	10	11	4218	246	10	0	4569	20	4683
GTEX-ZDTS	3882	0	1	4546	158	19	0	4985	45	5338
GTEX-1B97I	1227	0	1	1380	79	10	0	1578	15	1654
GTEX-1A3MX	4148	2	3	4120	158	9	4	4669	39	4399
GTEX-11GSO	3272	1	4	3743	105	3	3	4180	61	4219
GTEX-1FIGZ	1605	0	0	1723	81	3	0	1978	16	2209
GTEX-OXRK	2668	1	0	3068	113	5	1	3179	53	3484
GTEX-WRHK	3718	0	7	4425	161	9	2	4365	42	4692
GTEX-13FTW	1532	1	2	1554	47	0	0	1799	13	1968
GTEX-11ZVC	4365	5	2	5075	194	15	1	5740	34	6297
GTEX-ZZ64	1885	4	4	2193	89	14	0	2474	25	2784
GTEX-11OF3	2374	2	3	2719	104	7	2	3144	18	3263
GTEX-11UD2	3807	2	0	4296	151	13	1	4804	39	5096
GTEX-1CB4F	3196	3	0	3539	109	9	1	3812	39	3680
GTEX-17EVQ	7033	2	5	8366	180	3	2	9105	57	9650
GTEX-PWCY	3957	4	2	4636	197	14	0	4903	72	5022
GTEX-Y111	2558	1	2	3137	110	12	5	3281	26	3087
GTEX-1GMRU	5930	3	4	6801	242	42	0	7458	64	7806
GTEX-1A3MW	1481	0	0	1769	47	8	0	1824	5	1903
GTEX-X261	2766	1	1	2860	62	3	3	3083	26	3236
GTEX-YEC3	2665	0	4	2909	104	5	3	3245	54	3373
GTEX-Y3I4	3602	15	2	4069	112	10	1	4280	51	4618
GTEX-1AMFI	2942	15	8	3445	88	4	1	3830	49	4126
GTEX-11ZU8	1690	0	0	1874	46	4	0	2065	12	2033
GTEX-1192X	2680	5	2	3191	89	18	2	3544	12	3725
GTEX-1MUQO	3350	2	1	3389	155	18	2	3637	36	3781
GTEX-1RAZA	7019	2	15	8122	318	20	2	9032	170	9547
GTEX-13OVH	3691	1	2	3728	84	8	4	4226	48	4557
GTEX-11ZTS	2338	5	0	2470	92	10	0	2786	8	3064
GTEX-145MO	3045	2	3	3297	136	7	1	3890	36	4259
GTEX-WYVS	4528	1	5	4926	219	23	0	5197	32	5405
GTEX-16BQI	3483	2	6	3912	101	11	2	4010	71	4145
GTEX-13N1W	3533	4	0	3848	117	16	1	4274	44	4287
GTEX-117YW	5595	2	6	6571	275	28	3	7420	52	8007
GTEX-111VG	3834	9	5	4617	191	25	1	4971	30	5515
GTEX-1F6IF	9128	6	8	10150	466	16	6	11787	41	12461
GTEX-1F7RK	4750	10	4	5400	258	18	1	5674	41	5773
GTEX-YJ8O	3341	4	2	3536	185	19	0	4012	45	4472
GTEX-1QEPI	14073	10	9	15747	758	78	10	16431	216	16606
GTEX-ZC5H	3332	5	5	3813	148	6	2	4196	26	4377
GTEX-1EWIQ	3592	8	4	3850	120	13	1	4466	35	4683
GTEX-11EI6	4931	3	3	4882	188	25	3	5762	87	6405
GTEX-17KNJ	8180	7	7	8586	326	23	7	9552	141	9083
GTEX-1A8FM	5361	0	2	5599	207	21	2	6770	34	6568
GTEX-1M5QR	5389	0	4	5947	214	37	4	6241	92	6108
GTEX-1JN6P	8214	4	5	8772	496	23	0	9335	68	9489
GTEX-1GN73	5814	3	3	7037	248	19	5	7649	76	8463
GTEX-11LCK	2417	0	0	2464	85	1	0	2690	13	3032
GTEX-14E6D	4818	2	4	5402	240	12	4	5878	55	6516
GTEX-1S82Y	5433	5	3	5647	217	29	5	5898	116	6168
GTEX-13PVR	1180	0	0	1360	33	3	3	1467	14	1355
GTEX-1314G	4567	0	0	4972	99	7	2	5465	31	5838
GTEX-1399U	4576	1	1	5123	125	10	2	5525	90	5359
GTEX-1PDJ9	1388	5	7	1509	77	14	1	1698	18	1656
GTEX-16GPK	3752	1	3	4235	218	25	5	4944	44	4847
GTEX-15CHR	3397	11	7	4024	125	15	2	4263	39	4365
GTEX-13112	3208	0	1	3639	164	9	1	4106	24	4557
GTEX-18A7A	4199	5	4	4403	128	3	3	4821	18	5104
GTEX-ZAK1	2061	0	0	2214	117	12	1	2293	14	2518
GTEX-1GZ4I	2714	7	2	3032	94	16	0	3212	28	3440
GTEX-1PBJJ	5747	4	0	6497	195	16	3	6902	95	6528
GTEX-1E2YA	4725	2	0	5496	177	7	3	6115	20	6406
GTEX-13X6H	1366	2	2	1487	48	1	0	1676	21	1698
GTEX-OIZG	8384	8	5	10012	305	16	4	9588	89	11098
GTEX-11GSP	2715	1	0	2884	100	9	1	3227	36	3501
GTEX-12WSJ	1196	0	0	1304	48	4	0	1521	21	1503
GTEX-14PJ5	1344	0	0	1469	41	0	0	1591	9	1583
GTEX-133LE	2657	4	4	2812	119	7	1	3249	21	3556
GTEX-1R9PO	3821	1	0	4099	86	4	0	4432	24	4464
GTEX-X5EB	3517	3	0	3717	129	7	3	4246	56	3967
GTEX-16XZZ	5331	4	6	6039	180	11	4	6349	25	6007
GTEX-1K2DU	1075	0	1	1147	28	3	0	1190	12	1327
GTEX-14PII	2804	5	6	3094	163	17	1	3208	21	3372
GTEX-15ER7	10486	9	14	13438	489	40	6	14185	55	14326
GTEX-ZPCL	3179	12	5	3487	105	15	0	3976	54	4435
GTEX-1LG7Z	3239	9	9	3506	117	14	1	3668	40	3916
GTEX-1R7EU	1575	1	2	1649	63	0	0	1738	18	1700
GTEX-U3ZM	1566	1	4	1884	83	6	1	1988	24	2041
GTEX-1A8G6	4221	17	4	4835	146	11	3	5396	11	5314
GTEX-WFON	3927	2	8	4188	194	17	2	4475	79	4709
GTEX-T6MN	1654	5	1	2085	90	10	0	2228	17	2357
GTEX-18465	4500	2	3	5282	268	24	1	5643	50	6239
GTEX-147JS	4955	1	1	5309	164	9	2	6490	25	6540
GTEX-QCQG	3601	0	7	3967	156	12	1	4173	72	4119
GTEX-144GL	4568	3	0	5098	168	7	0	5652	6	5868
GTEX-14PJ6	3286	0	3	3693	154	7	2	3961	26	3944
GTEX-1MCQQ	5118	6	2	6221	138	6	4	6622	74	6315
GTEX-1CB4E	1478	1	2	1622	68	8	2	1797	9	1676
GTEX-11NSD	4143	3	3	4543	207	15	0	4857	73	5327
GTEX-14PJM	4192	6	5	4296	133	9	1	4817	20	5404
GTEX-1B8KZ	4711	5	2	5156	151	4	2	5790	22	5496
GTEX-1BAJH	5416	2	4	6266	219	10	1	6765	44	6988
GTEX-ZVZP	1501	0	1	1534	40	2	1	1789	29	1778
GTEX-WY7C	5182	1	8	5640	217	38	0	6047	90	6190
GTEX-14LLW	3994	7	4	4338	162	14	2	4703	25	4687
GTEX-13QIC	4214	1	1	4401	101	10	3	4511	18	4814
GTEX-12KS4	2861	1	0	3080	105	7	0	3558	28	3771
GTEX-11I78	1719	0	0	1667	88	6	1	1921	17	2012
GTEX-1GPI6	4527	2	2	5133	169	10	2	5339	31	5384
GTEX-Z93S	6489	4	8	7497	373	31	0	8352	51	9281
GTEX-1GN1U	2172	0	2	2684	97	9	1	2902	39	2965
GTEX-X4EO	7225	8	2	7363	249	7	5	8198	26	8698
GTEX-13111	1694	10	4	2052	88	8	3	2206	22	2290
GTEX-14H4A	2195	1	4	2409	114	11	1	2691	21	2611
GTEX-139TS	5568	4	4	5789	158	9	0	6232	6	6928
GTEX-14PK6	3939	2	2	4487	134	12	1	4628	34	5145
GTEX-ZYFD	1533	7	1	1732	76	7	1	2077	18	2044
GTEX-14JG1	4698	5	7	4681	239	5	4	5450	24	5950
GTEX-ZA64	4258	0	2	4308	131	2	2	4725	40	5323
GTEX-1PIIG	7656	2	8	8944	427	50	5	9365	69	8997
GTEX-1JJ6O	738	0	2	882	19	1	0	948	6	955
GTEX-WRHU	3695	2	7	4281	207	17	2	4648	30	5199
GTEX-12ZZX	4381	1	3	5061	185	19	1	5557	37	6038
GTEX-1GN2E	2952	3	0	2881	101	3	4	3390	21	3778
GTEX-1JMQK	3825	0	2	4073	89	1	0	4237	38	4347
GTEX-ZZPU	1072	5	3	1122	49	10	0	1269	12	1361
GTEX-14E6E	2201	5	7	2122	106	2	0	2632	14	2725
GTEX-ZGAY	5590	5	8	6164	369	21	3	6917	55	7361
GTEX-14C39	2180	7	2	2646	71	4	1	2861	19	2680
GTEX-17EVP	3118	10	5	3863	151	16	2	4438	27	4531
GTEX-11P81	2069	0	0	2212	108	14	0	2457	17	2453
GTEX-ZVT4	3580	4	3	3682	206	13	1	3987	20	4336
GTEX-12584	5152	1	0	5290	119	15	4	6013	33	6321
GTEX-1CB4I	3594	2	5	3977	111	6	5	4453	16	4409
GTEX-1R9JW	3238	4	2	3615	114	3	2	3893	15	3865
GTEX-15DCD	5270	18	1	5927	208	15	0	6673	34	6746
GTEX-P4QT	4308	0	2	4623	195	26	1	4845	92	5347
GTEX-13X6K	2231	3	1	2676	65	2	0	2748	8	2857
GTEX-Q734	7247	3	7	8375	333	21	4	8455	66	9211
GTEX-1A8G7	4321	4	0	4766	163	14	4	5387	5	5688
GTEX-WL46	5973	10	10	6133	217	11	6	6747	23	6711
GTEX-15RIE	3279	0	2	3401	121	7	0	3776	47	3725
GTEX-12WSN	2121	0	0	2457	91	9	0	2675	31	2933
GTEX-PX3G	5081	5	5	5285	166	9	8	6664	53	6169
GTEX-146FH	1445	0	1	1548	40	0	0	1709	17	1791
GTEX-U3ZH	1336	0	1	1474	70	3	1	1577	21	1551
GTEX-1ICLY	2289	7	1	2493	56	7	1	2566	32	2656
GTEX-14BIM	3575	0	2	3829	117	16	1	4129	2	4165
GTEX-1GTWX	7437	3	5	8702	235	12	7	9183	91	9387
GTEX-111CU	1676	4	2	1638	56	1	0	1928	21	2024
GTEX-ZF29	2992	2	5	3458	151	27	0	3670	57	3591
GTEX-15UKP	2451	0	2	2504	69	15	0	2623	32	2747
GTEX-1CB4J	1335	4	0	1454	42	8	0	1595	14	1814
GTEX-17F97	3067	0	0	3340	79	7	0	3695	7	3874
GTEX-13NZB	2693	6	10	3000	158	20	2	3224	31	3462
GTEX-17HHY	3964	8	2	4646	176	9	0	5457	55	5158
GTEX-13O3P	1472	4	2	1527	37	9	0	1553	23	1725
GTEX-11GS4	3653	0	1	3454	169	8	3	4046	24	4265
GTEX-OXRN	4802	2	7	4959	102	15	2	5132	59	5246
GTEX-XV7Q	1126	1	0	1186	37	3	0	1274	10	1233
GTEX-13OW7	7512	3	4	8408	262	38	2	8788	143	9757
