individual	chr2:169906164:169914060:cluster67386	chr2:169906164:169923929:cluster67386	chr2:169914146:169923929:cluster67386
GTEX-14PJ4	51	36	47
GTEX-14ABY	112	0	107
GTEX-147F3	46	0	48
GTEX-YEC4	69	0	77
GTEX-YB5E	95	0	91
GTEX-ZYT6	73	0	75
GTEX-1QW4Y	75	0	76
GTEX-Y8E4	168	0	164
GTEX-12WSM	31	0	32
GTEX-15EO6	111	0	107
GTEX-YF7O	88	0	92
GTEX-14PJO	39	0	37
GTEX-13OVJ	64	0	61
GTEX-13W46	76	0	76
GTEX-13OW5	65	0	61
GTEX-16MTA	100	0	99
GTEX-1F88E	20	0	22
GTEX-U3ZG	20	0	21
GTEX-13NZA	37	0	39
GTEX-1GN1V	45	0	47
GTEX-ZF28	83	0	87
GTEX-XPT6	116	0	124
GTEX-1B8KE	143	0	147
GTEX-ZVT2	109	0	114
GTEX-1RQEC	96	0	103
GTEX-Y5V5	231	0	242
GTEX-1S5VW	81	0	86
GTEX-1C64N	81	0	83
GTEX-14PQA	68	0	72
GTEX-S33H	184	0	190
GTEX-1122O	84	0	84
GTEX-ZAB5	206	0	201
GTEX-13PL6	66	0	66
GTEX-13FTX	53	0	55
GTEX-RWS6	102	0	97
GTEX-ZDXO	39	0	37
GTEX-11EMC	54	0	54
GTEX-1399R	94	0	97
GTEX-15UF7	127	0	127
GTEX-113JC	28	0	32
GTEX-1PPGY	101	0	100
GTEX-PWN1	70	0	70
GTEX-1A32A	71	0	77
GTEX-1F75B	97	0	99
GTEX-11NUK	41	0	40
GTEX-131YS	54	0	58
GTEX-XQ8I	39	0	42
GTEX-1B933	57	0	53
GTEX-1GZ2Q	45	0	44
GTEX-XUZC	73	0	77
GTEX-111FC	25	0	25
GTEX-1S83E	165	0	174
GTEX-ZUA1	59	0	66
GTEX-1GF9W	81	0	81
GTEX-18A6Q	114	0	110
GTEX-13FTZ	51	0	51
GTEX-17EUY	90	0	89
GTEX-1I4MK	218	0	226
GTEX-X8HC	73	0	73
GTEX-11EM3	98	0	97
GTEX-131XG	93	0	101
GTEX-16NPX	91	0	91
GTEX-1GN1W	100	0	105
GTEX-OHPL	99	0	103
GTEX-1QPFJ	29	0	29
GTEX-12C56	100	0	108
GTEX-ZYFG	87	0	88
GTEX-PLZ5	48	0	49
GTEX-SN8G	169	0	176
GTEX-18D9A	138	0	138
GTEX-1LH75	63	0	69
GTEX-U8T8	33	0	31
GTEX-T5JC	26	0	25
GTEX-ZF2S	139	0	144
GTEX-ZV6S	165	0	159
GTEX-WEY5	61	0	61
GTEX-14BMU	100	0	109
GTEX-1399T	43	0	48
GTEX-11ZUS	56	0	63
GTEX-1B97J	148	0	158
GTEX-P44G	44	0	43
GTEX-13QBU	120	0	120
GTEX-13G51	18	0	20
GTEX-WYJK	71	0	67
GTEX-ZDTS	57	0	59
GTEX-1IDFM	24	0	23
GTEX-11GSO	77	0	76
GTEX-WRHK	110	0	109
GTEX-13FTW	72	0	74
GTEX-1E1VI	69	0	75
GTEX-11ZVC	78	0	85
GTEX-17HGU	95	0	99
GTEX-1C6VR	55	0	60
