individual	chr1:145957156:145958361:cluster84561	chr1:145957156:145959007:cluster84561	chr1:145957156:145974825:cluster84561	chr1:145957734:145958361:cluster84561	chr1:145958367:145959007:cluster84561	chr1:145958438:145959007:cluster84561	chr1:145959104:145974825:cluster84561	chr1:145961573:145964375:cluster84561	chr1:145961573:145964605:cluster84561	chr1:145961573:145974825:cluster84561	chr1:145964768:145974825:cluster84561	chr1:145964768:145975307:cluster84561	chr1:145974991:145975307:cluster84561
GTEX-1B933	1	0	0	0	0	3	1	0	1	0	24	24	67
GTEX-14ABY	3	5	0	1	1	6	14	0	2	0	73	0	156
GTEX-UPJH	9	3	1	2	0	20	19	1	2	8	56	0	185
GTEX-11P82	4	5	0	1	0	17	18	1	7	1	160	0	393
GTEX-R55E	2	2	0	1	4	12	15	0	1	0	49	0	153
GTEX-147F3	5	4	1	0	2	16	19	0	2	0	68	0	156
GTEX-YEC4	5	1	1	0	2	24	13	0	2	0	70	0	162
GTEX-YB5E	17	11	5	2	1	31	30	1	2	3	122	0	345
GTEX-SUCS	3	9	0	1	0	18	21	0	4	0	105	0	240
GTEX-1QW4Y	10	4	2	1	0	18	7	1	4	4	135	0	292
GTEX-Y8E4	10	6	0	1	2	23	25	2	4	7	134	0	314
GTEX-15EO6	11	6	1	6	0	25	26	1	1	3	81	0	204
GTEX-YF7O	8	7	2	3	1	25	28	0	12	6	117	0	351
GTEX-1QMI2	6	4	0	0	3	16	13	0	1	0	70	0	184
GTEX-WHPG	2	6	1	3	0	22	14	0	2	4	67	0	215
GTEX-1CAMR	16	11	3	4	0	11	10	0	3	2	133	0	306
GTEX-1KXAM	26	14	4	0	5	37	46	2	4	2	208	0	476
GTEX-13PL7	5	8	0	2	3	18	19	2	4	0	77	0	226
GTEX-11EQ9	9	9	6	1	0	11	12	1	4	3	106	0	275
GTEX-13OVJ	5	1	0	0	0	11	10	0	3	3	50	0	157
GTEX-13OW5	2	0	1	1	0	14	6	0	4	2	69	0	178
GTEX-ZQG8	8	9	4	2	2	15	41	0	6	5	112	0	287
GTEX-1F88E	0	4	0	0	0	12	5	0	0	1	62	0	136
GTEX-1K9T9	4	5	1	0	1	1	10	0	1	1	50	0	151
GTEX-1C475	21	14	3	0	2	30	30	0	0	7	116	0	290
GTEX-XBED	5	4	0	0	0	6	18	0	2	1	67	0	140
GTEX-14BMV	3	0	0	1	0	4	3	0	0	1	38	0	98
